Angela Merkel,アンゲラ・メルケル
Martin Schulz,マルティン・シュルツ
Franz Mehring,フランツ・メーリング
Luise Rainer,ルイーゼ・ライナー
Roman Neustädter,ロマン・ノイシュテッター
Klaus Ernst,クラウス・エルンスト
Paul Deussen,パウル・ドイセン
Konrad Adenauer,コンラート・アデナウアー
Emre Can,エムレ・ジャン
James Krüss,ジェイムス・クリュス
Franzl Lang,フランツル・ラング
Franz von Stuck,フランツ・フォン・シュトゥック
Bernhard Langer (Golfspieler),ベルンハルト・ランガー
Rudolf Kriß,ルードルフ・クリス
Rainer Bonhof,ライナー・ボンホフ
Albert Einstein,アルベルト・アインシュタイン
Robert Harting,ロベルト・ハルティング
Andreas Eschbach,アンドレアス・エシュバッハ
Fritz Lang,フリッツ・ラング
Gerhard Schröder,ゲアハルト・シュレーダー
Katja Ebstein,カーチャ・エプシュタイン
Joachim Gauck,ヨアヒム・ガウク
Christian Wulff,クリスティアン・ヴルフ
Karl Albrecht,カール・アルブレヒト
Sepp Maier,ゼップ・マイヤー
Max Klinger,マックス・クリンガー
Jürgen Grabowski,ユルゲン・グラボウスキ
Helmut Kohl,ヘルムート・コール
Georg Schwarzenbeck,ハンス＝ゲオルク・シュヴァルツェンベック
Giovane Élber,ジオバネ・エウベル・ジ・ソウザ
Patrick Ebert,パトリック・エベルト
Silvio Gesell,シルビオ・ゲゼル
Ludwig Erhard,ルートヴィヒ・エアハルト
Christoph Schlingensief,クリストフ・シュリンゲンズィーフ
Joachim Meisner,ヨアヒム・マイスナー
Gonzalo Castro,ゴンサロ・カストロ
Ferdinand Tönnies,フェルディナント・テンニース
Marc Forster,マーク・フォースター
Ulrike Nasse-Meyfarth,ウルリケ・マイフェルト
Dirk Nowitzki,ダーク・ノヴィツキー
Hanna Schygulla,ハンナ・シグラ
Hans Wilsdorf,ハンス・ウィルスドルフ
Albrecht von Bayern (1905–1996),アルブレヒト・フォン・バイエルン
Zedd,ゼッド・(音楽家)
Peter Sloterdijk,ペーター・スローターダイク
Thomas Kraft (Fußballspieler),トーマス・クラフト
Rudolf Mößbauer,ルドルフ・メスバウアー
Karl Valentin,カール・ヴァレンティン・(俳優)
Kurt Georg Kiesinger,クルト・ゲオルク・キージンガー
Rupprecht von Bayern,ループレヒト・(バイエルン王太子)
Bernd Hölzenbein,ベルント・ヘルツェンバイン
Helmut Schmidt,ヘルムート・シュミット
Eugen Roth (Dichter),オイゲン・ロート
Rupert Mayer,ルーペルト・マイヤー
Tom Wlaschiha,トム・ヴラシア
Fritz Walter,フリッツ・ヴァルター
Trixi Worrack,トリクシー・ヴォラク
Ernst Hartwig,エルンスト・ハルトヴィッヒ
