Deutschland,ドイツ
Berlin,ベルリン
Dortmund,ドルトムント
Bonn,ボン
Bönen,ベーネン
Duisburg,デュースブルク
Werne,ヴェルネ・(ドイツ)
Deutsche Sprache,ドイツ語
Köln,ケルン
Finnentrop,フィネントロプ
Wenden (Sauerland),ヴェンデン・(ザウアーラント)
Kirchhundem,キルヒフンデム
Medebach,メーデバッハ
Olsberg,オルスベルク
Ich bin ein Berliner,Ich・bin・ein・Berliner
Lennestadt,レネシュタット
Olpe,オルペ
Wanfried,ヴァンフリート
Hamburg-HafenCity,ハーフェンシティ
Uetersen,ユーテルゼン
Volkswagen,フォルクスワーゲン
Eschwege,エシュヴェーゲ
Oder,オーデル川
Ostsee,バルト海
Köln Hauptbahnhof,ケルン中央駅
Berlin-Wannsee,ヴァンゼー・(地区)
Essen,エッセン
Bundesautobahn 73,アウトバーン・73
Bundesautobahn 93,アウトバーン・93
Bundesautobahn 81,アウトバーン・81
Bundesautobahn 92,アウトバーン・92
Felsberg (Hessen),フェルスベルク・(ヘッセン)
Bundesautobahn 94,アウトバーン・94
Bundesautobahn 98,アウトバーン・98
Bundesautobahn 96,アウトバーン・96
Bundesautobahn 95,アウトバーン・95
Bundesautobahn 99,アウトバーン・99
Attendorn,アッテンドルン
Drolshagen,ドロルスハーゲン
Rhein,ライン川
Weinsberg,ヴァインスベルク
Leipzig,ライプツィヒ
Nürnberg,ニュルンベルク
Eslohe (Sauerland),エスローエ・(ザウアーラント)
Bestwig,ベストヴィヒ
Winterberg,ヴィンターベルク
Selm,ゼルム
Fröndenberg/Ruhr,フレンデンベルク/ルール
Bayern,バイエルン州
Mosel,モーゼル川
Main,マイン川
Niedersorbische Sprache,低地ソルブ語
Langenzenn,ランゲンツェン
Geseke,ゲーセケ
Erwitte,エルヴィッテ
Warburg,ヴァールブルク
Elbe,エルベ川
Ludwigsburg,ルートヴィヒスブルク
Weser,ヴェーザー川
Heilbronn,ハイルブロン
Ems,エムス川
Mannheim,マンハイム
Bochum,ボーフム
Wuppertal,ヴッパータール
Obersorbische Sprache,高地ソルブ語
Romani,ロマ語
Donau,ドナウ川
