Angela Merkel,アンゲラ・メルケル
Klaus Ernst,クラウス・エルンスト
Roman Neustädter,ロマン・ノイシュテッター
Albert Einstein,アルベルト・アインシュタイン
Ernst Keil,エルンスト・カイル
Fritz Lang,フリッツ・ラング
Peter Sloterdijk,ペーター・スローターダイク
Bernd Hölzenbein,ベルント・ヘルツェンバイン
Ludwig von Mussinan,ルートヴィヒ・フォン・ムシナン
Romano Guardini,ロマーノ・グアルディーニ
Peter Steiner,ペーター・シュタイナー
Michael Lerchenberg,マイケル・レッケンベルク
Rainer Bonhof,ライナー・ボンホフ
Franz Mehring,フランツ・メーリング
Franzl Lang,フランツル・ラング
Giovane Élber,エウベル
Georg Schwarzenbeck,ハンス＝ゲオルク・シュヴァルツェンベック
Bernhard Langer,ベルンハルト・ランガー
Rudolf Kriß,ルードルフ・クリス
Franz von Stuck,フランツ・フォン・シュトゥック
Tom Schilling,トム・シリング
Paul Deussen,パウル・ドイセン
Robert Harting,ロベルト・ハルティング
Björn Otto,ビョルン・オットー
David Storl,ダヴィド・シュトール
Hans Bradtke,ハンス・ブラトケ
Arno Peters,アルノ・ピーターズ
Marc Forster,マーク・フォースター
Christoph Schlingensief,クリストフ・シュリンゲンズィーフ
Michael Mittermeier,ミヒャエル・ミッターマイアー
Christian Ude,クリスティアン・ウーデ
Katja Ebstein,カーチャ・エプシュタイン
Patrick Ebert,パトリック・エベルト
Ludwig Erhard,ルートヴィヒ・エアハルト
Rupprecht von Bayern,ループレヒト
Jürgen Grabowski,ユルゲン・グラボウスキ
Konrad Adenauer,コンラート・アデナウアー
Thomas Kraft,トーマス・クラフト
Gerhard Ludwig Müller,ゲルハルト・ルートヴィヒ・ミュラー
Georg Sterzinsky,ゲオルク・ステルツィンスキ
Joachim Meisner,ヨアヒム・マイスナー
Emre Can,エムレ・カン
James Krüss,ジェイムス・クリュス
Luise Rainer,ルイーゼ・ライナー
Andreas Eschbach,アンドレアス・エシュバッハ
Martin Schulz,マルティン・シュルツ
Benedikt XVI.,ベネディクト16世
Kurt Georg Kiesinger,クルト・ゲオルク・キージンガー
Gerhard Schröder,ゲアハルト・シュレーダー
Dirk Nowitzki,ダーク・ノヴィツキー
Hark Bohm,ハーク・ボーム
