Dortmund,ドルトムント
Berlin,ベルリン
GND-Kennung,GND識別子
Uetersen,ユーテルゼン
Künstler-ID auf Laut.de,Laut.de アーティストID
Eschwege,エシュヴェーゲ
Köln,ケルン
Deutsch,ドイツ語
OFDb-Personen-ID,オンライン映画データベース人物識別子
DSV-Personen-ID,DSV人物ID
Moviepilot.de Film-ID,Moviepilot.de 映画ID
LdiF-Personen-ID,LdiF 人物ID
USK-Altersfreigabe,USKレーティング
Borgfelde,ボルグフェルデ
Finkenwerder,フィンケンヴェアダー
Kallías-Kennung,カリアス識別子
St. Pauli,ザンクト・パウリ
St. Georg,ハンブルク＝ザンクト・ゲオルク
HafenCity,ハーフェンシティ
Deutsche-Biographie-Kennung,ドイッチェ・ビオグラフィー識別子
GamersGlobal Serie,ゲーマーズグローバル シリーズID
Felsberg,フェルスベルク
München-Wiki-Artikel-ID,ミュンヒェン・ウィキ 記事ID
GEOFON-ID,GEOFON 地震ID
Crew-United-Personen-ID,クルー・ユナイテッド 人物ID
Ich bin ein Berliner,Ich bin ein Berliner
Borken,ボルケン
Volkswagen,フォルクスワーゲン
St. Cäcilien,聖セシリア教会
B3Kat-Kennung,B3Kat データセットID
Deutschland,ドイツ
Wanfried,ヴァンフリート
K10plus-Medienkennung,K10plus PPN ID
KldB-2010 Berufs-Code,KldB-2010 職業コード
OGDB Spiel-Kennung,OGDB ゲーム・タイトルID
GameStar-ID,ゲームスターID
Soccerdonna-Team-ID,サッカードンナ チームID
Ostsee,バルト海
Briedern,ブリーダン
Hamburg-Altstadt,ハンブルク旧市街
Neustadt,ハンブルク＝ノイシュタット区
Sternschanze,ハンブルク＝シュテルンシャンツェ
Sülldorf,ハンブルク＝ジュルドルフ
Rissen,ハンブルク＝リーセン
Ottensen,ハンブルク＝オッテンゼン
Othmarschen,ハンブルク＝オトマールシェン
Soccerdonna-Trainer-ID,サッカードンナ コーチID
Filmstarts-Film-ID,フィルムスターツ題名ID
Index-Theologicus-Publikationskennung,Index Theologicus公表物識別子
Rothenburgsort,ローテンブルクソルト
Kleiner Grasbrook,クライナー・グラスブルック
Munzinger-Sport-Kennung,ムンツィンガースポーツ番号
Munzinger-Pop-Kennung,Munzinger Pop ID
DNB-Editionen-ID,DNB識別子
Rhein,ライン川
OpenCorporates-Kennung,OpenCorporates識別子
FactGrid Property ID,FactGrid プロパティID
Düren,デューレン
Ludwigsburg,ルートヴィヒスブルク
Duisburg,デュースブルク
Weltfussball-Spieler-ID,WorldFootball.net選手ID
LdiF-ID,LdiF ID
Waltershof,ヴァルタースホフ
