Douglas Adams,ダグラス・アダムズ
Tim Berners-Lee,ティム・バーナーズ＝リー
Charles K. Kao,チャールズ・カオ
John Barnes,ジョン・バーンズ・(サッカー選手)
Patrick Stewart,パトリック・スチュワート
Charlie Chaplin,チャールズ・チャップリン
Queen Elizabeth The Queen Mother,エリザベス・ボーズ＝ライアン
Jack Clayton,ジャック・クレイトン
Virginia Woolf,ヴァージニア・ウルフ
Frank Lloyd,フランク・ロイド
Hans Wilsdorf,ハンス・ウィルスドルフ
Alex Salmond,アレックス・サモンド
Jessie J,ジェシー・J
Gordon Brown,ゴードン・ブラウン
Sacha Baron Cohen,サシャ・バロン・コーエン
Harold Pinter,ハロルド・ピンター
Jimmy Wales,ジミー・ウェールズ
Adrian Mariappa,エイドリアン・マリアッパ
Danny Graham (footballer),ダニー・グレアム
Tom Cleverley,トム・クレヴァリー
Ben Foster (footballer),ベン・フォスター・(サッカー選手)
Gavin Mahon,ギャヴィン・マホン
Han Suyin,ハン・スーイン
Monty Python,モンティ・パイソン
John Rhys-Davies,ジョン・リス＝デイヴィス
Scott Adkins,スコット・アドキンス
Eddie Redmayne,エディ・レッドメイン
Henry Gray,ヘンリー・グレイ
David Cameron,デーヴィッド・キャメロン
Judi Dench,ジュディ・デンチ
Simon Wells,サイモン・ウェルズ
Kate Bush,ケイト・ブッシュ
"David James (footballer, born 1970)",ディビッド・ジェームス
Sean Dyche,ショーン・ダイチ
Ashley Young,アシュリー・ヤング
Marvin Sordell,マーヴィン・ソーデル
Sophie Wilson,ソフィー・ウィルソン
Hertha Ayrton,ハータ・エアトン
Stephen Hawking,スティーヴン・ホーキング
David Mitchell (author),デイヴィッド・ミッチェル
Nicky Hopkins,ニッキー・ホプキンス
Ralph Fiennes,レイフ・ファインズ
Doris Lessing,ドリス・レッシング
Kieran Gibbs,キーラン・ギブス
J. R. R. Tolkien,J・R・R・トールキン
James DeGale,ジェームス・デゲール
Tom Ince,トム・インス
Arthur Balfour,アーサー・バルフォア
Arthur Percival,アーサー・パーシバル
Neville Chamberlain,ネヴィル・チェンバレン
Chris Smalling,クリス・スモーリング
Jonny Evans,ジョニー・エヴァンズ
Desmond Llewelyn,デスモンド・リュウェリン
"Michael Johnson (footballer, born 1988)",マイケル・ジョンソン・(1988年生のサッカー選手)
Frank Lampard,フランク・ランパード
Timothy Dalton,ティモシー・ダルトン
Theo Walcott,セオ・ウォルコット
