Massachusetts,マサチューセッツ州
Pioneer plaque,パイオニア探査機の金属板
Puerto Rico,プエルトリコ
Illinois,イリノイ州
Space Needle,スペースニードル
"Portland, Oregon",ポートランド・(オレゴン州)
University of Southern California,南カリフォルニア大学
"Saint Paul, Minnesota",セントポール・(ミネソタ州)
"San Juan, Puerto Rico",サンフアン・(プエルトリコ)
Mississippi,ミシシッピ州
New Mexico,ニューメキシコ州
Chicago,シカゴ
Polynesia,ポリネシア
"Las Cruces, New Mexico",ラスクルーセス
Monday Night War,マンデー・ナイト・ウォーズ
"Aurora, Colorado",オーロラ・(コロラド州)
OpenTable,オープンテーブル
Tongva language,ガブリエリーノ語
Belarusian language,ベラルーシ語
The New York Times,ニューヨーク・タイムズ
"Brazoria County, Texas",ブラゾリア郡・(テキサス州)
"Falls County, Texas",フォールズ郡・(テキサス州)
"Barnes County, North Dakota",バーンズ郡・(ノースダコタ州)
"Benson County, North Dakota",ベンソン郡・(ノースダコタ州)
"Hartford, Connecticut",ハートフォード・(コネチカット州)
English language,英語
Chevrolet,シボレー
"Cicero, New York",シセロ・(ニューヨーク州)
"Santa Fe, New Mexico",サンタフェ・(ニューメキシコ州)
"Springfield, Ohio",スプリングフィールド・(オハイオ州)
2012 Major League Baseball season,2012年のメジャーリーグベースボール
Arkansas River,アーカンザス川
Indianapolis 500,インディアナポリス500
Salad,サラダ
"Caldwell County, Texas",コールドウェル郡・(テキサス州)
"Gonzales County, Texas",ゴンザレス郡・(テキサス州)
"Grand County, Utah",グランド郡・(ユタ州)
"Sabine County, Texas",サビーン郡・(テキサス州)
"Annapolis, Maryland",アナポリス・(メリーランド州)
U.S. Open Cup,USオープンカップ
"Augusta, Maine",オーガスタ・(メイン州)
Gullah language,ガラ語
"Issaquah, Washington",イサクア・(ワシントン州)
"Cass County, North Dakota",カス郡・(ノースダコタ州)
Google Search,Google・検索
"Austin, Texas",オースティン・(テキサス州)
Adobe Inc.,アドビ
GMC (automobile),GMC
Wall Street,ウォール街
Waymo,ウェイモ
Grumman F-14 Tomcat,F-14・(戦闘機)
Kickstarter,Kickstarter
NBA All-Star Game Kobe Bryant Most Valuable Player award,NBAオールスターゲーム最優秀選手賞
"Pike County, Arkansas",パイク郡・(アーカンソー州)
"Pinal County, Arizona",ピナル郡
Foot Locker,フット・ロッカー
IMSA,国際モータースポーツ協会
"Sevier County, Arkansas",セビア郡・(アーカンソー州)
"Sharp County, Arkansas",シャープ郡・(アーカンソー州)
Florida Film Critics Circle Awards 2008,第13回フロリダ映画批評家協会賞
Bloomberg L.P.,ブルームバーグ・(企業)
Bloomberg Television,ブルームバーグテレビジョン
"Fort Worth, Texas",フォートワース
"Butler County, Alabama",バトラー郡・(アラバマ州)
"Cherokee County, Alabama",チェロキー郡・(アラバマ州)
"Brown County, Texas",ブラウン郡・(テキサス州)
"Hardin County, Texas",ハーディン郡・(テキサス州)
"Big Horn County, Montana",ビッグホーン郡・(モンタナ州)
Park Avenue,パーク・アベニュー・(マンハッタン)
1876 United States presidential election,1876年アメリカ合衆国大統領選挙
Find a Grave,Find・a・Grave
"Burleson County, Texas",バールソン郡・(テキサス州)
AT%26T,AT%26T
Bitstream Inc.,ビットストリーム・(企業)
Ivy League,アイビー・リーグ
Texas A%26M University,テキサスA%26M大学
"New London County, Connecticut",ニューロンドン郡・(コネチカット州)
"Norfolk County, Massachusetts",ノーフォーク郡・(マサチューセッツ州)
Great Train Wreck of 1918,1918年列車大事故
"Lee County, Texas",リー郡・(テキサス州)
"Rich County, Utah",リッチ郡・(ユタ州)
"Lincoln, Nebraska",リンカーン・(ネブラスカ州)
54th Academy Awards,第54回アカデミー賞
Larry O'Brien Championship Trophy,ラリー・オブライエン・トロフィー
Sons of Liberty,自由の息子達
"Dover, Delaware",ドーバー・(デラウェア州)
Rolling Stone,ローリング・ストーン
"Charleston, South Carolina",チャールストン・(サウスカロライナ州)
Chicago Tribune,シカゴ・トリビューン
Siege of Savage's Old Fields,サベージのオールドフィールド包囲戦
"Salem, Oregon",セイラム・(オレゴン州)
"Sioux County, North Dakota",スー郡・(ノースダコタ州)
University of Texas at Austin,テキサス大学オースティン校
55th Academy Awards,第55回アカデミー賞
"Roswell, New Mexico",ロズウェル・(ニューメキシコ州)
Creative Commons,クリエイティブ・コモンズ
Sun Microsystems,サン・マイクロシステムズ
Bukharan Jews,ブハラ・ユダヤ人
"Foster County, North Dakota",フォスター郡・(ノースダコタ州)
"Logan County, North Dakota",ローガン郡・(ノースダコタ州)
"Eddy County, North Dakota",エディ郡・(ノースダコタ州)
List of boroughs and census areas in Alaska,アラスカ州の郡一覧
United States Electoral College,アメリカ選挙人団
"Portland, Maine",ポートランド・(メイン州)
"Waltham, Massachusetts",ウォルサム・(マサチューセッツ州)
Rhode Island School of Design,ロードアイランド・スクール・オブ・デザイン
WrestleMania VII,レッスルマニアVII
WrestleMania X,レッスルマニアX
"Brown County, Illinois",ブラウン郡・(イリノイ州)
"Boone County, Iowa",ブーン郡・(アイオワ州)
"Knox County, Texas",ノックス郡・(テキサス州)
"Boone County, Kentucky",ブーン郡・(ケンタッキー州)
"Fulton County, New York",フルトン郡・(ニューヨーク州)
Perkins School for the Blind,パーキンス盲学校
1960 Winter Olympics,1960年スコーバレーオリンピック
Korean Air Lines Flight 007,大韓航空機撃墜事件
"Buchanan County, Iowa",ブキャナン郡・(アイオワ州)
E (New York City Subway service),ニューヨーク市地下鉄E系統
Federal Reserve Bank of New York,ニューヨーク連邦準備銀行
"Franklin County, Mississippi",フランクリン郡・(ミシシッピ州)
"Liberty County, Texas",リバティー郡・(テキサス州)
Roadrunner Records,ロードランナー・レコード
"Roxbury, Boston",ロクスベリー・(ボストン)
Arapaho language,アラパホー語
Luiseño language,ルイセーニョ語
"Ulster County, New York",アルスター郡・(ニューヨーク州)
"Litchfield County, Connecticut",リッチフィールド郡・(コネチカット州)
"Methuen, Massachusetts",マスーアン・(マサチューセッツ州)
"Woburn, Massachusetts",ウーバン・(マサチューセッツ州)
"Middlesex County, Connecticut",ミドルセックス郡・(コネチカット州)
"Windham County, Connecticut",ウィンダム郡・(コネチカット州)
"Chesapeake, Virginia",チェサピーク・(バージニア州)
"Durham, North Carolina",ダーラム・(ノースカロライナ州)
"Glendale, Arizona",グレンデール・(アリゾナ州)
"Sullivan County, New Hampshire",サリバン郡・(ニューハンプシャー州)
"Cross County, Arkansas",クロス郡・(アーカンソー州)
Boston College,ボストンカレッジ
"Brookline, Massachusetts",ブルックライン
Isabella Stewart Gardner Museum,イザベラ・スチュワート・ガードナー美術館
"Lowell, Massachusetts",ローウェル・(マサチューセッツ州)
Amherst College,アマースト大学
"Worcester, Massachusetts",ウースター・(マサチューセッツ州)
"San Diego County, California",サンディエゴ郡・(カリフォルニア州)
"Solano County, California",ソラノ郡・(カリフォルニア州)
Wounded Knee Massacre,ウンデット・ニーの虐殺
"Adams County, Mississippi",アダムズ郡・(ミシシッピ州)
"Clay County, Texas",クレイ郡・(テキサス州)
"Gray County, Texas",グレイ郡・(テキサス州)
"Inyo County, California",インヨー郡・(カリフォルニア州)
"Castro County, Texas",カストロ郡・(テキサス州)
"Zavala County, Texas",ザバラ郡・(テキサス州)
"Clay County, Illinois",クレイ郡・(イリノイ州)
Bukharian (Judeo-Tajik dialect),ブハラ語
"Yavapai County, Arizona",ヤヴァパイ郡・(アリゾナ州)
"Mississippi County, Arkansas",ミシシッピ郡・(アーカンソー州)
"Randolph County, Arkansas",ランドルフ郡・(アーカンソー州)
"Washington County, Arkansas",ワシントン郡・(アーカンソー州)
ARCO Arena,スリープ・トレイン・アリーナ
"Waukesha, Wisconsin",ウォキショー・(ウィスコンシン州)
"Alameda County, California",アラメダ郡
"Kern County, California",カーン郡・(カリフォルニア州)
"San Bernardino County, California",サンバーナーディーノ郡・(カリフォルニア州)
World Trade Center (1973–2001),ワールドトレードセンター・(ニューヨーク)
IBM Watson,ワトソン・(コンピュータ)
Lower Manhattan,ロウアー・マンハッタン
NBC,NBC
Atlanta,アトランタ
Rainbow (rock band),レインボー・(バンド)
2008 United States presidential election,2008年アメリカ合衆国大統領選挙
DeviantArt,DeviantART
"Palmer, Alaska",パーマー・(アラスカ州)
"Seward, Alaska",スワード・(アラスカ州)
"Houston, Alaska",ヒューストン・(アラスカ州)
"Selma, Alabama",セルマ・(アラバマ州)
"Sanilac County, Michigan",サニラック郡・(ミシガン州)
Interstate 25,州間高速道路25号線
Interstate 66,州間高速道路66号線
Interstate 72,州間高速道路72号線
"Kent County, Michigan",ケント郡・(ミシガン州)
Delta Center,ビビント・アリーナ
Alaska Peninsula,アラスカ半島
DLNA,Digital・Living・Network・Alliance
"Allen Parish, Louisiana",アレン郡・(ルイジアナ州)
"Independence County, Arkansas",インディペンデンス郡・(アーカンソー州)
Canadian Shield,カナダ楯状地
"Sitka, Alaska",シトカ
"Lipscomb County, Texas",リップスコム郡・(テキサス州)
"Reeves County, Texas",リーブス郡・(テキサス州)
1994 FIFA World Cup,1994・FIFAワールドカップ
"Beltrami County, Minnesota",ベルトラミー郡・(ミネソタ州)
"Lucas County, Ohio",ルーカス郡・(オハイオ州)
"Mitchell County, Texas",ミッチェル郡・(テキサス州)
Baby Islands,ベイビー諸島
"Lampasas County, Texas",ランパサス郡・(テキサス州)
Lincoln Tunnel,リンカーントンネル
Honolulu Museum of Art,ホノルル美術館
Long Island Rail Road,ロングアイランド鉄道
"Midland County, Michigan",ミッドランド郡・(ミシガン州)
"Wasilla, Alaska",ワシラ・(アラスカ州)
"Independence, Missouri",インディペンデンス・(ミズーリ州)
"Weber County, Utah",ウィーバー郡・(ユタ州)
2012 Oikos University shooting,オイコス大学銃乱射事件
"Lake Geneva, Wisconsin",レイク・ジェニーバ・(ウィスコンシン州)
Minor League Baseball,マイナーリーグベースボール
"Cass County, Illinois",カス郡・(イリノイ州)
