Douglas Adams,ダグラス・アダムズ
Luther Blissett,ルーサー・ブリセット
John Barnes,ジョン・バーンズ
Robin Williams,ロビン・ウィリアムズ
Charles Samuel Franklin,チャールズ・サミュエル・フランクリン
Sarah Walker,サラ・ウォーカー
Danny Graham,ダニー・グレアム
Robert Page,ロブ・ページ
Clifford Edmund Bosworth,クリフォード・エドモンド・ボスワース
Henry Gray,ヘンリー・グレイ
Han Suyin,ハン・スーイン
Monty Python,モンティ・パイソン
Richard G. Morris,リチャード・G・モリス
Eddie Redmayne,エディ・レッドメイン
Hertha Ayrton,ハータ・エアトン
Adrian Mariappa,エイドリアン・マリアッパ
Tom Cleverley,トム・クレヴァリー
David Cameron,デーヴィッド・キャメロン
Jack Clayton,ジャック・クレイトン
Kate Bush,ケイト・ブッシュ
Patrick Stewart,パトリック・スチュワート
Aidy Boothroyd,アイディ・ブースロイド
"Queen Elizabeth, The Queen Mother",エリザベス・ボーズ＝ライアン
Mary Lee Woods,メアリー・リー・ウッズ
Sophie Wilson,ソフィー・ウィルソン
Kenny Jackett,ケニー・ジャケット
Ashley Young,アシュリー・ヤング
Ben Foster,ベン・フォスター
Tim Berners-Lee,ティム・バーナーズ＝リー
Charles K. Kao,チャールズ・カオ
David Mitchell,デイヴィッド・ミッチェル
Alex Salmond,アレックス・サモンド
Marvin Sordell,マーヴィン・ソーデル
Doris Lessing,ドリス・レッシング
Marcus Gayle,マーカス・ゲイル
Stephen Hawking,スティーヴン・ホーキング
David James,ディビッド・ジェームス
Jimmy Wales,ジミー・ウェールズ
Gavin Mahon,ギャヴィン・マホン
Virginia Woolf,ヴァージニア・ウルフ
Gordon Brown,ゴードン・ブラウン
Kieran Gibbs,キーラン・ギブス
Harold Pinter,ハロルド・ピンター
Hans Wilsdorf,ハンス・ヴィルスドルフ
Frank Lloyd,フランク・ロイド
Scott Adkins,スコット・アドキンス
Nicky Hopkins,ニッキー・ホプキンス
Ralph Fiennes,レイフ・ファインズ
Carrie Lam,林鄭月娥
Charlie Chaplin,チャールズ・チャップリン
James DeGale,ジェームス・デゲール
Tom Ince,トム・インス
Arthur Balfour,アーサー・バルフォア
J. R. R. Tolkien,J・R・R・トールキン
Simon Wells,サイモン・ウェルズ
Neville Chamberlain,ネヴィル・チェンバレン
Ian Porterfield,イアン・ポーターフィールド
Charles Oman,チャールズ・オマーン
Sacha Baron Cohen,サシャ・バロン・コーエン
Fitz Hall,フィッツ・ホール
Leanne Wood,リアーン・ウッド
Lee Hodson,リー・ホドソン
Sean Dyche,ショーン・ダイチェ
Ray Lewington,レイ・レウィントン
Lonnie Donegan,ロニー・ドネガン
Judi Dench,ジュディ・デンチ
Timothy Dalton,ティモシー・ダルトン
Scott Loach,スコット・ローチ
Nyron Nosworthy,ナイロン・ノスワーシー
Frank Lampard,フランク・ランパード
John Rhys-Davies,ジョン・リス＝デイヴィス
Jessie J,ジェシー・J
Frederick Keeping,フレドリック・キーピング
Arthur Percival,アーサー・パーシバル
Keira Knightley,キーラ・ナイトレイ
Troy Deeney,トロイ・ディーニー
John Eustace,ジョン・ユースタス
Jonathan Hogg,ジョナサン・ホッグ
Adam Miller,アダム・ミラー
Alesha Dixon,アレシャ・ディクソン
John Campbell,ジョン・キャンベル
Michael Johnson,マイケル・ジョンソン
Sean Murray,ショーン・マレー
Ikechi Anya,イケチ・アンヤ
Michael Carrick,マイケル・キャリック
Chris Iwelumo,クリス・イウェルモ
Victoria Drummond,ヴィクトリア・ドラモンド
Louise Johnson,ルイーズ・ジョンソン
Rupert Grint,ルパート・グリント
James Key,ジェームス・キー
Chris Smalling,クリス・スモーリング
Jonny Evans,ジョニー・エヴァンズ
Audrey Hepburn,オードリー・ヘプバーン
George Bernard Shaw,ジョージ・バーナード・ショー
Steph Houghton,ステフ・ホートン
Laura Bassett,ラウーラ・バセット
Ricky Gervais,リッキー・ジャーヴェイス
Carl Jenkinson,カール・ジェンキンソン
Theo Walcott,セオ・ウォルコット
Robert Grabarz,ロバート・グラバーズ
Jill Scott,ジル・スコット
Anita Asante,アニータ・アサンテ
Eniola Aluko,エニオラ・アルコ
John Lennon,ジョン・レノン
Sergey Kapitsa,セルゲイ・カピッツァ
Luigi Cherubini,ルイジ・ケルビーニ
Delia Derbyshire,デリア・ダービーシャー
Helen Porter,ヘレン・ポーター
"David Cecil, 6th Marquess of Exeter",デヴィッド・バーリー
Peter Lilley,ピーター・リリー
Geri Horner,ジェリ・ハリウェル
John Farnham,ジョン・ファーナム
Desmond Llewelyn,デスモンド・リュウェリン
J. Horace Round,ジョン・ホレス・ラウンド
Karl Henry,カール・ヘンリー
Alun Michael,アラン・マイケル
Hope Powell,ホープ・パウエル
Casey Stoney,ケイシー・ストーニー
Jean Shrimpton,ジーン・シュリンプトン
James Hilton,ジェームズ・ヒルトン
Kenny Miller,ケニー・ミラー
Robert Louis Stevenson,ロバート・ルイス・スティーヴンソン
Angus Young,アンガス・ヤング
Kathleen Booth,キャスリーン・ブース
H. G. Wells,ハーバート・ジョージ・ウェルズ
John Pritchard,ジョン・プリッチャード
Mo Farah,モハメド・ファラー
Greg Rutherford,グレッグ・ラザフォード
John Francis,ジョン・フランシス
George Edward Luckman Gauntlett,エドワード・ガントレット
Terri Attwood,テリー・アトウッド
Wendy Hall,ウェンディ・ホール
Hugo Weaving,ヒューゴ・ウィーヴィング
Adele,アデル
Kim Wilde,キム・ワイルド
Nathaniel Chalobah,ナサニエル・チャロバー
Gabby Logan,ガビー・ローガン
Ellie Goulding,エリー・ゴールディング
Sophie Bradley-Auckland,ソフィー・ブラッドリー
Claire Rafferty,クレア・ラファティ
Jack the Ripper,切り裂きジャック
Chris Patten,クリストファー・パッテン
Doctor P,Doctor P
Marlon Roudette,マーロン・ルーデット
Helene Hayman,ヘレン・ヘイマン
Robert Arnott Wilson,ロバート・アーノット・ウィルソン
Mike Hawthorn,マイク・ホーソーン
Rachel Brown,レイチェル・ブラウン
Richard Dawkins,リチャード・ドーキンス
Charles III of the United Kingdom,チャールズ3世
Mark Millar,マーク・ミラー
George Mikes,ジョージ・ミケシュ
Victoria Beckham,ヴィクトリア・ベッカム
Matthew Vaughn,マシュー・ヴォーン
Faye White,フェイ・ホワイト
Katie Chapman,ケイティ・チャップマン
Alan Davie,アラン・デイヴィー
William Golding,ウィリアム・ゴールディング
Rachel Yankey,レイチェル・ヤンキー
Stephen Merchant,スティーヴン・マーチャント
Clive Sinclair,クライヴ・シンクレア
Rowan Atkinson,ローワン・アトキンソン
"Arthur Nicolson, 1st Baron Carnock",アーサー・ニコルソン
"Herbrand Russell, 11th Duke of Bedford",ハーブランド・ラッセル (第11代ベッドフォード公)
Anne V. Coates,アン・V・コーツ
Martyn Lloyd-Jones,マーティン・ロイドジョンズ
Roshan Seth,ロシャン・セス
Orlando Bloom,オーランド・ブルーム
Gladwyn Jebb,ヒューバート・マイルズ・グラッドウィン・ジェブ
Friedrich Hayek,フリードリヒ・ハイエク
Terry Gilliam,テリー・ギリアム
Paul Gascoigne,ポール・ガスコイン
David Broome,デビッド・ブルーム
Gabrielle Aplin,ガブリエル・アプリン
Ivo Lapenna,イヴォ・ラペンナー
"Robert Baden-Powell, 1st Baron Baden-Powell",ロバート・ベーデン＝パウエル
Toni Duggan,トニ・ダガン
Stanley Kubrick,スタンリー・キューブリック
Ryan Fraser,ライアン・フレイザー
V. S. Naipaul,V・S・ナイポール
Fara Williams,ファラ・ウィリアムズ
Karen Carney,カレン・カーニー
Amy Johnson,エミー・ジョンソン
Salman Rushdie,サルマン・ラシュディ
Ellen White,エレン・トニ・ホワイト
Rachel Williams,レイチェル・ウィリアムズ
Ebenezer Howard,エベネザー・ハワード
Jane Goldman,ジェーン・ゴールドマン
Keith Campbell,キース・キャンベル (生物学者)
Slash,スラッシュ
Uri Geller,ユリ・ゲラー
Fit Finlay,デイブ・フィンレー
Lance Tingay,ランス・ティンゲイ
William Auld,ウィリアム・オールド
John C. Wells,ジョン・C・ウェルズ
Mark Rocco,マーク・ロコ
Kylie Minogue,カイリー・ミノーグ
Alex Harvey,アレックス・ハーヴィー
Dave Taylor,デビッド・テイラー
Bertrand Russell,バートランド・ラッセル
Reginald Campbell,レジナルド・キャンベル
Graham Chapman,グレアム・チャップマン
George William Gray,ジョージ・ウィリアム・グレイ
Alan Carr,アラン・カー
Michael Hunter,マイケル・ハンター
Monie Love,モニー・ラヴ
John Barrowman,ジョン・バロウマン
Paul McCartney,ポール・マッカートニー
Roald Dahl,ロアルド・ダール
Ken Johnson,ケン・ジョンソン
Digby Jones,ディグビー・ジョーンズ
Patrick Jenkin,パトリック・ジェンキン (ジェンキン・オブ・ローディング男爵)
Alex Ferguson,アレックス・ファーガソン
Karen Spärck Jones,カレン・スパーク・ジョーンズ
Cozy Powell,コージー・パウエル
Eric Burdon,エリック・バードン
Ringo Starr,リンゴ・スター
Robin Janvrin,ロビン・ジャンブリン (ジャンブリン男爵)
Richard Meinertzhagen,リチャード・マイナーツハーゲン
Lesley Garrett,レスリー・ギャレット
Lyndsey Marshal,リンゼイ・マーシャル
John McAfee,ジョン・マカフィー
Michael Cates,マイケル・ケイツ
Amy Winehouse,エイミー・ワインハウス
Colin Crouch,コリン・クラウチ
Acker Bilk,アッカー・ビルク
J. K. Rowling,J・K・ローリング
Mike Oldfield,マイク・オールドフィールド
Geoffrey Dear,ジョフリー・ディア
Aaron Taylor-Johnson,アーロン・ジョンソン
Chris Hull,クリス・ハル
Paul Scholes,ポール・スコールズ
John Cleese,ジョン・クリーズ
John Surtees,ジョン・サーティース
Jackie Stewart,ジャッキー・スチュワート
George Harrison,ジョージ・ハリスン
Graham Hill,グラハム・ヒル
Alicia Rhodes,アリシア・ロードス
Eddie Marsan,エディ・マーサン
Andrew Garfield,アンドリュー・ガーフィールド
Robert Cecil,ロバート・セシル
Elizabeth Taylor,エリザベス・テイラー
Brian May,ブライアン・メイ
Elton John,エルトン・ジョン
Arthur Conan Doyle,アーサー・コナン・ドイル
Jim Clark,ジム・クラーク
Brian Cox,ブライアン・コックス
Steven Caulker,スティーヴン・コーカー
Hugh Dalton,ヒュー・ダルトン
Jack Wilshere,ジャック・ウィルシャー
Frances Fisher,フランシス・フィッシャー
Tinie Tempah,タイニー・テンパー
Myleene Klass,マイリーン・クラス
Labrinth,ラブリンス
Sara Gomer,サラ・ゴーマー
Marcus Mumford,マーカス・マムフォード
Ernest Cox,アーネスト・コックス
Claire Booth,クレア・ウィンザー
Paul Johnson,ポール・ジョンソン
Gordon Ramsay,ゴードン・ラムゼイ
Archer John Porter Martin,アーチャー・マーティン
Christian Bale,クリスチャン・ベール
T. S. Eliot,T・S・エリオット
Alvin Lee,アルヴィン・リー
Denis Thatcher,デニス・サッチャー
Richard Attwood,リチャード・アトウッド
Lance Macklin,ランス・マックリン
Tony Rolt,トニー・ロルト
W. D. Hamilton,ウィリアム・ドナルド・ハミルトン
Agatha Christie,アガサ・クリスティ
Jocky Wilson,ジョッキー・ウィルソン
Bill Tarmey,ビル・ターミー
Terry Pratchett,テリー・プラチェット
Matthew Kneale,マシュー・ニール
Margaret Wycherly,マーガレット・ワイチャーリイ
Rudyard Kipling,ラドヤード・キップリング
Daniel Tammet,ダニエル・タメット
Humphrey Tonkin,ハンフリー・トンキン
Robert Pattinson,ロバート・パティンソン
Rowan Williams,ローワン・ウィリアムズ
Peter Brook,ピーター・ブルック
Richard Laurence Millington Synge,リチャード・シング
Roy Budd,ロイ・バッド
Clive Dunn,クライヴ・ダン
Sean Connery,ショーン・コネリー
Freddie Mercury,フレディ・マーキュリー
"William, Prince of Wales",ウィリアム
Charles Hesterman Merz,チャールズ・マーズ
Christopher Nolan,クリストファー・ノーラン
Amy Macdonald,エイミー・マクドナルド
Cyril Norman Hinshelwood,シリル・ヒンシェルウッド
Bernard Katz,ベルンハルト・カッツ
Shaun Maloney,ショーン・マロニー
Daniel Craig,ダニエル・クレイグ
Hannah Harper,ハンナ・ハーパー
Jack Hawkins,ジャック・ホーキンス
Roger Taylor,ロジャー・テイラー
John Cale,ジョン・ケイル
Hugh Laurie,ヒュー・ローリー
Steven Weisberg,スティーヴン・ワイズバーグ
Robert Bolt,ロバート・ボルト
Chris Wood,クリス・ウッド
Mervyn Peake,マーヴィン・ピーク
Dorothy M. Needham,ドロシー・ニーダム
Calum Chambers,カラム・チェンバース
Gaël Bigirimana,ガエル・ビギリマナ
Justin Welby,ジャスティン・ウェルビー
Charlie Pace,チャーリー・ペース
Charlotte Lewis,シャーロット・ルイス
Charles Widmore,チャールズ・ウィドモア
Arthur C. Clarke,アーサー・C・クラーク
Jamie Carragher,ジェイミー・キャラガー
Stanley Bacon,スタンリー・ベーコン
Graeme Sharp,グレアム・シャープ
Alfred Hitchcock,アルフレッド・ヒッチコック
Tim Curry,ティム・カリー
Eric Hobsbawm,エリック・ホブズボーム
Justin Chadwick,ジャスティン・チャドウィック
Richard Barbieri,リチャード・バルビエリ
Clarence Kingsbury,クラレンス・キングスバリー
Ernest Payne,アーネスト・ペイン
Steven Runciman,スティーヴン・ランシマン
Jimmy Stewart,ジミー・スチュアート
Tiff Needell,ティフ・ニーデル
D. H. Lawrence,デーヴィッド・ハーバート・ローレンス
Christopher Hitchens,クリストファー・ヒッチンス
Chris Craft,クリス・クラフト
Joe Fry,ジョー・フライ
Jonathan Williams,ジョナサン・ウィリアムズ
Robin Widdows,ロビン・ウィドウズ
Peter Westbury,ピーター・ウェストバリー
Jackie Lewis,ジャッキー・ルイス
Alan Rees,アラン・リース
John Nettles,ジョン・ネトルズ
Mike Taylor,マイク・テイラー （レーシングドライバー）
Alan Turing,アラン・チューリング
Ken Wharton,ケン・ウォートン
