Ana de la Reguera,アナ・デ・ラ・レゲラ
Juventud Guerrera,フベントゥ・ゲレーラ
Fray Tormenta,フライ・トルメンタ
Lucas Barrios,ルーカス・バリオス
Carlos Fuentes,カルロス・フエンテス
Pablo Barrera,パブロ・バレーラ
Omar Bravo,オマール・ブラボ
Gerardo Torrado,ヘラルド・トラード
Porfirio Díaz,ポルフィリオ・ディアス
Ángel Zárraga,アンヘル・サラガ
Stephen Austin,スティーブン・オースティン
Pedro Lascuráin,ペドロ・ラスクライン
Manuel Ávila Camacho,マヌエル・アビラ・カマチョ
Vicente Guerrero,ビセンテ・ゲレロ
Gustavo Díaz Ordaz,グスタボ・ディアス・オルダス
Carlos Salinas de Gortari,カルロス・サリナス・デ・ゴルタリ
Kuno Becker,クノ・ベッカー
Tania Libertad,タニア・リベルタ
Francisco León de la Barra,フランシスコ・レオン・デ・ラ・バーラ
Lorenzo Barcelata,ロレンソ・バルセラータ
Ramón Vargas,ラモン・バルガス
Francisco Carvajal,フランシスコ・カルバハル
Frida Kahlo,フリーダ・カーロ
Cara Buono,カーラ・ブオノ
Héctor Rebaque,ヘクトール・レバーク
Ricardo Rodríguez de la Vega,リカルド・ロドリゲス・(レーサー)
Javier Hernández Balcázar,ハビエル・エルナンデス
Juan Carreño Lara,フアン・カレーニョ
Paul Aguilar,パウル・アギラール
Efraín Juárez,エフライン・フアレス
Egidio Arévalo Ríos,エヒディオ・アレバロ・リオス
Pável Pardo,パベル・パルド
Luis Echeverría Álvarez,ルイス・エチェベリア
Martín Luis Guzmán,マルティン・ルイス・グスマン
Dr. Atl,ドクター・アトル
Lupe Vélez,ルーペ・ヴェレス
Ricardo Osorio,リカルド・オソリオ
David Alfaro Siqueiros,ダビッド・アルファロ・シケイロス
Silvestre Revueltas,シルベストレ・レブエルタス
José Clemente Orozco,ホセ・クレメンテ・オロスコ
Abraham Ángel,アブラハム・アンヘル
Nicolás Bravo,ニコラス・ブラボ
José Saturnino Cardozo,ホセ・カルドーソ
Nezahualcóyotl,ネサワルコヨトル
Abraham Laboriel,エイブラハム・ラボリエル
Bora Milutinović,ボラ・ミルティノビッチ
Místico (luchador),カリスティコ
Andrés Manuel López Obrador,アンドレス・マヌエル・ロペス・オブラドール
Carlos Jiménez Mabarak,カルロス・ヒメネス＝マバラク
Manuel González Flores,マヌエル・ゴンサレス
Katy Jurado,ケティ・フラド
Dominika Paleta,ドミニカ・パレタ
Rosario Castellanos,ロサリオ・カステリャノス
Elena Poniatowska,エレナ・ポニアトウスカ
Antonio Carbajal,アントニオ・カルバハル
Guadalupe Victoria,グアダルーペ・ビクトリア
Diego Luna,ディエゴ・ルナ
Venustiano Carranza,ベヌスティアーノ・カランサ
Jared Borgetti,ハレド・ボルヘッティ
Héctor Moreno,エクトル・モレノ
Jorge Campos (futbolista),ホルヘ・カンポス
Plutarco Elías Calles,プルタルコ・エリアス・カリェス
José López Portillo,ホセ・ロペス・ポルティーヨ
Manuel Uribe Garza,マヌエル・ウリベ
Miguel Bernal Jiménez,ミゲル・ベルナル・ヒメネス
Adolfo Bautista,アドルフォ・バウティスタ
Pedro Armendáriz,ペドロ・アルメンダリス
Manuel M. Ponce,マヌエル・ポンセ
Miguel Alemán Valdés,ミゲル・アレマン
Gerónimo,ジェロニモ
André-Pierre Gignac,アンドレ＝ピエール・ジニャック
Anahí (cantante),アナイ
Alexander Salkind,アレクサンダー・サルキンド
Leonardo Márquez,レオナルド・マルケス
