Diego Velázquez,ディエゴ・ベラスケス
Lionel Messi,リオネル・メッシ
Miguel Hidalgo y Costilla,ミゲル・イダルゴ
Santillana (futbolista),サンティリャーナ
José Luis Panizo,ホセ・ルイス・パニーソ
Alfonso XII de España,アルフォンソ12世・(スペイン王)
Amadeo I de España,アマデオ1世・(スペイン王)
Laureano Ruiz,ラウレアーノ・ルイス
Raúl Albiol,ラウール・アルビオル
"Alicia de Borbón-Parma, duquesa de Calabria",アリシア・デ・ボルボーン＝パルマ
Juan Antonio Flecha,フアン・アントニオ・フレチャ
Juan José Linz,ホアン・リンス
Luis Fernando de Baviera,ルートヴィヒ・フェルディナント・フォン・バイエルン
Garbiñe Muguruza,ガルビネ・ムグルサ
Dani Carvajal,ダニエル・カルバハル
José María Aznar,ホセ・マリア・アスナール
Miguel de las Cuevas,ミゲル・デ・ラス・クエバス
Gorka Verdugo,ゴルカ・ベルドゥゴ
Eduardo Mendoza,エドゥアルド・メンドサ
Vicente López Portaña,ヴィセンテ・ロペス・ポルターニャ
Carlos VI del Sacro Imperio Romano Germánico,カール6世・(神聖ローマ皇帝)
José Calvo,ホセ・カルヴォ
Francisco Javier López Peña,フランシスコ・ハビエル・ロペス・ペーニャ
Rubén Pardo,ルベン・パルド
Paco de Lucía,パコ・デ・ルシア
Joaquín Rodrigo,ホアキン・ロドリーゴ
Carlos III de España,カルロス3世・(スペイン王)
Marcelo Vieira,マルセロ・ヴィエイラ・ダ・シウヴァ・ジュニオル
Carlos II de España,カルロス2世・(スペイン王)
José Echegaray,ホセ・エチェガライ・イ・アイサギレ
Jesús Fernández (futbolista),ヘスス・フェルナンデス・コラード
Daniel Barenboim,ダニエル・バレンボイム
José Ortega y Gasset,ホセ・オルテガ・イ・ガセット
Felipe II de España,フェリペ2世・(スペイン王)
Francisco de Goya,フランシスコ・デ・ゴヤ
Shakira,シャキーラ
Joan-Enric Vives,ジュアン・エンリク・ビベス・イ・シシリア
Pablo Picasso,パブロ・ピカソ
Federico Martín Bahamontes,フェデリコ・バーモンテス
Rafael Alberti,ラファエル・アルベルティ
Joan Miró,ジョアン・ミロ
María Teresa de Austria (1638-1683),マリー・テレーズ・ドートリッシュ
Montserrat Caballé,モンセラート・カバリェ
Rafael Alkorta,ラファエル・アルコルタ
Álex Rins,アレックス・リンス
Sergio Rodríguez Gómez,セルヒオ・ロドリゲス
Carlos Cuéllar,カルロス・クエジャル
Josico Moreno,ホセ・モレノ・(サッカー選手)
Teodoro Reding,テオドール・フォン・レディンク
Sergi Gómez,セルジ・ゴメス
Salvador Dalí,サルバドール・ダリ
Mariana de Neoburgo,マリア・アンナ・フォン・プファルツ＝ノイブルク
José Antonio Primo de Rivera,ホセ・アントニオ・プリモ・デ・リベラ
José Manuel García-Margallo,ホセ・マヌエル・ガルシア＝マルガーリョ
Daniel Brühl,ダニエル・ブリュール
Juan Gris,フアン・グリス
Julio Iglesias,フリオ・イグレシアス
Itziar Ituño,イツィアル・イトゥーニョ
Felipe III de España,フェリペ3世・(スペイン王)
Ana de Austria (reina de Francia),アンヌ・ドートリッシュ
Hernán Cortés,エルナン・コルテス
Carlos X de Francia,シャルル10世・(フランス王)
Paco Campos,パコ・カンポス
Penélope Cruz,ペネロペ・クルス
Ronaldinho,ロナウジーニョ
Pichichi (futbolista),ラファエル・モレノ・アランサディ
Sercan Sararer,セルジャン・サラレル
Jenaro Pérez Villaamil,ヘナロ・ペレス・ビジャミル
Asier Illarramendi,アシエル・イジャラメンディ
Ricky Martin,リッキー・マーティン
Ezequiel Calvente,エセキエル・カルベンテ
Julio Salinas,フリオ・サリナス
