México,メキシコ
Copa Mundial de Fútbol de 1986,1986・FIFAワールドカップ
Liga de Ascenso de México,リーガ・デ・アセンソ
Ciudad Universitaria (Universidad Nacional Autónoma de México),大学都市・(メキシコ国立自治大学)
Suprema Corte de Justicia de la Nación,国家最高司法裁判所・(メキシコ)
Hermanos de las Escuelas Cristianas,ラ・サール会
Zacatecas (Zacatecas),サカテカス
RWE,RWE
Ciudad Victoria,シウダービクトリア
Nuevo Laredo,ヌエボ・ラレド
México en los Juegos Olímpicos de Los Ángeles 1984,1984年ロサンゼルスオリンピックのメキシコ選手団
Río Colorado,コロラド川
Coahuila,コアウイラ州
Hermosillo,エルモシージョ
Estadio Azteca,エスタディオ・アステカ
Lago de Chapala,チャパラ湖
Lucha libre profesional,プロレス
Oaxaca de Juárez,オアハカ
Desierto de Sonora,ソノラ砂漠
Ciudad de México,メキシコシティ
Peso mexicano,メキシコ・ペソ
México en los Juegos Olímpicos de Pekín 2008,2008年北京オリンピックのメキシコ選手団
Morelia,モレリア
Himno Nacional Mexicano,メキシコの国歌
Anexo:Gran Premio de México de 1966,1966年メキシコグランプリ
Anexo:Gran Premio de México de 1964,1964年メキシコグランプリ
Copa Mundial de Fútbol de 1970,1970・FIFAワールドカップ
Espanglish,スパングリッシュ
Cráter de Chicxulub,チクシュルーブ・クレーター
Idioma español,スペイン語
Aguascalientes (Aguascalientes),アグアスカリエンテス
Academia de San Carlos,アカデミア・デ・サン・カルロス
Compañía Mexicana de Aviación,メキシカーナ航空
Anexo:Gran Premio de México de 1965,1965年メキシコグランプリ
Meridiano 105 oeste,西経105度線
Anexo:Gran Premio de México de 1963,1963年メキシコグランプリ
Chihuahua,チワワ州
Mar Caribe,カリブ海
Valle de México,メキシコ盆地
Televisa,テレビサ
Conector NEMA,NEMA規格
Día de Muertos,死者の日・(メキシコ)
Abierto Mexicano de Tenis,メキシコ・オープン
Molokanes,モロカン派
Las Californias,ラス・カリフォルニアス
Golfo de California,カリフォルニア湾
Municipio de Chimalhuacán,チマルワカン
