Silbo gomero,シルボ
Idioma español,スペイン語
España,スペイン
Figueras,フィゲラス
Lloret de Mar,リュレッド・ダ・マール
Blanes,ブラナス
Idioma catalán,カタルーニャ語
Alto Ampurdán,アール・テンポルダー
Barcelona,バルセロナ
Gerona,ジローナ
Llansá,リャンサ
Ripoll,リポイ
Asturias,アストゥリアス州
Cantabria,カンタブリア州
Provincia de Gerona,ジローナ県
Historia de España,スペインの歴史
Gran Premio de Europa,ヨーロッパグランプリ
Pau (Gerona),パウ
Pirineos,ピレネー山脈
Mislata,ミズラータ
Villarreal Club de Fútbol,ビジャレアルCF
Madrid,マドリード
Jerez de la Frontera,ヘレス・デ・ラ・フロンテーラ
Xerez Club Deportivo,ヘレスCD
La Línea de la Concepción,ラ・リネア・デ・ラ・コンセプション
Galicia,ガリシア州
Sistema de ligas de fútbol de España,スペインのサッカーリーグ構成
Copa Iberoamericana,コパ・イベロアメリカーナ
Fútbol Club Barcelona,FCバルセロナ
Portbou,ポルトボウ
Mataró,マタロー
Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピック
Pontevedra,ポンテベドラ
País Vasco,バスク州
Generalidad de Cataluña,カタルーニャ州政府
Pactos de la Moncloa,モンクロア協定
Valladolid,バリャドリッド
Rosas (Gerona),ロザス
San Pol de Mar,サン・ポル・ダ・マール
Nerja,ネルハ
Navarra,ナバラ州
Castillo de Coca,コカ城
Palencia,パレンシア
Aragón,アラゴン州
Besalú,バザルー
Ronda,ロンダ・(スペイン)
Malgrat de Mar,マルグラッド・ダ・マール
Zalla,サリャ
Valmaseda,バルマセダ
Athletic Club,アスレティック・ビルバオ
Real Madrid Club de Fútbol,レアル・マドリード
Girona Fútbol Club,ジローナFC
Valle de Arán,アラン谷
Guadalajara (España),グアダラハラ・(スペイン)
Euro,ユーロ
Huesca,ウエスカ
Olot,ウロット
Sevilla,セビリア
Llagostera,リャゴステラ
Bilbao,ビルバオ
Mar Mediterráneo,地中海
Club Deportivo Guadalajara (España),CDグアダラハラ・(スペイン)
Hércules de Alicante Club de Fútbol,エルクレスCF
Alicante,アリカンテ
Club Atlético de Madrid,アトレティコ・マドリード
Río Garona,ガロンヌ川
Vigo,ビーゴ・(スペイン)
Real Betis Balompié,レアル・ベティス
Las Palmas de Gran Canaria,ラス・パルマス・デ・グラン・カナリア
Sociedad Deportiva Huesca,SDウエスカ
Monzón (Huesca),モンソン
Real Club Celta de Vigo,セルタ・デ・ビーゴ
Euskera,バスク語
Club Deportivo Lugo,CDルーゴ
Unión Deportiva Las Palmas,UDラス・パルマス
Club Deportivo Mirandés,CDミランデス
Miranda de Ebro,ミランダ・デ・エブロ
Getafe Club de Fútbol,ヘタフェCF
Getafe,ヘタフェ
La Coruña,ア・コルーニャ
Idioma portugués,ポルトガル語
Valle de Bohí,バル・デ・ボイ
Pallars Sobirá,パリャーズ・スビラー
Real Club Deportivo de La Coruña,デポルティーボ・ラ・コルーニャ
Masnou,アル・マズノウ
International Airlines Group,インターナショナル・エアラインズ・グループ
Idioma aragonés,アラゴン語
Almazán,アルマサン
Real Club Deportivo Espanyol,RCDエスパニョール
Vilassar de Mar,ビラスサー・ダ・マール
Granada Club de Fútbol,グラナダCF
Granada,グラナダ
Urgel (Lérida),ウルジェイ
Valencia,バレンシア・(スペイン)
Burguete,アウリッツ/ブルゲテ
Cataluña,カタルーニャ州
Alta Ribagorza,アールタ・リバゴールサ
Castilla y León,カスティーリャ・イ・レオン州
Real Club Deportivo Mallorca,RCDマジョルカ
Comunidad Valenciana,バレンシア州
Castilla-La Mancha,カスティーリャ・ラ・マンチャ州
Málaga,マラガ
Levante Unión Deportiva,レバンテUD
Soria,ソリア
Club Deportivo Numancia de Soria,CDヌマンシア
La Rioja (España),ラ・リオハ州・(スペイン)
Tortosa,トゥルトーザ
Baja Cerdaña,バッシャ・サルダーニャ
Palma de Mallorca,パルマ・デ・マヨルカ
Mallorca,マヨルカ島
Comunidad de Madrid,マドリード州
Islas Baleares,バレアレス諸島
Málaga Club de Fútbol,マラガCF
Sociedad Deportiva Ponferradina,SDポンフェラディーナ
