André-Pierre Gignac,アンドレ＝ピエール・ジニャック
Pedro Armendáriz,ペドロ・アルメンダリス
Manuel M. Ponce,マヌエル・ポンセ
Martin Vasquez,マルティン・バスケス (1963年生のサッカー選手)
Porfirio Díaz,ポルフィリオ・ディアス
Stephen F. Austin,スティーヴン・オースティン
Ricardo Arredondo,リカルド・アルレドンド
Genaro García Luna,ジェナロ・ガーシア・ルナ
Gerardo Torrado,ヘラルド・トラード
Gerónimo,ジェロニモ
Ana de la Reguera,アナ・デ・ラ・レゲラ
Fray Tormenta,フライ・トルメンタ
Héctor Moreno,エクトル・モレノ
Jorge Campos,ホルヘ・カンポス
Louis C.K.,ルイスC.K.
Frida Kahlo,フリーダ・カーロ
Ramón Vargas,ラモン・バルガス
Juan Carreño Sandoval,フアン・カレーニョ
Francisco Fonseca,フランシスコ・フォンセカ
Adolfo Sánchez Vázquez,アドルフォ・サンチェス・バスケス
Francisco León de la Barra,フランシスコ・レオン・デ・ラ・バーラ
Diego Luna,ディエゴ・ルナ
Venustiano Carranza,ベヌスティアーノ・カランサ
Javier Hernández Balcázar,ハビエル・エルナンデス・バルカサール
Princesa Blanca,プリンセサ・ブランカ
Lucas Barrios,ルーカス・バリオス
Anahí,アナイ
María del Rosario Espinoza Espinoza,マリア・エスピノサ
Dominika Paleta,ドミニカ・パレタ
Miguel Alemán Valdés,ミゲル・アレマン
Vicente Guerrero,ビセンテ・ゲレロ
Plutarco Elías Calles,プルタルコ・エリアス・カリェス
José López Portillo,ホセ・ロペス・ポルティーヨ
Adolfo Antonio Suárez Rivera,アドルフォ・アントニオ・スアレス・リベラ
Adolfo Bautista,アドルフォ・バウティスタ
Pablo Barrera Acosta,パブロ・バレーラ
Omar Bravo,オマール・ブラボ
Tania Libertad,タニア・リベルタ
Guadalupe Victoria,グアダルーペ・ビクトリア
Javier Lozano Barragán,ハビエル・ロザノ・バラガン
Diego Rivera,ディエゴ・リベラ
Esteban Gutiérrez,エステバン・グティエレス
Mario Molina,マリオ・モリーナ
Ángel Zárraga,アンヘル・サラガ
Juventud Guerrera,フベントゥ・ゲレーラ
Katy Jurado,ケティ・フラド
Jared Borgetti,ハレド・ボルヘッティ
Jonathan dos Santos,ジョナタン・ドス・サントス
José Joaquín de Herrera,ホセ・ホアキン・デ・エレーラ
Kuno Becker,クノ・ベッカー
Kate del Castillo,ケイト・デル・カスティーヨ
Rosario Castellanos,ロサリオ・カステリャノス
Lila Downs,リラ・ダウンズ
Francisco Carvajal,フランシスコ・カルバハル
Lorenzo Barcelata,ロレンソ・バルセラータ
Carlos Fuentes,カルロス・フエンテス
Alfonso Cuarón,アルフォンソ・キュアロン
Abner Mares,アブネル・マレス
Lorena Ochoa,ロレーナ・オチョア
Carlos Slim,カルロス・スリム・ヘル
Andrés Guardado,アンドレス・グアルダード
Felipe Ramos Rizo,フェリペ・ラモス・リゾ
Carlos Salinas de Gortari,カルロス・サリナス・デ・ゴルタリ
Gustavo Díaz Ordaz,グスタヴォ・ディアス・オルダス
Místico,ミスティコ
Abraham Laboriel,エイブラハム・ラボリエル
Manuel Uribe Garza,マヌエル・ウリベ
Miguel Bernal Jiménez,ミゲル・ベルナル＝ヒメネス
Tulio Demicheli,トゥリオ・デミケリ
Bora Milutinović,ボラ・ミルティノビッチ
Federico Gamboa,フェデリコ・ガンボア
Juan Gabriel Castro,フアン・カストロ
Pedro Lascuráin,ペドロ・ラスクライン
Manuel Ávila Camacho,マヌエル・アビラ・カマチョ
Elena Poniatowska,エレナ・ポニアトウスカ
Ricardo Osorio,リカルド・オソリオ
Egidio Arévalo Ríos,エヒディオ・アレバロ・リオス
Thalía,タリア
Paul Aguilar,パウル・アギラール
Abel Salazar,アビル・サラザー
Pedro Arandadíaz Muñoz,ペドロ・アランダ＝ディアス
Gael García Bernal,ガエル・ガルシア・ベルナル
Daniela Romo,ダニエラ・ロモ
Alfonso Ortiz Tirado,アルフォンソ・オルティス・ティラド
Orlando Salido,オルランド・サリド
Ron Chernow,ロン・チャーナウ
Antonio Carbajal,アントニオ・カルバハル
Andrés Manuel López Obrador,アンドレス・マヌエル・ロペス・オブラドール
Adriana Sage,アドリアーナ・セージ
Bernardo Segura,ベルナルド・セグラ
Lupe Jones,ルピタ・ジョーンズ
Inés Efron,イネス・エフロン
Emilio Portes Gil,エミリオ・ポルテス・ヒル
Alfonso Bedoya,アルフォンソ・ベドヤ
David Alfaro Siqueiros,ダビッド・アルファロ・シケイロス
Ricardo Montalbán,リカルド・モンタルバン
Héctor Rebaque,ヘクトール・レバーク
Pedro Rodríguez de la Vega,ペドロ・ロドリゲス
José Saturnino Cardozo,ホセ・カルドーソ
Nezahualcóyotl,ネサワルコヨトル
Guillermo Franco Farquarson,ギジェルモ・フランコ
León Trotski,レフ・トロツキー
Agustín Lara,アグスティン・ララ
Agustín de Iturbide y Green,アグスティン・デ・イトゥルビデ・イ・グリーン
Israel Castro,イスラエル・カストロ
Nicolás Bravo,ニコラス・ブラボ
Manuel del Refugio González Flores,マヌエル・ゴンサレス
Dr. Atl,ドクター・アトル
Martín Luis Guzmán,マルティン・ルイス・グスマン
Lupe Vélez,ルーペ・ヴェレス
Adolfo Ruiz Cortines,アドルフォ・ルイス・コルティネス
Leonardo Márquez,レオナルド・マルケス
Alexander Salkind,アレクサンダー・サルキンド
Alessandra Rosaldo,アレッサンドラ・ロザルド
Jessica Alba,ジェシカ・アルバ
Ana Alicia,アナ・アリシア
Margo Glantz,マルゴ・グランツ
José Joaquín Fernández de Lizardi,ホセ・ホアキン・フェルナンデス・デ・リサルディ
Luis Buñuel,ルイス・ブニュエル
Sara Ramírez,サラ・ラミレス
Germán Valdés,ヘルマン・ヴァルデス
Jorge Daniel Hernández,ホルヘ・エルナンデス
Salvador Contreras,サルバドール・コントレラス
Gloria Trevi,グロリア・トレビ
Carlos Reygadas,カルロス・レイガダス
Humberto Ramos,ハンベルト・ラモス
Ximena Navarrete,ヒメナ・ナバレッテ
Gaspar Fernández,ガスパール・フェルナンデス
John Doeg,ジョン・ドエグ
Giselle Itié,ジゼル・イティエ
Gabriel Quadri,ガブリエル・クアドリ・デ・ラ・トーレ
Agustín Carstens,アグスティン・カルステンス
Octavio Paz,オクタビオ・パス
Efraín Juárez,エフライン・フアレス
Sebastián Lerdo de Tejada,セバスティアン・レルド・デ・テハーダ
Antonio López de Santa Anna,アントニオ・ロペス・デ・サンタ・アナ
Vicente Fox,ビセンテ・フォックス・ケサーダ
Pável Pardo,パベル・パルド
Luis Echeverría Álvarez,ルイス・エチェベリア
Damián Villa,ダミアン・ビリャ
Rafael Márquez Álvarez,ラファエル・マルケス
Silvia Pinal,シルビア・ピナル
Manuel Mondragón,マヌエル・モンドラゴン
Cantinflas,カンティンフラス
Juan Rulfo,フアン・ルルフォ
Abraham Zabludovsky,アブラハム・ザブルードスキー
Ricardo Castro Herrera,リカルド・カストロ
Abraham Ángel,アブラハム・アンヘル
José Clemente Orozco,ホセ・クレメンテ・オロスコ
Carlos Jiménez Mabarak,カルロス・ヒメネス＝マバラク
Gilberto Bosques Saldívar,ヒルベルト・ボスケス・サルディバル
Felipe Colombia,フェリペ・コロンボ
Guido Pizarro,ギド・ピサーロ
Adolfo López Mateos,アドルフォ・ロペス・マテオス
Javier Aguirre,ハビエル・アギーレ
Cara Buono,カーラ・ブオノ
Pancho Villa,パンチョ・ビリャ
Julio César Chávez,フリオ・セサール・チャベス・ジュニア
Leo Santa Cruz,レオ・サンタ・クルス
Anastasio Bustamante,アナスタシオ・ブスタマンテ
Mariano Azuela,マリアノ・アスエラ
Alina Garciamendez,アリーナ・ガルシアメンデス
