José Luis Panizo,ホセ・ルイス・パニーソ
Alfonso XII de España,アルフォンソ12世
Carlos VI del Sacro Imperio Romano Germánico,カール6世
Miguel de las Cuevas,ミゲル・デ・ラス・クエバス
Martin Suter,マルティン・ズーター
Diego Velázquez,ディエゴ・ベラスケス
Santillana,サンティリャーナ
Rocío Dúrcal,ロシオ・ドゥルカル
Amadeo I de España,アマデオ1世
Joan Enric Vives,ジュアン・エンリク・ビベス・イ・シシリア
Francisco de Goya,フランシスコ・デ・ゴヤ
Ramón de Algeciras,ラモン・デ・アルヘシラス
Lionel Messi,リオネル・メッシ
Jorge de Bragation-Mukhraneli,ホルヘ・デ・バグラチオン
José Ortega y Gasset,ホセ・オルテガ・イ・ガセト
Rafael Alkorta,ラファエル・アルコルタ
Carlos Leal,カルロス・レアル
Nicolás Federmann,ニコラウス・フェーダーマン
Joaquín Rodrigo,ホアキン・ロドリーゴ
Juan Gris,フアン・グリス
Montserrat Caballé,モンセラート・カバリェ
Felipe II de España,フェリペ2世
Shakira,シャキーラ
José Manuel García-Margallo,ホセ・マヌエル・ガルシア＝マルガーリョ
Daniel Brühl,ダニエル・ブリュール
Carlos II de España,カルロス2世
Julio Salinas,フリオ・サリナス
Néstor Almendros,ネストール・アルメンドロス
Paco de Lucía,パコ・デ・ルシア
Arturo Pérez-Reverte,アルトゥーロ・ペレス＝レベルテ
Carlos III de España,カルロス3世 (スペイン王)
José María Aznar López,ホセ・マリア・アスナール
Miguel Hidalgo y Costilla,ミゲル・イダルゴ
Javier Solana,ハビエル・ソラナ
Vicente López Portaña,ヴィセンテ・ロペス・イ・ポルターニャ
Salvador Dalí,サルバドール・ダリ
Joan Miró,ジョアン・ミロ
Laureano Ruiz,ラウレアーノ・ルイス
Álex Rins,アレックス・リンス
José María Sánchez-Silva y García-Morales,ホセ・マリア・サンチェスシルバ
Federico Martín Bahamontes,フェデリコ・バーモンテス
Pablo Picasso,パブロ・ピカソ
Pedro Bautista Blásquez,ペトロ・バウチスタ
Millán,聖エミリアヌス
Francisco Javier López Peña,フランシスコ・ハビエル・ロペス・ペーニャ
Ana de Austria y Austria-Estiria,アンヌ・ドートリッシュ
Marcelo Vieira,マルセロ・ヴィエイラ・ダ・シウヴァ・ジュニオル
