México,メキシコ
Copa Mundial de Fútbol de 1986,1986 FIFAワールドカップ
Campeonato Mundial de Karate de 2004,2004年世界空手選手権大会
Ejército Zapatista de Liberación Nacional,サパティスタ民族解放軍
Día del maestro,教師の日
Liga de Ascenso de México,リーガ・デ・アセンソ
Ciudad Universitaria de la UNAM,大学都市
Supremo Poder Ejecutivo,メキシコ臨時政府 (1823年 - 1824年)
Las Abejas,ラス・アベハス
Jarana yucateca,ハラーナ・ユカテカ
Abierto Mexicano de Tenis,アビエルト・メキシコ・テルセル
Las Californias,ラス・カリフォルニアス
Lago de Chapala,チャパラ湖
ayapanecaca,アヤパネコ語
Kabáh,カバー (マヤ文明)
México en los Juegos Olímpicos de Múnich 1972,1972年ミュンヘンオリンピックのメキシコ選手団
México en los Juegos Olímpicos de Helsinki 1952,1952年ヘルシンキオリンピックのメキシコ選手団
Oaxaca de Juárez,オアハカ
Día de Muertos,死者の日
Mexicali,メヒカリ (バハ・カリフォルニア州)
conector NEMA,NEMA規格
Estadio Azteca BBVA,エスタディオ・アステカ
Grupo Televisa,テレビサ
código NAICS,NAICSコード
lucha libre profesional,プロレス
espanglish,スパングリッシュ
Chihuahua,チワワ州
CONABIO ID,CONABIO ID
identificador ESRB,ESRB ゲームID
Palacio de los Deportes,スポーツパレス
Molokanes,モロカン派
Basílica de Santa María de Guadalupe,グアダルーペ寺院
RWE,RWE
Instituto de los Hermanos de las Escuelas Cristianas,ラ・サール会
Zacatecas,サカテカス
Ocosingo,オコシンゴ
Ocosingo,オコシンゴ
Cráter de Chicxulub,チクシュルーブ・クレーター
Aeropuerto Internacional de Piedras Negras,ピエドラス・ネグラス国際空港
Aeromar,アエロマール航空
Mexicana de Aviación,メキシカーナ航空
Palacio de Iturbide,イトゥルビデ宮殿
Suprema Corte de Justicia de la Nación,国家最高司法裁判所
península de Yucatán,ユカタン半島
Coahuila de Zaragoza,コアウイラ州
clasificación ESRB,ESRBレーティング
México en los Juegos Olímpicos de Tokio 1964,1964年東京オリンピックのメキシコ選手団
México en los Juegos Olímpicos de Los Ángeles 1984,1984年ロサンゼルスオリンピックのメキシコ選手団
México en los Juegos Olímpicos de Seúl 1988,1988年ソウルオリンピックのメキシコ選手団
Nuevo Laredo,ヌエボ・ラレド
Golfo de California,カリフォルニア湾
Canal de Yucatán,ユカタン海峡
Chimalhuacán,チマルワカン
Desierto de Sonora,ソノラ砂漠
mar Caribe,カリブ海
Valle de México,メキシコ盆地
Saltillo,サルティーヨ
Copa Mundial de Fútbol de 1970,1970 FIFAワールドカップ
Morelia,モレリア
Chiapas,チアパス州
Zacatepec de Hidalgo,サカテペク・デ・イダルゴ
Himno Nacional Mexicano,メキシコの国歌
León de Los Aldama,レオン
Hermosillo,エルモシージョ
Ciudad Victoria,シウダービクトリア
México en los Juegos Olímpicos de Melbourne 1956,1956年メルボルンオリンピックのメキシコ選手団
México en los Juegos Olímpicos de Montreal 1976,1976年モントリオールオリンピックのメキシコ選手団
México en los Juegos Olímpicos de Moscú 1980,1980年モスクワオリンピックのメキシコ選手団
México en los Juegos Olímpicos de Roma 1960,1960年ローマオリンピックのメキシコ選手団
México en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックのメキシコ選手団
Aguascalientes,アグアスカリエンテス
Anexo:Gran Premio de México de 1966,1966年メキシコグランプリ
Anexo:Gran Premio de México de 1987,1987年メキシコグランプリ
Anexo:Gran Premio de México de 1988,1988年メキシコグランプリ
Anexo:Gran Premio de México de 1989,1989年メキシコグランプリ
