España,スペイン
Darnius,ダルニウス
Figueras,フィゲラス
Fortiá,フルティアー
Llansá,リャンサ
Alto Ampurdán,アール・テンポルダー
Camprodón,カンプロドン
butifarra,ブティファラ
Espolla,エスポーリャ
Gerona,ジローナ
Mataró,マタロー
identificador CANTIC,CANTIC識別子
Tabakalera ID,タバカレラID
identificador de los tesauros del Patrimonio Cultural de España,スペイン文化遺産類語辞典ID
Argentona,アルヘントナ
silbo gomero,シルボ
Xerez Club Deportivo,ヘレスCD
Jerez de la Frontera,ヘレス・デ・ラ・フロンテーラ
español,スペイン語
Villarreal Club de Fútbol,ビジャレアルCF
Fútbol Club Barcelona,FCバルセロナ
identificador CANTIC (antiguo),CANTIC識別子（旧）
identificador Lur Hiztegi Entziklopedikoa,ルル百科辞書識別子
LEMb,LEM ID
catalán,カタルーニャ語
Planolas,プラノレス
Pont de Molins,ポント・ダ・モリンズ
Pontós,プントス
Portbou,ポルトボウ
identificador FilmAffinity,Filmaffinity識別子
Ripoll,リポイ
código del Inventario del Patrimonio Arquitectónico de Cataluña,カタルーニャ建築遺産コード
identificador Dialnet de artículo,ダイアルネット 論文ID
identificador de la Gran Enciclopedia Catalana (antiguo),カタルーニャ大百科事典ID (旧形式)
identificador Universidad de Barcelona (obsoleto),バルセロナ大学典拠識別子（旧式）
provincia de Gerona,ジローナ県
Capmany,カプマニー
Rosas,ロザス
San Lorenzo de la Muga,サン・リョレンス・ダ・ラ・ムーガ
calificación del ICAA,ICAAレイティング
Barcelona,バルセロナ
identificador BVMC de autor,BVMC人物ID
Palau Sabardera,パラウ＝サベルデーラ
Cantabria,カンタブリア州
Pontevedra,ポンテベドラ
economía de España,スペインの経済
Pactos de la Moncloa,モンクロア協定
historia de España,スペインの歴史
Valladolid,バリャドリッド
Mislata,ミズラータ
Gran Premio de Europa,ヨーロッパグランプリ
Generalidad de Cataluña,ジャナラリター・デ・カタルーニャ
identificador de autoridades de la Universidad de Barcelona,バルセロナ大学典拠識別子
