Madrid,マドリード市
Barcelona,バルセロナ
Sevilla,セビリャ
Málaga,マラガ
Zaragoza,サラゴサ
Kingdom of Spain,スペイン
Las Palmas de Gran Canaria,ラス・パルマス・デ・グラン・カナリア
Palma,パルマ・デ・マリョルカ
Murcia,ムルシア
Valencia,バレンシア
Santa Cruz de Tenerife,サンタ・クルス・デ・テネリフェ
Santiago de Compostela,サンティアゴ・デ・コンポステーラ
Santander,サンタンデール
Logroño,ログローニョ
Valladolid,バリャドリッド
Pamplona,パンプローナ
Oviedo,オビエド
Bilbao,ビルバオ
Torrevieja,トレビエハ
Toledo,トレド
Jerez de la Frontera,ヘレス・デ・ラ・フロンテーラ
Jaén,ハエン
Huelva,ウエルバ
Granada,グラナダ
Elche,エルチェ
Córdoba,コルドバ
Castelló de la Plana,カステリョン・デ・ラ・プラナ
Cartagena,カルタヘナ
Cadiz,カディス
Badajoz,バダホス
Almería,アルメリア
Alicante,アリカンテ
Algeciras,アルヘシラス
Albacete,アルバセテ
Melilla,メリリャ
Marbella,マルベーリャ
Donostia / San Sebastián,サン・セバスティアン
Salamanca,サラマンカ
Mataró,マタロー
Lleida,リェイダ
León,レオン
Terrassa,テッラーサ
Tarragona,タラゴナ
Ourense,オウレンセ
A Coruña,ア・コルーニャ
Gijón,ヒホン
Getafe,ヘタフェ
Burgos,ブルゴス
Badalona,バダロナ
Avilés,アビレス
Gasteiz / Vitoria,ビトリア
Vigo,ビーゴ
Alcalá de Henares,アルカラ・デ・エナーレス
Ciudad Real,シウダー・レアル
Cáceres,カセレス
Benidorm,ベニドルム
Alcoy,アルコイ
Molina de Segura,モリナ・デ・セグラ
Mérida,メリダ
Lorca,ロルカ
San Sebastián de los Reyes,サン・セバスティアン・デ・ロス・レイエス
Lugo,ルーゴ
Leganés,レガネス
Cuenca,クエンカ
Coslada,コスラーダ
Teruel,テルエル
Soria,ソリア
Segovia,セゴビア
Pontevedra,ポンテベドラ
Ponferrada,ポンフェラーダ
Palencia,パレンシア
Móstoles,モストレス
Huesca,ウエスカ
Guadalajara,グアダラハラ
Girona,ジローナ
Fuenlabrada,フエンラブラダ
Ávila,アビラ
Zamora,サモラ
Alcorcón,アルコルコン
Alcobendas,アルコベンダス
Canary Islands,カナリアス
Castilla-La Mancha,カスティージャラマンチャ
Extremadura,エストレマドゥーラ州
Comunitat Valenciana,ヴァレンシア
Talavera de la Reina,タラベラ・デ・ラ・レイナ
Sanlúcar de Barrameda,サンルーカル・デ・バラメーダ
San Fernando,サン・フェルナンド
La Línea de la Concepción,ラ・リネア・デ・ラ・コンセプション
Estepona,エステポナ
El Puerto de Santa María,エル・プエルト・デ・サンタ・マリア
El Ejido,エル・エヒド
Calvià,カルビア
Comunitat Autònoma de les Illes Balears,バレアレス
Roquetas de Mar,ロケタス・デ・マル
Orihuela,オリウエラ
Mijas,ミハス
Aragon,アラゴン
Castilla y León,カスティーリャ・レオン州
Llanes,リャネス
El Prat de Llobregat,アル・プラ・ダ・リョブレガート
Ciudad Lineal,シウダー・リネアル
Torrelavega,トレラベーガ
Torrejón de Ardoz,トレホン・デ・アルドス
Cangas de Onís,カンガス・デ・オニス
Aranjuez,アランフエス
Tenerife South Airport,レイナ・ソフィア空港
Adolfo Suárez Madrid–Barajas Airport,マドリード・バラハス国際空港
Eixample,アシャンプラ
Villarrobledo,ビリャロブレド
Vélez-Málaga,ベレス＝マラガ
Úbeda,ウベダ
Cuevas del Almanzora,クエバス・デル・アルマンソーラ
Ceuta,セウタ
Almuñécar,アルムニェーカル
Puertollano,プエルトリャノ
Región de Murcia,ムルシア
Motril,モトリル
Mallorca,マヨルカ島
Agaete,アガエテ
La Rioja,ラ・リオハ州
Cantabria,カンタブリア
Sant Adrià de Besòs,サント・アドリアー・ダ・バゾス
Salou,サロウ
Puente de Vallecas,プエンテ・デ・バリェカス
Miranda de Ebro,ミランダ・デ・エブロ
Comunidad de Madrid,コムニダ・デ・マドリッド
Tortosa,トゥルトーザ
Plasencia,プラセンシア
Monte Perdido,モン・ペルデュ
Principality of Asturias,アストゥリアス
Navarra,ナバーラ
Moratalaz,モラタラス
Hortaleza,オルタレサ
Cambrils,カンブリス
Arbo,アルボ
A Coruña Airport,ア・コルーニャ空港
Aeroport de Girona - Costa Brava,ジローナ＝コスタ・ブラバ空港
Málaga Airport,マラガ空港
Santiago de Compostela Airport,サンティアゴ・デ・コンポステーラ空港
Moncloa-Aravaca,モンクロア＝アラバカ
Sants-Montjuïc,サンツ・ムンジュイック
Ciutat Vella,シウタ・ベリャ
Arganzuela,アルガンスエラ
Latina,ラティーナ
Salamanca,サラマンカ
Chamberí,チャンベリ
Carabanchel,カラバンチェル
Retiro,レティーロ
Castellón–Costa Azahar Airport,カステリョン＝コスタ・アサアール空港
Andalusia,アンダルシア
Villanueva de la Serena,ビジャヌエバ・デ・ラ・セレーナ
Peñón de Vélez de la Gomera,ペニョン・デ・ベレス・デ・ラ・ゴメラ
Vejer de la Frontera,ベヘール・デ・ラ・フロンテーラ
Tomelloso,トメジョーソ
Tarifa,タリファ
Sóller,ソーリェル
Provincia de Las Palmas,ラスパルマス
La Carlota,ラ・カルロータ
El Hierro,エル・イエロ島
Guadix,グアディクス
Don Benito,ドン・ベニート
Coria del Río,コリア・デル・リオ
Islas Chafarinas,チャファリナス諸島
Candelaria,カンデラリア
Buñol,ブニョール
Balearic Islands,バレアレス諸島
Arcos de la Frontera,アルコス・デ・ラ・フロンテーラ
Andújar,アンドゥハル
Águilas,アギラス
Requena,レケナ
Paterna,パテルナ
Palos de la Frontera,パロス・デ・ラ・フロンテーラ
Europe,ヨーロッパ
Catalunya,カタロニア
Galicia,ガリシア州
Euskal Autonomia Erkidegoa,パイス・バスコ
Sangüesa/Zangoza,サングエサ
Sahagún,サアグン
Puente la Reina,プエンテ・ラ・レイナ
Moaña,モアーニャ
Leioa,レイオア
Entrena,エントレナ
El Escorial,エル・エスコリアル
Culleredo,クジェレード
Ciudad Rodrigo,シウダ・ロドリーゴ
Cesuras,セスーラス
Cee,セー
Tarazona,タラソナ
Sarria,サリア
Portugalete,ポルトゥガレテ
Oleiros,オレイロス
Jaca,ハカ
O Grove,オ・グローベ
Estella-Lizarra,エステーリャ
Calatayud,カラタユー
Calahorra,カラオラ
Barbastro,バルバストロ
Azpeitia,アスペイティア
Ayerbe,アイェルベ
Zumarraga,スマラガ
Provincia de Zaragoza,サラゴサ
Aranda de Duero,アランダ・デ・ドゥエロ
Almazán,アルマサン
Alcañiz,アルカニス
Morón Air Base,モロン空軍基地
Illes Balears,バレアレス
Barri Gòtic,ゴシック
Southern Europe,南ヨーロッパ
Villa de Vallecas,ビリャ・デ・バリェカス
Universidad de Salamanca,サラマンカ大学
Zafra,サフラ
Província de València,ヴァレンシア
Trujillo,トルヒーリョ
Province of Toledo,トレド
Provincia de Sevilla,セビリアセビリヤセヴィーリャセヴィリア
Provincia de Santa Cruz de Tenerife,サンタ・クルス・デ・テネリフェ
Provincia de Jaén,ハエン
Isla Cristina,イスラ・クリスティナ
Illa d'Eivissa,イビサ島
Provincia de Huelva,ウエルバ
Guadalupe,グアダルーペ
Provincia de Granada,グラナダ
La Gomera,ラ・ゴメラ島
Provincia de Cuenca,クエンカ
Province of Córdoba,コルドバ
Provincia de Ciudad Real,シウダッド・レアル
Provincia de Cádiz,カディス
Provincia de Cáceres,カセレス
Provincia de Badajoz,バダホス
Almería,アルメリア
Provincia de Alicante,アリカンテ
Peñón de Alhucemas,ペニョン・デ・アルセマス
Alcántara,アルカンタラ
Alcalá la Real,アルカラ・ラ・レアル
Isla de Alborán,アルボラン島
Provincia de Albacete,アルバセテ
Pinos Puente,ピノス・プエンテ
Osuna,オスナ
Provincia de Málaga,マラガ
Santo Domingo de la Calzada,サント・ドミンゴ・デ・ラ・カルサーダ
Provincia de Cantabria,カンタブリア
Provincia de Salamanca,サラマンカ
Reinosa,レイノーサ
Puebla de Sanabria,プエブラ・デ・サナブリア
Montjuïc,ムンジュイック
Montehermoso,モンテエルモーソ
Monforte de Lemos,モンフォルテ・デ・レモス
Medina del Campo,メディナ・デル・カンポ
Lousame,ロウサーメ
Provincia de León,レオン
Cedeira,セデイラ
Província de Castelló,カステジョン
Vega de Espinareda,ベガ・デ・エスピナレーダ
Provincia de Valladolid,バリァドリッド（バジャドリッド）
Valdefresno,バルデフレスノ
Touro,トウロ
Tordesillas,トルデシリャス
Provincia de Teruel,テルエル
Província de Tarragona,タラゴナ
Tafalla,タファリャ
Provincia de Soria,ソリア
Sigüenza,シグエンサ
Provincia de Segovia,セゴビア
Provincia de Pontevedra,ポンテベドラ
Peñaranda de Bracamonte,ペニャランダ・デ・ブラカモンテ
Provincia de Palencia,パレンシア
Outes,オウテス
Ourol,オウロル
Provincia de Ourense,オレンセ（オウレンセ）
Onzonilla,オンソニージャ
Olite,オリテ
Nigrán,ニグラン
Nájera,ナヘラ
Mugardos,ムガルドス
Provincia de Huesca,ウエスカ
Gipuzkoa,ギプスコア
Getaria,ゲタリア
Provincia de Guadalajara,グアダラハラ
Picos de Europa,ピコス・デ・エウロパ
Erandio,エランディオ
Camariñas,カマリーニャス
Provincia de Burgos,ブルゴス
Boltaña,ボルターニャ
Bermeo,ベルメオ
Bembibre,ベンビブレ
Província de Barcelona,ばるせろな
Provincia de Ávila,アビラ
Arnedo,アルネド
Arévalo,アレバロ
Provincia de Zamora,サモーラ
Bizkaia,ビスカヤ
Vicálvaro,ビカルバロ
Arancón,アランコン
Albarracín,アルバラシン
Araba / Álava,アラバ
Ágreda,アグレダ
Abejar,アベハール
Basauri,バサウリ
Camp Nou,カンプ・ノウ
Estadio Santiago Bernabéu,エスタディオ・サンティアゴ・ベルナベウ
Província de Girona,ジローナ（ヘローナ）
Província de Lleida,ジェイダ（レリダ）
Provincia de La Rioja,ラ・リオハ
Provincia de Madrid,マドリッド
Murcia,ムルシア
Provincia de Navarra,ナバーラ
Province of Asturias,アストゥリアス
Sierra Nevada,シエラネバダ山脈
Casa de Campo,カサ・デ・カンポ
Museo del Prado,プラド美術館
Guggenheim Museum Bilbao,ビルバオ・グッゲンハイム美術館
Olivenza,オリベンサ
Auditorio de Tenerife,アウディトリオ・デ・テネリフェ
Catedral de Barcelona,サンタ・エウラリア大聖堂
Museo Arqueológico Nacional,国立考古学博物館
Archivo General de Indias,インディアス総合古文書館
Alhambra,アルハンブラ宮殿
Uclés,ウクレス
Mondoñedo,モンドニェード
Melide,メリーデ
Medinaceli,メディナセリ
Cuéllar,クエリャル
Cea,セア
Vega de Valcarce,ベガ・デ・バルカルセ
Villamanín,ビジャマニン
Almarza,アルマルサ
Aldealpozo,アルデアルポソ
Aldealafuente,アルデアラフエンテ
Alcubilla de Avellaneda,アルクビージャ・デ・アベジャネーダ
Adradas,アドラーダス
Museo Thyssen-Bornemisza,ティッセン＝ボルネミッサ美術館
Casa Batlló,カサ・バトリョ
Palau de la Música Catalana,カタルーニャ音楽堂
Circuito de Jerez,ヘレス・サーキット
Casa Milà,カサ・ミラ
