François Hollande,フランソワ・オランド
Chrétien de Troyes,クレティアン・ド・トロワ
Pierre Abélard,ピエール・アベラール
Maryse Bastié,マリーズ・バスティエ
Joachim du Bellay,ジョアシャン・デュ・ベレー
Le Corbusier,ル・コルビュジエ
Adrien Rabiot,アドリアン・ラビオ
Philippe Hurepel de Clermont,フィリップ・ユルプル
Luce Irigaray,リュス・イリガライ
Alexis Claude Clairaut,アレクシス・クレロー
Arthur Rimbaud,アルチュール・ランボー
Jean-Martin Charcot,ジャン＝マルタン・シャルコー
Luigi Cherubini,ルイジ・ケルビーニ
Yassine Benzia,ヤシン・ベンジア
Yves Mariot,イヴ・マリオット
Rémi Garde,レミ・ガルド
Georges Brassens,ジョルジュ・ブラッサンス
Nicolas Sarkozy,ニコラ・サルコジ
Claude Debussy,クロード・ドビュッシー
Henry Dunant,アンリ・デュナン
Michel Hazanavicius,ミシェル・アザナヴィシウス
Sławomir Mrożek,スワヴォーミル・ムロージェク
Philippe de Bourgogne (1323-1346),フィリップ・ド・ブルゴーニュ・(1323-1346)
Aly Cissokho,アリ・シソコ
Jean-François Champollion,ジャン＝フランソワ・シャンポリオン
Claude Monet,クロード・モネ
Paul Morand,ポール・モラン
Sarah Bernhardt,サラ・ベルナール
Bafétimbi Gomis,バフェティンビ・ゴミス
Jean-Claude Killy,ジャン＝クロード・キリー
Vilfredo Pareto,ヴィルフレド・パレート
Marcellin Berthelot,マルセラン・ベルテロ
Maurice de Broglie (physicien),モーリス・ド・ブロイ
Léon Blum,レオン・ブルム
Bérénice Marlohe,ベレニス・マーロウ
Landry Bonnefoi,ランドリー・ボンヌフォワ
François de Guise,フランソワ・(ギーズ公)
Gui de Dampierre,ギー・(フランドル伯)
Bérénice Bejo,ベレニス・ベジョ
Charles Baudelaire,シャルル・ボードレール
Gace Brulé,ガス・ブリュレ
Jean Bodel,ジャン・ボデル
Auguste Comte,オーギュスト・コント
Jean Jaurès,ジャン・ジョレス
Paul Doumer,ポール・ドゥメール
Stendhal,スタンダール
Georges Duhamel,ジョルジュ・デュアメル
François Sudre,ジャン・フランソワ・シュドル
François Édouard Picot,フランソワ＝エドゥアール・ピコ
Geoffroi de Villehardouin,ジョフロワ・ド・ヴィルアルドゥアン
Gaëtan Vestris,ガエタノ・ヴェストリス
Félix Tisserand,フェリックス・チスラン
Sylvain Marveaux,シルヴァン・マルヴォー
Arlette Laguiller,アルレット・ラギエ
Olivier Besancenot,オリヴィエ・ブザンスノ
Jacques Chaban-Delmas,ジャック・シャバン＝デルマス
Élisée Reclus,エリゼ・ルクリュ
Robert Esnault-Pelterie,ロベール・エスノー＝ペルトリ
Louis Pasteur,ルイ・パスツール
Henri Matisse,アンリ・マティス
Gustave Eiffel,ギュスターヴ・エッフェル
Émile Zola,エミール・ゾラ
Éric Cayrolle,エリック・カイロール
Marine Le Pen,マリーヌ・ル・ペン
Michel Rocard,ミシェル・ロカール
Henri Farman,アンリ・ファルマン
Raymond Barre,レイモン・バール
Alain Poher,アラン・ポエール
Michel Mercier,ミシェル・メルシエ・(政治家)
René Maurice Fréchet,モーリス・ルネ・フレシェ
Jean-Auguste-Dominique Ingres,ドミニク・アングル
Henry Murger,アンリ・ミュルジェール
Louise Borgia,ルイーザ・ボルジア
Avril Lavigne,アヴリル・ラヴィーン
Urbain II,ウルバヌス2世・(ローマ教皇)
Louis Blériot,ルイ・ブレリオ
Auguste Rodin,オーギュスト・ロダン
Victor Hugo,ヴィクトル・ユーゴー
Hedi Slimane,エディ・スリマン
Édouard Balladur,エドゥアール・バラデュール
Michel Jobert,ミシェル・ジョベール
François Bayrou,フランソワ・バイル
Nicolas Dupont-Aignan,ニコラ・デュポン＝エニャン
Octave Mirbeau,オクターヴ・ミルボー
Jussiê,ジュシエ・フェレイラ・ヴィエイラ
Yoan Gouffran,ヨアン・グフラン
Adèle Haenel,アデル・エネル
Nicolas Maurice-Belay,ニコラ・モーリス＝ブレイ
Florian Marange,フロリアン・マランジュ
Pierre Barouh,ピエール・バルー
Jean Moulin,ジャン・ムーラン
Brigitte Fontaine,ブリジット・フォンテーヌ
Adolphe Thiers,アドルフ・ティエール
Conon de Béthune,コノン・ド・ベテュヌ
Philippe Pétain,フィリップ・ペタン
Héloïse (abbesse),アルジャントゥイユのエロイーズ
André-Marie Ampère,アンドレ＝マリ・アンペール
Mouhamadou Dabo,ムアマドゥ・ダボ
Rémy Vercoutre,レミ・ヴェルクートゥル
Steed Malbranque,スティード・マルブランク
François Asselineau,フランソワ・アスリノ
Jean Gabin,ジャン・ギャバン
Alexandre Lacazette,アレクサンドル・ラカゼット
Jean-Baptiste Deshays de Colleville,ジャン＝バティスト・デエ
David Bellion,ダヴィド・ベリオン
Benoît Trémoulinas,ベノワ・トレムリナス
Grégory Sertic,グレゴリー・セルティッチ
Paul Langevin,ポール・ランジュバン
Landry N'Guemo,ランドリー・エングエモ
Ludovic Sané,リュドヴィク・サネ
Marc Planus,マルク・プラニュス
Paul Verlaine,ポール・ヴェルレーヌ
Stéphane Mallarmé,ステファヌ・マラルメ
Pierre-Joseph Proudhon,ピエール・ジョゼフ・プルードン
Andreï Tarkovski,アンドレイ・タルコフスキー
Laurent Jalabert,ローラン・ジャラベール
Laurent Fignon,ローラン・フィニョン
Grégory Coupet,グレゴリー・クーペ
Jean-Luc Mélenchon,ジャン＝リュック・メランション
Hector Berlioz,エクトル・ベルリオーズ
Jean-Pierre Papin,ジャン＝ピエール・パパン
Samuel Umtiti,サミュエル・ユムティティ
José Bové,ジョゼ・ボヴェ
Jean-Baptiste Say,ジャン＝バティスト・セイ
Frédéric Bastiat,フレデリック・バスティア
Rachi,ラシ・(学者)
M'Baye Niang,エムベイェ・ニアン
Alfred Malherbe,アルフレ・マレルブ
Étienne Léopold Trouvelot,エティエンヌ・レオポール・トルーヴェロ
Henri Saivet,アンリ・セヴェ
Stéphane Audran,ステファーヌ・オードラン
François Quesnay,フランソワ・ケネー
Albert Taillandier,ジョルジュ・テヤンディエ
Pierre Bonnard,ピエール・ボナール
Sophie Germain,ソフィ・ジェルマン
