Paris,パリ
Pays de la Loire,ペイ・ド・ラ・ロワール地域圏
France,フランス
Allemand,ドイツ語
Tours,トゥール・(アンドル＝エ＝ロワール県)
Cimetière du Père-Lachaise,ペール・ラシェーズ墓地
Cognac (Charente),コニャック・(コミューン)
Français,フランス語
Lyon,リヨン
Martinique,マルティニーク
Guadeloupe,グアドループ
ISO 3166-2:FR,ISO・3166-2:FR
Mont Saint-Michel,モン・サン＝ミシェル
Le Mont-Saint-Michel,ル・モン＝サン＝ミシェル
Antilles françaises,フランス領アンティル
Nuku Hiva,ヌク・ヒバ島
Poissy,ポワシー
Rhône-Alpes,ローヌ＝アルプ地域圏
Ussel (Corrèze),ユセル
Cognac (eau-de-vie),コニャック
La Flèche,ラ・フレーシュ
Poitou-Charentes,ポワトゥー＝シャラント地域圏
Languedoc-Roussillon,ラングドック＝ルシヨン地域圏
Tour Eiffel,エッフェル塔
Musée des Beaux-Arts de Lyon,リヨン美術館
Avenue des Champs-Élysées,シャンゼリゼ通り
Concarneau,コンカルノー
Bretagne,ブルターニュ
Quimper,カンペール
Mayotte,マヨット
Dambach,ダンバック
Flandre (Belgique),フランドル
La Réunion,レユニオン
Eckwersheim,エックヴェルスハイム
Villeurbanne,ヴィルールバンヌ
Mont Blanc,モンブラン
Rhin,ライン川
Aéroport de La Réunion-Roland-Garros,ローラン・ギャロス空港
Saint-Mandé,サン＝マンデ
Rhône,ローヌ川
Bernay (Eure),ベルネー
Versailles,ヴェルサイユ
Rennes,レンヌ
Merkwiller-Pechelbronn,メルクヴィレール＝ペシェルブロン
Beaujolais (AOC),ボジョレーワイン
Ostwald,オストヴァルド
Lille,リール・(フランス)
Ariège (rivière),アリエージュ川
Olympique lyonnais,オリンピック・リヨン
Niederbronn-les-Bains,ニーデルブロン＝レ＝バン
Lingolsheim,ランゴルサイム
Saint-Nabor,サン＝ナボール
Lorraine,ロレーヌ地域圏
Prix Femina,フェミナ賞
Stade rennais Football Club,スタッド・レンヌ
Alsace,アルザス地域圏
Football Club Sochaux-Montbéliard,FCソショー＝モンベリアル
Montpellier Hérault Sport Club,モンペリエHSC
LOSC Lille,LOSCリール
Seltz,セルツ・(フランス)
Hunspach,アンスパック
Auvergne,オーヴェルニュ地域圏
Bourgogne (ancienne région administrative),ブルゴーニュ地域圏
Association sportive de Saint-Étienne,ASサンテティエンヌ
Toulouse Football Club,トゥールーズFC
Dieffenthal,ディファンタール
Stiring-Wendel,スティラン＝ヴェンデル
Aquitaine (ancienne région administrative),アキテーヌ地域圏
Musée du Louvre,ルーヴル美術館
Association sportive Nancy-Lorraine,ASナンシー
France Info,フランス・アンフォ
France Culture,フランス・キュルチュール
Limousin (ancienne région administrative),リムーザン地域圏
Mer des Caraïbes,カリブ海
Radio France internationale,ラジオ・フランス・アンテルナショナル
Florac,フロラック
Natzwiller,ナツヴィレール
Grenoble,グルノーブル
Bron,ブロン・(フランス)
Alpes grées,グライエアルプス山脈
Alpes,アルプス山脈
Le Mans,ル・マン
Crécy-en-Ponthieu,クレシー＝アン＝ポンティユー
Bordeaux,ボルドー
Fossé rhénan,ライン地溝帯
Loire,ロワール川
Seine,セーヌ川
Aéroport de Lyon-Saint-Exupéry,リヨン・サン＝テグジュペリ国際空港
Métro de Lyon,メトロ・(リヨン)
Autoroute A6 (France),オートルート・A6
Muttersholtz,ミュッテルソルツ
Musée d'Orsay,オルセー美術館
Elne,エルヌ
Sègre,セグラ川・(エブロ川水系)
Mer du Nord,北海
Moselle (rivière),モーゼル川
Marsannay-la-Côte,マルサネ＝ラ＝コート
Dargnies,ダルニー
Le Crotoy,ル・クロトワ
Basilique Notre-Dame de Fourvière,ノートルダム大聖堂・(フルヴィエール)
Steinseltz,シュタインゼルツ
Saint-Saëns (Seine-Maritime),サン＝サンス
Bérénice (fusée),ベレニス・(ロケット)
Saint-Tropez,サントロペ
Marseille,マルセイユ
Palatin (langue),プファルツ語
Cahors,カオール
Stade de Gerland,スタッド・ジェルラン
Chénas,シェナ
Portrait d'un vieillard et d'un jeune garçon,老人と孫
Eure (rivière),ウール川
Papeete,パペーテ
Grand Liban,大レバノン
Aqueduc du Gier,ジエ水道
Loire-Atlantique,ロワール＝アトランティック県
Gare de Lyon-Perrache,リヨン・ペラーシュ駅
Auray,オーレー
Arzon,アルゾン
Chartres,シャルトル
Cathédrale Notre-Dame de Paris,ノートルダム大聖堂・(パリ)
Fort-Louis,フォール＝ルイ
