François Hollande,フランソワ・オランド
Maryse Bastié,マリーズ・バスティエ
Dudon de Saint-Quentin,サン＝カンタンのデュドン
Albert d'Aix,アーヘンのアルベルト
André le Chapelain,アンドレアス・カペラヌス
Jean-Jacques Kieffer,ジャン＝ジャック・キーファー
Bérénice Marlohe,ベレニス・マーロウ
Bafétimbi Gomis,バフェティンビ・ゴミス
Claude Monet,クロード・モネ
Guibert de Nogent,ノジャンのギベール
Pierre Abélard,ピエール・アベラール
Vilfredo Pareto,ヴィルフレド・パレート
Léon Blum,レオン・ブルム
Yassine Benzia,ヤシン・ベンジア
Sarah Bernhardt,サラ・ベルナール
Luce Irigaray,リュス・イリガライ
Arthur Rimbaud,アルチュール・ランボー
Gautier de Châtillon,フィリップ・ゴーティエ・ド・シャティヨン
Nicolas Sarkozy,ニコラ・サルコジ
Jean-François Champollion,ジャン＝フランソワ・シャンポリオン
Émile Boirac,エミール・ブワラック
Joachim du Bellay,ジョアシャン・デュ・ベレー
Bérénice Bejo,ベレニス・ベジョ
Paul Morand,ポール・モラン
Claude Debussy,クロード・ドビュッシー
Bernard Werber,ベルナール・ヴェルベール
Henry Dunant,アンリ・デュナン
Georges Brassens,ジョルジュ・ブラッサンス
Marcellin Berthelot,マルセラン・ベルテロ
Landry Bonnefoi,ランドリー・ボンヌフォワ
Auguste Comte,オーギュスト・コント
Chrétien de Troyes,クレティアン・ド・トロワ
Aly Cissokho,アリ・シソコ
Edmond Privat,エドモン・プリヴアー
Gui de Dampierre,ギー
Michel Hazanavicius,ミシェル・アザナヴィシウス
Jean Bodel,ジャン・ボデル
Gace Brulé,ガス・ブリュレ
Léon d'Hervey de Saint-Denys,エルヴェイ・ド・サン・ドニ
Le Corbusier,ル・コルビュジエ
Jean-Martin Charcot,ジャン＝マルタン・シャルコー
Yves Mariot,イヴ・マリオット
Maurice de Broglie,モーリス・ド・ブロイ
François de Guise,フランソワ
Jean Jaurès,ジャン・ジョレス
Claude Hagège,クロード・アジェージュ
Jean-Claude Killy,ジャン＝クロード・キリー
Gaëtan Vestris,ガエタノ・ヴェストリス
Sylvain Marveaux,シルヴァン・マルヴォー
Thierry Braillard,ティエリー・ブライヤール
Philippe de Bourgogne,フィリップ・ド・ブルゴーニュ
Sławomir Mrożek,スワボミール・ムロジェック
Alexis Claude Clairaut,アレクシス・クレロー
Rémi Garde,レミ・ガルド
Axelle Lemaire,アクセル・ルメール
Félix Tisserand,フェリックス・チスラン
Léon Serpollet,レオン・セルポレー
Brigitte Fontaine,ブリジット・フォンテーヌ
Hedi Slimane,エディ・スリマン
Adrien Rabiot,アドリアン・ラビオ
Émile Zola,エミール・ゾラ
Louis Pasteur,ルイ・パスツール
Charles Baudelaire,シャルル・ボードレール
Luigi Cherubini,ルイジ・ケルビーニ
Héloïse d'Argenteuil,アルジャントゥイユのエロイーズ
Hugues III d'Oisy,ユーグ3世・ドワジー
Victor Hugo,ヴィクトル・ユーゴー
Alexandre de Chaumont,シュバリエ・ド・ショーモン
Stéphane Mallarmé,ステファヌ・マラルメ
Stendhal,スタンダール
André-Marie Ampère,アンドレ＝マリ・アンペール
Paul Doumer,ポール・ドゥメール
François-Édouard Picot,フランソワ＝エドゥアール・ピコ
François Sudre,ジャン・フランソワ・シュドル
Henri Matisse,アンリ・マティス
Marie de Ventadour,マリー・ド・ヴァンタドゥール
Olivier Besancenot,オリヴィエ・ブザンスノ
Adolphe Thiers,アドルフ・ティエール
Georges Fenech,ジョルジュ・フェネシュ
Eudes de Deuil,ドゥイユのオド
Robert Brasillach,ロベール・ブラジヤック
Geoffroi de Villehardouin,ジョフロワ・ド・ヴィルアルドゥアン
Frédéric Taddeï,フレデリック・タデイ
