Paris,パリ
identifiant Unifrance d'une personne,ユニフランス 人物ID
identifiant EspritBleu,フランス国立オリンピック委員会 アスリートID
identifiant Centre international de poésie Marseille,cipM 詩人ID
identifiant Africultures d'un film,アフリカルチャーズ 映画ID
identifiant Africultures d'une personne,アフリカルチャーズ 人物ID
identifiant Mir@bel d'une revue,Mir@bel 雑誌ID
identifiant Joconde d'une époque,ジョコンデ エポックID
identifiant Evene,イヴェヌ識別子
article dans Vikidia en français,フランス語版ヴィキディア識別子
identifiant Universal Music France d'un artiste,ユニバーサルミュージックフランスアーティストID
identifiant Ligue féminine de handball d'un membre de l'encadrement,女子ハンドボール連盟 スタッフID
identifiant Nominis d'un prénom,ノミニス 個人名ID
identifiant Nominis d'un saint ou d'un bienheureux,ノミニス 聖人ID
identifiant Ligue féminine de handball d'une joueuse,女子ハンドボール連盟 選手ID
identifiant Le Figaro d'un sujet d'actualité,フィガロタグ識別子
allemand,ドイツ語
français,フランス語
identifiant Larousse,ラルース識別子
identifiant HAL d'une revue,HALジャーナルid
identifiant BD Gest' d'un auteur,BD Gest'著者識別子
identifiant Commission paritaire des publications et des agences de presse,CPPAP ID
identifiant Ligue nationale de handball,LNH 選手ID
identifiant PACTOLS,PACTOLSシソーラス識別子
identifiant Gallica,ガリカ識別子
identifiant Fédération française de football,FFF 選手ID
index égalité professionnelle F/H,エガプロ・ジェンダー平等指数
France,フランス
identifiant SNCF de station,フランス国鉄 駅ID
tour Eiffel,エッフェル塔
Flandre,フランドル
identifiant France Culture (OBSOLÈTE),フランス・キュルチュール 人物ID
identifiant Joconde d'une œuvre,Joconde
Collectivité de Corse,コルス地方公共団体
identifiant AlloCiné nom,AlloCiné人物ID
identifiant L'Agence Photo RMN Grand Palais,Agence photo RMN収蔵識別子
identifiant Bibliothèque nationale de France,フランス国立図書館識別子
code NAF rév.2,NAFコード
Avricourt,アヴリクール
Poitou-Charentes,ポワトゥー＝シャラント地域圏
Mayotte,マヨット
code Insee d'une commune,INSEE自治体コード
identifiant Mérimée,メリメ識別子
Concarneau,コンカルノー
Guadeloupe,グアドループ
Pays de la Loire,ペイ・ド・ラ・ロワール地域圏
code métier ROME,ROME職業コード (第3版)
identifiant SUDOC (éditions),SUDOCエディション
code métier IDEO,IDEO職業識別子
Languedoc-Roussillon,ラングドック＝ルシヨン地域圏
cote Léonore,Léonore ID
identifiant Radio France,ラジオ・フランス人物識別子
identifiant Encyclopædia Universalis d'un auteur,アンシクロペジア・ウニヴェルサリス 著者ID
identifiant SensCritique d'une œuvre,SensCritique work ID
NOR,NOR
identifiant Palissy,パリシー識別子
Cruguel,クルゲル
prytanée national militaire,国立軍事幼年学校
Martinique,マルティニーク
identifiant Musée d'Orsay d'un artiste,オルセー美術館 作者識別子
cognac,コニャック
Cognac,コニャック
identifiant Grande Encyclopédie catalane,カタルーニャ大百科事典ID
Ussel,ユセル
aéroport de La Réunion-Roland-Garros,ローラン・ギャロス空港
aéroport de Pierrefonds,ピエールフォン空港
Puigmal,プッチマル
identifiant César,CESAR 人物ID
identifiant AGORHA d'une personne ou d'un organisme,AGORHA 個人/機関ID
identifiant AGORHA d'une œuvre,AGORHA 作品ID
identifiant AGORHA d'un événement,AGORHAイベント識別子
Mijoux,ミジュー
Saint-Mandé,サン＝マンデ
cimetière du Père-Lachaise,ペール・ラシェーズ墓地
Le Ban-Saint-Martin,マルティンバン
numéro SIREN,SIREN番号
identifiant Gran Enciclopèdia Catalana (ancien),カタルーニャ大百科事典ID (旧形式)
identifiant OpenCorporates d'une entreprise,OpenCorporates識別子
Amnéville,アンネヴィル
identifiant IdRef,IdRef識別子
Bernay,ベルネー
La Réunion,レユニオン
identifiant Atlas,Atlas ID
identifiant AlloCiné titre,AlloCiné movie識別子
Villars-les-Dombes,ヴィラール＝レ＝ドンブ
numéro SIRET,SIRET番号
code UAI,UAIコード
Tours,トゥール (アンドル＝エ＝ロワール県)
identifiant Simbad,SIMBAD ID
6e cérémonie des César,第6回セザール賞
Ariège,アリエージュ川
prix Femina,フェミナ賞
identifiant La France savante CTHS,CTHS 人物ID
identifiant TAXREF (INPN),TAXREF ID
Derval,デルヴァル
identifiant de chaîne Dailymotion,デイリーモーション チャンネルID
identifiant Babelio d'un auteur,バベリオ著者ID
identifiant Babelio d'un livre,バベリオ 著作ID
identifiant Fédération française de rugby d'un joueur de rugby à XV,FFR 選手ID
Vaux,ヴォー
muséum de Toulouse,トゥールーズ博物館
Lyon,リヨン
Stade rennais FC,スタッド・レンヌ
Creutzwald,クレウツヴァルド
AS Saint-Étienne,ASサンテティエンヌ
Poissy,ポワシー
Quimper,カンペール
La Flèche,ラ・フレーシュ
musée des Beaux-Arts de Lyon,リヨン美術館
avenue des Champs-Élysées,シャンゼリゼ通り
identifiant Ligue de football professionnel,LFP選手識別子
Bretagne,ブルターニュ半島
Rhône-Alpes,ローヌ＝アルプ地域圏
France Info,フランス・アンフォ
France Inter,国際放送ラジオ
France Culture,フランス・キュルチュール
Lugdunum,ガロ・ロマン文明博物館
identifiant Encyclopædia Universalis d'un article,アンシクロペジア・ウニヴェルサリス識別子
Beaujolais,ボジョレーワイン
identifiant ADAGP,ADAGP 芸術家ID
