Paris,パリ
Marseille,マルセイユ
Lyon,リヨン
Toulouse,トゥールーズ
Strasbourg,ストラスブール
Nice,ニース
Nantes,ナント
Bordeaux,ボルドー
Republic of France,フランス共和国
Montpellier,モンペリエ
Lille,リール
Rouen,ルーアン
Rennes,レンヌ
Orléans,オルレアン
Dijon,ディジョン
Vitry-sur-Seine,ヴィトリー＝シュル＝セーヌ
Villeurbanne,ヴィルールバンヌ
Le Mans,ル・マン
Le Havre,ル・アーヴル
Argenteuil,アルジャントゥイユ
Antibes,アンティーブ
Angers,アンジェ
Amiens,アミアン
Ajaccio,アジャクシオ
Aix-en-Provence,エクス＝アン＝プロヴァンス
La Rochelle,ラ・ロシェル
Clermont-Ferrand,クレルモン＝フェラン
Grenoble,グルノーブル
Issy-les-Moulineaux,イシー＝レ＝ムリノー
Saint-Maur-des-Fossés,サン＝モール＝デ＝フォッセ
Saint-Étienne,サン＝テチエンヌ
Saint-Denis,サン＝ドニ
Rueil-Malmaison,リュエイユ＝マルメゾン
Roubaix,ルーベ
Reims,ランス
Perpignan,ペルピニャン
Pau,ポー
Versailles,ヴェルサイユ
Poitiers,ポワチエ
Tours,トゥール
Tourcoing,トゥールコワン
Toulon,トゥーロン
Niort,ニオール
Nîmes,ニーム
Neuilly-sur-Seine,ヌイイ＝シュル＝セーヌ
Nanterre,ナンテール
Nancy,ナンシー
Mulhouse,ミュルーズ
Blois,ブロワ
Besançon,ブザンソン
Metz,メス
Limoges,リモージュ
Levallois-Perret,ルヴァロワ＝ペレ
Créteil,クレテイユ
Courbevoie,クールブヴォア
Colombes,コロンブ
Brest,ブレスト
Boulogne-Billancourt,ブローニュ＝ビヤンクール
Champigny-sur-Marne,シャンピニー＝シュル＝マルヌ
Cannes,カンヌ
Caen,カーン
Avignon,アヴィニョン
Aulnay-sous-Bois,オルネー＝スー＝ボワ
Port-aux-Français,ポルトーフランセ
Marigot,マリゴ
Gustavia,グスタビア
Wattrelos,ワットルロー
Voiron,ヴォワロン
Vitré,ヴィトレ
Viry-Châtillon,ヴィリー＝シャティヨン
Vincennes,ヴァンセンヌ
Villiers-sur-Marne,ヴィリエ＝シュル＝マルヌ
Villeneuve-sur-Lot,ヴィルヌーヴ＝シュル＝ロット
Villeneuve-Saint-Georges,ヴィルヌーヴ＝サン＝ジョルジュ
Villeneuve-la-Garenne,ヴィルヌーヴ＝ラ＝ガレンヌ
Villejuif,ヴィルジュイフ
Villefranche-sur-Saône,ヴィルフランシュ＝シュル＝ソーヌ
Les Mureaux,レ・ミュロー
Le Puy-en-Velay,ル・ピュイ＝アン＝ヴレ
Le Plessis-Robinson,ル・プレシ＝ロバンソン
Le Petit-Quevilly,ル・プティ＝ケヴィイー
Le Perreux-sur-Marne,ル・ペルー＝シュル＝マルヌ
Lens,ランス
Le Kremlin-Bicêtre,ル・クレムラン＝ビセートル
Le Grand-Quevilly,ル・グラン＝ケヴィイー
Le Creusot,ル・クルーゾ
Le Chesnay,ル・シェネ
Le Cannet,ル・カネ
Le Blanc-Mesnil,ル・ブラン＝メニル
La Valette-du-Var,ラ・ヴァレット＝デュ＝ヴァール
Arras,アラス
Armentières,アルマンティエール
Arles,アルル
Arcueil,アルクイユ
