Lionel Messi,リオネル・メッシ
Federica Brignone,フェデリカ・ブリニョーネ
Ilan Araújo Dall'Igna,イラン・アラウージョ・ダッリーニャ
Emiliano Sala,エミリアーノ・サラ
Massimo Troisi,マッシモ・トロイージ
Ettore Scola,エットーレ・スコラ
Lina Wertmüller,リナ・ヴェルトミューラー
Carlo Verdone,カルロ・ヴェルドーネ
Francesco Maselli,フランチェスコ・マゼッリ
Luigi Magni,ルイジ・マーニ
Antonio Candreva,アントニオ・カンドレーヴァ
Gennaro Gattuso,ジェンナーロ・ガットゥーゾ
Ugo Pirro,ウーゴ・ピッロ
Monica Bellucci,モニカ・ベルッチ
Federico Marchetti,フェデリコ・マルケッティ
Davide Simoncelli,ダヴィデ・シモンチェリ
Michelangelo Antonioni,ミケランジェロ・アントニオーニ
Bruno Pupparo,ブルーノ・プッパロ
Walter Bonatti,ヴァルテル・ボナッティ
Sergio Corbucci,セルジオ・コルブッチ
Damiano Damiani,ダミアーノ・ダミアーニ
Pupi Avati,プピ・アヴァティ
Paola Ruffo di Calabria,パオラ・ルッフォ・ディ・カラブリア
Renato Dirnei Florêncio,レナト・ヂルネイ・フロレンシオ
Umberto Smaila,ウンベルト・スマイラ
Camila Giorgi,カミラ・ジョルジ
Francesco Cossiga,フランチェスコ・コッシガ
Lory Del Santo,ロリー・デル・サント
Dario Fo,ダリオ・フォ
Corrado Pardini,コッラード・パルディーニ
Emanuele Crialese,エマヌエーレ・クリアレーゼ
Sandro Pertini,アレッサンドロ・ペルティーニ
Giorgio Chiellini,ジョルジョ・キエッリーニ
Cédric Wermuth,セドリック・ウェルムート
Aldo Fabrizi,アルド・ファブリツィ
Vittorio Gassman,ヴィットリオ・ガスマン
Diego Abatantuono,ディエゴ・アバタントゥオーノ
Noemi,ノエミ
Valentina Cervi,ヴァレンティナ・チェルヴィ
Carlo Azeglio Ciampi,カルロ・アツェリオ・チャンピ
Biagio Conte,ビアージョ・コンテ
Nino Manfredi,ニーノ・マンフレディ
Mario Mattoli,マリオ・マットーリ
Giorgio Napolitano,ジョルジョ・ナポリターノ
Alessandro Matri,アレッサンドロ・マトリ
Alessandro Del Piero,アレッサンドロ・デル・ピエロ
Robert De Niro,ロバート・デ・ニーロ
Luca Spinelli,ルカ・スピネッリ
Guido Calabresi,グイド・カラブレイジ
Angelo Di Livio,アンジェロ・ディ・リービオ
Franco Zeffirelli,フランコ・ゼフィレッリ
Valerio Zurlini,ヴァレリオ・ズルリーニ
Augusto De Luca,アウグスト・デ・ルカ
Giovanni Pastrone,ジョヴァンニ・パストローネ
Sandro Lopopolo,サンドロ・ロポポロ
Andrea Chiesa,アンドレア・キエーザ
