Tokyo,東京
Sapporo,札幌市
Nagoya,名古屋
Yokohama,横浜市
Osaka,大阪市
Honshū Island,本州
Kyūshū Chihō,キュウシュウチホウ
Kyushu,九州
Kyoto,京都市
Kobe,神戸市
Kanto region,関東地方
Japan,日本
Fukuoka,福岡市
Chūbu-chihō,中部地方
Shikoku,四国
Kinki Chihō,近畿地方
Kawasaki,川崎
Saitama,さいたま
Hokkaido,北海道
Hokkaido,北海道
Tōhoku Chihō,東北地方
Sendai,仙台
Chiba,千葉市
Matsuyama,松山市
Niigata,にいがたし
Takamatsu,たかまつし
Shizuoka,静岡市
Shikoku Chihō,四国地方
Hiroshima,ひろしまし
Chūgoku Chihō,中国地方
Eastern Asia,東アジア
Hokkaido,北海道
Hakodate,函館
Aomori,青森市
Yamagata,山形
Morioka,盛岡市
Mito,ミト
Fukushima,フクシマシ
Akita,秋田市
Wakayama,わかやまし
Anjō,安城
Nara-shi,奈良
Naha,那覇
Nagasaki,長崎市
Nagano,ながの
Miyazaki,宮崎
Matsue,まつえし
Maebashi,前橋市
Kumamoto,熊本
Yamaguchi,やまぐち
Utsunomiya,宇都宮
Tsu,津
Toyama,トヤマ
Tottori,鳥取
Tokyo Prefecture,東京都
Tokushima,徳島市
Saga,佐賀
Ōtsu,大津市
Okinawa,沖縄県
Okinawa,沖縄島
Okayama,おかやまし
Ōita,大分市
Kōfu,こうふし
Kochi,こうちし
Kitakyushu,北九州
Kawaguchi,川口
Kanazawa,カナザワ
Kagoshima,かごしまし
Hamamatsu,浜松
Gifu-shi,岐阜
Honchō,本町
Fujiyama,富士山
Kushiro,釧路
Kitami,北見市
Hirosaki,弘前市
Asahikawa,旭川
Ogasawara Shichō,小笠原支庁
Narita,成田
Kōriyama,郡山
Iwaki,いわき市
Ishinomaki,石巻市
Ichinoseki,一関
Ichihara,原
Hitachi,日立
Abiko,我孫子市
Otaru,小樽
Beppu,別府
Ashikaga,足利市
Niihama,新居浜市
Niigata-ken,新潟県
Nagasaki Prefecture,長崎県
Nagareyama,流山
Nagaoka,長岡
Musashino,武蔵野市
Moriguchi,守口市
Miyakonojō,都城
Mishima,三島市
Matsumoto,松本
Matsudo,松戸市
Machida,町田
Kurume,久留米
Kure,呉市
Kurashiki,倉敷市
Kumagaya,熊谷
Atsugi,厚木市
Akashi,明石
Zama,座間
Yonago,米子
Yokosuka,横須賀市
Yokkaichi,四日
Yaizu,焼津
Urayasu,浦安市
Uji,宇治市
Ueda,上田市
Ube,宇部
Tsuyama,津山
Toyota,豊田市
Toyohashi,豊橋市
Tokorozawa,所沢
Tochigi,栃木
Takasaki,高崎市
Takarazuka,宝塚市
Takaoka,高岡
Suzuka,鈴鹿
Suita,吹田市
Shimonoseki,下関市
Seto,瀬戸市
Satsumasendai,川内市
Sasebo,佐世保
Sakai,堺
Ōmuta,大牟田市
Ōme,青梅
Okazaki,岡崎市
Odawara,小田原
Numazu,沼津市
Nobeoka,延岡
Nishio,西尾
Nishinomiya-hama,西宮浜
Koshigaya,越谷
Komaki,小牧市
Koga,古河市
Kisarazu,木更津市
Kiryū,桐生市
Kazo,加須
Kawanishi,川西
Kawagoe,川越
Kasukabe,春日部市
Kasugai,春日井
Kashiwa,柏市
Kariya,刈谷市
Karatsu,唐津市
Kamakura,鎌倉
Kakegawa,掛川
Kagoshima-ken,鹿児島県
Iwakuni,岩国市
Itami,伊丹
Isesaki,伊勢崎市
Ise,伊勢市
Isahaya,諫早
Inazawa,稲沢市
Iida,飯田市
Ichinomiya,一宮
Ibaraki,茨木
Hiratsuka,平塚市
Himeji,姫路
Hatsukaichi,廿日
Handa,半田
Hadano,秦野市
Hachiōji,八王子
Fukuyama,福山
Fukui-shi,福井市
Fukuchiyama,福知山市
Fujisawa,藤沢
Fujinomiya,富士宮市
Fuji,富士
Chigasaki,茅ケ崎
Asaka,朝霞市
Shimotoda,下戸田
Okinawa,沖縄
Nasushiobara,那須塩原市
Jōetsu,上越市
Habikino,羽曳野
Narita International Airport,成田国際空港
Kansai International Airport,関西国際空港
Nakano,なかの
Kuroishi,黒石
Iwamizawa,イワミザワ
Kitahiroshima,北広島
Ebetsu,江別
Chitose,千歳市
Aomori-ken,青森県
Goshogawara,五所川原
Yonezawa,米沢
Yamagata-ken,山形県
Toride,取手市
Sakura,佐倉
Ryūgasaki,龍ケ崎
Ōtawara,大田原
Mooka,真岡市
Mobara,茂原市
Miyako,宮古
Miyagi-ken,宮城県
Kitakami,北上市
Iwate,岩手県
Ibaraki,茨城県
Hanamaki,花巻市
Fukushima-ken,福島県
Chiba-ken,千葉県
Akita,秋田県
Wakkanai,稚内市
Tomakomai,苫小牧
Mutsu,むつ
Ōdate,おおだて
Obihiro,帯広
Noshiro,能代町
Nemuro,根室
Muroran,室蘭市
Uwajima,宇和島
Saijō,西条
Azumaya San,四阿山
Ashiya,芦屋
Annaka,安中市
Amagasaki,尼崎市
Aichi-ken,愛知県
Ageoshimo,上尾市
Niitsu-honchō,新津市
Nichinan,日南
Nara-ken,奈良県
Nakatsugawa,中津川市
Nakatsu,中津市
Nago,名護市
Nagano-ken,長野県
Nabari,名張市
Murakami,村上市
Miyoshi,三次
Miyazaki,宮崎県
Mino,箕面市
Minamirinkan,南林間
Miki,三木市
Mihara,三原市
Mie-ken,三重県
Marugame,丸亀
Maizuru,舞鶴市
Kyoto Prefecture,京都府
Kusatsu,草津
Kumamoto,熊本県
Shingū,新宮
Yukuhashi,行橋
Yūki,結城
Yono,中央区
Honmachi,八代市
Yao,八尾
Yamanashi,山梨県
Yamaguchi,山口県
Wakayama,和歌山県
Usuki,臼杵
Tsuruoka,鶴岡
Tsuruga,敦賀市
Tsubame,燕市
Toyooka,豊岡市
Toyokawa,豊川
Toyama-ken,富山県
Tottori,鳥取県
Tosu,鳥栖
Tondabayashichō,富田林市
Tokushima-ken,徳島県
Tochigi,栃木県
Tatebayashi,館林
Nishi-Tokyo-shi,西東京市
Tanabe,田辺
Tamano,玉野
Takefu,武生市
Takayama,飛騨の高山
Takatsuki,高槻市
Tajimi,多治見
Tagawa,田川市
Sōka,草加
Shizuoka,静岡県
Shiojiri,塩尻
Minato,湊
Shimane-ken,島根県
Shimajiri-gun,しまじりぐん
Shimada,島田
Shiki,志木市
Shiga,滋賀県
Shibukawa,渋川市
Shibata,新発田市
Sano,佐野
Sanjō,三条市
Sandachō,三田町
Saku,佐久
Sakata,酒田市
Sakado,坂戸
Saitama-ken,埼玉県
Saga-ken,佐賀県
Oyama,小山
Ōta,太田
Ōsaka-fu,大阪府
Onomichi,尾道市
Ōmura,大村市
Okegawa,桶川市
Okayama-ken,岡山県
Oita Prefecture,大分県
Ōgaki,大垣
Ōbu,大府
Noda,野田市
Komatsu,小松
Kokubunji,国分寺
Kochi Prefecture,高知県
Kita-dake,北岳
Kishiwada,岸和田市
Kashiwazaki,柏崎市
Kanuma,鹿沼
Kanoya,鹿屋
Kanagawa,神奈川県
Kamirenjaku,上連雀
Kameoka,亀岡
Kakogawachō-honmachi,加古川町本町
Kakamigahara,各務原
Kagawa-ken,香川県
Kadoma,門真
Izumo,出雲
Iwatsuki,岩槻
Iwata,磐田
Itō,伊東市
Ishikawa-ken,石川県
Ishigaki,石垣
Inuyama,犬山
Ina,伊那市
Ikoma,生駒
Iizuka,飯塚
Hyōgo,兵庫県
Honjō,本庄
Hita,日田市
Hiroshima-ken,広島県
Hirakata,枚方市
Hino,日野市
Hikone,彦根市
Higashi-ōsaka,東大阪
Hekinan,碧南
Hashimoto,橋本市
Hanyū,羽生市
Hannō,飯能
Hamakita,浜北市
Ōmihachiman,近江八幡
Gyōda,行田市
Gunma-ken,群馬県
Ginowan,宜野湾市
Gifu,岐阜県
Gamagōri,蒲郡市
Fukuroi,袋井
Fukuoka Prefecture,福岡県
Fukui,福井県
Fukayachō,深谷町
Fujioka,藤岡
Fujieda,藤枝
Ehime,愛媛県
Chiryū,知立市
Chino,茅野
Chikushino-shi,筑紫野市
Chichibu,秩父
Sayama,狭山
Fussa,福生市
Kimitsu,君津市
Mt. Fuji Shizuoka Airport,静岡空港
Hitachi-Naka,ひたちなか市
Chikusei,筑西市
Kōka,甲賀
Ebina,海老名
