이한영,李韓永
최덕신,崔徳新
조영남,趙英男
김명순 (1896년),金明淳
백남순 (1929년),白南淳
김광협,金光侠
박성철,朴成哲
김정일,金正日
제임스 드레스녹,ジェームズ・ドレスノク
김한솔 (김정남의 아들),金漢率
박승진 (1941년),朴承振
장성택,張成沢
리승기,李升基
박봉주 (1939년),朴奉珠
홍용호,洪龍浩
김책,金策
김영일 (1944년),金英逸
허가이,許哥誼
정대세,鄭大世
김사량,金史良
김보현 (1871년),金輔鉉
박금철,朴金喆
김창만,金昌満
문예봉,文藝峰
김영숙 (피겨스케이팅 선수),キム・ヨンスク
김영남 (1928년),金永南
김정숙 (1930년),金貞淑
오진우,呉振宇
최명호,崔敏鎬
박영순 (탁구 선수),パク・ヨンスン
조명록,趙明禄
강건,姜健
려춘석,呂春錫
배달준,裵達俊
지윤남,志尹南
안금애,安琴愛
김영대 (정치인),金英大
김국태 (정치인),金国泰
김여정,金与正
박정애,朴正愛
정성옥,鄭成玉
리금숙,李今淑
김경희 (김일성의 딸),金敬姫
고용희,高容姫
김국진 (축구 선수),金功榛
리철명,李哲敏
박경삼 (정치인),朴京三
강영섭,康永燮
안일범,安日范
한광복,韓光福
리세광,李世光
리미경,リ・ミギョン
림정심,リム・ジョンシム
리명순,リ・ミョンスン
리제강,李済剛
최영림 (1930년),崔永林
홍영조,洪映早
김정남 (김정일의 아들),金正男
김일진 (지휘자),キム・イルジン
박헌영,朴憲永
리명국,李明国
차정혁,車正赫
홍성남,洪成南
최홍희,崔泓熙
김두봉,金枓奉
백남운,白南雲
이열리,李冽理
신광수 (1929년),辛光洙
박열,朴烈
김신조,金新朝
김동인,金東仁
리승엽,李承燁・(政治家)
홍명희,洪命熹
원정화,元正花
허헌,許憲
김내성,金来成
주상성,朱霜成
김성애,金聖愛
백학림,白鶴林
현영철,玄永哲
김계관,金桂冠
김양건,金養建
장웅 (스포츠인),張雄
김병률,金炳律
김원홍,金元弘
한덕수 (1907년),韓徳銖
리병철 (정치인),李炳鉄
박도춘,朴道春
김천해,金天海
변영립,辺永立
정명도 (군인),鄭明道
김격식,金格植
장성우 (1933년),張成禹
김영춘 (군인),金永春
김일성,金日成
김정은,金正恩
김원봉,金元鳳
최창익,崔昌益
노금석,盧今錫
신동혁 (1982년),申東赫
우동측,禹東測
박의춘,朴宜春
리병삼,李炳三
최부일,崔富日
주규창,朱奎昌
김용익 (유도 선수),キム・ヨンイク
김봉철,金奉哲
정호균,鄭鎬均
박정순 (정치인),朴正順
리용철 (1928년),李勇哲
김락겸,金洛兼
래리 앨런 앱셔,ラリー・アブシャー
박재경,朴在慶
김용범 (공산주의자),金鎔範
리성철,リ・ソンチョル
계순희,ケー・スンヒ
김영재 (1952년),金英才
신선호,辛善虎
김창섭,金昌燮
강기섭,康技燮
계영삼,桂永三
김명식 (정치인),金明植・(軍人)
김동일 (정치인),金東日・(政治家)
김창룡 (정치인),金滄龍
고명희,高明姫
강민철 (정치인),姜民哲
김병호 (조선민주주의인민공화국의 정치인),金炳鎬
계응상,桂応祥
김인식 (조선민주주의인민공화국의 정치인),金仁植
김성덕,金成徳
김송철,金松哲
김병훈 (1929년),金炳勲
김평해,金平海
강형봉,姜亨奉
전하철,全河哲
김히택,金熙澤
강양모,姜陽貌
김약수,金若水
김국훈,金国薫
김용무,金用茂
노광철,努光鉄
리명길,李明吉
류현식,柳玄植
리국준,李国俊
리용철 (정치인),李庸澈
리두균,李斗均
김희영 (정치인),金煕栄
리만건,李万建
리용호 (정치인),李容浩
리무영,李武栄
김형식 (조선민주주의인민공화국의 정치인),金亨植
리봉죽,李鳳竹
로배권,盧培権
동정호 (정치인),董正浩
김춘삼 (군인),金春三
김태봉 (정치인),金泰峰
김철 (1951년),金哲・(北朝鮮の政治家)
리영길,李永吉
리경식,李景植
로성실,盧成実
안철혁,安哲赫
문인국,文人国
김명원 (축구 선수),金明元
박남철 (1985년),朴南哲・(1985年生のサッカー選手)
박태원 (정치인),朴泰遠・(政治家)
리종산,李鐘山
백룡천,白龍天
박명철 (1941년),朴明哲
방학세,方学世
리형근,李兄根
리홍섭,李弘燮
성자립,成自立
박수길 (1948년),朴壽吉
박태덕,朴太徳
박명순,朴明順
리제선,李済善
리창한,李昌漢
박윤원,朴允源
최광 (1918년),崔光
김영준 (축구인),金永峻
리명훈,李明勲
최용건,崔庸健
김정철 (1981년),金正哲
류미영,柳美英
김철만,金鉄万
황병서,黄炳瑞
최현 (1907년),崔賢
최상려,崔相麗
채희정,蔡喜正
김영철 (1946년),金英哲
최희정 (정치인),崔希貞
오백룡,呉白龍
김윤심,金潤心
리재일,李載佾
홍인범,洪仁範
최경성,崔慶星
리하일,李河一
현송월,玄松月
전승훈 (1951년),全承勲
황성수 (축구 선수),黄誠秀
김원균,金元均
김영일 (1947년),金永日
리인모,李仁模
로두철,盧斗哲
박창옥,朴昌玉
김봉한,金鳳漢
류영섭,柳英燮
김락희,金洛姫
리태남,李泰男
윤정린,尹正麟
김억,金億
최인덕,崔仁徳
리명수 (정치인),李明秀
리수용,李洙墉
김정균 (지휘자),金貞均
김정임 (정치인),金正任
림경만,林景万
량만길,梁万吉
태종수,太宗秀
강능수,姜能洙
김명국 (군인),金明国
김기룡 (1940년),金基龍
태병렬,太炳烈
리영수 (정치인),李英秀
김경옥 (정치인),金慶玉
주도일,朱道日
이기영 (소설가),李箕永
성혜림,成蕙琳
리근모,李根模
한설야,韓雪野
조만식,曺晩植
연형묵,延亨黙
김옥,金玉・(秘書)
강석주 (1939년),姜錫柱
서만술,徐萬述
박철민 (유도 선수),朴哲民
김설송,金雪松
박남기,朴南基
리을설,李乙雪
박길연,朴吉淵
리용무,李勇武
현철해,玄哲海
박광룡,朴光龍
김정각,金正覚
찰스 로버트 젱킨스,チャールズ・ジェンキンス
박창호 (조선로동당의 정치인),朴昌虎
김철삼,金賛三
림광일,林光日
김명길 (조선민주주의인민공화국의 법조인),金明吉・(政治家)
김영남 (납북자),金英男
신영철 (정치인),申英哲
조연준,超延俊
허철만,許哲万
리태일,李泰日
박진홍,朴鎮洪
최휘,崔輝
최상건,崔相建
려원구,呂鴛九
이문원 (1906년),李文源
전희정,全熙正
박승원 (1946년),朴勝元
김용진 (1953년),金勇進
리룡남,李龍男
홍승무,洪承武
홍서헌,洪瑞憲
정창렬,鄭昌烈
주영식,朱永植
리용환,李勇煥
태형철,太炯哲
김충걸,金忠傑
김영일 (1955년),金英一
김형룡,金炯龍
정영수 (정치인),鄭永洙
김영호 (1952년),金永浩
김창수 (정치인),金昌壽
조춘룡,趙春竜
강하국,姜河国
문명학,文明学
박정천,朴正天
장승길 (외교관),張承吉
전길수,全吉寿
홍선옥,洪仙玉
전용남,全勇男
강종관,姜宗官
박철진 (축구 선수),朴哲鎮
김정숙 (1917년 12월),金正淑・(北朝鮮)
박두익,朴斗翼
리춘히,リ・チュニ
백석,白石・(詩人)
허담 (조선민주주의인민공화국),許錟
홍석형,洪錫亨
김기남 (정치인),金己男
김현희,金賢姫
남일,南日
최철수,崔鉄洙
백세봉,白世鳳
김용순 (1934년),金容淳
정철민,鄭哲民
리경숙,李京淑
김달현 (1941년),金達玄
문응조,文応朝
심철호,沈哲浩
강표영,姜杓永
강동윤 (정치인),姜東潤・(軍人)
강태무,姜太武
강관일,姜寛一
리권무,李権武
김웅 (1912년),金雄
김상덕 (1891년),金尚徳
오상원,呉尚原
전재선,全在善
자성남,慈成男
리용주,李用柱
로경준,盧京俊
심상진,沈相進
양성태,楊成太
김영주 (1920년),金英柱
박태원 (1909년),朴泰遠
계응태,桂応泰
윤공흠,尹公欽
명례현,ミョン・レヒョン
김창봉 (군인),金昌奉
서휘 (정치인),徐輝
허종만,許宗萬
안명진,安明進
윤명찬,尹明燦
곽범기,郭範基
리분희,李芬姫
강성산,姜成山
강철환,姜哲煥
최태복,崔泰福
리광일,李光一
리영호 (군인),李英浩
김무정,武亭
홍창수,徳山昌守
김일철 (1930년),金鎰喆
오극렬,呉克烈
리설주,李雪主
김철 (차관),金哲・(軍人)
원옥임,元玉任
김평일,金平一
전병호 (정치인),全秉浩
최룡해,崔竜海
양형섭,楊亨燮
김영숙 (1947년),金英淑
황장엽,黄長燁
리종옥,李鐘玉
김일 (1910년),金一・(政治家)
허정숙,許貞淑
오수용,呉秀容
라동희,羅東熙
정명학,鄭明鶴
박세영 (1902년),朴世永
이상조 (1915년),李相朝
문경덕,文景徳
리효순,李孝淳
오일정,呉日晶
안재홍,安在鴻
장병규 (정치인),張炳奎
임춘추,林春秋
김혁봉,キム・ヒョクボン
변인선,辺仁善
방호산,方虎山
조병주,趙炳柱
정수일,鄭守一
오춘복,呉春福
강철구 (정치인),姜哲九
허봉학,許鳳学
렴철수,廉哲粹
리철진,李哲進
허문영 (지휘자),ホ・ムンヨン
리승호,李承鎬・(政治家)
리강선,李降仙
김선영 (1914년),金鮮英
장금철,張金哲
윤강호,尹江浩
장기호 (정치인),張基浩
양승호 (정치인),楊勝虎
김철수 (조선민주주의인민공화국의 정치인),金哲洙・(政治家)
김수길 (정치인),金秀吉・(軍人)
최선희,崔善姫
임철웅,任哲雄
서홍찬,徐洪燦
김능오,金能五
김혁철,金革哲
우인희,禹仁姫
최원 (군인),崔遠
한광성,韓光成
김유성 (1995년),金有成
태영호,太永浩
렴대옥,リョム・テオク
김덕훈,金徳訓
김덕홍 (1938년),金徳弘
김송이 (탁구 선수),キム・ソンイ
주철규,朱哲奎
우상철,禹相哲
조규선 (교육인),曹奎聖
김정주 (2010년),金領主
안길,安吉
장철 (1955년),張徹・(政治家)
이찬 (시인),李燦・(詩人)
오철산,呉鉄山
안정수,安正秀
이웅평,李雄平
안동춘,安東春
신석구,申錫九
전창복,全昌復
이학구,李学九
리태섭,李泰燮
백계룡,白桂龍
오금철,呉琴鉄
윤혜영 (가수),尹恵英
윤동현,尹東鉉
양동훈,楊東勲
유영준 (1892년),劉英俊
최기룡,崔基龍
최창식 (1940년),崔昌植・(政治家)
최영덕 (조선민주주의인민공화국의 정치인),崔英徳
한창순,韓蒼純
황순희,黄順姫
지재룡,池在龍
권영진 (조선민주주의인민공화국의 정치인),権英進
