반기문,潘基文
이민기,イ・ミンギ
정용화,ジョン・ヨンファ
유명우,柳明佑
정명훈,チョン・ミョンフン
허영생,ホ・ヨンセン
이철하,イ・チョルハ
김연아,キム・ヨナ
이정희 (1969년),李正姫
김주성 (1966년),金鋳城
차두리,車ドゥリ
정대세,鄭大世
Tiv,Tiv
이영표,李榮杓
이명박,李明博
윤하,ユンナ
현아,キム・ヒョナ
오은선,呉銀善
조수미,スミ・ジョー
최은희 (배우),崔銀姫
강수연,カン・スヨン
김재범,金宰範
최성국 (축구 선수),崔成國
최문식,崔文植
조병국,曺秉局
안철수,安哲秀
박영린,パク・ヨンリン
케이윌,K.Will
김근환,金根煥
전일수,全一洙
손태진,孫泰珍
안병기,アン・ビョンギ
서영희 (배우),ソ・ヨンヒ
이호 (1984년),李浩
이병철,李秉喆
진이한,チン・イハン
노홍철,ノ・ホンチョル
김호곤,金鎬坤
이하이,イ・ハイ
조선진,趙善津
이승만,李承晩
정소민,チョン・ソミン・(1989年生の女優)
지용주,池竜珠
정우영 (1989년),鄭又榮
김경아 (탁구 선수),金暻娥
박민영,パク・ミニョン
김종필,金鍾泌
김옥빈,キム・オクビン
장상,張裳
세븐 (가수),SE7EN
정성룡,鄭成龍
김정우 (축구인),金正友
문대성,文大成
노무현,盧武鉉
박정희,朴正煕
김영삼,金泳三
백남준,ナム・ジュン・パイク
허재,許載
오재석,呉宰碩
김윤진,キム・ユンジン
최진실,チェ・ジンシル
보아,BoA
이효리,イ・ヒョリ
태연,テヨン
기성용,奇誠庸
전두환,全斗煥
황순원,黄順元
아이유,IU・(歌手)
이형택,李亨澤
최규하,崔圭夏
홍명보,洪明甫
제시카 (1989년),ジェシカ・(少女時代)
박찬욱,パク・チャヌク
이운재,李雲在
비 (가수),ピ・(歌手)
이천수,李天秀
박태환,朴泰桓
손열음,ソン・ヨルム
김아중,キム・アジュン
길영아,吉永雅
고종수,高宗秀
윤정환,尹晶煥
고정운,高正云
김도근,金都根
이우진 (축구 선수),李玗晋
최태욱,崔兌旭
오장은,呉章銀
양요섭,ヤン・ヨソプ
수영 (1990년),スヨン・(少女時代)
제나 우슈코비츠,ジェナ・アウシュコウィッツ
김수환,金寿煥
써니 (1989년),サニー・(少女時代)
싸이,PSY
유나 리,ユナ・リー
안정환,安貞桓
조경란 (소설가),趙京蘭
신은경 (배우),シン・ウンギョン
안효연,安孝錬
박동혁 (축구인),朴東赫
최대식,崔大植
박원재,朴原載
문재인,文在寅
박강조,朴康造
박원순,朴元淳
장현수,張賢秀
허각,ホ・ガク
신격호,重光武雄
김진현 (1987년 7월 6일),金鎮鉉
조영철 (1989년),曺永哲
김영권,金英權
티파니 영,ティファニー・(少女時代)
진선유,陳善有
김재중,ジェジュン
신숙자,申淑子
이해찬,李海瓚
손흥민,孫興ミン
오정희 (소설가),呉貞姫
염기훈,廉基勳
유미리,柳美里
나아름,羅アルム
유남규,劉南奎
한명숙,韓明淑
구혜선,ク・ヘソン
이영애,イ・ヨンエ
서현 (1991년),ソヒョン
이창동,イ・チャンドン
노태우,盧泰愚
류승완,リュ・スンワン
임수경,林秀卿
문소리,ムン・ソリ
배용준,ペ・ヨンジュン
정운찬,鄭雲燦
정일권,丁一権
장선재,張仙載
이동국,李同国
차범근,車範根
유승민 (탁구 선수),柳承敏
정진석 (추기경),鄭鎮奭
허정무,許丁茂
진희경,チン・ヒギョン
구자철,具滋哲
김도균 (축구인),金徒均
김승용,金承龍
정동호 (축구 선수),丁東浩
김은중,金殷中
장하준,ハジュン・チャン
장근석,チャン・グンソク
박경리,朴景利
최요삼,崔堯森
이청준,李清俊
하지원,ハ・ジウォン
김대중,金大中
김지하,金芝河
김병석,金秉析
박주성 (축구인),朴柱成
이승훈 (스피드스케이팅 선수),李承勲
한동원,韓東元
허경영,許京寧
효연,ヒョヨン
장면,張勉
강대원,ダウォン・カーン
이승렬 (1989년),李昇烈
송종국,宋鐘國
김형일 (축구 선수),金亨鎰
유연성,柳延星
김재성 (축구 선수),金在成
이광선 (축구 선수),李光善
이상화 (스피드스케이팅 선수),李相花
전이경,全利卿
