조선민주주의인민공화국,朝鮮民主主義人民共和国
태풍 볼라벤 (2012년),平成24年台風第15号
조선왕조실록,朝鮮王朝実録
천리마 운동,千里馬運動
과일군,クァイル郡
삼천군,三泉郡
봉천군,峰泉郡
갑산군,甲山郡
신원군,新院郡
명간군,明澗郡
은천군,銀泉郡
삭주군,朔州郡
흥남구역,興南区域
강동군,江東郡
조선민주주의인민공화국의 국가,愛国歌・(朝鮮民主主義人民共和国)
천리마구역,千里馬区域
광명망,光明ネットワーク
운전군,雲田郡
향산군,香山郡
신의주청년역,新義州青年駅
청단군,青丹郡
백두산청년선,白頭山青年線
서평양역,西平壌駅
봉산군,鳳山郡
태탄군,苔灘郡
송림시,松林市
사리원시,沙里院市
한국의 역법,朝鮮の暦
국규 9566,KPS・9566
김정일 장군의 노래,金正日将軍の歌
평양 지하철도 혁신선,平壌地下鉄革新線
연산군 (황해북도),延山郡
룡천 열차 폭발 사고,龍川駅列車爆発事故
동아시아,東アジア
대동강,大同江
한반도 비무장 지대,軍事境界線・(朝鮮半島)
장강군,長江郡
황금평,黄金坪
홍원군,洪原郡
조선민주주의인민공화국의 인권,北朝鮮人権問題
전천군,前川郡
화대군,花台郡
러시아-조선민주주의인민공화국 국경,露朝国境
황해남도,黄海南道
위화도,威化島
조선중앙통신사,朝鮮中央通信
덕천시,徳川市
북청군,北青郡
박 (성씨),朴・(姓)
평원군 (평안남도),平原郡・(平安南道)
문화어,文化語・(朝鮮語)
프렌드십 게임,フレンドシップ・ゲームズ
경의선,京義線
조선민주주의인민공화국 축구 국가대표팀,サッカー朝鮮民主主義人民共和国代表
고려항공,高麗航空
경흥군,慶興郡
조선인민군,朝鮮人民軍
평양시,平壌市
자강도,慈江道
조선민주주의인민공화국의 선거,朝鮮民主主義人民共和国における選挙
조선민주주의인민공화국의 로력영웅,朝鮮民主主義人民共和国労力英雄
신포시,新浦市
창바이산맥,長白山脈
단천시,端川市
우리민족끼리,わが民族同士
동창군,東倉郡
리명수체육단,鯉明水体育団
천마군,天摩郡
수동군,水洞郡
황주군,黄州郡
련광정,練光亭
백두대간,白頭大幹
1964년 동계 올림픽 조선민주주의인민공화국 선수단,1964年インスブルックオリンピックの北朝鮮選手団
평성시,平城市
북창 정치범수용소,北倉強制収容所
해주시,海州市
신의주특별행정구,新義州特別行政区
요덕군,耀徳郡
고원역,高原駅・(咸鏡南道)
최고인민회의,最高人民会議
천지,天池
태양절,太陽節
장풍군,長豊郡
대안구역,大安区域
조선민주주의인민공화국의 경제,朝鮮民主主義人民共和国の経済史
서해갑문 (남포),西海閘門・(南浦)
녕변 원자력 연구소,寧辺核施設
정주시,定州市・(平安北道)
연안군,延安郡
라선시,羅先特別市
곡산군,谷山郡
김정숙군,金正淑郡
4.25체육단,4.25体育団
온성군,穏城郡
선군정치,先軍政治
강령군,康翎郡
판문역,板門駅
대동강역,大同江駅
2006년 조선민주주의인민공화국 핵 실험,北朝鮮の核実験・(2006年)
청천강,清川江
조선민주주의인민공화국 야구 국가대표팀,野球朝鮮民主主義人民共和国代表
주체사상탑,主体思想塔
조선민주주의인민공화국의 인구순 도시 목록,朝鮮民主主義人民共和国の都市の一覧
일본 순시선 괴선박 격침 사건,九州南西海域工作船事件
금천군,金川郡
장연군,長淵郡
손하역,孫河駅・(開城特別市)
부령군,富寧郡
연사군,延社郡
재령군,載寧郡
사리원청년역,沙里院青年駅
은파군,銀波郡
동해,日本海
장진호 전투,長津湖の戦い
조중우의교,中朝友誼橋
고구려 고분군,高句麗古墳群
고풍군,古豊郡
시중군,時中郡
성간군,城干郡
신계군,新渓郡
명천군,明川郡
송원군,松源郡
위원군,渭原郡
봉동역,鳳東駅
UTC%2B08:30,UTC%2B8:30
납북 일본인 문제,北朝鮮による日本人拉致問題
부전군,赴戦郡
김책시,金策市
조선로동당 39호실,朝鮮労働党39号室
한국어,朝鮮語
삼수군,三水郡
화평군,和坪郡
철산군,鉄山郡
평양과학기술대학,平壌科学技術大学
벽성군,碧城郡
신흥군,新興郡
동신군,東新郡
개풍구역,開豊区域
한반도 군사 분계선,38度線
태백산맥,太白山脈
아리랑 축제,アリラン祭
룡천군,龍川郡
류경호텔,柳京ホテル
동북아시아,北東アジア
만수대의사당,万寿台議事堂
로동신문,労働新聞・(朝鮮労働党)
강성대국,強盛大国
요덕 정치범수용소,耀徳強制収容所
제네바 합의,米朝枠組み合意
서해 위성 발사장,東倉里
한국 요리,朝鮮料理
아리랑,アリラン
조선민주주의인민공화국의 역사,朝鮮民主主義人民共和国の歴史
만포시,満浦市
류경정주영체육관,平壤柳京鄭周永体育館
조선민주주의인민공화국 1부류축구련맹전,朝鮮民主主義人民共和国1部流蹴球連盟戦
조선중앙텔레비죤,朝鮮中央テレビ
조선콤퓨터중심,朝鮮コンピューターセンター
조선로동당 총비서,朝鮮労働党中央委員会総書記
랑림군,狼林郡
조선민주주의인민공화국 사회주의헌법,朝鮮民主主義人民共和国社会主義憲法
초산군,楚山郡
동림군,東林郡
대일 전승 기념일,対日戦勝記念日
금수산태양궁전,錦繍山太陽宮殿
배천군,白川郡・(黄海南道)
평양개성고속도로,平壌-開城高速道路
신평군,新坪郡
일본항공 351편 공중 납치 사건,よど号ハイジャック事件
토산군,兎山郡
화성 정치범수용소,化成強制収容所
연탄군,燕灘郡
린산군,麟山郡
출신성분,出身成分
곽산군,郭山郡
박천군,博川郡
염주군,塩州郡
구장군,球場郡
대관군,大館郡
룡림군,龍林郡
조선 영화,北朝鮮映画
동평양대극장,東平壌大劇場
단군릉,檀君陵
평양 지하철도 천리마선,平壌地下鉄千里馬線
승호군,勝湖郡
룡강군,龍岡郡
조선로동당 중앙군사위원회,朝鮮労働党中央軍事委員会
금야군,金野郡
윤이상관현악단,尹伊桑管弦楽団
창성군,昌城郡
피현군,枇峴郡
선천군,宣川郡
태천군,泰川郡
양덕군,陽徳郡
정평군,定平郡
벽동군,碧潼郡
리원군,利原郡
대흥군,大興郡
문덕군,文徳郡
신양군,新陽郡
회창군,檜倉郡
북창군,北倉郡
락원군,楽園郡
맹산군,孟山郡
은산군,殷山郡
성천군,成川郡
청남군,清南区
덕성군,徳城郡
봉화역 (평양),烽火駅
통일역,統一駅
김일성 장군의 노래,金日成将軍の歌
황금벌역,黄金原駅
평양신문,平壌新聞
건설역,建設駅・(平壌直轄市)
운산군,雲山郡
구월산,九月山
조선우주공간기술위원회,朝鮮宇宙空間技術委員会
어랑비행장,漁郎飛行場
선덕비행장,宣徳飛行場
평산군,平山郡
순천시 (평안남도),順川市
전승역,戦勝駅
삼흥역,三興駅
붉은별역,赤い星駅
전우역,戦友駅
보통문,普通門
혁신역,革新駅
건국역,建国駅・(平壌直轄市)
영광군 (함경남도),栄光郡
증산군,甑山郡
개천시,价川市
한자 문화권,漢字文化圏
녕원군,寧遠郡
황해,黄海
김일성군사종합대학,金日成軍事総合大学
김일성종합대학,金日成総合大学
김책공업종합대학,金策工業総合大学
평양의학대학,平壌医科大学
평양외국어대학,平壌外国語大学
은정구역,恩情区域
중강군,中江郡
구성시,亀城市
남북통일,朝鮮統一問題
승리자동차련합기업소,勝利自動車工場
아무르판,アムールプレート
압록강체육단,鴨緑江体育団
동해북부선,東海北部線
북관대첩비,北関大捷碑
조선민주주의인민공화국 국방위원회,朝鮮民主主義人民共和国国防委員会
고난의 행군,苦難の行軍
조선인민군 항공 및 반항공군,朝鮮人民軍空軍
조선의 소리 방송,朝鮮の声放送
평양시체육단,平壌市体育団
희천시,熙川市
자성군,慈城郡
보통강구역,普通江区域
대동문,大同門
국제친선전람관,国際親善展覧館
보천보전자악단,普天堡電子楽団
양각도축구경기장,羊角島競技場
모란봉구역,牡丹峰区域
칠보산 (함경북도),七宝山・(咸鏡北道)
개선역,凱旋駅・(平壌直轄市)
력포구역,力浦区域
승리역,勝利駅
조선중앙동물원,朝鮮中央動物園
대성구역,大城区域
평천구역,平川区域
옥류관,玉流館
해방탑,解放塔
모란봉,牡丹峰
광복역,光復駅・(平壌直轄市)
기관차체육단,機関車体育団
영광역 (평양),栄光駅
삼지연비행장,三池淵飛行場
락원역 (평양),楽園駅・(平壌直轄市)
공민왕릉,恭愍王陵
부흥역,富興駅・(平壌直轄市)
아시안 하이웨이,アジアハイウェイ
국기훈장,国旗勲章
광명역 (평양),光明駅・(平壌直轄市)
무산군,茂山郡
통일의 메아리 방송,統一のこだま放送
만수대텔레비죤,万寿台テレビ
룡남산텔레비죤,朝鮮教育文化テレビジョン
개성역,開城駅
읍,邑・(朝鮮)
조선민주주의인민공화국의 행정 구역,朝鮮民主主義人民共和国の地方行政区画
강원도 (조선민주주의인민공화국),江原道・(朝鮮民主主義人民共和国)
.kp,.kp
북위 38도,北緯38度線
회령시,会寧市
평부선,平釜線
옹진군 (황해남도),甕津郡・(黄海南道)
한반도,朝鮮半島
돌아오지 않는 다리,帰らざる橋
2009년 조선민주주의인민공화국 핵 실험,北朝鮮の核実験・(2009年)
평화자동차,平和自動車
만경대구역,万景台区域
삼지연시,三池淵市
선교구역,船橋区域
룡성구역,龍城区域
중구역,中区域
인민대학습당,人民大学習堂
평양역,平壌駅
양각도국제호텔,羊角島国際ホテル
올림픽 조선민주주의인민공화국 선수단,オリンピックの北朝鮮選手団
조선민주주의인민공화국 여자 축구 국가대표팀,サッカー朝鮮民主主義人民共和国女子代表
의주군,義州郡
삼석구역,三石区域
2035년 9월 2일 일식,2035年9月2日の日食
요덕역,耀徳駅
평양 궤도전차,平壌市電
동경 130도,東経130度線
보현사 (묘향산),普賢寺・(香山郡)
서포역,西浦駅・(平壌直轄市)
간리역,間里駅
북부내륙선,北部内陸線
할하부,ハルハ
청년이천선,青年伊川線
조선민주주의인민공화국 철도성,朝鮮民主主義人民共和国鉄道省
대성산혁명렬사릉,大城山革命烈士陵
국가보위성,国家保衛省
조선민주주의인민공화국의 통신,朝鮮民主主義人民共和国の電気通信
조선로동당,朝鮮労働党
조선사회민주당,朝鮮社会民主党
천도교청우당,天道教青友党
조국통일민주주의전선,祖国統一民主主義戦線
안변군,安辺郡
대한해협,朝鮮海峡
동조선만,東朝鮮湾
서조선만,西朝鮮湾
원산역,元山駅・(江原道)
김화군,金化郡
천내군,川内郡
세포군,洗浦郡
법동군,法洞郡
남북정상회담,南北首脳会談
판교군,板橋郡
고산군,高山郡
김일성광장,金日成広場
한국 표준시,韓国標準時
남양로동자구,南陽労働者区
고려호텔,平壌高麗ホテル
장진군,長津郡
해주비행장,海州飛行場
신도군,薪島郡
조선민주주의인민공화국의 공휴일,朝鮮民主主義人民共和国の祝日
우시군,雩時郡
강서구역,江西区域
강원선,江原線
평강군,平康郡
례성강,礼成江
금강군,金剛郡
창도군,昌道郡
통천군,通川郡
고성군 (조선민주주의인민공화국),高城郡・(江原道・1952年)
두만강,豆満江
한강,漢江
룡연군,龍淵郡
상원군,祥原郡
