김정일,金正日
리광천,李光駿
조영남,趙英男
김광협,金光侠
이한영,李韓永
최덕신,崔徳新
백남순,白南淳
김명순,金明淳
박철민,朴哲民
김봉철,金奉哲
김락겸,金洛兼
김은주,キム・ウンジュ
려춘석,呂春錫
배달준,裵達俊
백남일 (정치인),白南一
백용호 (국제적십자사),白容鎬
최창익,崔昌益
김원봉,金元鳳
노금석,盧今錫
오정애,オ・ジョンエ
신선호,辛善虎
김영재,金英才
박의춘,朴宜春
신동혁,申東赫
강관주,康寬周
김일,キム・イル
리철명,李哲敏
박승진,朴承振
김한솔,金漢率
계순희,ケー・スンヒ
박영옥,朴英玉
방철갑,方鉄甲
리호준,李濩俊
리학선,リ・ハクソン
안일범,安日范
박열,朴烈
원정화,元正花
이열리,李冽理
신광수,辛光洙
리승엽,李承燁
정칠성,丁七星
제임스 드레스녹,ジェームズ・ドレスノク
김영춘,金永春
정성옥,チョン・ソンオク
박정애,朴正愛
홍수정,ホン・スジョン
고용희,高容姫
김경희,金敬姫
정대세,鄭大世
김영일,金英逸
김일성,金日成
박성철,朴成哲
박봉주,朴奉珠
김책,金策
최부일,崔富日
주규창,朱奎昌
우동측,禹東測
리병삼,李炳三
정봉석,鄭鳳錫
김영남,金永南
김정숙,金貞淑
오진우,呉振宇
지윤남,チ・ユンナム
주상성,朱霜成
김계관,金桂冠
박철민,朴哲民
권혁봉,権赫奉
송일호,宋日昊
김사량,金史良
김영숙,キム・ヨンスク
김국태,金国泰
리성철,リ・ソンチョル
박영순,朴英順
김은향,金ウニャン
허헌,許憲
홍명희,洪命熹
김신조,金新朝
김내성,金来成
김동인,金東仁
백남운,白南雲
박성철,朴成哲
안금애,安琴愛
박현숙,朴賢淑
장성우,張成禹
김격식,金格植
변영립,辺永立
김천해,金天海
김영대,金英大
박경삼 (정치인),朴京三
리제강,李済剛
리미경,リ・ミギョン
김용익,キム・ヨンイク
곽 옥철,クァク・オクチョル
래리 앨런 앱셔,ラリー・アレン・アブシャー
정호균,鄭鎬均
리용철,李勇哲
박정순,朴正順
박재경,朴在慶
강건,姜健
최영림,崔永林
홍영조,洪映早
김정남,金正男
최명호,崔敏鎬
김철호,金哲鎬
리승기,李升基
홍용호,洪龍浩
장성택,張成沢
김철만,キム・チョルマン
김영철,金英哲
오백룡,呉白龍
최현,崔賢
박일우,朴一禹
김윤심,金潤心
채희정,蔡喜正
최경성,崔慶星
최희정,崔希貞
최상려,崔相麗
리하일,李河一
홍인범,洪仁範
황병서,黄炳瑞
리재일,李載佾
한광복,韓光福
강영섭,康永燮
윤정수,尹正水
경원하,慶元河
조동섭,趙侗旭
정일관,鄭日冠
김용범,金鎔範
김명혁,キム・ミョンヒョク
김여정,金与正
리금숙,李今淑
김국진,金功榛
김향미,キム・ヒャンミ
허가이,許哥誼
찰스 로버트 젱킨스,チャールズ・ジェンキンス
현철해,玄哲海
박남기,朴南基
김정수,金ジョンス
엄윤철,オム・ユンチョル
김옥,金玉
김설송,金雪松
서만술,徐萬述
강석주,姜錫柱
김정은,金正恩
김은국,キム・ウングク
백학림,白鶴林
현영철,玄永哲
김성애,金聖愛
조명록,趙明禄
함봉실,ハム・ボンシル
박남철,朴南哲
안철혁,安哲赫
김명원,金明元
김성희,キム・ソンヒ
림정심,リム・ジョンシム
백남룡,白南龍
리명순,リ・ミョンスン
리세광,リ・セグァン
정영혁,チョン・ヨンヒョク
표영명,ピョ・ヨンミョン
김보현,金輔鉉
김창만,金昌満
박금철,朴金喆
문예봉,文藝峰
홍성남,洪成南
주도일,朱道日
박헌영,朴憲永
김두봉,金ドゥ奉
윤정린,尹正麟
강능수,姜能洙
김경옥,金慶玉
김기룡,キム・ギリョン
김락희,金洛姫
김억,金億
김정균,金貞均
김정임,金正任
전문섭,全文燮
태병렬,太炳烈
최인덕,崔仁徳
최룡해,崔竜海
리설주,李雪主
오극렬,呉克烈
박길연,朴吉淵
김정각,金正覚
리을설,李乙雪
리용무,李勇武
박광룡,朴光龍
리명국,李明国
김일진,キム・イルジン
황성수,黄誠秀
김봉한,金鳳漢
박창옥,朴昌玉
임용수,イム・ヨンス
리찬화,李燦火
리명수,李明秀
리수용,李洙墉
리태남,李泰男
리영수,李英秀
림경만,林景万
량만길,梁万吉
류영섭,柳英燮
태종수,太鐘守
김명국,金明国
전승훈,全承勲
김원균,金元均
김영일,金永日
현송월,玄松月
김영주,金英柱
김병률,金炳律
정명도,鄭明道
김원홍,金元弘
박도춘,朴道春
리병철,李炳鉄
김양건,金養建
이태영,李兌榮
황장엽,黄長燁
박기서,朴基瑞
박중국,朴重国
라동희,羅東熙
리효순,李孝淳
문경덕,ムン・キヨンドク
박세영,朴世永
방호산,方虎山
변인선,辺仁善
안재홍,安在鴻
오수용,呉秀容
오일정,呉日晶
리상조,李相朝
박두익,朴斗翼
유순복,俞顺福
허정숙,許貞淑
원옥임,元玉任
전병호,全秉浩
김영숙,金英淑
한정인,ハン・ジョンイン
곽범기,郭範基
리분희,李芬姫
최금철,崔金哲
리인모,李仁模
로두철,盧斗哲
박철진,朴哲鎮
김정숙,金正淑
리광일,李光一
최태복,崔泰福
양형섭,楊亨燮
김평일,金平一
김창명,金昌明
김창준,金昌俊
김철 (1951년),金哲
김춘삼 (군인),金春三
김태문,金泰文
김태봉,金泰峰
김형식 (정치인),金亨植
김희영,金煕栄
동영일,董永日
동정호,董正浩
렴인윤,廉仁允
