반기문,潘基文
정용화,チョン・ヨンファ
이민기,イ・ミンギ
송순천,宋順天
이철하,イ・チョルハ
김주성,金鋳城
이정희,李正姬
허영생,ホ・ヨンセン
정명훈,チョン・ミョンフン
유명우,柳明佑
조경란,趙京蘭
신은경,シン・ウンギョン
유나 리,ユナ・リー
임주연,イム・ジュヨン
이명박,李明博
박승희,パク・スンヒ
이영표,李榮杓
기성용,奇誠庸
박동혁,朴東赫
안효연,安孝錬
박원재,朴原載
고종수,高宗秀
안정환,安貞桓
임동현,林東賢
이운재,李雲在
Tiv,Tiv
정대세,鄭大世
차두리,車ドゥリ
이효리,イ・ヒョリ
태연,テヨン
허재,許載
오재석,呉宰碩
최대식,崔大植
양요섭,ヤン・ヨソプ
제나 우슈코비츠,ジェナ・アウシュコウィッツ
김수환,金寿煥
써니,サニー
김연아,キム・ヨナ
김윤진,キム・ユンジン
최태욱,崔兌旭
오장은,呉章銀
조병국,曺秉局
최성국,崔成國
길영아,吉永雅
김아중,キム・アジュン
현정화,玄静和
박정희,朴正煕
박원숭,朴元淳
최진실,チェ・ジンシル
보아,BoA
김영삼,金泳三
이상민,李相旼
싸이,PSY
안철수,安哲秀
김비오,キム・ビーオ
백남준,ナム・ジュン・パイク
최규하,うめはら けいいち
홍명보,洪明甫
박찬욱,パク・チャヌク
수영,スヨン
노무현,盧武鉉
손태진,孫泰珍
아이유,IU
이천수,李天秀
이혜찬,李海瓚
전일수,全一洙
유승봉,ユ・スンボン
김희옥,金熙玉
제시카,ジェシカ
장현수,張賢秀
박강조,朴康造
김진현,金鎮鉉
구혜선,ク・ヘソン
김도근,金都根
고정운,高正云
윤정환,尹晶煥
이우진,李玗晋
전두환,全斗煥
황순원,黄順元
윤하,ユンナ
진선유,陳善有
정경은,鄭径恩
송상현,宋相現
박영린,パク・テイン
최문식,崔文植
김근환,金根煥
유남규,劉南奎
이정수,イ・ジョンス
이호,李浩
이창동,イ・チャンドン
서현,ソヒョン
문재인,文在寅
이하이,イ・ハイ
허각,ホ・ガク
노홍철,ノ・ホンチョル
한무협,韓武協
김지한,チン・イハン
조선진,趙善津
김호곤,金鎬坤
노태우,盧泰愚
박민영,パク・ミニョン
박태환,朴泰桓
비,ピ
김도균,金徒均
김승용,金承龍
한동원,韓東元
김병석,金秉析
이청준,李清俊
장근석,チャン・グンソク
권현상,クォン・ヒョンサン
김재중,ジェジュン
현아,キム・ヒョナ
오은선,呉銀善
조수미,スミ・ジョー
이민우,イ・ミヌ
윤보선,尹潽善
손열음,孫烈音
이형택,李亨澤
김하나,金荷娜
이병철,李秉喆
티파니 영,ティファニー
한명숙,韓明淑
이영애,イ・ヨンエ
장한나,ハンナ・チャン
안병기,アン・ビョンギ
케이윌,K.Will
박주성,朴柱成
이승훈,李承勲
장면,張勉
김영권,金英權
신격호,重光武雄
조영철,曺永哲
대성,D-LITE
임형주,イム・ヒョンジュ
하지원,ハ・ジウォン
김지하,金芝河
김대중,金大中
최은희,崔銀姫
진희경,チン・ヒギョン
정진석,ニコラス・チョン・ジンスク
신숙자,申淑子
손흥민,孫興慜
장하준,ハ・ヨンジュン・チャン
최요삼,崔堯森
박경리,朴景利
린다 박,リンダ・パーク
김민정,金ミン廷
서영희,ソ・ヨンヒ
한여름,ハン・ヨルム
김경아,金暻娥
김종필,金鍾泌
정우영,鄭又榮
정동호,丁東浩
김은중,金殷中
홍차옥,洪次玉
박해정,朴海晶
김무교,金戊校
김광현,金廣鉉
봉중근,奉重根
이방자,李方子
권진수,ジンスー・クォン
윤종신,ユン・ジョンシン
효연,ヒョヨン
전지현,チョン・ジヒョン
거미,GUMMY
김재범,金宰範
강수연,カン・スヨン
김태훈,キム・テフン
강예원,カン・イェウォン
배용준,ペ・ヨンジュン
지용주,池竜珠
이승만,李承晩
박도영,パク・ドヨン
장상,張裳
김옥빈,キム・オクビン
민카,ミンカ
이상화,李相花
전이경,全利卿
김황식,金滉植
유연석,ユ・ヨンソク
김현수,金賢洙
하현우,ハ・ヒョヌ
하정은,河貞恩
장선재,張仙載
차범근,車範根
이동국,李東国
허경영,許京寧
강대원,ダウォン・カーン
박지성,朴智星
정소민,チョン・ソミン
신준섭,申俊燮
이민호,イ・ミンホ
