정주시,定州市
연안군,延安郡
김정숙군,金正淑郡
곡산군,谷山郡
제1기 최고인민회의 대의원 선거,第一期最高人民会議代議員選挙
조선왕조실록,朝鮮王朝実録
남북 관계,南北等距離外交
조선민주주의인민공화국의 핵무기,北朝鮮核問題
4.25체육단,4.25体育団
라선시,羅先特別市
명간군,化成郡
갑산군,甲山郡
은천군,銀泉郡
과일군,クァイル郡
신원군,新院郡
삼천군,三泉郡
1998년 동계 올림픽 조선민주주의인민공화국 선수단,1998年長野オリンピックの北朝鮮選手団
경흥군,恩徳郡
고려항공,高麗航空
조선민주주의인민공화국의 선거,朝鮮民主主義人民共和国における選挙
획수,画数
한국 한자음,漢字のハングル表記
조선민주주의인민공화국,朝鮮民主主義人民共和国
자강도,慈江道
장진호 전투,長津湖の戦い
평양과학기술대학,平壌科学技術大学
신흥군,新興郡
평양개성고속도로,平壌-開城高速道路
화성 정치범수용소,化城強制収容所
요도 호 사건,よど号ハイジャック事件
동명왕릉,東明王陵
흥남구역,興南区域
삭주군,朔州郡
애국가,愛国歌
고원역,高原駅
해주시,海州市
신의주특별행정구,新義州特別行政区
부전군,赴戦郡
김책시,金策市
39호실,朝鮮労働党39号室
조선민주주의인민공화국의 일본인 납치,北朝鮮による日本人拉致問題
광명망,光明
천지,天池
태양절,太陽節
봉천군,峰泉郡
천리마 운동,千里馬運動
대동강역,大同江駅
판문역,板門駅
온성군,穏城郡
부령군,富寧郡
조선민주주의인민공화국의 영화,北朝鮮映画
승호군,勝湖郡
단군릉,檀君陵
룡강군,龍岡郡
조선로동당 중앙군사위원회,朝鮮労働党中央軍事委員会
고구려 고분군,高句麗古墳群
조중우의교,中朝友誼橋
조선민주주의인민공화국의 경제,朝鮮民主主義人民共和国の経済史
서해갑문,西海閘門
천리마구역,千里馬区域
강동군,江東郡
조선민주주의인민공화국 축구 국가대표팀,サッカー朝鮮民主主義人民共和国代表
동해,日本海
UTC+08:30,UTC+8:30
한국어,朝鮮語
평양시,平壌直轄市
동창군,東倉郡
황주군,黄州郡
천마군,天摩郡
배천군,白川郡
동림군,東林郡
린산군,麟山郡
신평군,新坪郡
연탄군,燕灘郡
토산군,兎山郡
동평양대극장,東平壌大劇場
평양 지하철도 천리마선,平壌地下鉄千里馬線
동신군,東新郡
개풍구역,開豊区域
삼수군,三水郡
벽성군,碧城郡
운전군,雲田郡
서평양역,西平壌駅
재령군,載寧郡
신계군,新渓郡
고풍군,古豊郡
위원군,渭原郡
성간군,城干郡
봉동역,鳳東駅
대안구역,大安区域
장풍군,長豊郡
최고인민회의,最高人民会議
요덕군,耀徳郡
프렌드십 게임,フレンドシップ・ゲームズ
경의선,京義線
문화어,文化語
사리원시,沙里院市
송림시,松林市
태풍 볼라벤,平成24年台風第15号
녕변 원자력 연구소,寧辺核施設
개천 정치범수용소,价川
2006년 조선민주주의인민공화국 핵 실험,北朝鮮の核実験 (2006年)
청천강,清川江
조선민주주의인민공화국 야구 국가대표팀,野球朝鮮民主主義人民共和国代表
강령군,康翎郡
선군정치,先軍政治
한국의 역법,朝鮮の暦
향산군,香山郡
청단군,青丹郡
태탄군,苔灘郡
신의주청년역,新義州青年駅
백두산청년선,白頭山青年線
봉산군,鳳山郡
조선민주주의인민공화국-중화인민공화국 관계,中朝関係
금천군,金川郡
장연군,長淵郡
은파군,銀波郡
연사군,延社郡
손하역,孫河駅
사리원청년역,沙里院青年駅
평양 타임스,ピョンヤン・タイムズ
조선인민군,朝鮮人民軍
정평군,定平郡
양덕군,陽徳郡
신양군,新陽郡
북창군,北倉郡
문덕군,文徳郡
단천시,端川市
평성시,平城市
피현군,枇峴郡
태천군,泰川郡
금야군,金野郡
위화도,威化島
화대군,花台郡
락원군,楽園郡
회창군,檜倉郡
리원군,利原郡
대흥군,大興郡
성천군,成川郡
국규 9566,KPS 9566
평양 지하철도 혁신선,平壌地下鉄革新線
연산군,延山郡
김정일 장군의 노래,金正日将軍の歌
룡천 열차 폭발 사고,龍川駅列車爆発事故
소백수체육단,小白水体育団
백두대간,白頭大幹
수동구,水洞区
리명수체육단,鯉明水体育団
우리민족끼리,わが民族同士
명천군,明川郡
송원군,松源郡
시중군,時中郡
화평군,和坪郡
철산군,鉄山郡
련광정,練光亭
1964년 동계 올림픽 조선민주주의인민공화국 선수단,1964年インスブルックオリンピックの北朝鮮選手団
북창 정치범수용소,北倉強制収容所
일본 순시선 괴선박 격침 사건,九州南西海域工作船事件
태백산맥,太白山脈
제네바 합의,米朝枠組み合意
동창동 미사일 발사장,東倉里
요덕 정치범수용소,耀徳強制収容所
황해,黄海
한반도 비무장 지대,軍事境界線
강성대국,強盛大国
만수대의사당,万寿台議事堂
조선중앙통신사,朝鮮中央通信
대동강,大同江
주체사상탑,主体思想塔
조선민주주의인민공화국의 인구순 도시 목록,朝鮮民主主義人民共和国の都市の一覧
출신성분,出身成分
윤이상관현악단,尹伊桑管弦楽団
선천군,宣川郡
벽동군,碧潼郡
창성군,昌城郡
동북아시아,北東アジア
류경호텔,柳京ホテル
북청군,北青郡
평원군,平原郡
덕천시,徳川市
박,朴
대관군,大館郡
룡림군,龍林郡
곽산군,郭山郡
박천군,博川郡
구장군,球場郡
염주군,塩州郡
룡천군,龍川郡
한반도 군사 분계선,38度線
아리랑 축제,アリラン祭
조선콤퓨터쎈터,朝鮮コンピューターセンター
조선로동당 총비서,朝鮮労働党中央委員会総書記
로력영웅,朝鮮民主主義人民共和国労力英雄
신포시,新浦市
창바이산맥,長白山脈
공화국선수권 축구대회,最上級蹴球連盟戦
조선중앙텔레비죤,朝鮮中央テレビ
만포시,満浦市
석왕사,釈王寺
황해남도,黄海南道
류경정주영체육관,平壤柳京鄭周永体育館
조선민주주의인민공화국 국방위원회,朝鮮民主主義人民共和国国防委員会
