당진시,唐津市 (忠清南道)
동두천시,東豆川市
상천역,上泉駅
청평역,清平駅
대성리역,大成里駅
마석역,磨石駅
평내호평역,坪内好坪駅
가평역,加平駅
금곡역 (남양주),金谷駅
사릉역,思陵駅
RISS 카탈로그,RISSカタログ
한국 영화 데이터베이스 인물 ID,KMDb人物識別子
한시네마 인물 ID,HanCinema 人物ID
부평구청역,富平区庁駅
독도,竹島
신분당선,新盆唐線
강동구,江東区
강북구,江北区
계양구,桂陽区
수원시,水原市
서울역,ソウル駅
용산역,龍山駅
청량리역,清凉里駅
보령시,保寧市
부천시,富川市
K리그 선수 ID,Kリーグ選手識別子
한국영화데이터베이스 영화 ID,KMDb 映画ID
강서구,江西区
가평군,加平郡
강진군,康津郡
삼성전자,サムスン電子
자유한국당,セヌリ党
금천구,衿川区
기흥구,器興区
남구,南区
남구,南区
남구,南区
구로구,九老区
권선구,勧善区
금정구,金井区
서울 지하철 3호선,ソウルメトロ3号線
수도권 전철 3호선,首都圏電鉄3号線
서울메트로,ソウルメトロ
서초구,瑞草区
삼성,サムスングループ
서귀포시,西帰浦市
서산시,瑞山市
강남구,江南区
동해시,東海市
목포시,木浦市
낙성대역,落星垈駅
사천시,泗川市
삼척시,三陟市
대한민국 국립중앙도서관 ID,韓国国立中央図書館識別子
퇴계원역,退渓院駅
갈매역,葛梅駅
망우역,忘憂駅
상봉역,上鳳駅
중랑역,中浪駅
선바위역,ソンバウィ駅
동구,東区
동구,東区
동구,東区
동구,東区
다음 백과 ID,ダウム百科識別子
획수,画数
한시네마 드라마 ID,HanCinema ドラマID
한시네마 영화 ID,HanCinema 映画ID
벅스 아티스트 ID,Bugs!アーティストID
나무위키 문서명,ナムウィキ識別子
남구,南区
미추홀구,弥鄒忽区
남구,南区
남동구,南洞区
인천국제공항,仁川国際空港
고성군,固城郡
강화군,江華郡
거창군,居昌郡
고령군,高霊郡
보은군,報恩郡
봉화군,奉化郡
부안군,扶安郡
순천시,順天市
마이드라마리스트 인물 ID,MyDramaList人名識別子
싸이월드 ID,サイワールドID
다음 영화 ID,Daum映画ID
양산시,梁山市
속초시,束草市
성남시,城南市
안성시,安城市 (京畿道)
안양시,安養市
관악구,冠岳区
광산구,光山区
광진구,広津区
시흥시,始興市
아산시(영어: ASAN),牙山市
만안구,万安区
부산진구,釜山鎮区
부평구,富平区
북구,北区
원인재역,源仁斎駅
송도역,松島駅 (仁川広域市)
문경시,聞慶市
밀양시,密陽市
대전역,大田駅
대전광역시,大田広域市
덕양구,徳陽区
덕진구,徳津区
도봉구,道峰区
동구,東区
동구,東区
구례군,求礼郡
고흥군,高興郡
곡성군,谷城郡
괴산군,槐山郡
경주시,慶州市
도라산역,都羅山駅
충주역,忠州駅
영등포구,永登浦区
강서구,江西区
오산시,烏山市
원주시,原州市
인천광역시,仁川広域市
익산시,益山市
한국 한자음,漢字のハングル表記
한국교육학술정보원 학교알리미,KERIS学校ID
네이버 영화 ID,NAVER映画ID
고성군,高城郡 (南)
고창군,高敞郡
단양군,丹陽郡
달성군,達城郡
담양군,潭陽郡
한국민족문화대백과사전 식별자,韓国民族文化大百科事典ID
다음 카페 ID,ダウムカフェ識別子
게임물관리위원회 등급,GRACレーティング
양구군,楊口郡
양양군,襄陽郡
양평군,楊平郡
여주시,驪州市
경기도,京畿道
고속터미널역,高速ターミナル駅
부여군,扶餘郡
산청군,山清郡
서천군,舒川郡
광명역,光明駅
경인선,京仁線
민주당,民主統合党
서울 지하철 7호선,ソウル交通公社7号線
노원구,蘆原区
단원구,檀園区
달서구,達西区
대덕구,大徳区
북구,北区
북구,北区
북구,北区
북구,北区
안산시,安山市
안동시,安東市
동남구,東南区
동대문구,東大門区
동래구,東萊区
동안구,東安区
무안군,務安郡
무주군,茂朱郡
보성군,宝城郡
63빌딩,63ビル
여의도,汝矣島
서울숲역,ソウルの森駅
서울평화상,ソウル平和賞
영주시,栄州市
영천시,永川市
대구광역시,大邱広域市
진주시,晋州市 (慶尚南道)
세종특별자치시,世宗特別自治市
군위군,軍威郡
금산군,錦山郡
기장군,機張郡
서구,西区
서대문구,西大門区
서북구,西北区
성동구,城東区
옹진군,甕津郡
1988년 하계 올림픽,1988年ソウルオリンピック
예산군(영어: YESAN),礼山郡
예천군,醴泉郡
옥천군,沃川郡
남해군,南海郡
하동군,河東郡
이어도,蘇岩礁
동해,日本海
의안번호/제출번호,議案番号
한국과학기술한림원 회원 ID,韓国科学技術翰林院会員ID
국가디지털콘텐츠식별체계,国家デジタルコンテンツ識別体系
2018년 동계 올림픽,2018年平昌オリンピック
대한민국,大韓民国
원미구,遠美区
유성구,儒城区
은평구,恩平区
동작구,銅雀区
마산합포구,馬山合浦区
마산회원구,馬山会原区
마포구,麻浦区
동아시아,東アジア
수지구,水枝区
송파구,松坡区
수성구,寿城区
수영구,水営区
수정구,寿井区
파주시,坡州市
평택시,平沢市
금강산선,金剛山電気鉄道
중앙선,中央線
옥수역,玉水駅
읍,邑
의왕시,義王市
동북아시아,北東アジア
기아,起亜
종로구,鍾路区
양주시,楊州市
여수시,麗水市 (全羅南道)
연천군,漣川郡
영광군,霊光郡
상록구,常緑区
서구,西区
서구,西区
서구,西区
서구,西区
분당구,盆唐区
사상구,沙上区
사하구,沙下区
상당구,上党区
부산광역시,釜山市
정읍시,井邑市
성주군,星州郡
순창군,淳昌郡
신안군,新安郡
의성군,義城郡
인제군,麟蹄郡
임실군,任実郡
천안시(영어: Cheonan),天安市
청주시,清州市
포천시,抱川市
포항시,浦項市
성북구,城北区
성산구,城山区
소사구,素砂区
전주시,全州市
영통구,霊通区
오정구,梧亭区
완산구,完山区
용산구,龍山区
황해,黄海
대한민국의 성매매,大韓民国における売買春
분당선,盆唐線
기흥역,器興駅
영덕군,盈徳郡
영동군,永同郡
싸이월드,サイワールド
정자역,亭子駅
충주시,忠州市
영암군,霊岩郡
영양군,英陽郡
영월군,寧越郡
의정부시,議政府市
이천시,利川市
2012년 코리아 그랑프리,2012年韓国グランプリ
경춘선,京春線
선릉역,宣陵駅
수도권 전철 1호선,首都圏電鉄1号線
충청남도,忠清南道
한국철도공사,韓国鉄道公社
대한항공 007편 격추 사건,大韓航空機撃墜事件
춘천시,春川市
태백시,太白市
울진군,蔚珍郡
음성군,陰城郡
의령군,宜寧郡
서울특별시,ソウル特別市
충청북도,忠清北道
영도구,影島区
의창구,義昌区
일산동구,一山東区
일산서구,一山西区
장안구,長安区
중구,中区
중구,中区
제주시,済州市
제천시,堤川市
양천구,陽川区
연수구,延寿区
연제구,蓮堤区
한국어,朝鮮語
수인선,水仁線
수도권 전철,首都圏電鉄
왕십리역,往十里駅
경부선,京釜線
YG 엔터테인먼트,YGエンターテインメント
울림엔터테인먼트,ウリムレーベル
하남시,河南市
한양대학교,漢陽大学校
포항공과대학교,浦項工科大学校
진안군,鎮安郡
정선군,旌善郡
증평군,曽坪郡
진도군,珍島郡
포미닛,4minute
서울대학교,ソウル大学校
통영시,統営市
전라남도,全羅南道
정석비행장,静石飛行場
대우자동차판매,大宇自動車販売
제주도,済州島
현대,ヒュンダイ
전북특별자치도,全羅北道
진천군,鎮川郡
창녕군,昌寧郡
철원군,鉄原郡 (南)
홍천군,洪川郡
화순군,和順郡
화천군,華川郡
상주시,尚州市
대한해협,対馬海峡
서수로,釜山海峡
인피니트,INFINITE
부산 도시철도,釜山都市鉄道
화성시,華城市
서울시립대학교,ソウル市立大学校
삼성역,三成駅
사천공항,泗川空港
테헤란로,テヘラン路
광양축구전용구장,光陽サッカー専用球場
청양군,青陽郡
청원군,清原郡
칠곡군,漆谷郡
디지털미디어시티역,デジタルメディアシティ駅
청도군,清道郡
청송군,青松郡
서울 지하철 8호선,ソウル交通公社8号線
플레디스,PLEDISエンターテインメント
미금역,美金駅
대모산입구역,大母山入口駅
수내역,薮内駅
보정역,宝亭駅
구성역,駒城駅
고려대학교,高麗大学校
동중국해,東シナ海
연세대학교,延世大学校
부산대학교,釜山大学校
인천공항1터미널역,仁川空港1ターミナル駅
공항화물청사역,空港貨物ターミナル駅
검암역,黔岩駅
계양역,桂陽駅
김포공항역,金浦空港駅
서대문역,西大門駅
새절역,セジョル駅
을지로입구역,乙支路入口駅
안암역,安岩駅
대한민국 공휴일,大韓民国の祝日
한려해상국립공원,閑麗海上国立公園
서초역,瑞草駅
한국과학기술원,KAIST
장성군,長城郡
장수군,長水郡
장흥군,長興郡
죽전역,竹田駅
강남역,江南駅
경의선,京義線
서울 지하철 2호선,ソウル交通公社2号線
서울 지하철 9호선,ソウル市メトロ9号線
중구,中区
중구,中区
중구,中区
가톨릭대학교,カトリック大学校
중구,中区
중랑구,中浪区
중원구,中院区
진해구,鎮海区
합천군,陜川郡
해남군,海南郡
홍성군,洪城郡
대한민국의 행정 구역,韓国の地方行政区画
완도군,莞島郡
완주군,完州郡
울주군,蔚州郡
광주광역시,光州広域市
처인구,処仁区
팔달구,八達区
해운대구,海雲台区
흥덕구,興徳区
암사역,岩寺駅
강원특별자치도,江原特別自治道
2002년 FIFA 월드컵,2002 FIFAワールドカップ
1948년 대한민국 제헌의원 선거,初代総選挙
구로디지털단지역,九老デジタル団地駅
방배역,方背駅
이대역,梨大駅
한양대역,漢陽大駅
상왕십리역,上往十里駅
신정네거리역,新亭ネゴリ駅
.kr,.kr
성균관대학교,成均館大学校
이화여자대학교,梨花女子大学校
1968년 하계 올림픽 대한민국 선수단,1968年メキシコシティーオリンピックの韓国選手団
고려대역,高麗大駅
대한민국 해양경찰청,海洋警察庁
대한민국 기획재정부,企画財政部
대한민국 헌법 재판소,憲法裁判所
동수로,対馬海峡
흑석역,黒石駅
신논현역,新論峴駅
부산역,釜山駅
호남선,湖南線
하회마을,河回村
뚝섬역,トゥクソム駅
봉천역,奉天駅
성수역,聖水駅
양천구청역,陽川区庁駅
서울특별시장,ソウル特別市長
평창알펜시아스키점프센터,アルペンシア・スキージャンプセンター
선정릉역,宣靖陵駅
역촌역,駅村駅
동덕여자대학교,同徳女子大学校
강변역,江辺駅
용답역,龍踏駅
하의도,荷衣島
잠실새내역,蚕室セネ駅
태안군,泰安郡
함안군,咸安郡
함양군,咸陽郡
한티역,ハンティ駅
도곡역,道谷駅
수서역,水西駅
복정역,福井駅
가천대역,嘉泉大駅
신갈역,新葛駅
개포동역,開浦洞駅
이수역,総神大入口（梨水）駅
대한민국 고속국도,高速国道
함평군,咸平郡
경상남도,慶尚南道
마야인,マヤ人
강남구청역,江南区庁駅
압구정로데오역,狎鴎亭ロデオ駅
용두역,龍頭駅
신답역,新踏駅
아시아송 페스티벌,アジア・ソング・フェスティバル
조계사,曹渓寺
인하대학교,仁荷大学校
서원,書院
돌곶이역,トルゴジ駅
고잔역,古桟駅
증산역,繒山駅
제기동역,祭基洞駅
독바위역,トクパウィ駅
마포구청역,麻浦区庁駅
상월곡역,上月谷駅
삼각지역,三角地駅
경상북도,慶尚北道
태평역,太平駅
모란역,牡丹駅
야탑역,野塔駅
이매역,二梅駅
서현역,書峴駅
제주특별자치도,済州特別自治道
신도림역,新道林駅
영등포역,永登浦駅
신기역 (삼척),新基駅 (江原道)
고양 자이크로 FC,安山 H FC
오적 필화 사건,五賊筆禍事件
훈민정음,訓民正音
대한민국의 텔레비전 프로그램 목록,韓国のテレビ番組一覧
대한민국 문화체육관광부,文化体育観光部
1992년 동계 올림픽 대한민국 선수단,1992年アルベールビルオリンピックの韓国選手団
국회의사당,国会議事堂
대한민국 해군,大韓民国海軍
불국사 다보탑,仏国寺多宝塔
용인시,龍仁市
표준어,大韓民国標準語
홍대입구역,弘益大学駅
공덕역,孔徳駅
개화역,開花駅
천안아산역,天安牙山駅
오송역,五松駅
김천역,金泉駅
동대구역,東大邱駅
대구역,大邱駅
임진강역,臨津江駅
가좌역,加佐駅
경찰병원역,警察病院駅
한강,漢江
화서역,華西駅
수원역,水原駅
세류역,細柳駅
병점역,餅店駅
서동탄역,西東灘駅
병점기지선,餅店基地線
가산디지털단지역,加山デジタル団地駅
한국 우주인 배출 사업,韓国宇宙人輩出事業
한국과학기술연구원,韓国科学技術研究院
목동야구장,木洞野球場
Mnet,Mnet
KBS홀,KBSホール
의정부역,議政府駅
망월사역,望月寺駅
월계역,月渓駅
송정역,松亭駅
구산역,亀山駅
회룡역,回龍駅
오리역,梧里駅
신이문역,新里門駅
V-리그,Vリーグ
광복절,光復節
대한민국 U-23 축구 국가대표팀,U-23サッカー大韓民国代表
독도 분쟁,竹島問題
한국항공우주산업,韓国航空宇宙産業
태안해안국립공원,泰安海岸国立公園
동해의 이름에 대한 논쟁,日本海呼称問題
헬로비너스,Hello Venus
인사동,仁寺洞
낙동강,洛東江
신탄리역,新炭里駅
소요산역,逍遥山駅
KBS대전방송총국,KBS大田放送総局
경기방송,京畿放送
포천 시민 FC,抱川シチズンFC
고양 시민 FC,高陽市民FC
양주 시민 FC,楊州市民サッカー団
경기만,京畿湾
삼육대학교,三育大学校
KBS대구방송총국,KBS大邱放送総局
가능역,佳陵駅
망원역,望遠駅
응암역,鷹岩駅
도봉역,道峰駅
동 (대한민국),洞
역곡역,駅谷駅
능길역,新吉温泉駅
대한민국 문화재청,文化財庁
구의역,九宜駅
도림천역,道林川駅
투니버스,トゥーニバース
역삼역,駅三駅
한국교육방송공사,韓国教育放送公社
울산광역시,蔚山広域市
대구 도시철도,大邱都市鉄道
남조선로동당,南朝鮮労働党
민주주의민족전선,民主主義民族戦線
당고개역,タンゴゲ駅
상계역,上渓駅
도원역,桃源駅
용산전자상가,龍山電子商街
창동역,倉洞駅
송내역,松内駅
쌍문역,双門駅
울릉도,鬱陵島
구덕야구장,九徳野球場
용인서울고속도로,龍仁-ソウル高速道路
교통방송,交通放送
대한민국 해양수산부,海洋水産部
육군특수전사령부,特殊戦司令部
한국국민당,韓国国民党
상지대학교,尚志大学校
대한민국의 고교 야구,韓国の高校野球
발교산,髪校山
한국개발연구원 국제정책대학원대학교,韓国開発研究院国際政策大学院大学校
한국농수산대학교,韓国農水産大学
영종도,永宗島
종묘,宗廟
간석역,間石駅
1956년 하계 올림픽 대한민국 선수단,1956年メルボルンオリンピックの韓国選手団
홍도,紅島
새마을호,セマウル号
하이트,ハイトビール
미아사거리역,弥阿サゴリ駅
신설동역,新設洞駅
신정역,新亭駅
백운역,白雲駅
화랑대역,花郎台駅
송광사,松広寺
코엑스몰,コエックスモール
운현궁,雲峴宮
국가재건최고회의,国家再建最高会議
국립중앙극장,韓国国立劇場
삼성 라이온즈,サムスン・ライオンズ
대원미디어,テウォンメディア
선정릉,宣靖陵
대한민국 국회의장,大韓民国国会議長
KBS강릉방송국,KBS江陵放送局
KBS순천방송국,KBS順天放送局
우송대학교,又松大学校
사월역,沙月駅
대한민국의 IMF 구제금융 요청,韓国のIMF救済
한국폴리텍VI대학,韓国ポリテク6大学
김홍도 필 풍속도 화첩,檀園風俗図帖
KBS부산방송총국,KBS釜山放送総局
대한민국 제10대 국회의원 선거,第10代総選挙
서대전역,西大田駅
경주역,慶州駅
울산역,蔚山駅
천안역,天安駅
금천구청역,衿川区庁駅
안양역,安養駅
의왕역,義王駅
금정역,衿井駅
건국대학교,建国大学校
중앙대학교,中央大学校
소사역,素砂駅
대한민국의 신문 목록,韓国の新聞社一覧
한대앞역,漢大前駅
이마트,イーマート
대한민국 외교통상부,外交通商部
LG 트윈스,LGツインズ
농업협동조합,農業協同組合
국제업무지구역,国際業務地区駅
광주대구고속도로,88オリンピック高速道路
남해고속도로,南海高速道路
이스트소프트,ESTsoft
종묘 제례,宗廟祭礼祭
대한민국 제18대 국회의원 선거,第18代総選挙
대한민국의 중앙행정기관,大韓民国の中央行政機関
가천대학교,嘉泉大学校
영남대학교,嶺南大学校
경주역,慶州駅
영주역,栄州駅
오빈역,梧浜駅
아신역,我新駅
국수역,菊秀駅
신원역,新院駅
양수역,両水駅
운길산역,雲吉山駅
팔당역,八堂駅
도심역,陶深駅
덕소역,徳沼駅
도농역,陶農駅
구리역,九里駅
양평역,楊坪駅
조선대학교,朝鮮大学校
현대자동차,現代自動車
양평역,楊平駅
열린우리당,ウリ党
대한민국 헌법,大韓民国憲法
대한민국 19대 국회 의원 선거,第19代総選挙
금강,錦江
초록정치연대,草緑政治連帯
제6공화국,第六共和国
국립서울현충원,国立ソウル顕忠院
대한민국 고용노동부,雇用労働部
민주당,民主党
태종대,太宗台
대야미역,大夜味駅
상록수역,常緑樹駅
도화역,道禾駅
반월역,半月駅
초지역,草芝駅
압구정동,狎鴎亭洞
서울 원각사지 십층석탑,円覚寺址十層石塔
영동역,永同駅
오뚜기,オットゥギ
불곡산,仏谷山
북천역,北川駅
청주야구장,清州総合運動場野球場
성산대교,城山大橋
징비록,懲毖録
울산왜성,蔚山倭城
KBS제주방송총국,KBS済州放送総局
오두산 통일전망대,烏頭山統一展望台
KBS울산방송국,KBS蔚山放送局
행주대교,幸州大橋
이화여자외국어고등학교,梨花女子外国語高等学校
대한민국의 원자력 발전,韓国の原子力発電所
한국노동조합총연맹,韓国労働組合総連盟
대한민국 국방부,大韓民国国防部
서대문형무소,西大門刑務所
선문대학교,鮮文大学校
회기역,回基駅
응봉역,鷹峰駅
한남역,漢南駅
서빙고역,西氷庫駅
이촌역,二村駅
서경주역,西慶州駅 (中央線)
운서역,雲西駅
국군간호사관학교,国軍看護士官学校
금오공과대학교,金烏工科大学校
KBO 리그,韓国野球委員会
현대자동차그룹,現代自動車グループ
서울남부버스터미널,ソウル南部ターミナル
마곡나루역,麻谷ナル駅
양천향교역,陽川郷校駅
가양역,加陽駅
서울서부시외버스터미널,ソウル西部市外バスターミナル
증미역,曾米駅
등촌역,登村駅
염창역,塩倉駅
신목동역,新木洞駅
선유도역,仙遊島駅
고창담양고속도로,高敞-潭陽高速道路
철원역,鉄原駅
선운사,禅雲寺
도고온천역,道高温泉駅
현충로역,顕忠路駅
KBS목포방송국,KBS木浦放送局
대곡역,大谷駅
매일경제신문,毎日経済新聞
여의도공원,汝矣島公園
탄천,炭川
청해부대,清海部隊
장산역,萇山駅
월롱역,月籠駅
파주역,坡州駅
문산역,汶山駅
수유리시외버스정류장,水踰里市外バス停留所
수원종합버스터미널,水原バスターミナル
문산시외버스터미널,ムン山市外バスターミナル
김천(구미)역,金泉（亀尾）駅
서울고속버스터미널,ソウル高速バスターミナル
동서울종합터미널,東ソウル総合バスターミナル
공항시장역,空港市場駅
신방화역,新傍花駅
대한민국 행정안전부,行政安全部
대한민국 환경부,環境部
송도국제도시,松島新都市
이춘재 연쇄 살인 사건,華城連続殺人事件
대한민국 여성가족부,女性家族部
대한민국 국가보훈부,大韓民国国家報勲部
천호역,千戸駅
오금역,梧琴駅
가락시장역,可楽市場駅
사당역,舎堂駅
교대역,教大駅
광명시,光明市
광양시,光陽市
강릉시,江陵市
거제시,巨済市
대구선,大邱線
대구은행역,大邱銀行駅
국립과천과학관,大韓民国国立果川科学館
정글 엔터테인먼트,Jungle Entertainment
대한민국의 도시 철도,韓国の地下鉄
넷마블,ネットマーブル
대한민국 제11대 국회의원 선거,第11代総選挙
도산서원,陶山書院
성서산업단지역,城西産業団地駅
김포시,金浦市
김해시,金海市
횡성군,横城郡
동암역,銅岩駅
정왕역,正往駅
부평역,富平駅
제물포역,済物浦駅
수유역,水踰駅
길음역,吉音駅
굽은다리역,クブンダリ駅
선학역,仙鶴駅
여의나루역,汝矣ナル駅
방화역,傍花駅
잠실나루역,蚕室ナル駅
영등포구청역,永登浦区庁駅
범계역,ポムゲ駅
경산시,慶山市
공주시,公州市
과천시,果川市
뮤지엄 김치간,ミュージアム・キムチ館
진해비행장,鎮海飛行場
인크루트,インクルト
한국배구연맹,大韓バレーボール協会
성덕대왕신종,聖徳大王神鐘
백운산,白雲山 (全羅南道)
대한민국 제15대 국회의원 선거,第15代総選挙
칠성시장역,七星市場駅
예천비행장,醴泉空軍基地
대한민국 제12대 국회의원 선거,第12代総選挙
광주시,広州市
학동역,鶴洞駅
논현역,論峴駅
반포역,盤浦駅
내방역,内方駅
남성역,南城駅
숭실대입구역,崇実大入口駅
상도역,上道駅
계룡시(영어: Gyeryong),鶏龍市
고양시,高陽市
서울 지하철,ソウル地下鉄
북악산,北岳山
한국국제협력단,韓国国際協力団
서울일본인학교,ソウル日本人学校
서울 문묘,文廟
연등회,燃灯会
옥산서원,玉山書院
신반포역,新盤浦駅
신촌역,新村駅
수색역,水色駅
한국항공대역,韓国航空大駅
행신역,幸信駅
능곡역,陵谷駅
대곡역,大谷駅
부개역,富開駅
국채보상운동기념공원,国債報償運動記念公園
정선선,旌善線
한국관광대학교,韓国観光大学
구룡역,九龍駅 (全羅南道)
태백산,太白山
추풍령,秋風嶺
해미읍성,海美邑城
성남아트센터,城南アートセンター
심천역,深川駅
직지사,直指寺
서부정류장역,西部停留場駅
부천경찰서 성고문 사건,富川警察署性拷問事件
세브란스병원,セブランス病院
당산역,堂山駅
국회의사당역,国会議事堂駅
샛강역,セッカン駅
노량진역,鷺梁津駅
안산종합버스터미널,安山総合バスターミナル
시화종합버스터미널,始興総合バスターミナル
노들역,ノドゥル駅
동작역,銅雀駅
구반포역,旧盤浦駅
숭실대학교,崇実大学校
소록도,小鹿島
동대문운동장,東大門運動場
삼성중공업,サムスン重工業
네이버 주식회사,NAVER Corporation
현대삼호중공업,現代三湖重工業
아현역,阿峴駅
경마공원역,競馬公園駅
우장산역,雨装山駅
대공원역,大公園駅
거문도,巨文島
개화산역,開花山駅
동래온천,東萊温泉
가리산,加里山
과학기술위성 1호,韓国科学技術院衛星4号
KBS전주방송총국,KBS全州放送総局
오산화성고속도로,烏山-華城高速道路
부산진역,釜山鎮駅
생일도,生日島
벡스코,BEXCO
범어사역,梵魚寺駅
곡산역,谷山駅
백마역,白馬駅
풍산역,楓山駅
일산역,一山駅
탄현역,炭峴駅
운정역,雲井駅
금릉역,金陵駅
금촌역,金村駅
춘천역,春川駅
남춘천역,南春川駅
김유정역,金裕貞駅
강촌역,江村駅
백양리역,白楊里駅
굴봉산역,屈峰山駅
김제시,金堤市
김천시,金泉市
오이도역,烏耳島駅
면목역,面牧駅
북한산 신라 진흥왕 순수비,北漢山新羅真興王巡狩碑
신경주대학교,慶州大学校
정이품송,正二品松
승무,僧舞
청담대교,清潭大橋
대한민국의 역사 드라마 목록,韓国の時代劇
소수서원,紹修書院
소백산,小白山
KBS광주방송총국,KBS光州放送総局
청해진,清海鎮
MBC FM4U,MBC FM4U
KBS포항방송국,KBS浦項放送局
남창역,南倉駅
한진중공업,韓進重工業
한화그룹,ハンファグループ
삼익악기,サミック
서초 삼성타운,サムスンタウン
남산,南山
STX기업,STXグループ
노원역,蘆原駅
중계역,中渓駅
하계역,下渓駅
공릉역,孔陵駅
태릉입구역,泰陵入口駅
먹골역,モッコル駅
중화역,中和駅
개봉역,開峰駅
평촌역,坪村駅
대전 KGC인삼공사,大田正官庄レッドスパークス
오류동역,梧柳洞駅
김천 한국도로공사 하이패스,韓国道路公社ハイパス
거가대교,巨加大橋
한국해양대학교,韓国海洋大学校
1960년 하계 올림픽 대한민국 선수단,1960年ローマオリンピックの韓国選手団
미아역,弥阿駅
동대문역,東大門駅
남태령역,南泰嶺駅
중동역,中洞駅
부평시장역,富平市場駅
수원 현대건설 힐스테이트,水原現代建設ヒルステート
인천대입구역,仁川大入口駅
GS칼텍스 서울 KIXX,GSカルテックス・ソウルKIXX
KTF,KTF
강동역,江東駅
문학경기장역,文鶴競技場駅
KBS진주방송국,KBS晋州放送局
정읍역,井邑駅
성공회 서울주교좌대성당,ソウル聖公会聖堂
약목역,若木駅
민주당,民主党
정방폭포,正房瀑布
대한민국 제16대 국회의원 선거,第16代総選挙
국가기록원,大韓民国国家記録院
도봉산,道峰山
수도권 전철 4호선,首都圏電鉄4号線
코쿰스 크레인,コックムス・クレーン
성수대교,聖水大橋
한국일보,韓国日報
한국도로공사,韓国道路公社
대한민국의 종교,大韓民国の宗教
용인 경전철,龍仁軽電鉄
S-LCD,S-LCD
부천국제판타스틱영화제,富川国際ファンタスティック映画祭
대한민국의 중요무형문화재,大韓民国指定重要無形文化財
국립국악원,韓国国立国楽院
서울 SK 나이츠,ソウルSKナイツ
을지로4가역,乙支路4街駅
