Seoul,ソウル特別市
Gwangju,光州廣域市
Incheon,仁川広域市
Busan,釜山広域市
Daegu,大邱広域市
Daejeon,大田広域市
Suwon,水原市
Republic of Korea,韓国
Ulsan,蔚山広域市
Changwon,昌原市
Eastern Asia,東アジア
Hallasan,漢拏山
Chuncheon,春川市
Jeonju,全州市
Cheonan,天安市
Jeju City,済州市
Andong,安東市
Gyeongju,慶州市
Gunsan,群山市
Gimcheon,金泉市
Iksan,益山市
Chungju,忠州市
Osan,烏山市
Asan,牙山市
Chinju,晋州市
Ansan-si,安山市
Incheon International Airport,仁川国際空港
Gyeonggi-do,京畿道
Gwangju,光州廣域市
Gwangju,広州市
Gumi,亀尾市
Gongju,公州市
Gapyeong,加平郡
Gangneung,江陵市
Mungyeong,聞慶市
Miryang,密陽市
Yangsan,梁山市
Yangju,楊州市
Seosan,瑞山市
Anseong,安城市
Yeosu,麗水市
Namyangju,南楊州市
Jeju International Airport,済州国際空港
Asia,アジア
Gimpo International Airport,金浦国際空港
Pyeongchang,平昌郡
Busan,釜山広域市
Nonsan,論山市
Seoul,ソウル特別市
Yeosu/Suncheon Airport,麗水空港
Busan / Gimhae International Airport,金海国際空港
Sacheon Airport,泗川空港
Gwangyang-si,Kōyō
Boseong-gun,Hōjō
Naju,羅州市
Uljin-gun,蔚珍郡
Teisen,堤川市
Muuido,舞衣島
Biyangdo,飛揚島
Biseulsan,琵瑟山
Sŏktae-do,Sokutei To
Sungnyemun,崇礼門
Gyeonggi-do,京畿道
Seoul National University,ソウル大学校
Korean International Circuit,韓国インターナショナル・サーキット
Kubong-san,九峰山
Gwanaksan,冠岳山
Geumjeonsan,金銭山
Gongjaksan,孔雀山
Gaseopsan,迦葉山
Inwangsan,仁王山
Hwaaksan,華岳山
Chuwolsan,秋月山
Palgongsan,八公山
Palgongsan,八公山
Minjujisan,岷周之山
Marado,馬羅島
Unjang-san,雲長山
Daeamsan,大岩山
Ch’iak-san,雉岳山
Seoul Station,ソウル駅
