Kārlis Ulmanis,カールリス・ウルマニス
Ernests Gulbis (tenisists),エルネスツ・ガルビス
Mihails Barišņikovs,ミハイル・バリシニコフ
Jānis Lūsis (vieglatlēts),ヤーニス・ルーシス
Jēkabs Ketlers,ヤーコプ・ケトラー
Frīdrihs Ketlers,フリードリヒ・ケトラー
Romāns Vainšteins,ロマーンス・ヴァインシュタインス
Elīna Garanča,エリーナ・ガランチャ
Leo Mihelsons,レオ・マイケルソン
Māris Verpakovskis,マーリス・ヴェルパコフスキス
Valdis Zatlers,ヴァルディス・ザトレルス
Anastasija Sevastova,アナスタシヤ・セバストワ
Ivars Godmanis,イヴァルス・ゴドマニス
Aigars Kalvītis,アイガルス・カルヴィティス
Ainārs Kovals,アイナルス・コバルス
Gidons Krēmers,ギドン・クレーメル
Mariss Jansons,マリス・ヤンソンス
Vilhelms fon Fermors,ヴィリム・ヴィリモヴィチ・フェルモル
Pēteris Vasks,ペトリス・ヴァスクス
Ābrams Idelsons,アーブラハム・ツェーヴィ・イーデルゾーン
Artjoms Rudņevs,アルチョムス・ルドニェフス
Valters Caps,ヴァルター・ツァップ
Aleksandrs Koliņko,アレクサンドルス・コリンコ
Staņislavs Olijars,スタニスラフ・オリヤール
Raivis Belohvoščiks,ライヴィス・ベロホヴォシュチィクス
Vilhelms Ketlers,ヴィルヘルム・ケトラー
Māris Kučinskis,マーリス・クチンスキス
Aleksejs Saramotins,アレクセイス・サラモティンス
Igors Vihrovs,イゴール・ビフロフ
Pēteris Stučka,ピョートル・ストゥチカ
Jānis Mediņš,ヤーニス・メディンシュ
Jānis Ivanovs,ヤニス・イヴァノフス
Juris Silovs (vieglatlēts),ユリス・シロヴス
Larisa Neilande,ラリサ・ネーランド
Luīze Šarlote no Brandenburgas,ルイーゼ・シャルロッテ・フォン・ブランデンブルク
Inese Galante,イネッサ・ガランテ
Jāzeps Vītols,ヤーセプス・ヴィートリス
Andris Biedriņš,アンドリス・ビエドリンシュ
"Andris Bērziņš (politiķis, 1951)",アンドリス・ベールジンシュ・(ラトビアの首相)
Jānis Čakste,ヤーニス・チャクステ
Afanasijs Kuzmins,アファナシジス・クズミンス
Miša Maiskis,ミッシャ・マイスキー
Jānis Bērziņš (militārpersona),ヤン・ベルジン
Baltazars fon Kampenhauzens (1772—1823),バルタザール・カンペンガウゼン
Edvīns Šnore,エドヴィンス・シュノア
Marians Pahars,マリアン・パハース
Andris Bērziņš (Latvijas prezidents),アンドリス・ベールジンシュ・(ラトビアの大統領)
Latvieši,ラトビア人
Valdis Dombrovskis,ヴァルディス・ドンブロウスキス
Guntis Ulmanis,グンティス・ウルマニス
Pauls Valdens,パウル・ヴァルデン
Juris Hartmanis,ユリス・ハルトマニス
Mihails Tāls,ミハイル・タリ
Egils Levits,エギルス・レヴィッツ
Andrejs Rubins,アンドレイス・ルビンス
Jānis Balodis (ģenerālis),ヤーニス・バルオディス
Oskars Kļava,オスカルス・クラヴァ
Dāvis Bertāns,ダービス・ベルターンス
Mairis Briedis,マイリス・ブリエディス
Aija Klakocka,アイヤ・ブルマーメン
Vaira Vīķe-Freiberga,ヴァイラ・ヴィーチェ＝フレイベルガ
Pēteris Ugrjumovs,ピオトル・ウグルモフ
Kaspars Gorkšs,カスパルス・ゴルクシュス
Aleksandrs Cauņa,アレクサンドルス・カウナ
Rūdolfs Bangerskis,ルードルフス・バンゲルスキス
Andris Nelsons,アンドリス・ネルソンス
Andris Vaņins,アンドリス・ヴァニンス
Gatis Smukulis,ガティス・スムクリス
Moriss Halle,モリス・ハレ
Juris Laizāns,ユリス・ライザンス
Mārtiņš Rubenis,マルティンス・ルベニス
Herberts Cukurs,ヘルベルトス・ツクルス
Vitālijs Maksimenko,ヴィターリス・マクシメンコ
Vladislavs Gutkovskis,ヴラディスラフス・グトコフスキス
Kurzemes Marija Amālija,アマーリア・フォン・クールラント
Deandrē Jedlins,デアンドレ・イェドリン
Edgars Bertuks,エドガー・ベルツクス
Māris Štrombergs,マーリス・シュトロムベルグス
Dainis Kūla,ダイニス・クラ
Gustavs Klucis,グスタフ・クルーツィス
Kārlis Stalte,コールリ・スタルテ
Laura Ikauniece,ラウラ・イカウニセ＝アドミディナ
Jāzeps Mediņš,ヤーゼプス・メディンシュ
Eduards Bērziņš,エドゥアルド・ベルジン
Ksenija Sidorova,クセーニャ・シドロワ
Genadijs Paršins,ゲンナジー・パルシン
Oļegs Antropovs,オレーク・アントロポフ
Romualds Jermaks,ロムアルツ・ヤルマクス
Aigars Apinis,アイガルス・アピニス
Artūrs Silgailis,アルトゥールス・シルガイリス
Alma Lepina-Lāce,アルマ・レピーナ
Ilze Jaunalksne,イルゼ・ヨーナルクスネ
Ako,アコ・(リーヴ人)
Imants Freibergs,イマント・フレイベルグ
Vsevolods Zeļonijs,フセヴォロドス・ゼリョニース
Raimonds Vējonis,ライモンツ・ヴェーヨニス
Heinrihs Skuja,ハインリッヒス・スクーヤ
