Latvija,ラトビア
Irbes šaurums,イルベ海峡
Latvijas Futbola federācija,ラトビアサッカー連盟
Baltijas Basketbola līga,バルティック・バスケットボール・リーグ
Mežaparka koncentrācijas nometne,カイザーヴァルト強制収容所
Rīgas geto,リガ・ゲットー
Rīga,リガ
Jelgava,イェルガヴァ
Jūrmala,ユールマラ
Kurzemes cietoksnis,クールラント・ポケット
Lībieši,リヴォニア人
Baltijas Līga futbolā,バルティックリーグ
2009. gada Eiropas čempionāts basketbolā sievietēm,2009年バスケットボール女子欧州選手権
Latvijas Banka,ラトビア銀行
Latvija Bērnu Eirovīzijas dziesmu konkursā,ラトビアのジュニア・ユーロビジョン・ソング・コンテスト
Sigulda,スィグルダ
Inguši,イングーシ人
Latvijas Kauss futbolā,ラトビヤス・カウス
Aknīste,アクニステ
Rīgas Tehniskā universitāte,リガ工科大学
Rumāņi,ルーマニア人
Durbe,ドゥルベ
Baltijas jūra,バルト海
Plostošana,木材流送
Ainaži,アイナジ
Arēna Rīga,アリーナ・リガ
Tukums,トゥクムス
Latvijas Nacionālie bruņotie spēki,ラトビア国軍
Rīgas radio un televīzijas tornis,リガラジオ%26テレビタワー
Saeima,サエイマ
Baškīri,バシキール人
Rēzekne,レーゼクネ
FB Gulbene,FBグルベネ
Lidosta "Jūrmala",トゥクムス空港
Rīgas Svētā Pētera baznīca,聖ペテロ教会・(リガ)
Latvija olimpiskajās spēlēs,オリンピックのラトビア選手団
Latvijas eiro monētas,ラトビアのユーロ硬貨
Vidzeme,ヴィドゼメ
Eiro,ユーロ
Starptautiskā lidosta "Rīga",リガ国際空港
Kurzeme,クールラント
Latvijas Universitāte,ラトビア大学
Lietuvieši,リトアニア人
Latvijas ģerbonis,ラトビアの国章
Latvijas administratīvais iedalījums,ラトビアの地方行政区画
Pērkonkrusts,雷十字党
Latvija Eirovīzijas dziesmu konkursā,ラトビアのユーロビジョン・ソング・コンテスト
Eiropas autoceļš E67,E67号線
Dinaburg FC,ディナブルグFC
Latvijas Nacionālā opera un balets,ラトビア国立歌劇場
Flotiles admirālis,海軍准将
Gauja,ガウヤ川
Eiropas autoceļš E77,E77号線
Mikrotīkls,MikroTik
Jidišs,イディッシュ語
Latvijas futbola izlase,サッカーラトビア代表
Strūves ģeodēziskais loks,シュトルーヴェの測地弧
Valpurģu nakts,ヴァルプルギスの夜
Jēkabpils,イェーカブピルス
Daugava,ダウガヴァ川
Starptautiskā lidosta "Liepāja",リエパーヤ国際空港
Latviešu valoda,ラトビア語
Baltkrievu valoda,ベラルーシ語
Latgale,ラトガレ
Latvijas Valsts prezidents,ラトビアの大統領
Zemgale,ゼムガレ
SK Blāzma,SKブラーズマ
2003. gada Eirovīzijas dziesmu konkurss,ユーロビジョン・ソング・コンテスト2003
Skonto FC,スコントFC
FK Ventspils,FKヴェンツピルス
Dzintara ceļš,琥珀の道
Lielvārde,リェルヴァーデ
Dziesmotā revolūcija,歌う革命
Durbes kauja,ドゥルベの戦い
Tramvaju satiksme Daugavpilī,ダウガフピルス市電
Latvijas basketbola izlase,バスケットボールラトビア代表
Lībiešu valoda,リヴォニア語
Baltijas valstis,バルト三国
Latgaliešu valoda,ラトガリア語
Sēļu valoda,セロニア語
.lv,.lv
