Judith Nisse Shklar,ジュディス・シュクラー
Kārlis Ulmanis,カールリス・ウルマニス
Mihails Barišņikovs,ミハイル・バリシニコフ
Ernests Gulbis,エルネスツ・ガルビス
Iveta Apkalna,イヴェタ・アプカルナ
Jānis Lūsis,ヤーニス・ルーシス
Viktors Lorencs,ビクトル・ローレンツ
Anna Sakse,アンナ・サクセ
Igors Vihrovs,イゴール・ビフロフ
Ēriks Pētersons,エーリクス・ペーテルソンス
Ādolfs Bļodnieks,アードルフス・ブロドニエクス
Frīdrihs Ketlers,フリードリヒ・ケトラー
latvieši,ラトビア人
Guntis Ulmanis,グンティス・ウルマニス
Pauls Valdens,パウル・ヴァルデン
Andris Bērziņš,アンドリス・ベールジンシュ
Vīts Rimkus,ヴィーツ・リムクス
Sandis Ozoliņš,サンディス・オゾリンニュシュ
Ābrams Idelsons,アーブラハム・ツェーヴィ・イーデルゾーン
Vladimirs Kamešs,ヴラディミルス・カメシュス
Jānis Balodis,ヤーニス・バルオディス
Artjoms Rudņevs,アルチョムス・ルドニェフス
Māris Martinsons,マリス・マルティンソンス
Valdis Dombrovskis,ヴァルディス・ドムブロフスキス
Jānis Bērziņš,ヤン・ベルジン
Iļja Vestermans,イリア・ヴェステルマンス
Rainis,ライニス
Inta Kļimoviča-Drēviņa,インタ・クリモヴィチャ
Vija Celmiņa,ヴィヤ・セルミンス
Vilis Krištopans,ヴィリス・クリシュトパンス
Egils Levits,エギルス・レヴィッツ
Anastasija Grigorjeva,アナスタシヤ・グリゴリェワ
Jeļena Prokopčuka,エレナ・プロコプツカ
Laima Vaikule,ライマ・バイクレ
Konrāds Kalējs,コンラース・カレーイス
Mārtiņš Pļaviņš,マルティンシ・プラヴィンシ
Jēkabs Ketlers,ヤーコプ・ケトラー
Mihails Tāls,ミハイル・タリ
Voldemārs Veiss,ヴォルデマールス・ヴァイス
Baltazars fon Kampenhauzens,バルタザール・カンペンガウゼン
Aleksandrs Apsītis,アレクサンドル・アプシット
Alberts Šeibelis,アルベルツ・シェイベリス
Marians Pahars,マリアン・パハース
Zenta Mauriņa,ゼンタ・マウリーナ
Valters Caps,ヴァルター・ツァップ
Anatols Lapiņš,アナトール・ラピーン
Juris Hartmanis,ユリス・ハルトマニス
Romāns Vainšteins,ロマーンス・ヴァインシュタインス
Aleksandrs Starkovs,アレクサンドルス・スタルコフス
Vitālijs Astafjevs,ヴィタリス・アスタフイェフス
Gustavs Zemgals,グスタウス・ゼムガルス
Viktors Ščerbatihs,ビクトルス・スチェルバティス
Konstantīns Raudive,コンスタンティン・ラウティヴ
Raivis Dzintars,ライヴィス・ジンタルス
Kaspars Gorkšs,カスパルス・ゴルクシュス
Aleksandrs Cauņa,アレクサンドルス・カウナ
Gidons Krēmers,ギドン・クレーメル
Pēteris Ugrjumovs,ピオトル・ウグルモフ
Jūlijs Daniševskis,ユーリース・ダニシェヴスキス
Viktors Arājs,ヴィクトルス・アラーイス
Baltazars Rusovs,バルタザール・ルッソウ
Moriss Halle,モリス・ハレ
Juris Laizāns,ユリス・ライザンス
Oto fon Luterbergs,オットー・フォン・ルーテンベルグ
Valdis Birkavs,ヴァルディス・ビルカフス
Aleksejs Saramotins,アレクセイス・サラモティンス
Jānis Čakste,ヤーニス・チャクステ
Andris Biedriņš,アンドリス・ビエドリンシュ
Einars Repše,エイナルス・レプシェ
Andris Nelsons,アンドリス・ネルソンス
Andris Vaņins,アンドリス・ヴァニンス
Jānis Mediņš,ヤーニス・メディンシュ
Pēteris Stučka,ピョートル・ストゥチカ
Andris Bērziņš,アンドリス・ベールジンシュ
Miša Maiskis,ミッシャ・マイスキー
Igors Stepanovs,イゴルス・ステパノフス
Roberts Zīle,ロバーツ・ジル
Imants Bleidelis,イマンツ・ブレイデリス
Gatis Smukulis,ガティス・スムクリス
Rūdolfs Bangerskis,ルードルフス・バンゲルスキス
Valdis Zatlers,ヴァルディス・ザトレルス
Jēkabs Peterss,ヤーコプ・ペテルス
Andrejs Vlaščenko,アンドレイ・ウラシェンコ
Andrejs Rubins,アンドレイス・ルビンス
Deniss Rakels,ラケルス
Mārtiņš Rubenis,マルティンス・ルベニス
Herberts Cukurs,ヘルベルトス・ツクルス
Vitālijs Maksimenko,ヴィターリス・マクシメンコ
Andris Šķēle,アンドリス・シュケーレ
Mariss Jansons,マリス・ヤンソンス
Māris Gailis,マーリス・ガイリス
Artis Pabriks,アーティス・パブリクス
Edvīns Šnore,エドヴィンス・シュノア
Pēteris Vasks,ペトリス・ヴァスクス
Ainārs Kovals,アイナルス・コバルス
Intars Busulis,インタルス・ブスリス
Ivars Smilga,イヴァル・スミルガ
Aleksejs Višņakovs,アレクセイス・ヴィシュニャコフス
Anastasija Sevastova,アナスタシア・セバストバ
Hermanis fon Bukshēvdens,ヘルマン
Afanasijs Kuzmins,アファナシジス・クズミンス
Alberts Kviesis,アルベルツ・クヴィエスィス
Vilhelms Munters,ウィリヘルムス・ムンタース
Vaira Vīķe-Freiberga,ヴァイラ・ヴィーチェ＝フレイベルガ
Uļjana Semjonova,ウリャーナ・セミョーノヴァ
Raimonds Pauls,ライモンズ・パウルス
Vilhelms Georgs fon Fermors,ヴィリム・ヴィリモヴィチ・フェルモル
Luīze Šarlote no Brandenburgas,ルイーゼ・シャルロッテ・フォン・ブランデンブルク
Marija Naumova,マリー·N
Leo Mihelsons,レオ・マイケルソン
Lipmans Berss,リップマン・バース
Māris Verpakovskis,マーリス・ヴェルパコフスキス
Aleksandrs Koliņko,アレクサンドルス・コリンコ
Dainis Kūla,ダイニス・クラ
Solvita Āboltiņa,ソルヴィタ・アーボルティニャ
Madara Palameika,マダラ・パラメイカ
Dāvis Bertāns,ダービス・バータン
Vilhelms Ketlers,ヴィルヘルム・ケトラー
Jāzeps Vītols,ヤーセプス・ヴィートリス
Aija Klakocka,アイヤ・ブルマーメン
Pēteris Slavens,ピョートル・スレイヴン
Vadims Vasiļevskis,ヴァディム・ヴァシレフスキ
Raivis Belohvoščiks,ライヴィス・ベロホヴォシュチィクス
Kārlis Šteins,カールリス・シュテインス
