Plostošana,木材流送
Jelgava,イェルガヴァ
Jūrmala,ユールマラ
Latvija,ラトビア
Irbes šaurums,イルベ海峡
LNB identifikators,LNB識別子
Baltijas jūra,バルト海
Aizpute,アイズプテ
Smiltene,スミルテネ
Saulkrasti,サウルクラスティ
Ainaži,アイナジ
Aizkraukle,アジクラウクレ
Kurzeme,クールラント
Latvijas Nacionālie bruņotie spēki,ラトビア国軍
Jaunjelgava,ヤウニェルガヴァ
Rumbula,ルンブラ
Latvijas Futbola federācija,ラトビアサッカー連盟
Tukums,トゥクムス
1949. gada marta deportācijas,プリボイ作戦
Baltijas Basketbola līga,バルティック・バスケットボール・リーグ
Baltijas Līga futbolā,バルティックリーグ
Daugavgrīvas cietoksnis,ダウガヴグリヴァ要塞
Arēna Rīga,アリーナ・リガ
2009. gada Eiropas čempionāts basketbolā sievietēm,2009年バスケットボール女子欧州選手権
Latvijas Banka,ラトビア銀行
Līvi,リーヴ人
Saeima,サエイマ
Rīgas radio un televīzijas tornis,リガラジオ&テレビタワー
Strūves ģeodēziskais loks,シュトルーヴェの測地弧
Rēzekne,レーゼクネ
Kurzemes cietoksnis,クールラント・ポケット
Mežaparka koncentrācijas nometne,カイザーヴァルト強制収容所
Varakļānu novads,ヴァラクリャーニ
Krāslava,クラースラヴァ
Latvijas Nacionālās enciklopēdijas tiešsaistes ID,ラトビア国家百科事典オンライン識別子
transkripcija latviešu valodā,ラトヴィア語転写
Durbe,ドゥルベ
Amatas pagasts,アマタ教区
Sigulda,スィグルダ
Cēsu kaujas,ヴェンデンの戦い
10. Saeimas vēlēšanas,ラトビア議会選挙
Latvijas ģerbonis,ラトビアの国章
Gauja,ガウヤ川
Latgale,ラトガレ
Jēkabpils,イェーカブピルス
PSRS basketbola izlase,バスケットボール男子ソビエト連邦代表
Rīga,リーガ
lietuvieši,リトアニア人
Zilupe,ズィルペ
Valpurģu nakts,ヴァルプルギスの夜
Zilupe,シニャヤ川
FB Gulbene,FBグルベネ
Latvijas Sociālistiskā partija,ラトビア社会党
Salaspils koncentrācijas nometne,サラスピルス強制収容所
Rīgas geto,リガ・ゲットー
Mūrmuižas kauja,ゲマウアートフの戦い
Latvijas dzelzceļi,ラトビアの鉄道
Latvijas rajoni,ラトビアの地区
Rīgas Tehniskā universitāte,リガ工科大学
Aknīste,アクニステ
Valmieras rajons,ヴァルミエラ
Lidosta "Jūrmala",トゥクムス空港
Jaunā Hanzas savienība,新ハンザ同盟
ESR stacijas kods,ESR駅コード
latviešu mitoloģija,ラトビア神話
Latvijas futbola izlase,サッカーラトビア代表
baškīri,バシキール人
Rīgas "Dinamo",ディナモ・リガ
Olaine,オライネ
Latvijas Kauss futbolā,ラトビヤス・カウス
Zemgale,ゼムガレ
Lielupe,リエルペ川
Venta,ベンタ河
Latvijas Valsts prezidents,ラトビアの大統領
Daugava,ダウガヴァ川
Gulbenes novads,グルベネ
latviešu valoda,ラトビア語
eiro,ユーロ
Bauska,バウスカ
dienvidigauņu dialekts,南エストニア語
FK Ventspils,FKヴェンツピルス
Jumpravmuižas koncentrācijas nometne,ユングフェルンホーフ強制収容所
Latvija Eirovīzijas dziesmu konkursā,ラトビアのユーロビジョン・ソング・コンテスト
Vaiņodes novads,ヴァイニョデ基礎自治体
Air Baltic Corporation,エア・バルティック
Latvijas okupācija,ソビエト連邦によるラトビア占領 (1940年)
Rīgas Svētā Pētera baznīca,聖ペテロ教会
FK Liepājas Metalurgs,FKリエパーヤス・メタルルグス
Latvijas futbola Virslīga,ヴィルスリーガ
FK Jelgava,FKイェルガヴァ
Latvijas Republikas Ārlietu ministrija,外務省
zemgaļi,セミガリア人
