Polska,ポーランド
Nysa Łużycka,ナイセ川
Ekstraklasa w piłce nożnej,エクストラクラサ
Województwo lubuskie,ルブシュ県
Auschwitz-Birkenau,アウシュヴィッツ＝ビルケナウ強制収容所
Język niemiecki,ドイツ語
Szeszupa,シェシュペ川
Województwo kujawsko-pomorskie,クヤヴィ＝ポモージェ県
Województwo lubelskie,ルブリン県
Grudzień,12月
Mierzeja Helska,ヘル半島
Węgorapa,アングラパ川
Tramwaje w Poznaniu,ポズナン市電
Województwo dolnośląskie,ドルヌィ・シロンスク県
Wybory parlamentarne w Polsce w 2007 roku,2007年ポーランド議会選挙
Wybory parlamentarne w Polsce w 1997 roku,1997年ポーランド議会選挙
Wybory parlamentarne w Polsce w 2001 roku,2001年ポーランド議会選挙
Wybory parlamentarne w Polsce w 2011 roku,2011年ポーランド議会選挙
Głogów,グウォグフ
Wybory parlamentarne w Polsce w 2005 roku,2005年ポーランド議会選挙
Zamek w Malborku,マルボルク城
Iława,イワヴァ
Oświęcim,オシフィエンチム
Świętochłowice,シフィエントフウォヴィツェ
Pałac w Wilanowie,ヴィラヌフ宮殿
Poznań,ポズナン
Toruń,トルン
Województwo łódzkie,ウッチ県
Województwo podkarpackie,ポトカルパチェ県
Województwo opolskie,オポレ県
Babsk (województwo łódzkie),バプスク・(ウッチ県)
Województwo małopolskie,マウォポルスカ県
Jidysz,イディッシュ語
Twierdza Modlin,モドリン要塞
Województwo mazowieckie,マゾフシェ県
Dzielnica senioralna,長子領
Mistrzostwa Europy w Koszykówce Mężczyzn 1963,1963年バスケットボール男子欧州選手権
Warszawa,ワルシャワ
Gdynia,グディニャ
Język ukraiński,ウクライナ語
Język litewski,リトアニア語
Województwo pomorskie,ポモージェ県
Śląsk,シレジア
Mistrzostwa Europy w Koszykówce Mężczyzn 2009,2009年バスケットボール男子欧州選手権
Województwo podlaskie,ポドラシェ県
Szczecin,シュチェチン
Morze Bałtyckie,バルト海
Województwo świętokrzyskie,シフィェンティクシシュ県
Tarnobrzeg,タルノブジェク
Wisła,ヴィスワ川
Gniezno,グニェズノ
Województwo zachodniopomorskie,西ポモージェ県
Województwo śląskie,シロンスク県
Język romski,ロマ語
Lista prezydentów Polski,ポーランドの大統領一覧
Język wilamowski,ヴィラモヴィアン語
Odra,オーデル川
Leszno,レシュノ
Język białoruski,ベラルーシ語
Tychy,ティヒ
Województwo warmińsko-mazurskie,ヴァルミア＝マズールィ県
Województwo wielkopolskie,ヴィエルコポルスカ県
Kalisz,カリシュ
Koło (miasto),コウォ
Katowice,カトヴィツェ
Rzeszów,ジェシュフ
Ostrów Wielkopolski,オストルフ・ヴィエルコポルスキ
Giełda Papierów Wartościowych w Warszawie,ワルシャワ証券取引所
Ełk,エウク
Lech Poznań,レフ・ポズナン
Koszalin,コシャリン
Nowy Dwór Królewski,ノヴィ・ドゥヴル・クルレフスキ
Racibórz,ラチブシュ
Łódź,ウッチ
Przyjaźń-84,フレンドシップ・ゲームズ
Gmina (Polska),基礎自治体・(ポーランド)
Zamek Królewski na Wawelu,ヴァヴェル城
Walki o Przemyśl w 1918 roku,プシェムィシルの戦い
Mistrzostwa Europy w Piłce Nożnej 2012,UEFA・EURO・2012
Białystok,ビャウィストク
Nowy Sącz,ノヴィ・ソンチ
Fabryka Samochodów Osobowych,FSO・(自動車メーカー)
Język rusiński,ルシン語
Olsztyn,オルシュティン
Powiat olsztyński,オルシュティン郡
Polacy,ポーランド人
Boże Narodzenie w Polsce,ポーランドのクリスマス
Łużyce,ラウジッツ
Język cerkiewnosłowiański,教会スラヴ語
Kraków,クラクフ
Chrzanów,フシャヌフ
Język polski,ポーランド語
Zieloni (Polska),緑の党・(ポーランド)
Łuków,ウクフ
Etnolekt śląski,シレジア語
Sopot,ソポト
Opole,オポレ
Karpaty,カルパティア山脈
Gdańsk,グダニスク
Bitwa pod Grunwaldem,タンネンベルクの戦い・(1410年)
Sanok,サノク
Województwo jeleniogórskie,イェレニャ・グラ県
Warta,ヴァルタ川
Niezależny Samorządny Związek Zawodowy „Solidarność”,独立自主管理労働組合「連帯」
Słubice,スウビツェ
ESCP Business School,ESCP経営大学院
Lublin,ルブリン
Polski Komitet Wyzwolenia Narodowego,ポーランド国民解放委員会
.pl,.pl
Wrocław,ヴロツワフ
Język kaszubski,カシューブ語
Język pruski,プロシア語
Gromnica w tradycji Słowian,グロムニツァ
Język karaimski,カライム語
Międzyrzec Podlaski,ミェンヅィジェツ・ポドラスキ
Język jaćwiński,スドヴィア語
Język połabski,ポラーブ語
Polonez (taniec),ポロネーズ
Polskie Linie Lotnicze LOT,LOTポーランド航空
Kurów (powiat puławski),クルフ
Zabrze,ザブジェ
Końskowola,コィンスコヴォラ
Województwo pilskie,ピワ県
Senat Rzeczypospolitej Polskiej,ポーランド共和国上院
Sejm Rzeczypospolitej Polskiej,ポーランド共和国下院
Police,ポリツェ
Śniardwy,シニャルドヴィ湖
Uznam,ウーゼドム島
Skierniewice,スキェルニェヴィツェ
Wieluń,ヴィエルニ
Bydgoszcz,ブィドゴシュチュ
Świnoujście,シフィノウイシチェ
Kielce,キェルツェ
Przemyśl,プシェムィシル
Polesie,ポリーシャ
Śrem,シレーム
Bytom,ビトム
Sokolnictwo,鷹狩
Rząd Rzeczypospolitej Polskiej na uchodźstwie,ポーランド亡命政府
Polska Partia Socjalistyczna,ポーランド社会党
Częstochowa,チェンストホヴァ
Rada Pomocy Żydom,ジェゴタ
Żelazowa Wola,ジェラゾヴァ・ヴォラ
Radom,ラドム
Chorzów,ホジュフ
Łomża,ウォムジャ
Słupsk,スウプスク
Pomorze,ポメラニア
Zgierz,ズギェシ
Żory,ジョルィ
Żubrówka (wódka),ズブロッカ
Dziecinów (powiat kozienicki),ヂェチヌフ・(コジェニツェ郡)
Flis,木材流送
Elbląg,エルブロンク
Zielona Góra,ジェロナ・グラ
Płock,プウォツク
Gorzów Wielkopolski,ゴジュフ・ヴィエルコポルスキ
Wadowice,ヴァドヴィツェ
Brzeg (miasto),ブジェク
Ministerstwo Spraw Zagranicznych (Polska),外務省・(ポーランド)
Powiat gliwicki,グリヴィツェ郡
Gliwice,グリヴィツェ
Zamach 20 lipca,7月20日事件
San,サン川
Trasa europejska,欧州自動車道路
Sosnowiec,ソスノヴィエツ
Kalwaria Zebrzydowska,カルヴァリア・ゼブジドフスカ
Polskie Stronnictwo Ludowe,ポーランド農民党
Stargard,スタルガルト
Legnica,レグニツァ
Tarnów,タルヌフ
Terespol,テレスポル
Łowicz,ウォヴィチ
Ruda Śląska,ルダ・シロンスカ
Kołobrzeg,コウォブジェク
Bielsko-Biała,ビェルスコ＝ビャワ
Akcja Wyborcza Solidarność,「連帯」選挙行動
Air Poland,エア・イタリー・ポーランド
Polska na Letnich Igrzyskach Olimpijskich 2004,2004年アテネオリンピックのポーランド選手団
Akademia Sztuk Pięknych im. Jana Matejki w Krakowie,ヤン・マテイコ美術アカデミー
Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,AGH科学技術大学
Rybnik,リブニク
Włocławek,ヴウォツワヴェク
Dąbrowa Górnicza,ドンブロヴァ・グルニチャ
Jastrzębie-Zdrój,ヤストシェンビェ＝ズドルイ
Wałbrzych,ヴァウブジフ
Nowy Targ,ノヴィ・タルク
Podhale,ポドハレ
Chełm,ヘウム
Pawiak,パヴィアク刑務所
Powiat giżycki,ギジツコ郡
Suwałki,スヴァウキ
Lubin,ルビン・(ドルヌィ・シロンスク県)
Jelcz,イェルチ
Widzew Łódź (piłka nożna),ヴィジェフ・ウッチ
E36 (trasa europejska),E36号線
Reprezentacja Śląska w piłce nożnej mężczyzn,サッカーシレジア代表
Szlak bursztynowy,琥珀の道
Autostrada A1 (Polska),アウトストラーダ・A1・(ポーランド)
Złoty,ズウォティ
Polska na Letnich Igrzyskach Olimpijskich 1996,1996年アトランタオリンピックのポーランド選手団
Grudziądz,グルジョンツ
Dziecinów (powiat otwocki),ヂェチヌフ・(オトフォツク郡)
Piła (miasto),ピワ
Powiat (Polska),郡・(ポーランド)
Autostrada A8 (Polska),アウトストラーダ・A8・(ポーランド)
Biała (miasto),ビャワ・プルドニツカ
Reprezentacja Polski w koszykówce kobiet,バスケットボール女子ポーランド代表
Powiat piski,ピシュ郡
Wojska Lądowe,ポーランド陸軍
Powiat szczycieński,シュチトノ郡
Powiat ostródzki,オストルダ郡
Telewizja Polska,ポーランド・テレビ
Ostrołęka,オストロウェンカ
Futuryzm,未来派
Polskie Koleje Państwowe,ポーランド国鉄
Sochaczew,ソハチェフ
Topfmine,トプフミーネ
Pruska Kolej Wschodnia,プロイセン東線
Sulechów,スレフフ
Węgorzyno (gmina),ヴェンゴジーノ
Kopalnia Soli „Wieliczka”,ヴィエリチカ岩塩坑
Powidła,ポヴィドル
Wisła (miasto),ヴィスワ
