Margareta Kozuch,マルガレーテ・コズーフ
Lech Wałęsa,レフ・ヴァウェンサ
Kazimierz II Sprawiedliwy,カジミェシュ2世
Kazimierz III Wielki,カジミェシュ3世
Aleksander Moszkowski,アレクサンダー・モシュコフスキ
Henryk Józef Nowacki,ヘンリク・ヨーゼフ・ノヴァツキ
Andrzej Wajda,アンジェイ・ワイダ
Emil Hirschfeld,エミール・ヒルシュフェルト
Max Fleischer,マックス・フライシャー
Andrzej Ehrenfeucht,アンジェイ・エーレンフォイヒト
Konrad Fiałkowski,コンラド・フィアウコフスキ
Krzysztof Kieślowski,クシシュトフ・キェシロフスキ
Władysław II Wygnaniec,ヴワディスワフ2世ヴィグナニェツ
Władysław III Laskonogi,ヴワディスワフ3世ラスコノギ
Zygmunt I Stary,ジグムント1世
Konrad I mazowiecki,コンラト1世
Leszek Czarny,レシェク2世
Bogusław Linda,ボグスワフ・リンダ
Krzysztof Zanussi,クシシュトフ・ザヌッシ
Cezary Pazura,ツェザーリ・パズーラ
Tomasz Majewski,トマシュ・マエフスキ
Laurent Koscielny,ローラン・コシールニー
Jerzy Zelnik,イェジ・ゼルニク
Donald Tusk,ドナルド・トゥスク
Krystyna Feldman,クリスティーナ・フェルドマン
Otylia Jędrzejczak,オティリア・イェジェイチャク
Jan Paweł II,ヨハネ・パウロ2世
Anni Friesinger-Postma,アンニ・フリージンガー
Kevin Mirocha,ケヴィン・ミロヒャ
Hermann Friedmann,ヘルマン・フリートマン
Jacek Kuroń,ヤツェク・クーロン
Zbigniew Boniek,ズビグニェフ・ボニエク
Felicja Langer,フェリツィア・ランガー
Paul Baran,ポール・バラン
Joanna Rutkowska,ヨアンナ・ルトコフスカ
David Blacha,ダーフィト・ブラッハ
Zygmunt Chychła,ジグムント・チチラ
Maciej Kozłowski,マチェイ・コズラウスキー
Przemysł II,プシェミスウ2世
Władysław I Herman,ヴワディスワフ1世ヘルマン
Jan Englert,ヤン・エングレルト
Zbigniew Zamachowski,ズビグニェフ・ザマホフスキ
Jerzy Stuhr,イエルジー・スチュエル
Jacek Fedorowicz,ヤツェク・フェドローヴィッチ
Ignace Gelb,イグナス・ゲルブ
Piotr Fronczewski,ピョートル・フロンチェウスキー
Maria Skłodowska-Curie,マリ・キュリー
Kazimierz Bein,カジミエシュ・バイン
Renate von Natzmer,レナータ・フォン・ナッツメル
Franciszek Smuda,フランチシェク・スムダ
Lech Kaczyński,レフ・カチンスキ
Sławomir Mrożek,スワボミール・ムロジェック
Henryk Jerzy Chmielewski,ヘンリク・フミェレフスキー
Lidia Zamenhof,リディア・ザメンホフ
Eugen Polanski,オイゲン・ポランスキ
Jennifer Suhr,ジェニファー・サー
Katarzyna Bujakiewicz,カタジナ・ブジャキエヴィチ
Stephanie Kwolek,ステファニー・クオレク
Jolanta Kwaśniewska,ヨランタ・クファシニェフスカ
Aleksander Kwaśniewski,アレクサンデル・クファシニェフスキ
Paweł Kukiz,パヴェウ・クキズ
Julius Axelrod,ジュリアス・アクセルロッド
Urszula Ledóchowska,ウルシュラ・レドゥホフスカ
Leon Karol Habsburg,レオ・カール・フォン・エスターライヒ
Kacper Przybyłko,カツペル・プシビウコ
Isaac Bashevis Singer,アイザック・バシェヴィス・シンガー
Waldemar Podolski,ヴァルデマール・ポドルスキ
Bogusław Samborski,ボクスラウ・サンボルスキ
Anita Włodarczyk,アニタ・ヴォダルチク
Stanisław Lem,スタニスワフ・レム
Leopold Adametz,レオポルト・アダメッツ
Kazimierz Sabbat,カジミェシュ・サバト
Stanisław Wojciechowski,スタニスワフ・ヴォイチェホフスキ
Alexander Granach,アレクサンダー・グラナック
Hilmar Kopper,ヒルマー・コッパー
Małgorzata Musierowicz,マウゴジャタ・ムシェロヴィチ
Karol Stefan Habsburg,カール・シュテファン・フォン・エスターライヒ
Ryszard Kaczorowski,リシャルト・カチョロフスキ
Wojciech Jaruzelski,ヴォイチェフ・ヤルゼルスキ
Tadeusz Reichstein,タデウシュ・ライヒスタイン
Marian Woronin,マリアン・ヴォロニン
Agata Kulesza,アガタ・クレシャ
Zygmunt Kęstowicz,ジグムント・ケンストヴィチ
Franciszek Macharski,フランシス・マカルスキー
Edyta Piecha,エディタ・ピエーハ
Leszek Miller,レシェク・ミレル
Andrzej Szeptycki,アンドレイ・シェプティツキー
Jagna Marczułajtis-Walczak,ヤグナ・マルチュワイティス
Paulina Ligocka,パウリーナ・リゴツカ
Ryszard Szurkowski,ルィシャルド・シュルコヴスキ
Kazimierz Funk,カシミール・フンク
Hilary Skarżyński,ヒラリ・スカシニスキ
Paweł Klecki,パウル・クレツキ
Bezprym,ベスプリム
August Zaleski,アウグスト・ザレスキ
Marek Belka,マレック・ベルカ
Maria Malicka,マリア・マリツカ
Miroslav Klose,ミロスラフ・クローゼ
Roman Giertych,ロマン・ギェルティフ
Zyta Gilowska,ジタ・ギロフスカ
Tomasz Wróblewski,トーマシュ・ウロブレフスキ
Kazimierz Marcinkiewicz,カジミェシュ・マルチンキェヴィチ
Tadeusz Mazowiecki,タデウシュ・マゾヴィエツキ
Karol Rathaus,カロル・ラートハウス
Karol Radek,カール・ラデック
Benoît Mandelbrot,ブノワ・マンデルブロ
Gustaw Gizewiusz,グスタフ・ギゼヴィウシュ
Benita von Falkenhayn,ベニータ・フォン・ファルケンハイン
Josef Jadassohn,ヨーゼフ・ヤーダスゾーン
Michał Sopoćko,ミカエル・ソボチコ
Henryk Kasperczak,ヘンリク・カスペルチャク
Włodzimierz Cimoszewicz,ヴウォジミェシュ・チモシェヴィチ
Jarosław Kaczyński,ヤロスワフ・カチンスキ
Ludwik Hirszfeld,ルドヴィック・ヒルシュフェルト
Edward Strasburger,エードゥアルト・シュトラースブルガー
Adam Mickiewicz,アダム・ミツキェヴィチ
Jerzy Janowicz,イェジ・ヤノヴィッツ
Henryk Sienkiewicz,ヘンリク・シェンキェヴィチ
Jan Krzysztof Bielecki,ヤン・クシシュトフ・ビェレツキ
Jerzy Buzek,イェジ・ブゼク
Ryksa śląska,リクサ・シロンスカ
Stanisław Szpinalski,スタニスワフ・シュピナルスキ
Stanisław Ostrowski,スタニスワフ・オストロフスキ
Władysław Raczkiewicz,ヴワディスワフ・ラチュキェヴィチ
Edward Bernard Raczyński,エドヴァルト・ベルナルト・ラチンスキ
Leszek Balcerowicz,レシェク・バルツェロヴィチ
Ludwik Dorn,ルドヴィク・ドルン
Victor Klemperer,ヴィクトル・クレンペラー
Radosław Sikorski,ラドスワフ・シコルスキ
Anna Maria Jopek,アナ・マリア・ヨペック
Aleksander Krupa,オレク・クルパ
Józef Oleksy,ユゼフ・オレクスィ
Jan Olszewski,ヤン・オルシェフスキ
Waldemar Pawlak,ヴァルデマル・パヴラク
Hanna Suchocka,ハンナ・スホツカ
Moris Rosenfeld,モリス・ローゼンフェルド
Wojtek Wolski,ボイチェフ・ボルスキー
Wisława Szymborska,ヴィスワヴァ・シンボルスカ
Raymond Kopa,レイモン・コパ
Monika Sozanska,モニカ・ゾツァンスカ
Kazimierz Graff,カジミール・グラフ
Jan Kubary,ヨハン・クバリー
Przemysław Gosiewski,プシェムィスワフ・ゴシェフスキ
Lestek,レステク
Mieszko II Lambert,ミェシュコ2世
Małgorzata Bela,マウゴザタ・ベラ
Danuta Siedzikówna,ダヌータ・シェジクナ
Harry Warner,ハリー・ワーナー
Rob Van Dam,ロブ・ヴァン・ダム
Herkules Dembowski,エルコレ・デンボウスキー
Jerzy Skolimowski,イエジー・スコリモフスキ
Bronisław Komorowski,ブロニスワフ・コモロフスキ
Adrian Mierzejewski,アドリアン・ミェジェイェフスキ
Tomasz Wałdoch,トマシュ・ヴァウドフ
Zdzisław Hoffmann,ズジスワフ・ホフマン
Andrzej Przewoźnik,アンジェイ・プシェヴォジニク
Bernd von Droste zu Hülshoff,ドロステ
Leon Jogiches,レオ・ヨギヘス
Kazimierz Nycz,カジミェシュ・ニクズ
Krzysztof Piesiewicz,クシシュトフ・ピエシェヴィッチ
Charles Kowal,チャールズ・トーマス・コワル
Andrzej Sariusz-Skąpski,アンジェイ・サリウシュ=スコンプスキ
Henryk Rzewuski,ヘンリク・ジェヴスキ
Wojciech Korfanty,ヴォイチェフ・コルファンティ
Alexander Herr,アレクサンダー・ヘル
Kamil Glik,カミル・グリク
Łukasz Fabiański,ウカシュ・ファビアンスキ
Marcel Reich-Ranicki,マルツェル・ライヒ＝ラニツキ
Magdalena Cielecka,マグダレナ・チェレツカ
Bolesław V Wstydliwy,ボレスワフ5世
Jan I Olbracht,ヤン1世
Ryszard Waldemar Andrzejewski,ペヤ
Roman Polański,ロマン・ポランスキー
Bolesław II Szczodry,ボレスワフ2世
Bolesław IV Kędzierzawy,ボレスワフ4世
Józef Chasyd,ヨーゼフ・ハシッド
Elonka Dunin,イロンカ・デューニン
Adam Kokoszka,アダム・ココシュカ
Czesław Miłosz,チェスワフ・ミウォシュ
Tadeusz Kutrzeba,タデウシュ・クチシェバ
Aleksandra Śląska,アレクサンドラ・シュロンスカ
Waldemar Glinka,ワルデマール・グリンカ
Marek Plawgo,マレク・プワブゴ
Artur Szpilka,アルツール・スピルカ
Wincenty Pol,ヴィンツェントゥ・ポル
Feliks Nowowiejski,フェリクス・ノヴォヴィエイスキ
Robert Warzycha,ロベルト・ヴァジハ
Bartosz Kurek,バルトシュ・クレク
Wojciech Smarzowski,ロベルト・ヴィエンツキェヴィチ
Adam Ledwoń,アダム・レドヴォン
Ludwik Mierosławski,ルドヴィク・ミエロスワフスキ
Józef Młynarczyk,ユゼフ・ムイナルチク
Jan Nowicki,ヤン・ノヴィツキ
Adam Kszczot,アダム・クチョット
Adam Harasiewicz,アダム・ハラシェヴィチ
Adam Holender,アダム・ホールダー
Bartłomiej Nizioł,バルトウォミェイ・ニジョウ
Bartosz Konopko,バルトシュ・コノプコ
Bartosz Huzarski,バルトシュ・フザルスキ
Adam Nawałka,アダム・ナヴァウカ
Menachem Begin,メナヘム・ベギン
Małgorzata Sobańska,マルゴザタ・ソバンスカ
Paulina Buziak,パウリナ・ブジアク
Adam Matysek,アダム・マティセク
Stanisław Wielgus,スタニスワフ・ヴィエルグス
Kazimierz I Odnowiciel,カジミェシュ1世
Sebastian Druszkiewicz,セバスチャン・ドゥルシュキエビチ
Zbigniew Robert Promiński,ズビグニェフ・ロバート・プロミンスキー
Adam Wiśniewski-Snerg,アダム・ヴィシニェフスキ＝スネルグ
Adam Zagajewski,アダム・ザガエフスキ
Max Weber,マックス・ウェーバー
Anzia Yezierska,アンジア・イージアスカ
Adam Rutkowski,アダム・ルトコヴスキ
Seweryn Kłosowski,ジョージ・チャップマンの事件
Adam Stefan Sapieha,アダム・ステファン・サピエハ
Marcin Baszczyński,マルチン・バシュチンスキ
Łukasz Podolski,ルーカス・ポドルスキ
Jakub Błaszczykowski,ヤクプ・ブワシュチコフスキ
Wanda Półtawska,ワンダ・プウタフスカ
Samuel Eilenberg,サミュエル・アイレンベルグ
Edward Kłosiński,エドヴァルト・クウォシンスキ
Rudolf Modrzejewski,ラルフ・モジェスキー
Robert Lewandowski,ロベルト・レヴァンドフスキ
Jakub Świerczok,ヤクブ・シュヴィルツォク
Gerda Weissmann-Klein,ゲルダ・ヴァイスマン・クライン
Małgorzata Gebel,マルゴーシュ・ガベル
Karol Kłos,カロル・クウォス
Aleksander Wat,アレクサンデル・ヴァット
Adam Sarota,アダム・サロタ
Mateusz Taciak,マテウシュ・タチアク
Irena Sendlerowa,イレーナ・センドラー
Marta Sosińska-Janczewska,マルタ・ソシンスカ
Kazimierz Piechowski,カジミェシュ・ピエホフスキー
Arkadiusz Milik,アルカディウシュ・ミリク
Adam Przeworski,アダム・プシェヴォルスキ
Ewa Kupiec,エヴァ・クピエック
Grzegorz Proksa,グジェゴシ・プロクサ
Adam Rapacki,アダム・ラパツキ
Ignacy Porecki,イグナス・ポレツキー
Bolesław Prus,ボレスワフ・プルス
Antoni Chruściel,アントニ・フルスチェル
Jerzy Bielecki,イェジ・ビェレツキ
Daniel Stabrawa,ダニエル・シュタブラーヴァ
Stanisław ze Szczepanowa,シュツェパノフのスタニスラウス
Adolf Schulz-Evler,アドルフ・シュルツ＝エヴラー
Władysław Sheybal,ヴラデク・シェイバル
Tomasz Kulawik,トマシュ・クラヴィク
Rafał Kubacki,ラファウ・クバツキ
Agnieszka Dygacz,アニエスカ・ディガチュ
Georges Charpak,ジョルジュ・シャルパク
Łukasz Piszczek,ウカシュ・ピシュチェク
Wojciech Kętrzyński,ヴォイチェフ・ケントシンスキ
Janusz Kulig,ヤヌシュ・クーリグ
Krzysztof Penderecki,クシシュトフ・ペンデレツキ
Marcin Gortat,マルチン・ゴルタット
Leon Feldhendler,レオン・フェルトヘンドラー
Maria Andegaweńska,マーリア
Maciej Lampe,マチェイ・ランペ
Salomon Morel,サロモン・モレル
Adam Wadecki,アダム・ワデッキ
Janusz Olejniczak,ヤーヌシュ・オレイニチャク
Koji Kamoji,鴨治晃次
Stanisław Gołąb,スタニスラフ・ゴウォンブ
Emmanuel Olisadebe,エマヌエル・オリサデベ
Władysław Sikorski,ヴワディスワフ・シコルスキ
Mirosław Szymkowiak,ミロスワフ・シムコビアク
Andrzej Szarmach,アンジェイ・シャルマッフ
Gabriel Chmura,ガブリエル・フムラ
Waldemar Świerzy,ヴァルディマル・シヴェジ
Arnold Walfisz,アーノルド・ウォルフィッツ
Marcin Matkowski,マルチン・マトコフスキ
Teodor Axentowicz,テオドル・アクセントヴィチ
Krystian Zimerman,クリスティアン・ツィマーマン
Stanisław Srokowski,スタニスワフ・スロコフスキ
Jerzy Spława-Neyman,イェジ・ネイマン
Roman Ingarden,ローマン・インガルデン
Sławomir Skrzypek,スワヴォミル・スクシペク
Leonid Hurwicz,レオニード・ハーヴィッツ
Bronisław Geremek,ブロニスワフ・ゲレメク
Maciej Kurowski,マチェイ・クロフスキ
Alfred Wierusz-Kowalski,アルフレッド・コワルスキー
Leszek Cichy,レシェック・チヒ
Gil Vermouth,ギル・ヴェルムート
Tadeusz Buk,タデウシュ・ブク
Sebastian Boenisch,セバスティアン・ボエニシュ
Jerzy Popiełuszko,イエジ・ポピエウシュコ
Jerzy Ficowski,イェジィ・フィツォフスキ
Daniel Libeskind,ダニエル・リベスキンド
Róża Robota,ロージャ・ロボタ
Ryszard Wójcik,リシャルト・ヴォイチック
Halina Czerny-Stefańska,ハリーナ・チェルニー＝ステファンスカ
Marek Saganowski,マレク・サガノフスキ
Łukasz Simlat,ウカシュ・シムラト
Janusz Kurtyka,ヤヌシュ・クルティカ
Zbigniew Ziobro,ズビグニェフ・ジョブロ
Bronisław Czech,ブロニスワフ・チェフ
Stanisław Masłowski,スタニスワフ・マスウォフスキー
Jan Nowak-Jeziorański,ヤン・ノヴァク＝イェジォランスキ
Władysław Bortkiewicz,ボルトキーヴィッチ
Jerzy Konstanty Czartoryski,イェジ・コンスタンティ・チャルトリスキ
Mirosław Hermaszewski,ミロスワフ・ヘルマシェフスキ
Tadeusz Baird,タデウシュ・バイルト
Tomasz Arciszewski,トマシュ・アルチシェフスキ
Leszek Kołakowski,レシェク・コワコフスキ
Leszek Engelking,レシェック・エンゲルキング
Marian Rejewski,マリアン・レイェフスキ
Robert Kubica,ロバート・クビサ
Mariusz Jop,マリウシュ・ヨプ
Marek Edelman,マレク・エデルマン
Ernest Pohl,エルンスト・ポール
