Polska,ポーランド
Nysa Łużycka,ナイセ川
Mierzeja Helska,ヘル半島
Węgorapa,アングラパ川
Łyna,アーレ川
Auschwitz-Birkenau,アウシュヴィッツ＝ビルケナウ強制収容所
Poznański Szybki Tramwaj,ポズナン高速トラム
Górne Łużyce,オーバー
Iława,イワヴァ
Zamek w Malborku,マルボルク城
Oświęcim,オシフィエンチム
Szeszupa,シェシュパ川
Kanał Elbląski,エルブロンク運河
Ekstraklasa w piłce nożnej,エクストラクラサ
województwo kujawsko-pomorskie,クヤヴィ＝ポモージェ県
województwo lubelskie,ルブリン県
grudzień,12月
język ukraiński,ウクライナ語
Poznań Główny,ポズナン中央駅
Tramwaje w Poznaniu,ポズナン市電
Miejskie Przedsiębiorstwo Komunikacyjne w Poznaniu,ポズナン市交通会社
identyfikator NUKAT,NUKAT
Swarzędz,スヴァルゼンツ
Pobiedziska,ポビエジスカ
województwo dolnośląskie,ドルヌィ・シロンスク県
Wybory parlamentarne w Polsce w 2011 roku,2011年ポーランド議会選挙
Wybory parlamentarne w Polsce w 2001 roku,2001年ポーランド議会選挙
Wybory parlamentarne w Polsce w 2005 roku,2005年ポーランド議会選挙
Wybory parlamentarne w Polsce w 2007 roku,2007年ポーランド議会選挙
Wybory parlamentarne w Polsce w 1997 roku,1997年ポーランド議会選挙
Świętochłowice,シフィエントフウォヴィツェ
województwo lubuskie,ルブシュ県
jidysz,イディッシュ語
Głogów,グウォグフ
Kluczbork,クルジュボルク
język niemiecki,ドイツ語
Twierdza Modlin,Modlin要塞
Autosan,オートサン
Twierdza Poznań,ポーゼン要塞
województwo pomorskie,ポモージェ県
język białoruski,ベラルーシ語
Śródmieście,シルドミエシチェ
Bemowo,ベモウォ
język litewski,リトアニア語
unikatowy identyfikator NLP,ポーランド国立図書館識別子（旧）
Chodzież,ホジェシ
Orlica,オルリツェ
Zespół Pałacowy w Wilanowie,ヴィラヌフ宮殿
Toruń,トルン
województwo opolskie,オポレ県
identyfikator filmu w Filmweb.pl,Filmweb.pl映画識別子
identyfikator osoby w Filmweb.pl,Filmweb.pl人物識別子
SZD-50 Puchacz,SZD-50 プハッチ
Małopolska,小ポーランド
Dzielnica senioralna,長子領
województwo śląskie,シロンスク県
gmina,基礎自治体（ポーランド）
Przyjaźń-84,フレンドシップ・ゲームズ
Walki o Przemyśl w 1918 roku,プシェムィシルの戦い
Murowana Goślina,ムロバナ・ゴシリナ
Mosina,モシカ
Luboń,ルーボン
identyfikator w Filmweb.pl,Filmweb.pl識別子
województwo warmińsko-mazurskie,ヴァルミア＝マズールィ県
województwo małopolskie,マウォポルスカ県
województwo mazowieckie,マゾフシェ県
województwo wielkopolskie,ヴィエルコポルスカ県
Kalisz,カリシュ
Akademia Muzyczna im. Karola Szymanowskiego w Katowicach,ポーランド国立カロル・シマノフスキ音楽アカデミー
Mistrzostwa Europy w Koszykówce 1963,1963年バスケットボール男子欧州選手権
Mistrzostwa Europy w Pływaniu na krótkim basenie 2011,2011年ヨーロッパ短水路選手権
Górny Śląsk,上シレジア
