Warsaw,ワルシャワ
Łódź,ウッチ
Kraków,クラクフ
Republic of Poland,ポーランド共和国
Gdańsk,グダニスク
Poznań,ポズナン
Wrocław,ヴロツワフ
Lublin,ルブリン
Bydgoszcz,ブィドゴシュチュ
Katowice,カトヴィツェ
Szczecin,シュチェチン
Kielce,キェルツェ
Rzeszów,ジェシュフ
Białystok,ビャウィストク
Gorzów Wielkopolski,ゴジュフ・ヴィエルコポルスキ
Gdynia,グディニャ
Opole,オポーレ
Toruń,トルン
Zielona Góra,ジェロナ・グラ
Radom,ラドム
Tarnów,タルヌフ
Nowy Sącz,ノヴィ・ソンチ
Masovian Voivodeship,マゾフシェ県
Greater Poland Voivodeship,ヴィエルコポルスカ県
West Pomeranian Voivodeship,西ポモージェ県
Bielsko-Biala,ビェルスコ＝ビャワ
Dąbrowa Górnicza,ドンブロヴァ・グルニチャ
Częstochowa,チェンストホヴァ
Chorzów,ホジュフ
Bytom,ビトム
Grudziądz,グルジョンツ
Głogów,グウォグフ
Gliwice,グリヴィツェ
Elbląg,エルブロンク
Kalisz,カリシュ
Słupsk,スウプスク
Rybnik,リブニク
Ruda Śląska,ルダ・シロンスカ
Legnica,レグニツァ
Koszalin,コシャリン
Płock,プウォツク
Wałbrzych,ヴァウブジフ
Tychy,ティヒ
Świętochłowice,シフィエントフウォヴィツェ
Zabrze,ザブジェ
Włocławek,ヴウォツワヴェク
Kętrzyn,ケントシン
Przemyśl,プシェムィシル
Zamość,ザモシチ
Ełk,エウク
Łomża,ウォムジャ
Kurów,クルフ
Tarnobrzeg,タルノブジェク
Suwałki,スヴァウキ
Ostrołęka,オストロウェンカ
Nowy Targ,ノヴィ・タルク
Międzyrzec Podlaski,ミェンヅィジェツ・ポドラスキ
Chełm,ヘウム
Bielany,ビエラニー
Lublin Voivodeship,ルブリン県
Lesser Poland Voivodeship,マウォポルスカ県
Podkarpackie Voivodeship,ポトカルパチェ県
Podlaskie Voivodeship,ポドラシェ県
Województwo Świętokrzyskie,シフィェンティクシシュ県
Warmian-Masurian Voivodeship,ヴァルミア＝マズールィ県
Eastern Europe,東ヨーロッパ
Lower Silesian Voivodeship,ドルヌィ・シロンスク県
Województwo Łódzkie,ウッチ県
Lubusz Voivodeship,ルブシュ県
Opole Voivodeship,オポーレ県
Pomeranian Voivodeship,ポモージェ県
Silesian Voivodeship,シロンスク県
Kuyavian-Pomeranian Voivodeship,クヤヴィ・ポモージェ県
Bełchatów,ベウハトゥフ
Chrzanów,フシャヌフ
Chojnice,ホイニツェ
Inowrocław,イノヴロツワフ
Iława,イワヴァ
Gniezno,グニェズノ
Jaworzno,ヤヴォジュノ
Mysłowice,ムィスウォヴィツェ
Stargard,スタルガルト
Sopot,ソポト
Siemianowice Śląskie,シェミャノヴィツェ・シロンスキェ
Lubin,ルビン
Łowicz,ウォヴィチ
Leszno,レシュノ
Radomsko,ラドムスコ
Racibórz,ラチブシュ
Piotrków Trybunalski,ピョートルクフ・トルィブナルスキ
Piła,ピワ
Oświęcim,オシフィエンチム
Wieluń,ヴィエルニ
Świnoujście,シフィノウイシチェ
