Leandro Damião,レアンドロ・ダミアン・ダ・シウバ・ドス・サントス
Hebe Camargo,ヘーペ・カマルゴ
Gustavo Tsuboi,グスターボ・ツボイ
João Carlos dos Santos,ジョアン・カルロス・ドス・サントス
Adriano Martins (futebolista),アドリアーノ・フェヘイラ・マルティンス
Marcos Skavinski,マルコス・アルベルト・スカビンスキ
Willian Borges da Silva,ウィリアン・ボルジェス・ダ・シウヴァ
Esmeralda Garcia,エスメラルダ・ガルシア
Vítor Meira,ヴィトール・メイラ
Pelé,ペレ
Jamelli,パウロ・ロベルト・ジャメーリ・ジュニオール
Zinho,ジーニョ
Nádson,ナジソン・ロドリゲス・デ・ソウザ
Gisele Bündchen,ジゼル・ブンチェン
Kevin Kurányi,ケヴィン・クラニー
João Havelange,ジョアン・アヴェランジェ
Donizete Oliveira,ドニゼッチ・フランシスコ・デ・オリベイラ
Ramon Menezes,ラモン・メネゼス・ウブネル
Bernardo Fernandes da Silva,ベルナルド・フェルナンデス・ダ・シルバ
Zizinho,ジジーニョ
Alessandra Ambrósio,アレッサンドラ・アンブロジオ
Guimarães Rosa,ジョアン・ギマランエス・ローザ
Bebeto,ジョゼ・ロベルト・ガマ・デ・オリベイラ
Adriana Lima,アドリアナ・リマ
Nélson Luís Kerchner,ネルソン・ルイス・カーシュナー
Alexandre Paes Lopes,アレシャンドレ・パエス・ロペス
Júlio Baptista,ジュリオ・セーザル・クレメンテ・バチスタ
Austregésilo de Athayde,アウストレジェジロ・デ・アタイデ
Paulo Coelho,パウロ・コエーリョ
"Ricardinho (futebolista, 1976)",リカルド・ルイス・ポッズィ・ロドリゲス
Luiz Adriano,ルイス・アドリアーノ・デ・ソウザ・ダ・シルバ
José Paulo Bezerra Maciel Junior,ジョゼ・パウロ・ベセーラ・マシエル・ジュニオール
Ralf (futebolista),ラルフ・デ・ソウザ・テレス
Ayrton Senna,アイルトン・セナ
Neymar,ネイマール
Hulk (futebolista),ジヴァニウド・ヴィエイラ・ジ・ソウザ
Heitor Villa-Lobos,エイトル・ヴィラ＝ロボス
Nelson Prudêncio,ネルソン・プルデンシオ
Alexandre Pato,アレシャンドレ・ロドリゲス・ダ・シウヴァ
Sinha,アントニオ・ナエルソン
Felipe Melo,フェリペ・メロ・デ・カルヴァーリョ
Ramires (futebolista),ラミレス・サントス・ド・ナシメント
Kléber Laube Pinheiro,クレーベ・ラウベ・ピニェイロ
Ricardo Alexandre dos Santos,リカルド・アレッシャンドレ・ドス・サントス
Zilda Arns,ジウダ・アルンス
Claudiano Bezerra da Silva,クラウディアーノ・ベセーラ・ダ・シウヴァ
Juninho Pernambucano,ジュニーニョ・ペルナンブカーノ
Augusto Pestana,アウグスト・ペスタナ
Bruno Quadros,ブルーノ・エベルトン・クアドロス
Pita (futebolista),エジヴァウド・オリヴェイラ・シャヴェス
Oscar Niemeyer,オスカー・ニーマイヤー
Emilie Snethlage,エミーリエ・スネトラーゲ
Helmut Sick,ヘルムート・ジック
Valdir Benedito,バウディール・ベネディット
Marcinho (futebolista),マルシオ・ミランダ・フレイタス・ロシャ・ダ・シルバ
Bernard Anício Caldeira Duarte,ベルナルジ・アニシオ・カルデイラ・ドゥアルテ
Éverton Santos,エヴェルトン・レアンドロ・ドス・サントス・ピント
Leandro Lessa Azevedo,レアンドロ・レッサ・アセヴェド
Leandro Domingues,レアンドロ・ドミンゲス・バルボーザ
Reinaldo da Cruz Oliveira,レイナウド・ダ・クルズ・オリベイラ
Leandro Montera da Silva,レアンドロ・モンテーラ・ダ・シルバ
Edmilson dos Santos Silva,エジミウソン・ドス・サントス・シルバ
