Xanana Gusmão,シャナナ・グスマン
Abel Xavier,アベル・シャヴィエル
José Sócrates,ジョゼ・ソクラテス
"Aldegundes de Bragança, condessa de Bardi",アルデグンデス・デ・ブラガンサ
Paulo Ferreira (futebolista),パウロ・フェレイラ
João Pedro da Silva Pereira,ジョアン・ペレイラ
Rui Manuel César Costa,マヌエル・ルイ・コスタ
Ricardo Quaresma,リカルド・クアレスマ
Joaquim de Almeida,ジョアキム・デ・アルメイダ
Manuel Pinto da Costa,マヌエル・ピント・ダ・コスタ
Luís Miguel Brito Garcia Monteiro,ミゲル・モンテイロ
Daniel Fernandes,ダニエル・フェルナンデス・(サッカー選手)
Fernando Santos (treinador de futebol),フェルナンド・サントス・(ポルトガルのサッカー選手)
Fernando Mendes Soares Gomes,フェルナンド・ゴメス・(ポルトガルのサッカー選手)
Rui Costa (ciclista),ルイ・コスタ・(自転車選手)
Paulo Futre,パウロ・フットレ
Nelly Furtado,ネリー・ファータド
Artur Alves dos Reis,アルヴェス・レイス
Maria João (cantora),マリア・ジョアン
Domingos Paciência,ドミンゴス・パシエンシア
Jesualdo Ferreira,ジェズアウド・フェレイラ
Ricardo Sá Pinto,リカルド・サ・ピント
Cristiano Ronaldo,クリスティアーノ・ロナウド
Maniche,マニシェ
José Manuel Durão Barroso,ジョゼ・マヌエル・ドゥラン・バローゾ
Manoel de Oliveira,マノエル・ド・オリヴェイラ
Marcos Aoás Corrêa,マルコス・アオアス・コレア
José Saramago,ジョゼ・サラマーゴ
Marco Caneira,マルコ・カネイラ
Calouste Gulbenkian,カルースト・グルベンキアン
Teófilo Braga,テオフィロ・ブラガ
António Lobo Antunes,アントニオ・ロボ・アントゥーネス
Zico,ジーコ
João César Monteiro,ジョアン・セーザル・モンテイロ
Pedro Passos Coelho,ペドロ・パッソス・コエーリョ
Aníbal Cavaco Silva,アニーバル・カヴァコ・シルヴァ
Telma Monteiro,テルマ・モンテイロ
Alexandrina de Balazar,アレシャンドリナ・マリア・ダ・コスタ
Arthur Napoleão,アルトゥール・ナポレアン・ドス・サントス
Sara Tavares,サラ・タヴァレス
Augusta Vitória de Hohenzollern-Sigmaringen,アウグステ・ヴィクトリア・フォン・ホーエンツォレルン＝ジグマリンゲン
Nuno Gomes,ヌーノ・ゴメス
Fernando Matos Silva,フェルナンド・マトス・シルヴァ
Hugo Almeida,ウーゴ・アルメイダ
Sandro Ranieri Guimarães Cordeiro,サンドロ・ラニエリ・ギマランイス・コルデイロ
Bruno Alves,ブルーノ・アルヴェス
Manuel II de Portugal,マヌエル2世・(ポルトガル王)
Ricardo Costa (futebolista),リカルド・コスタ
Mário Soares,マリオ・ソアレス
Jorge Sampaio,ジョルジェ・サンパイオ
Bruno Martins Indi,ブルーノ・マルティンス・インディ
Manuel António Cardoso,マヌエル・カルドーゾ・(自転車選手)
Simão Sabrosa,シモン・サブローザ
Ederzito António Macedo Lopes,エデルジト・アントニオ・マセド・ロペス
António Egas Moniz,エガス・モニス
Carmen Miranda,カルメン・ミランダ
Aristides de Sousa Mendes,アリスティデス・デ・ソウザ・メンデス
Silvestre Varela,シルヴェストレ・ヴァレラ
João Vieira Pinto,ジョアン・ヴィエイラ・ピント
Hélder Barbosa,エルデル・バルボーザ
António de Oliveira Salazar,アントニオ・サラザール
Vieirinha,アデリーノ・アンドレ・ヴィエイラ・フレイタス
Eliseu Pereira dos Santos,エリゼウ・ペレイラ・ドス・サントス
António Ramalho Eanes,アントニオ・エアネス
José Mourinho,ジョゼ・モウリーニョ
Vítor Hugo Gomes Passos,ビトル・ウーゴ・ゴメス・パッソス
Teresa Heinz Kerry,テレイザ・ハインツ
Leonor Silveira,レオノール・シルヴェイラ
Manuel de Arriaga,マヌエル・デ・アリアガ
Rui Patrício,ルイ・パトリシオ
Sidónio Pais,シドニオ・パイス
Hugo Viana,ウーゴ・ヴィアナ
Petit (futebolista),アルマンド・テイシェイラ
Francisco Lázaro,フランシスコ・ラザロ
Eduardo Mondlane,エドゥアルド・モンドラーネ
Vitorino Antunes,ヴィトリーノ・アントゥネス
Carlos Martins (futebolista),カルロス・マルティンス
Francisco Craveiro Lopes,フランシスコ・クラヴェイロ・ロペス
Tiago Mendes,ティアゴ・メンデス
Jacinta Marto,ジャシンタ・マルト
Quim,ジョアキン・シルヴァ
Ânderson Luís da Silva,アンデルソン・ルイス・ダ・シウバ
José Bosingwa,ジョゼ・ボシングワ
André Villas-Boas,アンドレ・ビラス・ボアス
Amílcar Cabral,アミルカル・カブラル
Rúben Amorim,ルベン・アモリム
Universidade de Coimbra,コインブラ大学
Gonçalo Ribeiro Telles,ゴンサロ・リベイロ・テレス
Nuno Bettencourt,ヌーノ・ベッテンコート
Leandro Romagnoli,レアンドロ・ロマニョーリ
Nuno Espírito Santo,ヌーノ・エスピーリト・サント
Vítor Baía,ビトール・バイーア
Bebé (futebolista),ベベ・(サッカー選手)
Manuel Henrique Tavares Fernandes,マヌエル・フェルナンデス
Carlos Lopes (atleta),カルロス・ロペス
Amadeo de Souza-Cardoso,アマデオ・デ・ソウザ＝カルドーゾ
Rui Silva,ルイ・シルバ
Jorge Ribeiro,ジョルジェ・リベイロ
António Damásio,アントニオ・ダマシオ
Sérgio Paulinho,セルジオ・パウリーニョ
Amaury Bischoff,アマウリ・ビショフ
Pedro Chaves (automobilista),ペドロ・チャベス
Lúcia dos Santos,ルシア・ドス・サントス
Antonio Tabucchi,アントニオ・タブッキ
Fernanda Ribeiro,フェルナンダ・リベイロ
Hélder Postiga,エルデル・ポスティガ
Liedson,リエジソン・ダ・シウヴァ・ムニス
Rosa Mota,ロザ・モタ
João Moutinho,ジョアン・モウティーニョ
Henrique Hilário,エンリケ・イラーリオ
Amália Rodrigues,アマリア・ロドリゲス
Pedro Pauleta,ペドロ・パウレタ
Samora Machel,サモラ・マシェル
Raul Meireles,ラウル・メイレレス
Paulo Assunção,パウロ・アスンソン・ダ・シウバ
Roman Abramovich,ロマン・アブラモヴィッチ
Arnaldo Edi Lopes da Silva,アルナルド・エディ・ロペス・ダ・シルヴァ
Eusébio,エウゼビオ
"Maria Teresa de Bragança, arquiduquesa da Áustria",マリア・テレサ・フォン・ポルトゥガル
Maria Pia de Saboia,マリア・ピア・デ・サボイア
Marcello Caetano,マルセロ・カエターノ
Danny,ダニー・アルヴェス
Fernando Meira,フェルナンド・メイラ
Costinha (futebolista),コスチーニャ
Jorge Manuel Almeida Gomes de Andrade,ジョルジュ・アンドラーデ
António Guterres,アントニオ・グテーレス
Cédric Soares,セドリック・ソアレス
Álvaro Siza Vieira,アルヴァロ・シザ
Álvaro Parente,アルヴァロ・パレンテ
"Maria Ana de Bragança, Grã-duquesa do Luxemburgo",マリー＝アンヌ・ド・ポルテュガル
Dulce Pontes,ドゥルス・ポンテス
Pedro Lamy,ペドロ・ラミー
Daniela Ruah,ダニエラ・ルーア
Paula Rego,ポーラ・レゴ
Maria de Medeiros,マリア・デ・メデイロス
Maria João Pires,マリア・ジョアン・ピレシュ
Eduardo dos Reis Carvalho,エドゥアルド・ドス・レイス・カルヴァーリョ
Rolando Jorge Pires da Fonseca,ロランド・フォンセカ
William Silva de Carvalho,ウィリアム・カルヴァーリョ
Nelson Évora,ネルソン・エボラ
Luís Neto,ルイス・ネト
Ukra,アンドレ・フィリペ・アウヴェス・モンテイロ
Manuel Gomes da Costa,マヌエル・ゴメス・ダ・コスタ
José Mendes Cabeçadas,ジョゼ・メンデス・カベサダス
Antónia de Bragança,アントニア・マリア・フォン・ポルトゥガル
Pedro Proença,ペドロ・プロエンサ
Maria das Neves de Bragança,マリア・ダス・ネヴェス・デ・ブラガンサ
Paulo Branco,パウロ・ブランコ
Guilhermina Suggia,ギレルミナ・スッジア
Nélson Oliveira,ネルソン・オリヴェイラ
Francis Obikwelu,フランシス・オビクウェル
Carlos Queiroz,カルロス・ケイロス
Eduardo Souto de Moura,エドゥアルド・ソウト・デ・モウラ
Fernando Couto,フェルナンド・コウト
Fábio Coentrão,ファビオ・コエントラン
Pepe (futebolista),ケープレル・ラヴェラン・リマ・フェレイラ
Joana Ramos,ジョアナ・ラモス
Marisa Barros,マリーザ・バロス
Fátima Lopes (estilista),ファティマ・ロペス
Hugo Miguel Ribeiro Leal,ウーゴ・レアル
Tiago Monteiro,ティアゴ・モンテイロ
Fernando Pessoa,フェルナンド・ペソア
Manuel Galrinho Bento,マヌエル・ベント
Jorge Costa,ジョルジュ・コスタ
Miguel Januário de Bragança,ミゲル2世・デ・ブラガンサ
Maria de Lourdes Pintasilgo,マリア・デ・ルルデス・ピンタシルゴ
Amélia de Orleães,アメリー・ドルレアン
Naide Gomes,ナイデ・ゴメス
Mísia (cantora),ミージア
"Maria Antónia de Bragança, duquesa de Parma",マリーア・アントーニア・デル・ポルトガッロ
Ricardo Alexandre Martins Soares Pereira,リカルド・ペレイラ
Ricardo Nuno Queirós Nascimento,リカルド・ナシメント
Artur Jorge,アルトゥール・ジョルジェ
Marcos Freitas,マルコス・フレイタス
Artur Soares Dias,アルトゥール・ソアレス・ディアス
Portugueses,ポルトガル人
Pedro Santana Lopes,ペドロ・サンタナ・ロペス
Miguel Veloso,ミゲル・ヴェローゾ
Susana Feitor,スザナ・フェイトル
Maria José de Bragança,マリア・ヨーゼファ・フォン・ポルトゥガル
Maria Helena Vieira da Silva,マリア・エレナ・ヴィエイラ・ダ・シルヴァ
Zé Castro,ゼ・カストロ
José António dos Santos Silva,ジョゼ・アントニオ・ド・サントス・ダ・シルヴァ
João Magueijo,ジョアオ・マゲイジョ
Álvaro Cunhal,アルヴァロ・クニャル
Olegário Benquerença,オレガリオ・ベンケレンサ
Agacão IV,アーガー・ハーン4世
Philippe Coutinho,フィリペ・コウチーニョ・コレイア
Nuno Valente,ヌーノ・ヴァレンテ
Roberto Luís Gaspar Deus Severo,ロベルト・セベロ
Ana Cabecinha,アナ・カベシーニャ
Nani,ルイス・カルロス・アルメイダ・ダ・クーニャ
Luís Figo,ルイス・フィーゴ
José Dominguez,ジョゼ・ドミンゲス
Miguel Lopes,ミゲル・ロペス
Rúben Micael,ルベン・ミカエル
"Duda (futebolista, 1980)",セルジオ・ドゥダ
Ivo Pinto,イヴォ・ピント
André Couto,アンドレ・クート
Maria de Jesus (supercentenária),マリア・デ・ジェズス
Paulo Sousa,パウロ・ソウザ
Custódio Miguel Dias de Castro,クストディオ・カストロ
Kevin Gameiro,ケヴィン・ガメイロ
Paulo Bento (treinador de futebol),パウロ・ベント
Luís Boa Morte,ルイス・ボア・モルテ
José Luís Peixoto,ホセ・ルイス・ペイショット
António Alberto Bastos Pimparel,アントニオ・アルベルト・バストス・ピンパレル
Óscar Carmona,アントニオ・オスカル・カルモナ
Tiago Machado (ciclista),ティアゴ・マシャド
André Gomes (futebolista português),アンドレ・ゴメス
Nélson Marcos,ネルソン・マルコス
Jorge Jesus,ジョルジェ・ジェズス
Yannick Djaló,ヤニック・ジャロ
Sérgio Conceição,セルジオ・コンセイソン
Abel Ferreira,アベル・フェレイラ
Pedro Mendes,ペドロ・メンデス
Ariza Makukula,アリザ・マククラ
Miguel Oliveira,ミゲル・オリベイラ
Ricardo Sérgio Rocha Azevedo,リカルド・セルジオ・ローシャ・アゼヴェード
José Carlos Gonçalves Rodrigues,ジョゼ・カルロス・ゴンザルヴェス・ロドリゲス
Paulo Rocha (cineasta),パウロ・ローシャ
Manuel da Costa (futebolista),マヌエル・ダ・コスタ
Paulo Santos,パウロ・サントス
Ricardo Trêpa,リカルド・トレパ
Paulo Machado,パウロ・マシャド
Hugo Filipe da Costa Vieira,ウーゴ・ヴィエイラ
Sérgio Oliveira,セルジオ・オリヴェイラ
Tiago Apolónia,ティアゴ・アポローニャ
Wilson Eduardo,ウィルソン・エドゥアルド
José Alberto Costa,ジョゼ・アルベルト・コスタ
Jorge Cadete,ジョルジ・カデテ
Ileana D'Cruz,イリアナ・デクルーズ
Carlos Ramos (árbitro),カルロス・ラモス・(テニス審判員)
Manuel Matias,マヌエル・マティアス
António Costa,アントニオ・コスタ
António Félix da Costa,アントニオ・フェリックス・ダ・コスタ
André Filipe Bernardes Santos,アンドレ・フィリペ・ベルナルデス・サントス
Oceano da Cruz,オセアノ・ダ・クルス
Sequeira Costa,セケイラ・コスタ
Armando José Fernandes,アルマンド・ジョゼ・フェルナンデス
António Fragoso,アントーニオ・フラゴーソ
Raphaël Guerreiro,ラファエル・ゲレイロ
Paulo Madeira,パウロ・マデイラ
José Couceiro,ジョゼ・コウセイロ
Pizzi,ルイス・ミゲル・アフォンソ・フェルナンデス
João Monteiro,ジョアン・モンテイロ
Jorge Mendes,ジョルジュ・メンデス
Ricardo Carvalho (futebolista),リカルド・カルヴァーリョ
Leonardo Jardim,レオナルド・ジャルディム
André Pinto,アンドレ・ピント
José Sá,ジョゼ・サ
Vítor Pereira,ヴィトール・ペレイラ
Ricardo Domingos Barbosa Pereira,リカルド・ドミンゴス・バルボサ・ペレイラ
Steven Vitória,スティーヴン・ヴィトーリア
Dossa Júnior,ドッサ・モマド・オマル・ハッサモ・ジュニオール
Luís Leal,ルイス・レアル
Otávio Monteiro,オタヴィオ・エジミウソン・ダ・シウヴァ・モンテイロ
Mário Rui,マリオ・ルイ
Shéu Han,シェウ・ハン
Luís de Freitas Branco,ルイス・デ・フレイタス・ブランコ
António Maria da Silva,アントニオ・マリア・ダ・シルヴァ
João Paulo Dias Fernandes,ジョアン・パウロ・ディアス・フェルナンデス
João Mário Naval da Costa Eduardo,ジョアン・マリオ
Emílio Peixe,エミリオ・ペイシェ
Fábio Santos Romeu,ファビオ・サントス・ロメウ
Joly Braga Santos,ジョリ・ブラガ・サントス
Duarte Nuno de Bragança,ドゥアルテ・ヌノ・デ・ブラガンサ
João Cancelo,ジョアン・カンセロ
Diogo Salomão,ディオゴ・サロモン
Deco,アンデルソン・ルイス・デ・ソウザ
Hélder Cristóvão,エウデル・クリストヴァン
Manuel Curado,マヌエル・クラード
António Folha,アントニオ・フォーリャ
Valter Hugo Mãe,ヴァルテル・ウーゴ・マイン
Sandro Miguel Laranjeira Mendes,サンドロ・メンデス
Rui Águas (automobilista),ルイ・アグアス・(レーサー)
Salvador Agra,サルバドール・アグラ
Rui Faria,ルイ・ファリア
Derlei,ヴァンデルレイ・フェルナンデス・シルヴァ
Mário Coluna,マリオ・コルナ
Tonel (futebolista),アントニオ・レオネル・ヴィラル・ノゲイラ・ソウザ
Roderick Miranda,ロデリック・ミランダ
Ricardo Filipe da Silva Braga,リカルド・フェリペ・ダ・シルバ・ブラガ
Lucy Bronze,ルーシー・ブロンズ
Vianna da Motta,ジョゼ・ヴィアナ・ダ・モッタ
Edgar Ié,エドガル・イエ
José Malhoa,ジョゼ・マリョア
Marcelo Rebelo de Sousa,マルセロ・レベロ・デ・ソウザ
Henrique Abranches,エンリケ・アブランシェス
Mário Sérgio (futebolista português),マリオ・セルジオ
Kristof Van Hout,クリストフ・ファン・フート
Bruno Gama,ブルーノ・ガマ
Leonor Baldaque,レオノール・バルダック
Diogo Viana,ディオゴ・ヴィアナ
Manuel José de Jesus,マヌエル・ジョゼ
Marco Silva,マルコ・シウバ
Josué Filipe Soares Pesqueira,ジョズエ・ペスケイラ
José Moreira,ジョゼ・モレイラ
Luís Carlos Correia Pinto,ルイス・カルロス・コレイア・ピント
Nuno Assis,ヌノ・アシス
Nuno Morais (futebolista),ヌーノ・モライス
Eduardo Serra,エドゥアルド・セラ
Rui Jordão,ルイ・ジョルダン
Aldair Adulai Djaló Baldé,アルダイール・アドゥライ・ジャロ・バルデ
Sílvio Manuel Pereira,シルヴィオ・マヌエル・ペレイラ
Artur Loureiro,アルトゥール・ロウレイロ
Filipe Albuquerque,フェリペ・アルブケルケ
Michelle Monique Reis,ミッシェル・リー
André André,アンドレ・アンドレ
Orlando Sá,オルランド・サ
Carlos Secretário,カルロス・セクレタリオ
Claúdio Zélito da Fonseca Aguiar,クラウディオ・ゼリト・ダ・フォンセカ・フェルナンデス・アギアール
Vítor Paneira,ヴィトール・パネイラ
Adrien Silva,アドリエン・シウバ
José Fonte,ジョゼ・フォンテ
Danilo Pereira,ダニーロ・ペレイラ
André Martins,アンドレ・マルティンス
Adryan,アドリアン・オリヴェイラ・タヴァレス
Daniel Carriço,ダニエル・カリーソ
Humberto Coelho,ウンベルト・コエリョ
Rui Barros,ルイ・バロス
Stanley Ho,スタンレー・ホー
Rony Lopes,マルコス・ロペス
Dimas Teixeira,ディマス・テイシェイラ
Bruno Vale,ブルーノ・ヴァーレ
Luís Vidigal,ルイス・ビジガウ
André Vilas Boas,アンドレ・ビラス・ボアス・(サッカー選手)
Daniel da Cruz Carvalho,ダニエル・ダ・クルス・カルヴァーリョ
João Pedro Rodrigues,ジョアン・ペドロ・ロドリゲス
Artur Pizarro,アルトゥール・ピサロ
Alberto João Jardim,アルベルト・ジョアン・ジャルディン
João Paulo Andrade,ジョアン・パウロ・アンドラーデ
Pedro Emanuel,ペドロ・エマヌエル
Bruno Varela,ブルーノ・ミゲル・セメド・ヴァレラ
Litos,カルロス・デ・オリヴェイラ・マガリャエス
Joaquim Agostinho,ジョアキン・アゴスティーニョ
Gago Coutinho,ガーゴ・コーチニョ
Carlos Miguel Ribeiro Dias,カルロス・ミゲル・リベイロ・ディアス
Mário Laginha,マリオ・ラジーニャ
Mario Rondón,マリオ・ロンドン
Vasco Uva,ヴァスコ・ウヴァ
Ricardo Esgaio,リカルド・エスガイオ
Luís Carlos Ramos Martins,ルイス・マルティンス
Carlos Mané,カルロス・マネ
Julien Bardy,ジュリアン・バーディ
Pedro Barbosa (futebolista),ペドロ・バルボーザ
Nuno Frechaut,ヌーノ・フレシャウト
Peyroteo,フェルナンド・ペイロテオ
Venceslau de Morais,ヴェンセスラウ・デ・モラエス
Filipe Teixeira,フィリペ・テイシェイラ
Charles de Lambert (pioneiro da aviação),シャルル・ド・ランベール
Pedro Costa (jogador de futsal),ペドロ・コスタ・(フットサル選手)
Paulo Oliveira (futebolista),パウロ・オリヴェイラ
Bruno Gaspar,ブルーノ・ガスパール
Bruno Fernandes,ブルーノ・フェルナンデス
Rui Fonte,ルイ・フォンテ
Rui Jorge,ルイ・ジョルジ
C. R. Boxer,C・R・ボクサー
Emmanuel Nunes,エマヌエル・ヌネス
Rui Águas,ルイ・アグアス
Fábio Faria,ファビオ・ファリア
Maicon Marques Bitencourt,マイコン・マルケス・ビテンコウト
Pedro Martins (treinador),ペドロ・ルイ・ダ・モタ・ヴィエイラ・マルティンス
Ró-Ró,ペドロ・ミゲル・カルヴァーリョ・デウス・コレイア
Pedro Miguel Martins Santos,ペドロ・サントス
Pedro Manuel Mendes Ribeiro,ペドロ・マヌエル・メンデス・リベイロ
Nelson Oliveira,ネルソン・オリヴェイラ・(自転車選手)
Carlos Nuno Calado,カルロス・カラド
Fialho de Almeida,フィアーリョ・デ・アルメイダ
Filipa Cavalleri,フィリパ・カバレリ
Carlos Carvalhal,カルロス・カルヴァリャル
Diana de Cadaval,ディアナ・アルヴァレシュ・ペレイラ・デ・メロ
Diogo Figueiras,ジオゴ・フィゲイラス
Daniel Podence,ダニエル・ポデンセ
Diamantino Miranda,ディアマンティーノ・ミランダ
Bruma (futebolista),アルミンド・トゥエ・ナ・バンニャ
David Simão,ダヴィド・シモン
Fernando Lopes-Graça,フェルナンド・ロペス＝グラサ
Júlio Augusto Henriques,ジュリオ・アウグスト・エンリケス
Tobias Figueiredo,トビアス・フィゲイレド
Tiago Ilori,チアゴ・イロリ
Fábio Paím,ファビオ・パイム
Mário de Carvalho,マリオ・デ・カルヴァーリョ
Rui Duarte,ルイ・サンドロ・デ・カルヴァーリョ・ドゥアルテ
Michael Simões Domingues,ミカエル・シモンエス・ドミンゲス
Columbano Bordalo Pinheiro,コルンバノ・ボルダロ・ピニェイロ
Marco Ferreira,マルコ・フェレイラ
José Gonçalves (ciclista),ジョゼ・ゴンサルヴェス
José Júlio de Souza Pinto,ジョゼ・ジュリオ・デ・ソウザ・ピント
