Campinas,カンピーナス
Escuderia Fittipaldi,フィッティパルディ
Pelotas,ペロタス
Embraer,エンブラエル
Osasco,オザスコ・(サンパウロ州)
Ipatinga Futebol Clube,イパチンガFC
Lista do Patrimônio Mundial no Brasil,ブラジルの世界遺産
Distrito Federal (Brasil),ブラジリア連邦直轄区
Fortaleza,フォルタレザ
Brasil,ブラジル
Caxias do Sul,カシアス・ド・スル
Curitiba,クリチバ
Porto Velho,ポルト・ヴェーリョ
Real (moeda brasileira),レアル
Autódromo Internacional Nelson Piquet (Brasília),アウトドローモ・ネルソン・ピケ・(ブラジリア)
Rio Juruá,ジュルア川
Rio Mamoré,マモレ川
Rio Araguaia,アラグアイア川
Rio Japurá,ジャプラ川
São Paulo (estado),サンパウロ州
Monte Roraima,ロライマ山
Recopa Sul-Americana de 2013,レコパ・スダメリカーナ2013
Natal (Rio Grande do Norte),ナタール
Trópico de Capricórnio,南回帰線
Universidade Federal de Minas Gerais,ミナス・ジェライス連邦大学
São Paulo,サンパウロ
Língua portuguesa,ポルトガル語
Rio Paraná,パラナ川
Mato Grosso do Sul,マットグロッソ・ド・スル州
Rio Madeira,マデイラ川
Planalto Brasileiro,ブラジル高原
Rio Negro (Amazonas),ネグロ川
Fernando de Noronha,フェルナンド・デ・ノローニャ
Sarcófago (banda),サルコファーゴ
Carapicuíba,カラピクイバ
Brasília,ブラジリア
TV Globo,ヘジ・グローボ
UTC−2,UTC-2
Tocantins,トカンティンス州
Jardim Botânico do Rio de Janeiro,リオデジャネイロ植物園
Recife,レシフェ
Usina Hidrelétrica de Sobradinho,ソブラジーニョダム
Bonde do Rolê,ボンヂ・ド・ホレ
Sergipe,セルジペ州
Copa do Mundo FIFA de 1950,1950・FIFAワールドカップ
Letões,ラトビア人
Amazônia,アマゾン熱帯雨林
Rio Amazonas,アマゾン川
Grande Prêmio do Brasil de 1973,1973年ブラジルグランプリ
Florianópolis,フロリアノーポリス
Grande Prêmio do Brasil de 1974,1974年ブラジルグランプリ
Grêmio Barueri,グレミオ・バルエリ
Hino Nacional Brasileiro,ブラジルの国歌
Rio Xingu,シングー川
Grande Prêmio do Brasil,ブラジルグランプリ
Irmãos das Escolas Cristãs,ラ・サール会
