Portugal,ポルトガル
Metro do Porto,ポルトメトロ
Rio Mondego,モンデゴ川
Dieta mediterrânica,地中海食
Lisboa,リスボン
Tratado de Lisboa (2007),リスボン条約
Sistema Central,セントラル山系
Francesinha,フランセジーニャ
Rio Sado,サド川
ISO 3166-2:PT,ISO・3166-2:PT
Qualificações para o Campeonato Europeu de Futebol de 2004,UEFA・EURO・2004予選
Cabo de São Vicente,サン・ヴィセンテ岬
Voo VIASA 897,ビアサ897便墜落事故
Euro,ユーロ
Língua tétum,テトゥン語
Porto,ポルト
Sporting Clube de Braga,SCブラガ
Sporting Clube de Portugal,スポルティング・クルーベ・デ・ポルトゥガル
Comboios de Portugal,ポルトガル鉄道
Língua portuguesa,ポルトガル語
Grande Prémio de Portugal,ポルトガルグランプリ
Açores,アゾレス諸島
.pt,.pt
Coimbra,コインブラ
Braga,ブラガ
Língua galega,ガリシア語
Madeira (região autónoma),マデイラ諸島
Alentejo,アレンテージョ
Funchal,フンシャル
Ordem do Infante D. Henrique,エンリケ航海王子勲章
Língua mirandesa,ミランダ語
Península Ibérica,イベリア半島
Porto Santo,ポルト・サント島
Estrada europeia 802,E802号線
Região do Centro,セントロ地方・(ポルトガル)
Região do Norte,ノルテ・(ポルトガル)
Vinho da Madeira,マデイラ・ワイン
Algarve,アルガルヴェ
Palácio Nacional da Pena,ペーナ宮殿
Língua árabe,アラビア語
Dia de São Martinho,聖マルティヌスの日
Taça de Portugal,タッサ・デ・ポルトガル
Ilhas Desertas,デゼルタス諸島
Língua asturiana,アストゥリアス語
Campeonato Mundial de Ciclismo em Estrada de 2001,世界選手権自転車競技大会ロードレース2001
Grande Prémio de Portugal de 1994,1994年ポルトガルグランプリ
Grande Prémio de Portugal de 1993,1993年ポルトガルグランプリ
Rio Douro,ドウロ川
Rio Tejo,タホ川
Supercopa da UEFA de 2004,2004・UEFAスーパーカップ
Rio Minho,ミーニョ川
Rio Guadiana,グアディアナ川
Estradas europeias,欧州自動車道路
Macaronésia,マカロネシア
Palácio Nacional de Sintra,シントラ宮殿
Estação Ferroviária de Lisboa-Santa Apolónia,サンタ・アポローニャ駅
Campeonato Europeu de Futebol de 2004,UEFA・EURO・2004
Linha da Azambuja,アザンブジャ線
Sítios de arte rupestre do Vale do Coa,コア渓谷とシエガ・ベルデの先史時代の岩絵遺跡群
Grupo Desportivo de Chaves,GDシャヴェス
Loulé,ローレ
Peniche,ペニシェ
Jardim Botânico de Lisboa,リスボン大学植物園
Mértola,メルトラ
Serpa,セルパ
Armamar,アルママール
Força Aérea Portuguesa,ポルトガル空軍
Supercopa da UEFA de 2003,2003・UEFAスーパーカップ
