Augusta Vitória de Hohenzollern-Sigmaringen,アウグステ・ヴィクトリア・フォン・ホーエンツォレルン＝ジグマリンゲン
Geraldo Washington Regufe Alves,ジェラウド・アルヴェス
"Aldegundes de Bragança, Duquesa de Guimarães",アルデグンデス・デ・ブラガンサ
Abel Xavier,アベル・シャビエル
Diogo Freitas do Amaral,ディオゴ・フレイタス・ド・アマラル
Helena Almeida,エレナ・アルメイダ
Arthur Napoleão,アルトゥール・ナポレアン・ドス・サントス
Jéssica Augusto,ジェシカ・アウグスト
Xanana Gusmão,シャナナ・グスマン
Jaime Cortesão,ジャイメ・コルテザン
António Maria Baptista,アントニオ・マリア・バティスタ
Marco Caneira,マルコ・カネイラ
Cristiano Ronaldo,クリスティアーノ・ロナウド
José Ramos Preto,ジョゼ・ラモス・プレト
Tomé de Barros Queirós,トメ・デ・バロス・ケイロス
António Lobo Antunes,アントニオ・ロボ・アントゥーネス
Laura Soveral,ラウラ・ソヴェラル
Bruno Alves,ブルーノ・アルヴェス
Vanessa Fernandes,バネッサ・フェルナンデス
Manuela Bravo,マヌエラ・ブラヴォー
Telma Monteiro,テルマ・モンテイロ
Lura,マリア・デ・ルルデス・ルーラ
Luísa Sobral,ルイーザ・ソブラル
Célia Lawson,セリア・ローソン
Catarina Furtado,カタリナ・フルータド
Rui Machado,ルイ・マシャド
Alexandrina de Balazar,アレシャンドリナ・マリア・ダ・コスタ
António Egas Moniz,エガス・モニス
Joaquim de Almeida,ジョアキム・デ・アルメイダ
Ricardo Quaresma,リカルド・クアレスマ
Eduardo Mondlane,エドゥアルド・モンドラーネ
Manuela Ferreira Leite,マヌエラ・フィライラ・ライティ
Acácio da Silva,アカシオ・ダ・シルバ
José Sócrates,ジョゼ・ソクラテス
José Manuel Durão Barroso,ジョゼ・マヌエル・ドゥラン・バローゾ
Michelle Larcher de Brito,ミシェル・ラーチャー・デ・ブリトー
Paulo Ferreira,パウロ・フェレイラ
Rui Manuel César Costa,マヌエル・ルイ・コスタ
João Pedro da Silva Pereira,ジョアン・ペレイラ
Carlos Mendes,カルロス・メンデス
Vítor Hugo Gomes Passos,ビトル・ウーゴ・ゴメス・パッソス
Soledad Miranda,ソレダッド・ミランダ
Liberato Pinto,リベラト・ピント
Camilo Pessanha,カミーロ・ペサーニャ
Sara Tavares,サラ・タヴァレス
Defensor Moura,デフェンソール・モーラ
Éderzito António Macedo Lopes,エデルジト・アントニオ・マセド・ロペス
Silvestre Varela,シルヴェストレ・ヴァレラ
Petit,アルマンド・テイシェイラ
Hugo Viana,ウーゴ・ヴィアナ
Calouste Gulbenkian,カルースト・グルベンキアン
Teófilo Braga,テオフィロ・ブラガ
Manuel António Cardoso,マヌエル・カルドゾ
Simão Sabrosa,シモン・サブローザ
Luisa Isabel Álvarez de Toledo,ルイサ・アルバレス・デ・トレド
Vitorino Antunes,ヴィトリーノ・アントゥネス
Francisco Lázaro,フランシスコ・ラザロ
Ricardo Sá Pinto,リカルド・サ・ピント
António de Spínola,アントニオ・デ・スピノラ
Guerra Junqueiro,ゲラ・ジュンケイロ
Bernardino Machado,ベルナルディノ・マシャド
Nuno Gomes,ヌーノ・ゴメス
Bruno Martins Indi,ブルーノ・マルティンス・インディ
Tiago Mendes,ティアゴ・メンデス
Amaro Antunes,アマロ・アントゥーニス
Joaquim Manuel Sampaio Silva,ジョアキン・シルヴァ
Jacinta Marto,ヤシンタ・マルト
Manuel de Arriaga,マヌエル・デ・アリアガ
Teresa Heinz Kerry,テレイザ・ハインツ
Nina Bratchikova,ニーナ・ブラチコワ
Maniche,マニシェ
José Saramago,ジョゼ・サラマーゴ
Amadeo de Souza-Cardoso,アマデオ・デ・ソウザ＝カルドーゾ
Rui Silva,ルイ・シルバ
Jesualdo Ferreira,ジェズアウド・フェレイラ
Artur Virgílio Alves dos Reis,アルヴェス・レイス
Aurora Cunha,アウロラ・クーニャ
Conchita Cintrón,コンチータ・シントロン
Lúcia Moniz,ルシア・モニス
Francisco da Costa Gomes,コスタ・ゴメス
Manuel Carmo,マヌエル・カルモ
Adelino da Palma Carlos,アデリーノ・ダ・パルマ・カルロス
Sidónio Pais,シドニオ・パイス
Carlos Martins,カルロス・マルティンス
José de Freitas Ribeiro,ジョゼ・デ・フレイタス・リベイロ
Francisco Craveiro Lopes,フランシスコ・クラヴェイロ・ロペス
João Vieira Pinto,ジョアン・ヴィエイラ・ピント
Adelino André Vieira Freitas,アデリーノ・アンドレ・ヴィエイラ・フレイタス
Rui Patrício,ルイ・パトリシオ
Ana Dulce Félix,アナ・ドウルセ・フェリクス
Nélson Pereira,ネルソン・ペレイラ
Alfredo Rodrigues Gaspar,アルフレド・ロドリゲス・ガスパル
Carlos Maia Pinto,カルロス・マイア・ピント
António Ginestal Machado,アントニオ・ジネスタル・マシャド
Manuel Maria Coelho,マヌエル・マリア・コエーリョ
Amália Rodrigues,アマリア・ホドリゲス
Ânderson Luís da Silva,アンデルソン・ルイス・ダ・シウバ
António Ribeiro,アントニオ・ヒベイロ
José Saraiva Martins,ジョゼ・サライバ・マルティンス
Nelson Évora,ネルソン・エボラ
João Marques de Oliveira,ジョアン・マルケス・デ・オリベイラ
Eduardo dos Reis Carvalho,エドゥアルド・ドス・レイス・カルヴァーリョ
Vítor Manuel Melo Pereira,ヴィトール・メロ・ペレイラ
Leonor Silveira,レオノール・シルヴェイラ
Conceição Ferreira,コンセイソン・フェッレーラ
João César Monteiro,ジョアン・セーザル・モンテイロ
Pedro Passos Coelho,ペドロ・パッソス・コエーリョ
Paulo Portas,パウル・ポルタシュ
Hélder Postiga,エルデル・ポスティガ
Henrique Hilário,エンリケ・イラーリオ
Manuel Pinto da Costa,マヌエル・ピント・ダ・コスタ
Luís Miguel Brito Garcia Monteiro,ミゲル・モンテイロ
Domingos Paciência,ドミンゴス・パシエンシア
Maria João Monteiro Grancha,マリア・ジョアン
Rosa Mota,ロザ・モタ
Lúcia de Jesus dos Santos,ルシア・ドス・サントス
Marisa Barros,マリーザ・バロス
Bebé,ベベ
Rolando Jorge Pires da Fonseca,ロランド・フォンセカ
Amaury Bischoff,アマウリ・ビショフ
Pedro Chaves,ペドロ・チャベス
Anabela,アナベラ
João Tamagnini Barbosa,ジョアン・タマグニニ・バルボサ
Manoel de Oliveira,マノエル・ド・オリヴェイラ
Marcos Aoás Corrêa,マルコス・アオアス・コレア
Miguel Torga,ミゲル・トルガ
Lio,リオ (歌手)
Pedro Pauleta,ペドロ・パウレタ
Samora Machel,サモラ・マシェル
Carlos Lopes,カルロス・ロペス
Vera Santos,ヴェラ・サントス
Sara Martins,サラ・マーティンズ
João Moutinho,ジョアン・モウティーニョ
António Guterres,アントニオ・グテーレス
Rui Costa,ルイ・コスタ
Agostinho Cá,アゴスティーニョ・カ
Artur Antunes Coimbra,ジーコ
Paula Rego,ポーラ・レゴ
Daniela Ruah,ダニエラ・ルーア
José Bosingwa,ジョゼ・ボシングワ
André Villas-Boas,アンドレ・ビラス・ボアス
Agacão IV,アーガー・ハーン4世
Fernando Manuel Costa Santos,フェルナンド・サントス
Daniel Fernandes,ダニエル・フェルナンデス
Ni Amorim,ニ・アモリム
Fernando Gomes,フェルナンド・ゴメス
William Silva de Carvalho,ウィリアム・カルバリョ
Joaquim Pimenta de Castro,ジョアキン・ピメンタ・デ・カストロ
Fernando Meira,フェルナンド・メイラ
Mariza,マリーザ
Maria Pia de Saboia,マリア・ピア・デ・サボイア
Pedro Santana Lopes,ペドロ・サンタナ・ロペス
"Maria Ana de Bragança, Grã-duquesa do Luxemburgo",マリー＝アンヌ・ド・ポルテュガル
Maria de Medeiros,マリア・デ・メデイロス
Philippe Coutinho,フィリペ・コウチーニョ
Nuno Valente,ヌーノ・ヴァレンテ
Amílcar Cabral,アミルカル・カブラル
Liédson,リエジソン・ダ・シウヴァ・ムニス
Costinha,コスチーニャ
Jorge Manuel Almeida Gomes de Andrade,ジョルジュ・アンドラーデ
Jorge Costa,ジョルジュ・コスタ
Manuel Galrinho Bento,マヌエル・ベント
Gonçalo Ribeiro Telles,ゴンサロ・リベイロ・テレス
Rúben Amorim,ルベン・アモリム
Fátima Lopes,ファティマ・ロペス
Cristina Branco,クリスティーナ・ブランコ
Ana Moura,アナ・モウラ
Vítor Baía,ビトール・バイーア
Manuel Henrique Tavares Fernandes,マヌエル・フェルナンデス
"Maria Teresa de Bragança, arquiduquesa da Áustria",マリア・テレサ・フォン・ポルトゥガル
Fernando Manuel Silva Couto,フェルナンド・コウト
António Alberto Bastos Pimparel,アントニオ・アルベルト・バストス・ピンパレル
Paulo Futre,パウロ・フットレ
José António dos Santos Silva,ゼ・アントニオ
Zé Castro,ゼ・カストロ
Zé Povinho,ゼ・ポヴィーニョ
Sandro Ranieri Guimarães Cordeiro,サンドロ・ラニエリ・ギマランイス・コルデイロ
António Ramalho Eanes,アントニオ・エアネス
Danny,ダニー・アルヴェス
Marcelo Caetano,マルセロ・カエターノ
Naide Gomes,ナイデ・ゴメス
Américo Tomás,アメリコ・トマス
Jaime da Silva Graça,ジャイメ・グラサ
Dionísio Castro,ディオニシオ・カストロ
Maria José Ritta,マリア・ジョゼ・リッタ
Amélia de Orleães,アメリー・ドルレアン
Mísia,ミージア
"Maria Antónia de Bragança, duquesa de Parma",マリーア・アントーニア・デル・ポルトガッロ
Hanna Damásio,ハンナ・ダマシオ
Joana Ramos,ジョアナ・ラモス
Carolina Michaëlis,キャロライナ・ミカエリス・デ・ヴァスコンセリョス
Vânia Fernandes,ヴァニア・フェルナンデス
Miguel Januário de Bragança,ミゲル2世・デ・ブラガンサ
Maria João Pires,マリア・ジョアン・ピレシュ
Maria de Lourdes Pintasilgo,マリア・デ・ルルデス・ピンタシルゴ
Eliseu,エリゼウ・ペレイラ・ドス・サントス
Jorge Ribeiro,ジョルジェ・リベイロ
Eduardo Souto de Moura,エドゥアルド・ソウト・デ・モウラ
Carlos Queiroz,カルロス・ケイロス
Álvaro de Castro,アルヴァロ・デ・カストロ
Olegário Benquerença,オレガリオ・ベンケレンサ
Aníbal Cavaco Silva,アニーバル・カヴァコ・シルヴァ
José Mourinho,ジョゼ・モウリーニョ
Maria Cavaco Silva,マリア・カヴァコ・シルヴァ
Nelly Furtado,ネリー・ファータド
Patrícia Mamona,パトリシア・マモナ
Nélson Oliveira,ネルソン・オリヴェイラ
Francis Obikwelu,フランシス・オビクウェル
José Dominguez,ジョゼ・ドミンゲス
Jaime Gama,ハイメ・ガマ
Dulce Pontes,ドゥルス・ポンテス
António Tabucchi,アントニオ・タブッキ
Fernanda Ribeiro,フェルナンダ・リベイロ
Francisco Sá Carneiro,フランシスコ・サ・カルネイロ
Universidade de Coimbra,コインブラ大学
Aristides de Sousa Mendes,アリスティデス・デ・ソウザ・メンデス
Marlon Lipke,マーロン・リプケ
Óscar Carmona,アントニオ・オスカル・カルモナ
Kevin Gameiro,ケヴィン・ガメイロ
Miguel Veloso,ミゲル・ヴェローゾ
João Magueijo,ジョアオ・マゲイジョ
Daniela Mercury,ダニエラ・マーキュリー
André Filipe Alves Monteiro,ウクラ
Abel Fernando Moreira Ferreira,アベル・フェレイラ
Pedro Mendes,ペドロ・メンデス
Álvaro Siza Vieira,アルヴァロ・シザ
Álvaro Monteiro Magalhães,アルヴァロ・マガリャンイス
Álvaro Parente,アルヴァロ・パレンテ
José Luis Encarnação,ホセ・ルイス・エンカルナサン
Hugo Almeida,ウーゴ・アルメイダ
Pedro Caixinha,ペドロ・カイシーニャ
Fernando Matos Silva,フェルナンド・マトス・シルヴァ
Herman José,ヘルマン・ホセ
Nuno Bettencourt,ヌーノ・ベッテンコート
Susana Feitor,スザナ・フェイトル
Maria José de Bragança,マリア・ヨーゼファ・フォン・ポルトゥガル
Maria Helena Vieira da Silva,マリア・エレナ・ヴィエイラ・ダ・シルヴァ
Soraia Chaves,ソライア・シャーヴェス
José Mendes Cabeçadas,ジョゼ・メンデス・カベサダス
Manuel de Oliveira Gomes da Costa,マヌエル・ゴメス・ダ・コスタ
Álvaro Cunhal,アルヴァロ・クニャル
Carmen Miranda,カルメン・ミランダ
Miguel Alexandre,ミゲル・アレクサンドル
Albertina Dias,アルベルティーナ・ディアス
Cédric Soares,セドリック・ソアレス
Sergey Yuran,セルゲイ・ユラン
Paulo Branco,パウロ・ブランコ
Guilhermina Suggia,ギレルミナ・スッジア
Ana Moreira,アナ・モレイラ
Pedro Proença,ペドロ・プロエンサ
Afonso Costa,アフォンソ・コスタ
António Damásio,アントニオ・ダマシオ
Francisco Pinto Balsemão,フランシスコ・ピント・バルセマン
Custódio Miguel Dias de Castro,クストディオ・カストロ
Paulo Sousa,パウロ・ソウザ
Antónia de Bragança,アントニア・マリア・フォン・ポルトゥガル
