Campinas,カンピーナス
Mato Grosso do Sul,マットグロッソ・ド・スル州
lista do Património Mundial no Brasil,ブラジルの世界遺産
Novonor,オデブレヒト
Jardim Botânico de Curitiba,クリチバ植物園
Escuderia Fittipaldi,フィッティパルディ
Rio Japurá,ジャプラー川
Osasco,オザスコ
Fortaleza,フォルタレザ
Autódromo Internacional Nelson Piquet,アウトドローモ・ネルソン・ピケ
São José,サンホセ
Jardim Botânico do Rio de Janeiro,リオデジャネイロ植物園
Usina Hidrelétrica de Sobradinho,ソブラジーニョダム
Rio Araguaia,アラグアイア川
Porto Velho,ポルト・ヴェーリョ
Brasil,ブラジル
Tocantins,トカンティンス州
Manicoré,マニコレ
Curitiba,クリチバ
Caxias do Sul,カシアス・ド・スル
Clube Atlético Ypiranga,CAイピランガ
São Paulo,サンパウロ
número na Plataforma Lattes,ラテス台帳識別子
Sergipe,セルジペ州
Pelotas,ペロタス
Ipatinga Futebol Clube,イパチンガFC
Embraer,エンブラエル
São Paulo,サンパウロ州
Rio Juruá,ジュルア川
real,レアル
Bonde do Rolê,ボンヂ・ド・ホレ
Monte Roraima,ロライマ山
português,ポルトガル語
Crixás,クリシャース
Serra Gaúcha,セラ・ガウチャ
código de município brasileiro,ブラジル地方行政区画コード
língua iídiche,イディッシュ語
Rio de Janeiro,リオデジャネイロ
Rio Xingu,シングー川
Povo letão,ラトビア人
Recife,レシフェ
Porto de Santos,サントス港
Grande Prémio do Brasil,ブラジルグランプリ
Rio Negro,ネグロ川
Rio Paraguai,パラグアイ川
Trópico de Capricórnio,南回帰線
Identificador LeXML Brasil,LexMLブラジル識別子
Grande Prémio do Brasil de 1981,1981年ブラジルグランプリ
Grande Prémio do Brasil de 1982,1982年ブラジルグランプリ
Grande Prémio do Brasil de 1983,1983年ブラジルグランプリ
Grande Prémio do Brasil de 1984,1984年ブラジルグランプリ
Fernando de Noronha,フェルナンド・デ・ノローニャ
Bagé,バゲ
Rio Madeira,マデイラ川
Rio Mamoré,マモレ川
Reconhecimento de uniões entre pessoas do mesmo sexo no Brasil,ブラジルにおける同性結婚
Rio Uruguai,ウルグアイ川
UTC−2,UTC-2
identificador da FAPESP para instituição,FAPESP施設のID
identificador na Biblioteca Nacional do Brasil,BLBNB識別子
Formação Marília,マリリャ層
Aeroporto Internacional Afonso Pena,アフォンソ・ペーナ国際空港
Boa Vista,ボア・ヴィスタ
Caldas Novas,カルダス・ノバス
Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピック
Grande Prémio do Brasil de 1973,1973年ブラジルグランプリ
Grande Prémio do Brasil de 1974,1974年ブラジルグランプリ
Grande Prémio do Brasil de 1975,1975年ブラジルグランプリ
Grande Prémio do Brasil de 1976,1976年ブラジルグランプリ
Grande Prémio do Brasil de 1978,1978年ブラジルグランプリ
Grande Prémio do Brasil de 1977,1977年ブラジルグランプリ
Grande Prémio do Brasil de 1979,1979年ブラジルグランプリ
Grande Prémio do Brasil de 1980,1980年ブラジルグランプリ
Grande Prémio do Brasil de 1985,1985年ブラジルグランプリ
Grande Prémio do Brasil de 1986,1986年ブラジルグランプリ
Grande Prémio do Brasil de 1987,1987年ブラジルグランプリ
Grande Prémio do Brasil de 1988,1988年ブラジルグランプリ
Grande Prémio do Brasil de 1989,1989年ブラジルグランプリ
Grande Prémio do Brasil de 1990,1990年ブラジルグランプリ
Grande Prémio do Brasil de 1991,1991年ブラジルグランプリ
Grande Prémio do Brasil de 1992,1992年ブラジルグランプリ
Rio Uaupés,バウペス川
Paraná,パラナ州
São Bernardo do Campo,サンベルナルド・ド・カンポ
Planalto Brasileiro,ブラジル高原
Pampas,パンパ
Floresta amazônica,アマゾン熱帯雨林
Macapá,マカパ
Copa do Mundo FIFA de 1950,1950 FIFAワールドカップ
Palmas,パルマス
Estádio Manoel Barradas,エスタジオ・マノエル・バラダス
Sarcófago,サルコファーゴ
Carapicuíba,カラピクイバ
Grêmio Barueri,グレミオ・バルエリ
Universidade Federal de Minas Gerais,ミナス・ジェライス連邦大学
Guarulhos,グアルーリョス
Florianópolis,フロリアノーポリス
Dia do Fico,ディア・ド・フィコ
Rio Paraná,パラナ川
TV Globo,ヘジ・グローボ
linha do equador,赤道
Natal,ナタール
Ilha Queimada Grande,ケイマーダ・グランデ島
Niterói,ニテロイ
Recopa Sul-Americana de 2013,レコパ・スダメリカーナ2013
