Portugal,ポルトガル
Rio Águeda,アゲダ川
Universidade do Minho,ミーニョ大学
Metro Ligeiro de Mirandela,ミランデラライトレール
Metro do Porto,ポルト#交通
Rio Coa,コア川
Dieta mediterrânica,地中海食
Rio Mondego,モンデゴ川
Tratado de Lisboa,リスボン条約
identificador PTBNP,PTBNP識別子
Ilha da Madeira,マデイラ島
Rio Chança,チャンサ川
Rio Ardila,アルディーラ川
Rio Caia,カイア川
Casamento entre pessoas do mesmo sexo em Portugal,ポルトガルにおける同性結婚
Igreja dos Clérigos,クレリゴス教会
Rio Sorraia,ソライア川
Rio Zêzere,ゼゼレ川
Algodres,アルゴドレス
Classificação Nacional de Profissões (CPP-2010),ポルトガル職業分類2010識別子
Sistema Central,セントラル山系
judeu-português,ユダヤ・ポルトガル語
Voo VIASA 897,ビアサ897便墜落事故
Qualificações para o Campeonato Europeu de Futebol de 2004,UEFA EURO 2004予選
ISO 3166-2:PT,ISO 3166-2:PT
Francesinha,フランセジーニャ
Linhares (Celorico da Beira),リニャレス
Rio Sever,セベル川
Rio Sado,サド川
Sporting Clube de Braga,SCブラガ
Lisboa,リスボン
Sporting Clube de Portugal,スポルティング・クルーベ・デ・ポルトゥガル
Metro Transportes do Sul,アルマダ
Açores,アゾレス諸島
português,ポルトガル語
Tendais,テンダイス
Associação Desportiva da Camacha,ADカマーシャ
Braga,ブラガ
alcáçova,アルカサバ
Seia,セイア
Comboios de Portugal,ポルトガル鉄道
Torres Novas,トレス・ノヴァス
Porto,ポルト
língua tétum,テトゥン語
Funchal,フンシャル
Ilhas Selvagens,セルヴァージェンス諸島
Porto Santo,ポルト・サント島
galego,ガリシア語
Madeira,マデイラ諸島
Espadanedo,イスパダネド
.pt,.pt
Coimbra,コインブラ
Palácio Nacional da Pena,ペーナ宮殿
Praia da Vitória,プライア・ダ・ヴィトリア
Península Ibérica,イベリア半島
Teixeira,テイシェイラ
Ordem do Infante Dom Henrique,エンリケ航海王子勲章
Alentejo,アレンテージョ地方
Algarve,アルガルヴェ地方
Almeirim,アルメイリン
Matosinhos,マトシンホス
Vinho da Madeira,マデイラ・ワイン
Ilhas Desertas,デゼルタス島
Taça de Portugal,タッサ・デ・ポルトガル
asturiano,アストゥリアス語
Dia de São Martinho,聖マルティヌスの日
Ribatejo,リバテージュ
estrada europeia 802,E802号線
Região do Centro,セントロ地方
Macaronésia,マカロネシア
Imóvel de Interesse Municipal,ポルトガル国定文化財IIM
Cabo de São Vicente,サン・ヴィセンテ岬
Ruínas do Teatro Romano,古代ローマの劇場 (リスボン)
classificação do património em Portugal,ポルトガルにおける遺産の分類体系
mirandês,ミランダ語
Grande Prémio de Portugal de 1996,1996年ポルトガルグランプリ
Rio Douro,ドウロ川
euro,ユーロ
Estradas europeias,欧州自動車道路
Região Norte,ノルテ地方
Área Metropolitana de Lisboa,リスボン首都圏
Vila Nova de Foz Côa,ヴィラ・ノヴァ・デ・フォス・コア
Montemor-o-Novo,モンティモール＝ウ＝ノヴ
Euronext,ユーロネクスト
Clube de Futebol União de Lamas,CFウニオン・デ・ラマス
Associação Naval 1º de Maio,アソシアサン・ナヴァル・プリメイロ・デ・マイオ
Montemor-o-Velho,モンテモール・オ・ヴェーリュ
Partido Socialista,社会党
Cabo Girão,ジラン岬
Camacha,カマシャ
Cruz da Ordem de Cristo,キリスト騎士団の十字
Linha do Sul,ポルトガル南線
Linha de Sintra,シントラ線
Linha de Cascais,カスカイス線
CP Urbanos de Lisboa,リスボン近郊鉄道
transferência da soberania de Macau,マカオ返還
Partido Republicano Nacionalista,国家主義共和党
Covilhã,クヴィリャン
Estádio Municipal de Braga,エスタディオ・ムニシパル・デ・ブラガ
Santo Tirso,サントチルソ
Estação Ferroviária de Lisboa-Santa Apolónia,サンタ・アポローニャ駅
Campeonato Europeu de Futebol de 2004,UEFA EURO 2004
Ordem dos Frades Menores,小さき兄弟会
Foia,フォーイア山
Grande Prémio de Portugal,ポルトガルグランプリ
Grande Prêmio de Portugal de 2008,2008年のポルトガルグランプリ
Rito moçárabe,モザラビック典礼
árabe,アラビア語
lista de chefes de governo de Portugal,首相
Alcácer do Sal,アルカセル・ド・サル
Odivelas,オディヴェーラシュ
Ordem Militar da Torre e Espada,塔および剣勲章
Elevador do Bom Jesus,ボン・イェスズ・ケーブルカー
Campeonato Mundial de Ciclismo em Estrada de 2001,世界選手権自転車競技大会ロードレース2001
Cabeço Gordo,カペリニョス山
Ourique,オウリーキ
Torres Vedras,トレシュ・ベドラシュ
Vila Franca de Xira,ヴィラ・フランカ・デ・シーラ
Palácio Nacional de Sintra,シントラ宮殿
Estância de Esqui Vodafone,エストレーラ・スキー・リゾート
Loures,ローレシュ
Grande Prémio de Portugal de 1993,1993年ポルトガルグランプリ
Grande Prémio de Portugal de 1994,1994年ポルトガルグランプリ
Grande Prémio de Portugal de 1995,1995年ポルトガルグランプリ
Supercopa da UEFA de 2004,2004 UEFAスーパーカップ
rio Tejo,タホ川
Seleção Portuguesa de Futebol Feminino,サッカーポルトガル女子代表
Vila do Conde,ヴィラ・ド・コンデ
Tábua,タブア
Marvão,マルヴァオン
Universidade de Aveiro,アヴェイロ大学
Palmela,パルメラ
Série 2600 da CP,ポルトガル鉄道2600形電気機関車
Série 5600 da CP,5600系電気機関車
Guadiana,グアディアナ川
Alenquer,アレンケル
Trofa,トロファ
São Brás de Alportel,サン・ブラース・デ・アルポルテル
Diocese do Algarve,ファロ (ローマカトリック教区)
Diocese do Funchal,フンシャル教区
Castro Daire,カストロ・ダイレ
Santa Comba Dão,サンタ・コンバ・ダン
Vendas Novas,ヴェンダズ・ノーヴァシュ
Entroncamento,エントロンカメント
Gil Vicente Futebol Clube,ジル・ヴィセンテFC
Sagres,サグレス
Cabeceiras de Basto,カベセイラス・デ・バスト
Mértola,メルトラ
Moimenta da Beira,モイメンタ・ダ・ベイラ
Rali de Portugal,ラリー・ド・ポルトガル
Monumento Nacional,ポルトガル国定記念物
Rio Minho,ミーニョ川
Rio Lima,リミア川
Vimioso,ヴィミオーゾ
Terras de Bouro,テラス・デ・ボウロ
Bárrio,バリオ
Grupo Desportivo de Chaves,GDシャヴェス
Portimão,ポルティマン
Seleção Portuguesa de Futsal,フットサルポルトガル代表
Golfo de Cádiz,カディス湾
Meia Maratona de Lisboa,リスボンハーフマラソン
foral,フエロ
Lamego,ラメーゴ
Serra da Estrela,セーラ・ダ・エストレーラ
Maia,マイア
português europeu,イベリアポルトガル語
Oliveira do Hospital,オリヴェイラ・ドゥ・オスピタル
Horta,オルタ (アゾレス諸島)
Serpa,セルパ
Tarouca,タロウカ
Bombarral,ボンバラル
Borba,ボルバ
Sport TV,スポルトTV
Boliqueime,ボリケイメ
Portugal no Campeonato do Mundo de Futebol de 2006,2006 FIFAワールドカップポルトガル代表
Teatro Nacional D. Maria II,マリア2世国立劇場
Bloco de Esquerda,左翼ブロック
estrada europeia 80,E80号線
Tratado de Amizade e Não Agressão Luso-Espanhol,イベリア同盟
Moura,モウラ
Odemira,オディミーラ
Viseu,ヴィゼウ
Banco Comercial Português,ポルトガル商業銀行
Alburitel,アルブリテル
Rali Dakar de 2008,2008年ダカール・ラリー
Sabugal,サブガル
Vidigueira,ヴィディゲーラ
Vila Verde,ヴィラ・ヴェルデ
Mogadouro,モガドウロ
Vieira do Minho,ヴィエラ・ド・ミーニョ
Portugal no Campeonato do Mundo de Futebol de 2010,2010 FIFAワールドカップポルトガル代表
Vila Baleira,ヴィラ・バレイラ
Ponte de Sor,ポンティ・ディ・ソル
Vila Nova de Famalicão,ヴィーラ・ノーヴァ・デ・ファマリカン
Mirandela,ミランデラ
Castelo de Vide,カシュテル・ディ・ヴィディ
Força de Gendarmaria Europeia,欧州国家憲兵隊
Santiago do Cacém,サンティアゴ・ド・カセーン
Reguengos de Monsaraz,レゲンゴス・デ・モンサラス
Seixal,セイシャル
Boca do Inferno,地獄の口
Campeonato Mundial de Esgrima de 1947,1947年フェンシング世界選手権
Mondim de Basto,モンディン・デ・バスト
Grande Prêmio de Portugal de MotoGP,ポルトガルグランプリ
estrada europeia 806,E806号線
Clube Desportivo dos Olivais e Moscavide,CDオリヴァイス・エ・モスカヴィジ
Oeiras,オエイラシュ
Sacavém,サカヴェン
Futebol Clube do Porto,FCポルト
Al-Andalus,アンダルス
Montanha do Pico,ピコ山
Campo Maior,カンプ・マイヨール
Portugal nos Jogos Olímpicos de Verão de 2008,2008年北京オリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Verão de 2012,2012年ロンドンオリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Inverno de 2010,2010年バンクーバーオリンピックのポルトガル選手団
Estádio Cidade de Coimbra,エスタディオ・シダーデ・デ・コインブラ
Penamacor,ピナマコール
Vila Velha de Ródão,ヴィラ・ヴェーリャ・ディ・ロダウン
estrada europeia 805,E805号線
Pampilhosa da Serra,パンピリョーザ・ダ・セーラ
Vizela,ヴィゼラ
Esposende,エシュポゼンデ
Ferreira do Alentejo,フィレイラ・ドゥ・アレンテージュ
Constância,コンスタンシア (ポルトガル)
Castro Verde,カシュトル・ヴェルディ
Palácio Nacional de Queluz,ケルス宮殿
Forças Armadas de Portugal,ポルトガルの軍事
Portugal nos Jogos Olímpicos de Verão de 1912,1912年ストックホルムオリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Verão de 1960,1960年ローマオリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Verão de 1956,1956年メルボルンオリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Verão de 1924,1924年パリオリンピックのポルトガル選手団
