Lisbon,リスボン
Setúbal,セトゥーバル
Portuguese Republic,ポルトガル共和国
Porto,ポルト
Braga,ブラガ
Funchal,フンシャル
Coimbra,コインブラ
Queluz,ケルシュ
Ponta do Pico,ピコ山
Sintra,シントラ
Distrito de Setúbal,セトゥーバル県
Distrito de Santarém,サンタレン県
Distrito de Portalegre,ポルタレグレ県
Distrito de Lisboa,リスボン県
Distrito de Leiria,レイリア県
Fátima,ファティマ
Distrito de Faro,ファーロ県
Distrito de Évora,エヴォラ県
Estoril,エストリル
Distrito de Castelo Branco,カステロ・ブランコ県
Cascais,カスカイス
Distrito de Beja,ベージャ県
Ponta Delgada,ポンタ・デルガダ
Madeira,マデイラ諸島
Distrito de Viseu,ヴィゼウ県
Distrito de Vila Real,ヴィラ・レアル県
Vila Real,ヴィラ・レアル
Distrito de Viana do Castelo,ヴィアナ・ド・カステロ県
Distrito do Porto,ポルト県
Distrito da Guarda,グアルダ県
Guarda,グアルダ
Distrito de Coimbra,コインブラ県
Distrito de Bragança,ブラガンサ県
Distrito de Braga,ブラガ県
Lajes Field,ラジェス航空基地
Ponta Delgada-João Paulo II Airport,ポンタ・デルガダ空港
Lisbon Humberto Delgado Airport,ウンベルト・デルガード空港
Tavira,タヴィラ
Sacavém,サカヴェン
Pico Ruivo de Santana,ルイボ山
Cabo da Roca,ロカ岬
Iberian Peninsula,イベリア半島
Cabo da Roca,ロカ岬
Batalha,バターリャ
Abrantes,アブランテス
Tomar,トマール
Angra do Heroísmo,アングラ・ド・エロイズモ
Azores,アゾレス諸島
Espinho,エスピーニョ
Europe,ヨーロッパ
Monte Real Air Base,モンテ・リアル航空基地
Southern Europe,南ヨーロッパ
Sines,シーネス
Nazaré,ナザレ
Caldas da Rainha,カルダス・ダ・ライーニャ
Alcácer do Sal,アルカセル・ド・サル
Douro,ドウロ川
Portalegre,ポルタレグレ
Mosteiro dos Jerónimos,ジェロニモス修道院
Aveiro,アヴェイロ
Beja,ベージャ
Mértola,メルトラ
Braga,ブラガ
Guimarães,ギマランイス
Coimbra,コインブラ
Estremoz,エストレモス
Évora,エヴォラ
Albufeira,アルブフェイラ
Faro,ファロ
Guarda,グアルダ
Leiria,レイリア
Peniche,ペニシェ
Amadora,アマドーラ
Elvas,エルヴァス
Lousada,ロウザダ
Vila Nova de Gaia,ヴィラ・ノヴァ・デ・ガイア
Sesimbra,セジンブラ
Viana do Castelo,ヴィアナ・ド・カステロ
Santa Comba Dão,サンタ・コンバ・ダン
Viseu,ヴィゼウ
Ponta Delgada,ポンタ・デルガダ
Angra do Heroísmo,アングラ・ド・エロイズモ
Terceira Island,テルセイラ島
Ilha de São Miguel,サンミゲル島
Ilha de São Jorge,サンジョルジェ島
Miranda do Douro,ミランダ・ド・ドウロ
Fundão,フンダン
Serra da Estrela,エストレーラ山脈
Barcelos,バルセロス
Porto,ポルト
Mértola,メルトラ
Torre de Belém,ベレンの塔
Ilha do Corvo,コルボ島
Selvagem Pequena,セルヴァージェン・ベケーナ島
Cabo Carvoeiro,カルボエイロ岬
Chiado,シアード
Castelo de São Jorge,サン・ジョルジェ城
Padrão dos Descobrimentos,発見のモニュメント
Estádio do Bessa,エスタディオ・ド・ベッサ
Autódromo do Estoril,エストリル・サーキット
Muralhas do Centro Histórico de Setúbal,セトゥーバル歴史センターの壁
Loulé,ローレ
Rossio,ロシオ広場
Praça do Comércio,コメルシオ広場
Elevador de Santa Justa,サンタ・ジュスタのリフト
Castelo Branco,カステロ・ブランコ
Silves,シルヴェス
Sagres,サグレス
Batalha,バターリャ
Fátima,ファティマ
Palmela,パルメラ
Armamar,アルママール
Castro Daire,カストロ・ダイレ
Vila Real de Santo António,ヴィラ・レアル・デ・サント・アントニオ
Espinho,エスピーニョ
