Frații Școlilor Creștine,ラ・サール会
Marea Neagră,黒海
Județul Alba,アルバ県
România la Jocurile Olimpice de vară din 2012,2012年ロンドンオリンピックのルーマニア選手団
Județul Vâlcea,ヴルチャ県
Mișcarea Legionară,鉄衛団
Județul Galați,ガラツィ県
Târgoviște,トゥルゴヴィシュテ・(ルーマニア)
Județul Prahova,プラホヴァ県
Județul Dâmbovița,ドゥンボヴィツァ県
Pădurile primare și bătrâne de fag din Carpați și din alte regiuni ale Europei,カルパティア山脈とヨーロッパ各地の古代及び原生ブナ林
România la Jocurile Olimpice de vară din 1956,1956年メルボルンオリンピックのルーマニア選手団
România la Jocurile Olimpice de vară din 1996,1996年アトランタオリンピックのルーマニア選手団
România la Jocurile Olimpice de vară din 1992,1992年バルセロナオリンピックのルーマニア選手団
România la Jocurile Olimpice de vară din 2000,2000年シドニーオリンピックのルーマニア選手団
România la Jocurile Olimpice de vară din 2008,2008年北京オリンピックのルーマニア選手団
România la Jocurile Olimpice de vară din 1900,1900年パリオリンピックのルーマニア選手団
Brăila,ブライラ
Munții Carpați,カルパティア山脈
Dunărea,ドナウ川
Județul Neamț,ネアムツ県
România la Jocurile Olimpice de vară din 1924,1924年パリオリンピックのルーマニア選手団
Cluj Arena,クルジュ・アレナ
România la Jocurile Olimpice de vară din 1960,1960年ローマオリンピックのルーマニア選手団
Secui,セーケイ人
Județul Brăila,ブライラ県
Județul Constanța,コンスタンツァ県
România,ルーマニア
Iași,ヤシ・(ルーマニア)
Suceava,スチャヴァ
Bistrița,ビストリツァ
Județul Caraș-Severin,カラシュ＝セヴェリン県
Liga I 2012-2013,リーガ1・2012-13
Piatra-Neamț,ピアトラ・ネアムツ
Pitești,ピテシュティ
Limba croată,クロアチア語
Reșița,レシツァ
Palatul Parlamentului,国民の館
Județul Satu Mare,サトゥ・マーレ県
Județul Maramureș,マラムレシュ県
Județul Olt,オルト県
Județul Călărași,カララシ県・(ルーマニア)
Limba română,ルーマニア語
Constanța,コンスタンツァ
Siguranța Statului,シグランツァ
Județul Vaslui,ヴァスルイ県
România la Jocurile Olimpice de vară din 1964,1964年東京オリンピックのルーマニア選手団
Stepa euroasiatică,ユーラシア・ステップ
Tratatul de la București (1918),ブカレスト条約・(1918年)
SuperLiga României,リーガ1
Județul Covasna,コヴァスナ県
Județul Sălaj,サラージュ県
Județul Gorj,ゴルジュ県
Limba bulgară,ブルガリア語
România la Jocurile Olimpice de vară din 1972,1972年ミュンヘンオリンピックのルーマニア選手団
România la Jocurile Olimpice de vară din 1968,1968年メキシコシティーオリンピックのルーマニア選手団
Limba idiș,イディッシュ語
Brașov,ブラショヴ
Drumul european E60,E60号線
Craiova,クラヨーヴァ
Județul Harghita,ハルギタ県
Județul Mureș,ムレシュ県
Județul Dolj,ドルジュ県
Sibiu,シビウ
Timișoara,ティミショアラ
Echipa națională de fotbal a României,サッカールーマニア代表
Limba ucraineană,ウクライナ語
Limba slovacă,スロバキア語
Galați,ガラツィ
Județul Hunedoara,フネドアラ県
