Alexandra Stan,アレクサンドラ・スタン
Zoltan Lunka,ゾルタン・ルンカ
Zoltan Mesko,ゾルタン・メスコ
Lidia Șimon,リディア・シモン
Vika Jigulina,ヴィカ・ジグリーナ
Martha Bibescu,マルト・ビベスコ
Emil Constantinescu,エミル・コンスタンティネスク
Chivu Stoica,キヴ・ストイカ
Itzik Manger,イツィク・マンゲル
Tristan Tzara,トリスタン・ツァラ
Raed Arafat,ラーイド・アラファト
Inna,インナ
Lavinia Miloșovici,ラビニア・ミロソビッチ
Otto Ackermann,オットー・アッカーマン
Daniel Spoerri,ダニエル・スペーリ
Irina Spîrlea,イリナ・スピールリア
Gabriela Drăgoi,ガブリエラ・ドラゴイ
Alina Alexandra Dumitru,アリナ・ドゥミトル
Eugen Coșeriu,エウジェニオ・コセリウ
Liviu Librescu,リビウ・リブレスク
Florin Niculescu,フローリン・ニクレスク
George Emil Palade,ジョージ・エミール・パラーデ
Gheorghe Popescu,ゲオルゲ・ポペスク
Ikechi Anya,イケチ・アンヤ
Octavian Goga,オクタヴィアン・ゴガ
Gheorghe Alexianu,ゲオルゲ・アレクシアヌ
Iolanda Balaș,ヨランダ・バラシュ
Elena Ceaușescu,エレナ・チャウシェスク
Simona Halep,シモーナ・ハレプ
Sorana Cîrstea,ソラナ・チルステア
Argentina Menis,アルゲンティーナ・メニシュ
Helmut Duckadam,ヘルムート・ドゥカダム
Răzvan Raț,ラズヴァン・ラツ
Nadia Comăneci,ナディア・コマネチ
Ciprian Marica,チプリアン・マリカ
Daniel Prodan,ダニエル・プロダン
Monica Roșu,モニカ・ロシュ
Edward Maya,エドワード・マヤ
Victor Hănescu,ビクトル・ハネスク
Petre Roman,ペトレ・ロマン
Roxana Scarlat,ロクサナ・スカルラット
Ilie Bărbulescu,イリエ・バルブレスク
Bogdan Lobonț,ボグダン・ロボンツ
Nicolae Văcăroiu,ニコラエ・ヴァカロイウ
Ion Antonescu,イオン・アントネスク
Dan Bălan,ダン・バラン
Cristian Mungiu,クリスティアン・ムンジウ
Alfred Margul-Sperber,アルフレッド・マーグル＝シュペルバー
Ilie Verdeț,イリエ・ヴェルデット
Anamaria Marinca,アナマリア・マリンカ
Petru Groza,ペテル・グローザ
Viorica Ursuleac,ヴィオリカ・ウルスレアク
Andreea Grigore,アンドレア・グリゴレ
Sandra Izbașa,サンドラ・イズバサ
Ileana a României,イレアナ
Ecaterina Szabó,エカテリーナ・サボー
Alexandra Dulgheru,アレクサンドラ・ドゥルゲル
Monica Niculescu,モニカ・ニクレスク
Ana Pauker,アナ・パウケル
Gabriela Szabó,ガブリエラ・サボー
Ioana Raluca Olaru,ラルカ・オラル
Edina Gallovits-Hall,エディナ・ガロビッツ
Cătălina Ponor,カタリナ・ポノル
Nicolae Cocea,ニコラエ・ドゥミトル・コツェア
Henri Coandă,アンリ・コアンダ
Gheorghe Zamfir,ゲオルゲ・ザンフィル
Daniela Costian,ダニエラ・コスティアン
Vali Ionescu,バリ・イオネスク
Elena Băsescu,エレナ・バセスク
Adrian Năstase,アドリアン・ナスタセ
Alma Gluck,アルマ・グルック
Angelica Adelstein-Rozeanu,アンジェリカ・ロゼアヌ
Ana Aslan,アナ・アスラン
Beatrice Câșlaru,ベアトリチェ・カスラル
Ruxandra Dragomir,ルクサンドラ・ドラゴミル
Adriana Hölszky,アドリアーナ・ヘルツキー
Cornelia Tăutu,コルネリア・タゥトゥ
Dinu Lipatti,ディヌ・リパッティ
Sergiu Celibidache,セルジュ・チェリビダッケ
Ștefan Radu,シュテファン・ラドゥ
Corneliu Zelea Codreanu,コルネリウ・コドレアヌ
Emil Boc,エミール・ボック
Doina Melinte,ドイナ・メリンテ
Ilena Gheorghi,エレナ・ゲオルゲ
Paula Ivan,パウラ・イバン
Raoul Gunsbourg,ラウル・ギュンブール
Iulian Filipescu,イウリアン・フィリペスク
Alina Plugaru,アリーナ・プルガル
Lucian Croitoru,ルチアン・クロイトル
Viorel Moldovan,ヴィオレル・モルドヴァン
Titu Maiorescu,ティトゥ・マイオレスク
Mihai Răzvan Ungureanu,ミハイ・ラズヴァン・ウングレアーヌ
Ion C. Brătianu,イオン・ブラティアヌ
Florian Pop,フロリアン・ポップ
Gheorghe Dima,ゲオルゲ・ディマ
Marțian Negrea,マルツィアン・ネグレア
Ana Blandiana,アナ・ブランディアナ
Linda Maria Baros,リンダ・マリア・バロス
Gabriel Tamaș,ガブリエル・タマシュ
Wilhelm Georg Berger,ゲオルク・ヴィルヘルム・ベルガー
Cleopatra Stratan,クレオパトラ・ストラタン
Herta Müller,ヘルタ・ミュラー
Ana Maria Brânză,アナ・マリア・ポペスク
Adrian Neaga,アドリアン・ネアガ
Adina Ioana Vălean,アディナ＝イオアナ・バレアン
Corina Crețu,コリーナ・クレツ
Violeta Dinescu,ヴィオレッタ・ディネスク
Principesa Elisabeta a Romaniei,エリサヴェト
Joseph Lateiner,ジョーゼフ・ラタイナー
Mihai Antonescu,ミハイ・アントネスク
Iasmin Latovlevici,ヤスミン・ラトヴリェヴィッチ
János Kemény,ケメーニ・ヤーノシュ
Emil Cioran,エミール・シオラン
Sorin Ghionea,ソリン・ギオネア
Traian Băsescu,トラヤン・バセスク
Maia Morgenstern,マヤ・モルゲンステルン
Andrei Pavel,アンドレイ・パベル
Victor Babeș,ビクトル・バベシュ
Paul Celan,パウル・ツェラン
Angela Gheorghiu,アンジェラ・ゲオルギュー
Simona Amânar,シモナ・アマナール
Daniela Silivaș,ダニエラ・シリバシュ
Mihaela Peneș,ミハエラ・ペネシュ
Anișoara Cușmir-Stanciu,アニショアラ・スタンチウ
Liane de Pougy,リアーヌ・ド・プジー
