Ocna Sibiului,オクナ・シビウルイ
Vâlcea,ヴルチャ県
Marea Neagră,黒海
Suceava,スチャヴァ
Bistrița,ビストリツァ
Armata a 3-a Română,第3軍 (ルーマニア軍)
România la Jocurile Olimpice de vară din 2012,2012年ロンドンオリンピックのルーマニア選手団
Eternul derbi,エテルヌル・デルビー
Alba,アルバ県
Frații Școlilor Creștine,ラ・サール会
Biserica Romano-Catolică din România,ルーマニアのカトリック
Zalău,ザラウ
Galați,ガラツィ県
Dâmbovița,ドゥンボヴィツァ県
Cugir,クジル
Brăila,ブライラ県
Călărași,カララシ県
România la Jocurile Olimpice de vară din 1996,1996年アトランタオリンピックのルーマニア選手団
România la Jocurile Olimpice de vară din 2000,2000年シドニーオリンピックのルーマニア選手団
Jimbolia,ジンボリア
România,ルーマニア
Piatra Neamț,ピアトラ・ネアムツ
Mișcarea Legionară,鉄衛団
Pădurile primare de mesteceni din Carpați și pădurile bătrâne de fagi din Germania,カルパティア山脈のブナ原生林
Brăila,ブライラ
Iași,ヤシ
Pitești,ピテシュティ
Secui,セーケイ人
România la Jocurile Olimpice de vară din 2008,2008年北京オリンピックのルーマニア選手団
România la Jocurile Olimpice de vară din 1900,1900年パリオリンピックのルーマニア選手団
România la Jocurile Olimpice de iarnă din 2006,2006年トリノオリンピックのルーマニア選手団
România la Jocurile Olimpice de iarnă din 2010,2010年バンクーバーオリンピックのルーマニア選手団
România la Jocurile Olimpice de vară din 1928,1928年アムステルダムオリンピックのルーマニア選手団
"Vârful Pietrosul Rodnei, Munții Rodnei",ピエトロス山
Maramureș,マラムレシュ県
Covasna,コヴァスナ県
Prahova,プラホヴァ県
Liga I 2012-2013,リーガ1 2012-13
Caraș-Severin,カラシュ＝セヴェリン県
Munții Carpați,カルパティア山脈
Târgoviște,トゥルゴヴィシュテ
SIRUTA,SIRUTAコード
identificator BNR,ルーマニア国立図書館識別子
SuperLiga României,リーガ1
Motru,モトル
Putna,プトナ
Olt,オルト県
Palatul Parlamentului,国民の館
Satu Mare,サトゥ・マーレ県
Dunărea,ドナウ川
Mureș,ムレシュ県
