"Достоевский, Фёдор Михайлович",フョードル・ドストエフスキー
"Гройс, Борис Ефимович",ボリス・グロイス
"Шишкин, Михаил Павлович",ミハイル・シーシキン
"Трофимов, Юрий Викторович",ユーリ・トロフィモフ
"Перельман, Григорий Яковлевич",グリゴリー・ペレルマン
"Калашников, Михаил Тимофеевич",ミハイル・カラシニコフ
"Фарносова, Мария Сергеевна",マリア・サビノワ
"Зыбина, Галина Ивановна",ガリナ・ジビナ
"Касперский, Евгений Валентинович",ユージン・カスペルスキー
"Пьеха, Эдита Станиславовна",エディタ・ピエーハ
"Звягинцев, Андрей Петрович",アンドレイ・ズビャギンツェフ
"Рихтер, Святослав Теофилович",スヴャトスラフ・リヒテル
"Нетребко, Анна Юрьевна",アンナ・ネトレプコ
"Кокорин, Александр Александрович",アレクサンドル・ココリン
"Белобородова, Татьяна Викторовна",タチアナ・ルイセンコ
"Гамзатов, Расул Гамзатович",ラスール・ガムザートフ
"Раппопорт, Ксения Александровна",クセニア・ラパポルト
"Сигал, Стивен",スティーヴン・セガール
"Шахназаров, Карен Георгиевич",カレン・シャフナザーロフ
МакSим,マクシム・(歌手)
"Третьяков, Виктор Викторович",ヴィクトル・トレチャコフ
"Леонтьев, Валерий Яковлевич",ヴァレリー・レオンティエフ
"Ухов, Иван Сергеевич",イワン・ウーホフ
"Кирдяпкин, Сергей Александрович",セルゲイ・キルジャプキン
"Ельцин, Борис Николаевич",ボリス・エリツィン
"Крамник, Владимир Борисович",ウラジーミル・クラムニク
"Набиуллина, Эльвира Сахипзадовна",エリヴィラ・ナビウリナ
"Ан, Виктор",ヴィクトル・アン
"Кисин, Евгений Игоревич",エフゲニー・キーシン
"Быковский, Валерий Фёдорович",ヴァレリー・ブィコフスキー
"Попович, Павел Романович",パーヴェル・ポポーヴィチ
"Карпец, Владимир Александрович",ウラディミール・カルペツ
"Фоменко, Анатолий Тимофеевич",アナトリー・フォメンコ
"Лашманова, Елена Анатольевна",エレーナ・ラシュマノワ
"Чернова, Татьяна Сергеевна",タチアナ・チェルノワ
"Антюх, Наталья Николаевна",ナタリア・アントユフ
"Чичерова, Анна Владимировна",アンナ・チチェロワ
"Каниськина, Ольга Николаевна",オルガ・カニスキナ
"Исинбаева, Елена Гаджиевна",エレーナ・イシンバエワ
"Пищальникова, Дарья Витальевна",ダリヤ・ピシャルニコワ
"Солженицын, Александр Исаевич",アレクサンドル・ソルジェニーツィン
"Лебедев, Сергей Николаевич (государственный деятель)",セルゲイ・レベジェフ
"Герасимов, Валерий Васильевич",ワレリー・ゲラシモフ
Глюкоза (певица),グリュコーザ
Борис Акунин,ボリス・アクーニン
"Губайдулина, София Асгатовна",ソフィア・グバイドゥーリナ
"Пугачёва, Алла Борисовна",アーラ・プガチョワ
"Фёдоров, Владимир Анатольевич (фигурист)",ウラジーミル・フョードロフ・(フィギュアスケート選手)
"Тороп, Сергей Анатольевич",ヴィッサリオン
"Гергиев, Валерий Абисалович",ヴァレリー・ゲルギエフ
"Щедрин, Родион Константинович",ロディオン・シチェドリン
"Путин, Владимир Владимирович",ウラジーミル・プーチン
"Билан, Дима Николаевич",ジーマ・ビラーン
"Тигиев, Сослан Вазноевич",ソスラン・ティギエフ
"Петрова, Надежда Викторовна",ナディア・ペトロワ
"Кириленко, Мария Юрьевна",マリア・キリレンコ
"Петров, Виталий Александрович",ヴィタリー・ペトロフ
"Гайдар, Егор Тимурович",エゴール・ガイダル
"Давыдов, Василий Васильевич (учёный)",ワシリー・ダヴィドフ
"Прохоров, Александр Михайлович",アレクサンドル・プロホロフ
"Павлюченко, Роман Анатольевич",ロマン・パヴリュチェンコ
"Смирнов, Алексей Григорьевич (спортсмен)",アレクセイ・スミルノフ
"Апаликов, Николай Сергеевич",ニコライ・アパリコフ
"Шарапова, Мария Юрьевна",マリア・シャラポワ
"Ишаев, Виктор Иванович",ヴィクトル・イシャエフ
Кирилл (патриарх Московский),キリル1世・(モスクワ総主教)
"Терешкова, Валентина Владимировна",ワレンチナ・テレシコワ
"Чикатило, Андрей Романович",アンドレイ・チカチーロ
"Басов, Николай Геннадиевич",ニコライ・バソフ
"Стадлер, Сергей Валентинович",セルゲイ・スタドレル
"Литвиненко, Александр Вальтерович",アレクサンドル・リトビネンコ
"Курникова, Анна Сергеевна",アンナ・クルニコワ
"Абрамович, Роман Аркадьевич",ロマン・アブラモヴィッチ
Согдиана (певица),ソグディアナ・フェドリンスカヤ
"Самургашев, Вартерес Вартересович",ワルテレス・サムルガチェフ
"Дементьева, Елена Вячеславовна",エレーナ・デメンチェワ
"Архипова, Татьяна Валерьевна",タチアナ・ペトロワ・アルヒポワ
"Петров, Василий Иванович (маршал)",ヴァシーリイ・イヴァーノヴィチ・ペトローフ
"Пажитнов, Алексей Леонидович",アレクセイ・パジトノフ
"Соколов, Сергей Леонидович",セルゲイ・ソコロフ
"Аршавин, Андрей Сергеевич",アンドレイ・アルシャヴィン
"Смыслов, Василий Васильевич",ワシリー・スミスロフ
"Дружинин, Фёдор Серафимович",フョードル・ドルジーニン
"Гинзбург, Виталий Лазаревич",ヴィタリー・ギンツブルク
"Халифман, Александр Валерьевич",アレクサンドル・カリフマン
"Политковская, Анна Степановна",アンナ・ポリトコフスカヤ
"Карпов, Анатолий Евгеньевич",アナトリー・カルポフ
"Понедельник, Виктор Владимирович",ヴィクトル・パニジェーリニク
"Спасский, Борис Васильевич",ボリス・スパスキー
"Нижегородов, Денис Геннадьевич",デニス・ニジェゴロドフ
"Сильнов, Андрей Александрович",アンドレイ・シルノフ
"Борчин, Валерий Викторович",ワレリー・ボルチン
"Успенский, Эдуард Николаевич",エドゥアルド・ウスペンスキー
"Рыбаков, Ярослав Владимирович",ヤロスラフ・リバコフ
"Язов, Дмитрий Тимофеевич",ドミトリー・ヤゾフ
"Куликов, Виктор Георгиевич",ヴィクトル・クリコフ
"Огарков, Николай Васильевич",ニコライ・オガルコフ
"Нетто, Игорь Александрович",イーゴリ・ネット
"Депардьё, Жерар",ジェラール・ドパルデュー
"Новосёлов, Константин Сергеевич",コンスタンチン・ノボセロフ
"Гумилёв, Лев Николаевич",レフ・グミリョフ
"Сафин, Марат Мубинович",マラト・サフィン
"Учитель, Алексей Ефимович",アレクセイ・ウチーチェリ
"Мильнер, Юрий Борисович",ユーリ・ミルナー
"Дударова, Вероника Борисовна",ヴェロニカ・ドゥダロワ
"Ботвинник, Михаил Моисеевич",ミハイル・ボトヴィニク
"Комбаров, Кирилл Владимирович",キリル・コムバロフ
"Лукьяненко, Сергей Васильевич",セルゲイ・ルキヤネンコ
Zedd,ゼッド・(音楽家)
"Дзагоев, Алан Елизбарович",アラン・ジャゴエフ
"Петров, Станислав Евграфович",スタニスラフ・ペトロフ
"Сокуров, Александр Николаевич",アレクサンドル・ソクーロフ
"Мальчугина, Галина Вячеславовна",ガリーナ・マルチュギナ
"Янаев, Геннадий Иванович",ゲンナジー・ヤナーエフ
"Коростелёва, Наталья Сергеевна",ナタリア・コロステロワ
"Хазова, Ирина Викторовна",イリーナ・カゾワ
"Оздоев, Магомед Мустафаевич",マゴメド・オズドエフ
"Медведева-Арбузова, Евгения Владимировна",エフゲニア・メドベデワ
"Сандерс, Георгий Фёдорович",ゲオルグ・サンデルス
"Брон, Захар Нухимович",ザハール・ブロン
"Зубков, Виктор Алексеевич",ヴィクトル・ズプコフ
"Дуров, Павел Валерьевич",パーヴェル・ドゥーロフ
"Пашинин, Олег Алексеевич",オレグ・パシニン
"Янбаев, Ренат Рудольфович",レナト・ヤンバエフ
"Ушакова, Арина Андреевна",アリーナ・ウシャコワ
"Коллонтай, Александра Михайловна",アレクサンドラ・コロンタイ
"Журавлёва, Людмила Васильевна",リュドミーラ・ジュラヴリョーワ
"Умаров, Доку Хамадович",ドク・ウマロフ
"Березовский, Борис Вадимович",ボリス・ベレゾフスキー・(ピアニスト)
"Жуков, Александр Дмитриевич",アレクサンドル・ジューコフ
"Лавров, Сергей Викторович",セルゲイ・ラブロフ
"Латынина, Лариса Семёновна",ラリサ・ラチニナ
"Фрадков, Михаил Ефимович",ミハイル・フラトコフ
Алексий II,アレクシイ2世
"Ростропович, Мстислав Леопольдович",ムスティスラフ・ロストロポーヴィチ
"Титов, Герман Степанович",ゲルマン・チトフ
"Савицкая, Светлана Евгеньевна",スベトラーナ・サビツカヤ
"Зюганов, Геннадий Андреевич",ゲンナジー・ジュガーノフ
"Леонова, Алёна Игоревна",アリョーナ・レオノワ
"Каспаров, Гарри Кимович",ガルリ・カスパロフ
