Григорий Яковлевич Перельман,グリゴリー・ペレルマン
"Гройс, Борис Ефимович",ボリス・グロイス
Фёдор Михайлович Достоевский,フョードル・ドストエフスキー
Юрий Трофимов,ユーリ・トロフィモフ
Виктор Ан,安賢洙
Евгений Арнольдович Хелимский,ユージン・ヘリムスキ
Вадим Владимирович Бровцев,ヴァディム・ブロフツェフ
Владимир Карпец,ウラディミール・カルペツ
Алексей Владимирович Дмитрик,アレクセイ・ドミトリク
Андрей Петрович Звягинцев,アンドレイ・ズビャギンツェフ
Анна Юрьевна Нетребко,アンナ・ネトレプコ
Михаил Павлович Шишкин,ミハイル・シーシキン
Даниэль Фридман,ダニエル・フリドマン
Сергей Сергеевич Литвинов,セルゲイ・リトヴィノフ
Мария Сергеевна Савинова,マリア・サビノワ
Юлия Михайловна Зарипова,ユリア・ザルドネワ
Наталья Николаевна Антюх,ナタリア・アントユフ
Эльвира Сахипзадовна Набиуллина,エリヴィラ・ナビウリナ
Искандар Кахрамонович Махмудов,イスカンダル・マフムドフ
Святослав Теофилович Рихтер,スヴャトスラフ・リヒテル
Анатолий Тимофеевич Фоменко,アナトリー・フォメンコ
Валерий Фёдорович Быковский,ヴァレリー・ブィコフスキー
Борис Николаевич Ельцин,ボリス・エリツィン
Дарья Витальевна Пищальникова,ダリヤ・ピシャルニコワ
Евгений Касперский,ユージン・カスペルスキー
Елена Гаджиевна Исинбаева,エレーナ・イシンバエワ
"Колодко, Евгения Николаевна",エフゲニア・コロドコ
Татьяна Сергеевна Чернова,タチアナ・チェルノワ
Елена Анатольевна Лашманова,エレーナ・ラシュマノワ
Ольга Николаевна Каниськина,オルガ・カニスキナ
Сергей Александрович Кирдяпкин,セルゲイ・キルジャプキン
Иван Сергеевич Ухов,イワン・ウーホフ
МакSим,マクシム
Сергей Михайлович Никольский,セルゲイ・ニコルスキー
София Асгатовна Губайдулина,ソフィア・グバイドゥーリナ
Валерий Абисалович Гергиев,ヴァレリー・ゲルギエフ
Родион Константинович Щедрин,ロディオン・シチェドリン
Валерий Яковлевич Леонтьев,ヴァレリー・レオンティエフ
