код автора на ФантЛабе,ファントラブ 作者ID
код премии на ФантЛабе,ファントラブ 賞ID
код издателя на ФантЛабе,ファントラブ 出版社ID
код произведения на ФантЛабе,ファントラブ 作品ID
код персоны Культура.РФ,Culture.ru 人物ID
Новгородская область,ノヴゴロド州
Россия,ロシア
код таксона в Цифровом гербарии МГУ,モスカオ大学植物標本ID
код человека на Иви,Ivi人物識別子
код серии StopGame,ストップゲーム シリーズID
Балтийское море,バルト海
код Русского Викигида / kulturnoe-nasledie.ru,ロシア文化遺産識別子
ID персоны в Кинориуме,キノリウム 人物ID
76-я гвардейская десантно-штурмовая дивизия,第76親衛空挺師団
код РГБ,ロシア国立図書館 (モスクワ)人物識別子
код catholic.ru,catholic.ru識別子
Нижегородская область,ニジニ・ノヴゴロド州
код ОКАТО,OKATO
код ОКТМО,OKTMO ID
Тверская область,トヴェリ州
АВТОВАЗ,アフトヴァース
Жигулёвские горы,ジグリ山塊
код фильма в Кинориуме,キノリウム 映画ID
Смоленск,スモレンスク
код исполнителя на Яндекс Музыке,Yandex Music ID
идентификатор сканированного издания РГБ,ロシア国立図書館 (モスクワ)書籍識別子
код в банке данных «Мемориал»,OBDメモリアルID
Тверь,トヴェリ
Москва,モスクワ
Волга,ヴォルガ川
Смоленская область,スモレンスク州
Кострома,コストロマ
Ярославская область,ヤロスラヴリ州
Нева,ネヴァ川
Чёрное море,黒海
код ГВР,ロシア水域登録コード
Ярославль,ヤロスラヴリ
возрастной рейтинг произведения в РФ,RARSレーティング
код АСУЖТ (ЕСР),ESR駅コード
Костромская область,コストロマ州
код программы ПКВС,チャネル・１・ロシア・ウワルドワイドの番組プログラムID
код переводчика на ФантЛабе,ファントラブ 翻訳者ID
Иваново,イヴァノヴォ
Санкт-Петербург,サンクトペテルブルク
код игрока в РФС,ロシアサッカー連合選手識別子
код серии игр Игромании,イグロマニア シリーズID
код StopGame,ストップゲームID
идентификатор Биография.ру,Biografija.ru ID
код в банке данных «Законодательство России»,法律情報公式インターネットポータル識別子
код персоны Film.ru,Film.ru俳優識別子
код фильма на Film.ru,Film.ru映画識別子
код фильма на Кинопоиске,キノポイスク映画識別子
идентификатор ВКонтакте,VK識別子
код экономической деятельности по ОКВЭД 1.1,OKVED 1.1 経済活動コード
код экономической деятельности по ОКВЭД 2,OKVED 2 経済活動コード
учётная запись в Живом Журнале,ライヴジャーナルID
код человека на Кинопоиске,キノポイスク人物識別子
Йошкар-Ола,ヨシュカル・オラ
Индигирка,インディギルカ川
Владимирская область,ヴラジーミル州
Рязань,リャザン
Алазея,アラゼヤ川
Кубань,クバン川
Новосибирск,ノヴォシビルスク
Екатеринбург,エカテリンブルク
код на портале Большой российской энциклопедии,ロシア大百科事典ポータル識別子
код в Большой российской энциклопедии онлайн (старая версия),ロシア大百科事典オンライン識別子
ID на портале «Герои страны»,warheroes.ru ID
Чебоксары,チェボクサル
код персоны на Аниматор.ру,Animator.ru 人物ID
Московский метрополитен,モスクワ地下鉄
Российско-турецкие отношения,トルコとロシアの関係
Российско-французские отношения,仏露関係
Российско-греческие отношения,ギリシャとロシアの関係
Ивановская область,イヴァノヴォ州
код в Православной энциклопедии онлайн,正教会百科事典ID
регистрационный номер ЕГРОКН,ロシア文化遺産登録識別子
Волчанск,ヴォルチャンスク
идентификатор фигуриста FSkate.ru,FSkate.ru 選手ID
Нижний Новгород,ニジニ・ノヴゴロド
Крылья Советов,HC クリリヤ・ソヴェトフ
Терек,テレク川
Каспийское море,カスピ海
Сухона,スホナ川
Брянск,ブリャンスク
Анабар,アナバル川
Самара,サマーラ
Германо-российские отношения,独露関係
Российская академия наук,ロシア科学アカデミー
Брянская область,ブリャンスク州
Кавказские горы,コーカサス山脈
Омск,オムスク
статья в энциклопедии «Кругосвет»,クルガスヴィエトの記事
Абакан,アバカン
Казань,カザン
Байкал,バイカル湖
Пенза,ペンザ
Зеленоградск,ゼレノグラーツク
Татарстан,タタールスタン共和国
Владимир,ウラジーミル
Пензенская область,ペンザ州
Свердловская область,スヴェルドロフスク州
Калужская область,カルーガ州
Ростов-на-Дону,ロストフ・ナ・ドヌ
Орёл,オリョール
Волгоград,ヴォルゴグラード
Рязанская область,リャザン州
Балтийская коса,ヴィストゥラ砂嘴
Калининградский залив,ヴィスワ潟
Тула,トゥーラ
