Moscow,モスクワ
Novosibirsk,ノヴォシビルスク
Yekaterinburg,エカテリンブルク
Saint Petersburg,サンクトペテルブルク
Kazan,カザン
Russian Federation,ロシア
Omsk,オムスク
Chelyabinsk,チェリャビンスク
Samara,サマーラ
Rostov-na-Donu,ロストフ・ナ・ドヌ
Yuzhno-Sakhalinsk,ユジノサハリンスク
Blagoveshchensk,ブラゴヴェシチェンスク
Vladivostok,ウラジオストク
Khabarovsk,ハバロフスク
Irkutsk,イルクーツク
Petropavlovsk-Kamchatsky,ペトロパブロフスク・カムチャツキー
Kyzyl,クズル
Khanty-Mansiysk,ハンティ・マンシースク
Kemerovo,ケメロヴォ
Tyumen,チュメニ
Tomsk,トムスク
Barnaul,バルナウル
Groznyy,グロズヌイ
Krasnodar,クラスノダル
Cheboksary,チェボクサル
Kaliningrad,カリーニングラード
Izhevsk,イジェフスク
Smolensk,スモレンスク
Petrozavodsk,ペトロザヴォーツク
Perm,ペルミ
Penza,ペンザ
Orenburg,オレンブルク
Saratov,サラトフ
Volgograd,ヴォルゴグラード
Vladikavkaz,ウラジカフカス
Yaroslavl,ヤロスラヴリ
Voronezh,ヴォロネジ
Syktyvkar,スィクティフカル
Ulyanovsk,ウリヤノフスク
Ufa,ウファ
Tver,トヴェリ
Kirov,キーロフ
Makhachkala,マハチカラ
Lipetsk,リペツク
Murmansk,ムルマンスク
Astrakhan,アストラハン
Nakhodka,ナホトカ
Birobidzhan,ビロビジャン
Angarsk,アンガルスク
Amur Oblast,アムール州
Ulan-Ude,ウラン・ウデ
Primorskiy Kray,沿海地方
Khabarovskiy Kray,ハバロフスク地方
Chita,チタ
Sakhalin Oblast,サハリン州
Sakhalin,樺太
Magadan Oblast,マガダン州
Magadan,マガダン
Chukotskiy Avtonomnyy Okrug,チュクチ自治管区
Anadyr,アナディリ
Salekhard,サレハルド
Omsk Oblast,オムスク州
Novosibirsk Oblast,ノヴォシビルスク州
Novokuznetsk,ノヴォクズネツク
Nizhnevartovsk,ニジネヴァルトフスク
Kurgan,クルガン
Respublika Altay,アルタイ共和国
Chelyabinsk Oblast,チェリャビンスク州
Yamalo-Nenetskiy Avtonomnyy Okrug,ヤマロ・ネネツ自治管区
Ural Mountains,ウラル山脈
Tyumenskaya Oblast’,チュメニ州
Respublika Tyva,トゥヴァ共和国
Sverdlovsk Oblast,スヴェルドロフスク州
Altayskiy Kray,アルタイ地方
Achinsk,アチンスク
Abakan,アバカン
Ivanovo,イヴァノヴォ
Kursk,クルスク
Berezniki,ベレズニキ
Belgorod,ベルゴロド
Kostroma,コストロマ
Elista,エリスタ
Dzerzhinsk,ジェルジンスク
Cherkessk,チェルケスク
Cherepovets,チェレポヴェツ
Respublika Kareliya,カレリア共和国
Kamyshin,カムイシン
Kaluga,カルーガ
Kalmykiya,カルムイク共和国
Novocherkassk,ノヴォチェルカッスク
Velikiy Novgorod,ノヴゴロド
Novaya Zemlya,ノヴァヤゼムリャ
Nizhnekamsk,ニジネカムスク
Sochi,ソチ
Perm Krai,ペルミ地方
Orël,オリョール
Saratovskaya Oblast,サラトフ州
Saransk,サランスク
Rybinsk,ルイビンスク
Ryazan’,リャザン
Rostov Oblast,ロストフ州
Pskov,プスコフ
Yoshkar-Ola,ヨシュカル・オラ
Yelets,エレツ
Vologda Oblast,ヴォログダ州
Vologda,ヴォログダ
Volgograd Oblast,ヴォルゴグラード州
Vladimir,ウラジーミル
Vyborg,ヴィボルグ
Tolyatti,トリヤッチ
Tambov,タンボフ
Taganrog,タガンログ
Tver Oblast,トヴェリ州
Tula,トゥーラ
Maykop,マイコープ
Komi,コミ共和国
Kislovodsk,キスロヴォツク
Kirov Oblast,キーロフ州
Magnitogorsk,マグニトゴルスク
Nevinnomyssk,ネヴィンノムイスク
Nenetskiy Avtonomnyy Okrug,ネネツ自治管区
Murmansk Oblast,ムルマンスク州
Bashkortostan,バシコルトスタン共和国
Armavir,アルマヴィル
Arkhangelsk Oblast,アルハンゲリスク州
Yevrey (Jewish) Autonomous Oblast,ユダヤ自治州
Ussuriysk,ウスリースク
Bratsk,ブラーツク
Kuril Islands,千島列島
Serov,セロフ
Rubtsovsk,ルプツォフスク
Norilsk,ノリリスク
Miass,ミアス
Mezhdurechensk,メジュドゥレチェンスク
Kurgan Oblast,クルガン州
Respublika Khakasiya,ハカス共和国
Vorkuta,ヴォルクタ
Surgut,スルグト
Seversk,セヴェルスク
Vladimirskaya Oblast’,ヴラジーミル州
Respublika Mariy-El,マリ・エル共和国
Nizhny Novgorod Oblast,ニジニ・ノヴゴロド州
Glazov,グラゾフ
Gelendzhik,ゲレンジーク
Gatchina,ガッチナ
Kursk Oblast,クルスク州
Belgorod Oblast,ベルゴロド州
Krasnodarskiy Kray,クラスノダール地方
Kovrov,コヴロフ
Kostroma Oblast,コストロマ州
Bryansk Oblast,ブリャンスク州
Dimitrovgrad,ディミトロフグラード
Derbent,デルベント
Dagestan,ダゲスタン共和国
Kaluga Oblast,カルーガ州
Korolev,コロリョフ
Novocheboksarsk,ノヴォチェボクサルスク
Novgorod Oblast,ノヴゴロド州
Noginsk,ノギンスク
Odintsovo,オジンツォボ
Obninsk,オブニンスク
Novomoskovsk,ノヴォモスコフスク
Smolensk Oblast,スモレンスク州
Peterhof,ペテルゴフ
Penza Oblast,ペンザ州
Orsk,オルスク
Oryol Oblast,オリョール州
Orekhovo-Zuyevo,オレホヴォ＝ズエヴォ
Sarapul,サラプル
Samara Oblast,サマラ州
Salavat,サラヴァト
Ryazan Oblast,リャザン州
Severodvinsk,セヴェロドヴィンスク
Sarov,サロフ
Pyatigorsk,ピャチゴルスク
Pskov Oblast,プスコフ州
Sterlitamak,ステルリタマク
Stavropol Kray,スタヴロポリ地方
Yeysk,エイスク
Volgodonsk,ヴォルゴドンスク
Yaroslavl Oblast,ヤロスラヴリ州
Votkinsk,ヴォトキンスク
Voronezh Oblast,ヴォロネジ州
Zlatoust,ズラトウースト
Zelenodolsk,ゼレノドリスク
Tikhvin,チフヴィン
Tambov Oblast,タンボフ州
Ulyanovsk Oblast,ウリヤノフスク州
Respublika Mordoviya,モルドヴィア共和国
Mineralnye Vody,ミネラーリヌィエ・ヴォードィ
Michurinsk,ミチュリンスク
Kolomna,コロムナ
Kineshma,キネシマ
Lyubertsy,リュベルツィ
Leningrad Oblast,レニングラード州
Khimki,ヒムキ
Mytishchi,ムィティシ
Murom,ムーロム
Moscow Oblast,モスクワ州
Sheremetyevo International Airport,シェレメーチエヴォ国際空港
Balashikha,バラシハ
Azov,アゾフ
Astrakhan Oblast,アストラハン州
Arzamas,アルザマス
Magas,マガス
Vilyuchinsk,ヴィリュチンスク
Mirny,ミールヌイ
Lesozavodsk,レソザヴォーツク
Komsomolsk-on-Amur,コムソモリスク・ナ・アムーレ
Belogorsk,ベロゴルスク
Amursk,アムールスク
Udachny,ウダーチヌイ
Tynda,ティンダ
Fokino,フォーキノ
Partizansk,パルチザンスク
Nikolayevsk-on-Amure,ニコラエフスク・ナ・アムーレ
Korsakov,コルサコフ
Vulkan Klyuchevskaya Sopka,クリュチェフスカヤ山
Minusinsk,ミヌシンスク
Megion,メギオン
Dudinka,ドゥディンカ
Raduzhny,ラードゥジヌイ
Barabinsk,バラビンスク
Asino,アシノ
Asbest,アスベスト市
Borovichi,ボロヴィチ
Apatity,アパチートゥイ
Anapa,アナパ
Aleksin,アレクシン
Aleksandrov,アレクサンドロフ
Agryz,アグルィズ
Respublika Adygeya,アディゲ共和国
Malgobek,マルゴベク
Gorodets,ゴロジェッツ
Ivanovo Oblast,イヴァノヴォ州
Gusev,グセフ
Gudermes,グデルメス
Kstovo,クストヴォ
Beslan,ベスラン
Krasnogorsk,クラスノゴルスク
