黄现璠,黄現璠
王涛·(乒乓球运动员),王濤
陈定,陳定
万钢,万鋼
李彦宏,李彦宏
王选,王選
張昊,張昊
張海鵬·(軍事將領),張海鵬
张洁,張潔
李晓霞,李暁霞
王北星,王北星
梁洛施,イザベラ・リョン
阳蕾,陽蕾
张帅·(网球运动员),張帥
杨利伟,楊利偉
余文樂,余文楽
载沣,愛新覚羅載灃
莫言,莫言
赵季平,趙季平
朱广沪,朱広滬
白岩松,白岩松
赵乐际,趙楽際
杜丽,杜麗
張樂平,張楽平
张立·(乒乓球运动员),張立・(卓球選手)
张娟娟,張娟娟
张军·(羽毛球运动员),張軍
龐清,龐清
佟文,佟文
周小川,周小川
邹市明,鄒市明
周迅,周迅
周文重,周文重
毛泽东,毛沢東
胡耀邦,胡耀邦
于文霞,ウェンシア・ユー
張潔雯,張潔雯
熊朝忠,熊朝忠
哈金,ハ・ジン
俞正声,兪正声
赵紫阳,趙紫陽
巩立姣,鞏立姣
仲满,仲満
周光召,周光召
周春秀,周春秀
周海滨,周海浜
郑智,鄭智
张吉龙,張吉竜
张继科,張継科
李雪芮,李雪芮
王明娟,王明娟
周强,周強
许昱华,許昱華
郭跃,郭躍
邢慧娜,邢慧娜
李婷·(網球運動員),李婷・(1980年生のテニス選手)
曾蔭權,曽蔭権
巴金,巴金
梁振英,梁振英
董建華,董建華
胡锦涛,胡錦濤
马凯·(官员),馬凱
沈俊,沈俊・(サッカー選手)
朱琳·(羽毛球运动员),朱琳
邓朴方,鄧樸方
张宁·(羽毛球运动员),張寧
张庆伟,張慶偉
周洋,周洋
张楠·(羽毛球运动员),張楠・(バドミントン選手)
周作人,周作人
朱成虎,朱成虎
周永康,周永康
朱建华,朱建華
丁宁,丁寧・(卓球選手)
朱小丹,朱小丹
谢杏芳,謝杏芳
邓颖超,鄧穎超
陈永贵,陳永貴
孙雯,孫雯
楊維,楊維
曲云霞,曲雲霞
李冰冰,李冰冰
李磊·(1992年),李磊・(サッカー選手)
刘亦菲,劉亦菲
白雪·(运动员),白雪・(陸上選手)
习近平,習近平
巩俐,コン・リー
潘玉良,潘玉良
刘宇昆,ケン・リュウ
郎朗,ラン・ラン
韩素音,ハン・スーイン
李连杰,ジェット・リー
江泽民,江沢民
张扬·(导演),張楊・(映画監督)
张辛欣,張辛欣
张文秀,張文秀
张燮林,張燮林
徐勤先,徐勤先
莊則棟,荘則棟
卓琳,卓琳
林奕華·(香港),林奕華
梁挺,梁挺
陈凯歌,チェン・カイコー
丁玲,丁玲
韩端,韓端
許鞍華,アン・ホイ
錢琳,リンリン・(1991年生の歌手)
郭爽,郭爽
萨顶顶,薩頂頂
罗雪娟,羅雪娟
庞佳颖,龐佳穎
温家宝,温家宝
谢富治,謝富治
艾未未,艾未未
奥古斯托·罗亚·巴斯托斯,アウグスト・ロア＝バストス
賈秀全,賈秀全
张立昌,張立昌
范徐麗泰,范徐麗泰
劉德華,アンディ・ラウ
郭富城,アーロン・クオック
黎明,レオン・ライ
张怡宁,張怡寧
張元·(導演),張元・(映画監督)
张梓琳,張梓琳
张志磊,張志磊
赵本山,趙本山
張治中,張治中
刘翔,劉翔
李建国·(1946年),李建国
胡卫东,胡衛東
毛远新,毛遠新
蘇炳文,蘇炳文
何雯娜,何雯娜
邹凯,鄒凱
艾克森,エウケソン・ジ・オリヴェイラ・カルドーゾ
宗庆后,宗慶後
陈露,陳露
朱茵,アテナ・チュー
何姿,何姿
程菲,程菲
邓小平,鄧小平
刘少奇,劉少奇
胡佳·(跳水运动员),胡佳・(飛込選手)
宋庆龄,宋慶齢
王鑫·(跳水运动员),王鑫
郑哲敏,鄭哲敏
金庸,金庸
赵丹,趙丹
趙宏博,趙宏博
李娜,李娜
阿兰·卡瓦略,アラン・ドグラス・ボルジェス・デ・カルヴァーリョ
楊陽·(短道速滑),楊陽
赵克志,趙克志
趙友鳳,趙友鳳
趙薇,ヴィッキー・チャオ
赵树理,趙樹理
彭帅,彭帥
叶诗文,葉詩文
晏紫,晏紫
王濛·(短道速滑运动员),王濛・(スピードスケート選手)
何可欣,何可欣
王楠,王楠
黄志红,黄志紅
王军霞,王軍霞
王仪涵,王儀涵
郜林,郜林
第十四世达赖喇嘛,ダライ・ラマ14世
杨振宁,楊振寧
章子怡,章子怡
赵尊岳,趙尊嶽
郑海霞,鄭海霞
赵芸蕾,趙芸蕾
鄭義·(作家),鄭義
鄭賽賽,鄭賽賽
郑洁,鄭潔
吴敏霞,呉敏霞
伏明霞,伏明霞
刘子歌,劉子歌
劉芳·(音樂家),劉芳・(音楽家)
李建滨,李建浜
孫甜甜,孫甜甜
薛晨,薛晨
申雪,申雪
宫金杰,宮金傑
陳馮富珍,陳馮富珍
周恩来,周恩来
李克强,李克強
王岐山,王岐山
周润发,チョウ・ユンファ
刘洋·(航天员),劉洋
溥仪,愛新覚羅溥儀
楊揚,楊揚
江青,江青
高崚,高崚
李沁谣,ジュンジュン
邓亚萍,鄧亜萍
陈冲·(演员),ジョアン・チェン
張柏芝,セシリア・チャン
王娇,王嬌
邓琳琳,鄧琳琳
龚智超,龔智超
陈燮霞,陳燮霞
楊文意,楊文意
郭晶晶,郭晶晶
汤唯,湯唯
方方·(作家),方方
任灿灿,任燦燦
李玉·(導演),李玉
高行健,高行健
李鹏,李鵬
朱镕基,朱鎔基
刘奇葆,劉奇葆
曾庆红,曽慶紅
曾培炎,曽培炎
翟志剛,翟志剛
孙春兰,孫春蘭
唐季禮,スタンリー・トン
陈毅,陳毅
司徒華,司徒華
孫英傑,孫英傑
王光美,王光美
乐靖宜,楽靖宜
贺子珍,賀子珍
叶圣陶,葉紹鈞
龙云,竜雲
许其亮,許其亮
孙福明,孫福明
陳好,陳好
乔红,喬紅
利智,ニナ・リー
李泽厚,李沢厚
陳文媛,陳文媛
王力雄,王力雄
李源潮,李源潮
林憶蓮,林憶蓮
颜惠庆,顔恵慶
萧克,蕭克
顾颉刚,顧頡剛
陳濟棠,陳済棠
俞鴻鈞,兪鴻鈞
金培達,ピーター・カム
刘艳·(花样滑冰运动员),劉艶
胡宗南,胡宗南
那英,那英
薄熙来,薄熙来
李宗仁,李宗仁
李嘉誠,李嘉誠
唐英年,唐英年
林鄭月娥,林鄭月娥
張愛玲,張愛玲
张高丽,張高麗
林嶺東,リンゴ・ラム
于洋·(羽毛球运动员),于洋・(バドミントン選手)
郭焱,郭焱
田佳,田佳
张春桥,張春橋
張丹·(花樣滑冰運動員),張丹
张德江,張徳江
于静,于静
刘虹,劉虹
側田,ジャスティン・ロー
韓瑩,ハン・イン
高树勋·(1897年),高樹勲
李玲蔚·(田径运动员),李玲蔚・(陸上選手)
韩聪,韓聰
林嘉欣,カリーナ・ラム
王馨平,リンダ・ウォン
王小波,王小波・(小説家)
朱德,朱徳
尹昌衡,尹昌衡
范蔚菁,范蔚菁
常万全,常万全
于海·(足球运动员),于海
孔杰,孔傑
张阳,張陽
热比娅·卡德尔,ラビア・カーディル
徐静蕾,徐静蕾
阿城·(作家),阿城・(作家)
汪鑫,汪鑫
习仲勋,習仲勲
陈光诚,陳光誠
曹達華,曹達華
陳美詩,メイシー・チャン
黃霑,ジェームズ・ウォン・(作詞家)
阿兰·达瓦卓玛,Alan
周星馳,周星馳
孙杨,孫楊
杨晨·(1974年),楊晨・(1974年生のサッカー選手)
陈小春,陳小春
李富玉,李富玉
罗荣桓,羅栄桓
阿来·(作家),阿来
吴官正,呉官正
張徹,チャン・チェ
张炜·(作家),張煒
蔡奇,蔡奇
胡煥庸,胡煥庸
谢震业,謝震業
王旭烽,王旭烽
艾斯海提·克里木拜,アシハテ・クリムバ
郭可信,郭可信
成龍,ジャッキー・チェン
华国锋,華国鋒
甄子丹,ドニー・イェン
孙大文,孫大文
李先念,李先念
洪金宝,サモ・ハン・キンポー
陳儀,陳儀
高岗,高崗
曹刚川,曹剛川
王海,王海
陈祖德,陳祖徳
邵华,邵華
張敬軒,張敬軒
王皓·(乒乓球运动员),王皓
周华健,周華健
張致恆,スティーブン・チョン
白恩培,白恩培
焦刘洋,焦劉洋
杜維明,杜維明
骆惠宁,駱恵寧
許崇智,許崇智
李嘉威,リー・カーウェイ
竺可桢,竺可楨
周建人,周建人
康克清,康克清
张左己,張左己
刘晓波,劉暁波
李康敏,ハーマン・リ
陈伯达,陳伯達
徐匡迪,徐匡迪
張國榮,レスリー・チャン
李宁,李寧
胡佳·(社會活動家),胡佳・(活動家)
谭盾,譚盾
刘志军,劉志軍
陈锡联,陳錫聯
王励勤,王励勤
吳京·(演員),呉京・(俳優)
盧漢,盧漢
冯正虎,馮正虎
古广明,古広明
本杰明·(漫画家),本杰明
黄永胜,黄永勝
高文謙,高文謙
王小帅,王小帥
张国华·(1914年),張国華
陈星汉,陳星漢
當知項欠,トンドゥプ・ワンチェン
马化腾,馬化騰
胡健燊,ウー・キンサン
王珉·(1950年),王珉
陳方安生,陳方安生
吴仪,呉儀
韩正,韓正
张靓颖,ジェーン・チャン
张艺谋,張芸謀
杨洁篪,楊潔篪
老舍,老舎
何平平,何平平
董方卓,董方卓
徐克,ツイ・ハーク
林彪,林彪
梁朝偉,梁朝偉
魏京生,魏京生
马琳,馬琳
王安顺,王安順
李贵鲜,李貴鮮
罗志军·(1951年),羅志軍
王兆国,王兆国
张呈栋,張呈棟
杜青林,杜青林
王君,王君
刀郎,刀郎
高峰·(柔道运动员),高峰
謝雪心,スーザン・ツェー
杨逸·(小说家),楊逸
毕福剑,畢福剣
徐玉華,徐玉華
姚明,姚明
坦克人,無名の反逆者
畢飛宇,畢飛宇
杨斯,ヤン・スエ
元彪,ユン・ピョウ
释印顺,印順
刘白羽,劉白羽
苏步青,蘇歩青
潘岳·(1960年),潘岳・(政治家)
安志杰,安志杰
陈省身,陳省身
王家瑞,王家瑞
李可·(足球运动员),ニコ・イェナリス
姚期智,アンドリュー・チーチー・ヤオ
李景林·(1885年),李景林
王永志,王永志
陈梦家,陳夢家
游乃海,ヤウ・ナイホイ
姜异康,姜異康
李娟·(排球运动员),李娟
张娜·(排球运动员),張娜・(バレーボール)
劉思惠,マギー・ラウ
陳嘉上,ゴードン・チャン
李山·(主教),李山
洪卓立,ケン・ホン
