大圍站,大囲駅
九龍塘,九龍塘
國際金融中心·(香港),国際金融中心・(香港)
城門河,城門川
香港回歸,香港返還
中国奥林匹克委员会,中国オリンピック委員会
香港大學,香港大学
香港中文大學,香港中文大学
明十三陵,明の十三陵
东部裕固语,東部ユグル語
釣魚臺列嶼,尖閣諸島
内蒙古自治区,内モンゴル自治区
中华人民共和国,中華人民共和国
鄂温克语,エヴェンキ語
灣仔站·(香港),湾仔駅
成都市,成都市
青馬大橋,青馬大橋
福建省,福建省
长征系列运载火箭,長征・(ロケット)
黑潮,黒潮
人民日报,人民日報
成华区,成華区
湄公河,メコン川
.hk,.hk
和記黃埔,ハチソン・ワンポア
北京市,北京市
国家历史文化名城,中華人民共和国国家歴史文化名城
香坊区,香坊区
鸭绿江,鴨緑江
图们江,豆満江
广州市,広州市
珠穆朗瑪峰,エベレスト
武当山,武当山
宏村,宏村
西递村,西逓村
黄龙风景名胜区,黄龍風景区
九寨沟风景名胜区,九寨溝
颐和园,頤和園
西城区,西城区
泰晤士小镇,テムズ・タウン
上海新国际博览中心,上海新国際博覧中心
郑州市,鄭州市
上海天马山赛车场,上海天馬サーキット
2008年夏季奥林匹克运动会关岛代表团,2008年北京オリンピックのグアム選手団
港元,香港ドル
海南省,海南省
康方言,カム・チベット語
莆仙語,莆仙語
廉政公署·(香港),廉政公署
大世界站·(上海市),大世界駅
中国共产党第一次全国代表大会会址,中国共産党第一次全国代表大会会址
龙华寺·(上海),龍華寺・(上海市)
蒙古族,モンゴル民族
哈尼语,ハニ語
徽语,徽語
安多方言,アムド・チベット語
傈僳语,リス語
闽中语,閩中語
晋语,晋語
戈壁,ゴビ砂漠
喜马拉雅山脉,ヒマラヤ山脈
东乡语,サンタ語
侵华日军南京大屠杀遇难同胞纪念馆,侵華日軍南京大屠殺遇難同胞紀念館
达斡尔语,ダウール語
江苏省,江蘇省
乌鲁木齐市,ウルムチ市
布里亞特語,ブリヤート語
保安语,バオアン語
江西省,江西省
徐汇区,徐匯区
南京市,南京市
武陵源,武陵源
长江,長江
甘肃省,甘粛省
苏州市,蘇州市
花剌子模语,ホラズム語
温州市,温州市
无锡市,無錫市
卫拉特语,オイラト語
杭州市,杭州市
沭阳县,沭陽県
女真語,女真語
阿卡语,アカ語
浙江省,浙江省
景颇语,ジンポー語
藏区,チベット
喀喇昆仑山脉,カラコルム山脈
同济大学,同済大学
清华大学,清華大学
北京大学,北京大学
富裕县,富裕県
阳朔县,陽朔県
國泰航空,キャセイパシフィック航空
北京首都国际机场,北京首都国際空港
宁夏回族自治区,寧夏回族自治区
昆山市,崑山市
绍兴市,紹興市
台湾省·(中华人民共和国),台湾省・(中華人民共和国)
宁波市,寧波市
客家话,客家語
贛語,贛語
湖州市,湖州市
香港國際機場,香港国際空港
太平山·(香港),ヴィクトリア・ピーク
彝语北部方言,四川彝語
標準藏語,チベット語
中国共产党,中国共産党
天山山脉,天山山脈
裕固族,ユグル族
金华市,金華市
克什米尔,カシミール
云南省,雲南省
镇江市,鎮江市
常州市,常州市
嘉兴市,嘉興市
色勒库尔语,サリコル語
撒拉语,サラール語
土尔克语,イリ・チュルク語
满语,満洲語
回輝話,回輝語
土族语,モングォル語
瓦罕语,ワハン語
西部裕固语,西部ユグル語
盐城市,塩城市
扬州市,揚州市
图瓦语,トゥバ語
南通市,南通市
泰州市,泰州市
西藏自治区,チベット自治区
哈尔滨市,ハルビン市
徐州市,徐州市
连云港市,連雲港市
宿迁市,宿遷市
淮安市,淮安市
西安市,西安市
拉萨市,ラサ市
柴达木盆地,ツァイダム盆地
佛山市,仏山市
景德镇市,景徳鎮市
石家庄市,石家荘市
舟山市,舟山市
吴语,呉語
阿尔泰山脉,アルタイ山脈
丽水市,麗水市・(浙江省)
衢州市,衢州市
台州市,台州市
黑龙江,アムール川
中国大陆,中国大陸
黑龙江省,黒竜江省
香港立法會,香港特別行政区立法会
邯郸市,邯鄲市
邢台市,邢台市
莫高窟,莫高窟
全国人民代表大会,全国人民代表大会
承德市,承徳市
张家口市,張家口市
保定市,保定市
唐山市,唐山市
秦皇岛市,秦皇島市
印度河,インダス川
全国人民代表大会常务委员会,全国人民代表大会常務委員会
中国人民政治协商会议,中国人民政治協商会議
旁遮普語,パンジャーブ語
上海中心大厦,上海中心
甬台温铁路,甬台温線
新疆维吾尔自治区,新疆ウイグル自治区
富拉尔基区,フラルキ区
香港電影金像獎,香港電影金像奨
阜新市,阜新市
侗语,トン語
白語,ペー語
上古汉语,上古中国語
沧州市,滄州市
澳門土生葡語,マカオ語
廊坊市,廊坊市
沧浪区,滄浪区
珠海市,珠海市
韶关市,韶関市
布依语,プイ語
汕头市,汕頭市
衡水市,衡水市
大跃进,大躍進政策
黄河,黄河
汉语,中国語
香港島,香港島
钱塘江,銭塘江
拉达克语,ラダック語
黄山,黄山
山东省,山東省
湛江市,湛江市
肇庆市,肇慶市
喬戈里峰,K2
江门市,江門市
中國大獎賽,中国グランプリ
機場特警組,空港特警組
2008年夏季奥林匹克运动会,2008年北京オリンピック
河北省,河北省
四川省,四川省
民主黨·(香港),民主党・(香港)
民主建港協進聯盟,民主建港協進連盟
香港工會聯合會,香港工会連合会
公民黨·(香港),公民党・(香港)
自由黨·(香港),自由党・(香港)
闽北语,閩北語
上海浦东国际机场,上海浦東国際空港
閩東語,閩東語
和平路站·(天津市),和平路駅・(天津市)
华北集团站,華北集団駅
惠州市,恵州市
华苑站,華苑駅
丰产河站,豊産河駅
梅州市,梅州市
闽南语,閩南語
红旗南路站,紅旗南路駅
高新区站,高新区駅
天士力站,天士力駅
张兴庄站,張興荘駅
津湾广场站,津湾広場駅
西康路站,西康路駅
中山路站·(天津市),中山路駅
铁东路站,鉄東路駅
天塔站,天塔駅
.mo,.mo
宜兴埠站,宜興埠駅
汕尾市,汕尾市
河源市,河源市
香港,香港
上海市,上海市
河南省,河南省
金狮桥站,金獅橋駅
吴家窑站,呉家窯駅
周邓纪念馆站,周鄧紀念館駅
阳江市,陽江市
王顶堤站,王頂堤駅
清远市,清遠市
东莞市,東莞市
朝鮮語,朝鮮語
广州话,広東語
文化大革命,文化大革命
中山市,中山市
中华人民共和国国务院,中華人民共和国国務院
云浮市,雲浮市
潮州市,潮州市
天等县,天等県
宁明县,寧明県
龙州县,竜州県
大名县,大名県
凤阳县,鳳陽県
浠水县,浠水県
大新县,大新県
太仓市,太倉市
汉宜铁路,漢宜線
周庄镇·(昆山市),周荘鎮
中国音乐学院,中国音楽学院
上海亚细亚大楼,旧マクベインビル
上海中国通商银行大楼,旧中国通商銀行ビル
鲁迅墓,魯迅墓
上海总会大楼,上海クラブビル
上海鲁迅纪念馆,魯迅紀念館
哈尔滨工程大学,ハルビン工程大学
有利大楼,旧ユニオン・アシュランス・カンパニーズビル
上海大厦,ブロードウェイマンション
北京理工大学,北京理工大学
百乐门舞厅,パラマウント・(上海)
成都平原,成都平原
中国银行大楼·(上海),旧中国銀行上海ビル
东方艺术中心,上海東方芸術センター
香港仔,香港仔
中国—巴基斯坦关系,中国とパキスタンの関係
国际饭店,国際飯店
M50创意园,莫干山路50号
夏尔巴语,シェルパ語
