衛德明,ヘルムート・ウィルヘルム
滕尚华,シャンフゥア・タン
张国政 (举重运动员),張国政
张国伟,張国偉
张海鹏,張海鵬
张昊,張昊
陈定,陳定
王涛,王濤
王明娟,王明娟
唐奕,唐奕
李艳凤,李艶鳳
赵紫阳,趙紫陽
孙祯琦,孫禎琦
钟焕娣,鍾煥娣
胡耀邦,胡耀邦
黄现璠,黄現ハン
毛澤東,毛沢東
李雪芮,李雪芮
巩立姣,鞏立姣
许昱华,許昱華
张洁,張潔
张杰,張傑
莫言,莫言
韩素音,ハン・スーイン
陈丹燕,陳丹燕
李磊,李磊
陳祉嘉,チャン・ツーカ
万钢,万鋼
刘亦菲,劉亦菲
李彦宏,李彦宏
王选,王選
于文霞,ウェンシア・ユー
胡锦涛,胡錦濤
张洁雯,張潔雯
曾蔭權,曽蔭権
董建華,董建華
张吉龙,張吉竜
習近平,習近平
周春秀,周春秀
周光召,周光召
周海滨,周海浜
朱广沪,朱広滬
劉德華,アンディ・ラウ
溫家寶,温家宝
郑智,鄭智
丁宁,丁寧
白雪,白雪
赵乐际,趙楽際
赵季平,趙季平
邢慧娜,邢慧娜
郭跃,郭躍
李婷,李婷
佟文,佟文
易思玲,易思玲
杜丽,杜麗
张近东,張近東
张继科,張継科
钟倩欣,钟倩欣
巴金,巴金
梁振英,梁振英
仲满,仲満
周继红,周継紅
黃志祥,黄志祥
沈俊,沈俊 (サッカー選手)
张军,張軍
哈金,ハ・ジン
俞正声,兪正声
熊朝忠,熊朝忠
刘春红,劉春紅
陈艳青,陳艶青
庞清,龐清
江澤民,江沢民
周璐璐,周ロロ
周吕鑫,周呂キン
余文樂,余文樂
张娟娟,張娟娟
張樂平,張楽平
张立,張立
张亮,張亮
张连伟,張連偉
周培顺,周培順
周强,周強
邹市明,鄒市明
陈永贵,陳永貴
孙雯,孫雯
张林丽,張林麗
张琳,張琳
张丽荣,張麗栄
章明,章明
劉少奇,劉少奇
黎明,レオン・ライ
郭富城,アーロン・クオック
张楠,張楠 (バドミントン選手)
邓小平,鄧小平
郎朗,ラン・ラン
白岩松,白岩松
马凯,馬凱
白寿彝,白寿彝
丁玲,丁玲
杨维,楊維
周文重,周文重
邓颖超,鄧穎超
曲雲霞,曲雲霞
李冰冰,李冰冰
周作人,周作人
鄧朴方,鄧樸方
朱琳,朱琳
周洋,周洋
周永康,周永康
韩端,韓端
錢琳,リンリン
許鞍華,アン・ホイ
刘宇昆,劉宇昆
载沣,愛新覚羅載灃
臧家亮,臧嘉亮
司徒華,司徒華
宋慶齡,宋慶齢
谢杏芳,謝杏芳
巩俐,コン・リー
梁洛施,イザベラ・リョン
阳蕾,陽蕾
谢富治,謝富治
范徐麗泰,范徐麗泰
曾俊華,曽俊華
林鄭月娥,林鄭月娥
唐英年,唐英年
周蜜,周蜜
朱茵,アテナ・チュー
王仪涵,王儀涵
高行健,高行健
楊利偉,楊利偉
張玉良,潘玉良
程菲,程菲
王岐山,王岐山
李克強,李克強
郭爽,郭爽
曹磊,曹磊
朱成虎,朱成虎
罗雪娟,羅雪娟
庞佳颖,龐佳穎
萨顶顶,薩頂頂
李嘉誠,李嘉誠
李宗仁,李宗仁
李连杰,ジェット・リー
李鹏,李鵬
张宁,張寧
朱鎔基,朱鎔基
吳克儉,呉克倹
李士俊,李士俊
第十四世達賴喇嘛,ダライ・ラマ14世
胡佳,胡佳
周恩來,周恩来
张立昌,張立昌
曾金燕,曽金燕
王鑫,王鑫
郑哲敏,鄭哲敏
张淑晶,張淑晶
张帅,張帥
周润发,チョウ・ユンファ
朱光亚,朱光亜
楊振寧,楊振寧
陈露,陳露
何姿,何姿
阿兰·道格拉斯·博尔热斯·德·卡瓦略,アラン・ドグラス・ボルジェス・デ・カルヴァーリョ
楊陽,楊陽
金庸,金庸
张洹,ジャン・ホァン
李娜,李娜
何雯娜,何雯娜
谭雪,譚雪
李娜,李娜
高禮澤,高禮澤
賈秀全,賈秀全
李小冉,李小冉
何俊仁,何俊仁
李卓人,イ・チュクヤン
范蔚菁,范蔚菁
尹昌衡,尹昌衡
王北星,王北星
李晓霞,李暁霞
谢军,謝軍
朱建华,朱建華
朱启南,朱啓南
常万全,常万全
张山,張山
華國鋒,華国鋒
余男,ユー・ナン
张庆伟,張慶偉
莊則棟,荘則棟
卓琳,卓琳
徐勤先,徐勤先
周小川,周小川
周妍,周妍
周迅,周迅
薄熙来,薄熙来
朱德,朱徳
陳志全,陳志全
奥古斯托·罗亚·巴斯托斯,アウグスト・ロア＝バストス
艾未未,艾未未
张燮林,張燮林
蕭強,蕭強
黃志紅,黄志紅
房仕龍,ジャッキー・チェン
朱小丹,朱小丹
朱颖文,朱穎文
庄泳,荘永
徐匡迪,徐匡迪
梁挺,梁挺
林奕华,林奕華
张辛欣,張辛欣
张扬,張楊
张希 (排球运动员),張希 (ビーチバレー選手)
张文秀,張文秀
张小平,張小平
陈凯歌,チェン・カイコー
廖辉,廖輝
胡卫东,胡衛東
苏炳文,蘇炳文
埃尔克森,エウケソン
宗庆后,宗慶後
唐季禮,スタンリー・トン
陈毅,陳毅
曾庆红,曽慶紅
劉奇葆,劉奇葆
溥仪,愛新覚羅溥儀
曾国强,曽国強
曾培炎,曽培炎
李建滨,李建濱
薛晨,薛晨
吳靜鈺,呉静鈺
李雪英,李雪英
郜林,郜林
章子怡,章子怡
占旭刚,占旭剛
張愛玲,張愛玲
孫春蘭,孫春蘭
翟志剛,翟志剛
张阳,張陽
孔杰,孔傑
于海,于海
魏轶力,魏軼力
吴仪,呉儀
张靓颖,ジェーン・チャン
張栢芝,セシリア・チャン
湯唯,湯唯
郭晶晶,郭晶晶
陳方安生,陳方安生
姚期智,アンドリュー・チーチー・ヤオ
王沪宁,王滬寧
皮红艳,ピ・ホンヤン
陳伯達,陳伯達
韩正,韓正
陈冯富珍,陳馮富珍
邓亚萍,鄧亜萍
窦唯,竇唯
梁思成,梁思成
孙政才,孫政才
李康敏,ハーマン・リ
刘晓波,劉暁波
毛远新,毛遠新
章诒和,章詒和
刘翔,劉翔
黎鋒英,黎鋒英
李建国,李建国
晏紫,晏紫
王军霞,王軍霞
张元,チャン・ユアン
邓琳琳,鄧琳琳
王娇,王嬌
王楠,王楠
王濛,王濛
何可欣,何可欣
邹凯,鄒凱
彭帅,彭帥
叶诗文,葉詩文
陈中流,陳中流
郑保瑞,ソイ・チェン
石柯,石柯
田卿,田卿
陈冲,陳冲
陈若琳,陳若琳
鄭佩佩,チェン・ペイペイ
孙玉洁,孫玉潔
陈燮霞,陳燮霞
楊文意,楊文意
宫金杰,宮金傑
王维林,無名の反逆者
尼科·延纳里斯,ニコ・イェナリス
赵涛,趙濤
陈元,陳元
熊黛林,リン・ホン
張藝謀,張芸謀
杨洁篪,楊潔篪
孙甜甜,孫甜甜
申雪,申雪
张蓓雯,ツァン・ベイウェン
陳好,陳好
杨雨,楊雨
姚明,姚明
楊揚,楊揚
张怡宁,張怡寧
張載榮,張載榮
张梓琳,張梓琳
赵本山,趙本山
赵丹,趙丹
刘洋,劉洋
江青,江青
吐赫提·土亚兹,トフティ・トゥニヤズ
张春桥,張春橋
張丹,張丹
溥傑,愛新覚羅溥傑
伏明霞,伏明霞
刘子歌,劉子歌
劉芳,劉芳
张大庆,張大慶
張徳英,張徳英
赵婷婷,趙婷婷
王光美,王光美
孫英傑,孫英傑
贺子珍,賀子珍
赵雪,趙雪
颜惠庆,顔恵慶
陳文媛,陳文媛
王力雄,王力雄
张德江,張徳江
张高丽,張高麗
赵小丁,チャオ・シャオティン
乐靖宜,楽靖宜
李妮娜,李妮娜
高崚,高崚
第十世班禅额尔德尼,パンチェン・ラマ10世
孙胜男,孫勝男
金培達,金培達
劉艷,劉艶
顾颉刚,顧頡剛
龚智超,龔智超
丁其庆,中島慶
李玉,李玉
吴敏霞,呉敏霞
侯逸凡,侯逸凡
周嘉玲,チャウ・カーリン
丁松,丁松
丁石孙,丁石孫
側田,ジャスティン・ロー
王馨平,リンダ・ウォン
林嘉欣,カリーナ・ラム
林憶蓮,林憶蓮
李源潮,李源潮
李泽厚,李沢厚
穆爽爽,穆爽爽
方方,方方
陈晓敏,陳暁敏
李沁謠,ジュンジュン
张志磊,張志磊
張治中,張治中
蕭克,蕭克
赵剑华,趙剣華
陳濟棠,陳済棠
胡宗南,胡宗南
俞鴻鈞,兪鴻鈞
那英,那英
羅嘉良,羅嘉良
吳卓羲,ロン・ン
赵宏博,趙宏博
赵克志,趙克志
赵树理,趙樹理
孙俪,孫儷
曹達華,曹達華
张恩华,張恩華
王菲,王菲 (ビーチバレー)
王國生,王国生
王会元,王会元
王建中,王建中
赵芸蕾,趙芸蕾
叶钊颖,葉釗穎
趙友鳳,趙友鳳
赵薇,ヴィッキー・チャオ
赵尊岳,趙尊嶽
郑波,鄭波
林树森,林樹森
王小波,王小波 (小説家)
陳美詩,メイシー・チャン
黃霑,ジェームズ・ウォン
董斌,董斌
董芳,董芳
任灿灿,任燦燦
陈小春,陳小春
李富玉,李富玉
郑君里,チョン・チュンリー
郑赛赛,鄭賽賽
杨晨,楊晨
李碧華,李碧華
