党委书记,党委員会の責任者
大圍站,大囲駅
國際金融中心,国際金融中心
釣魚台列嶼,尖閣諸島
香港回歸,香港返還
城門河,城門河
九龍塘,九龍塘
CALIS规范数据库记录控制号,CALIS
中华人民共和国行政区划代码,中国行政区画コード
成都市,成都市
中国大百科全书（第三版）标识符,中国大百科全書（第三版）識別子
中华人民共和国,中華人民共和国
东部裕固语,東部ユグル語
和記黃埔,ハチソン・ワンポア
灣仔站,湾仔駅
青馬大橋,青馬大橋
内蒙古自治区,内モンゴル自治区
上海社会科学院,上海社会科学院
中國極地研究中心,Polar Research Institute of China（PRIC）
明十三陵,明の十三陵
西城区,西城区
上海新国际博览中心,上海新国際博覧中心
泰晤士小镇,テムズ・タウン
新浪微博用户账号,新浪微博のユーザーID
香港大學,香港大学
香港中文大學,香港中文大学
百度贴吧名,百度貼吧名
懂球帝球员编号,懂球帝選手識別子
小红书主页,小紅書ユーザー識別子
上海天马山赛车场,上海天馬サーキット
中国浦东干部学院,中国浦東幹部学院
香港影庫個人編號,香港映画データベース 人物ID
知乎话题标识符,知乎話題識別子
中国图书分类码,中国図書館図書分類法
国内统一连续出版物号,中国の国内統一刊号
中国国家图书馆标识符,中国国家図書館識別子
郑州市,鄭州市
上海大世界,大世界娯楽センター
廉政公署,廉政公署
大世界站,大世界駅
.hk,.hk
2008年夏季奥林匹克运动会关岛代表团,2008年北京オリンピックのグアム選手団
大运河,京杭大運河
H萌娘標識符,エッチ萌えっ娘識別子
百度学术论文编号,百度学術論文識別子
鄂温克语,エヴェンキ語
上海黄金交易所,上海金取引所
成华区,成華区
中國歷代人物傳記資料庫編號,中国歴代人物伝記データベース識別子
中国历史地理信息系统编号,CHGIS ID
中共政治菁英資料庫編號,中国政治エリートデータベースID
笔划数,画数
软科大学编号,ARWU大学ID
江苏省,江蘇省
中國共產黨第一次全國代表大會會址,中国共産党第一次全国代表大会会址
兴圣教寺塔,興聖教寺塔
中国铁路车站代码（TMIS）,TMIS駅コード
中国名人录编号,中国名人録番号
Flora of China ID,中国植物誌ID
清华大学,清華大学
同济大学,同済大学
南洋模范中学,南洋模範中学
乌鲁木齐市,ウルムチ市
湄公河,メコン川
宏村,宏村
福建省,福建省
北京市,北京市
保安语,バオアン語
北京大学,北京大学
广州市,広州市
港元,香港ドル
Bangumi主題識別碼,番組計画主題識別子
嗶哩嗶哩作品標識符,bilibili番組識別子
萌娘百科標識符,萌えっ娘百科事典識別子
香港中文名稱規範數據庫識別碼,香港中国語名規範データベース識別子
南京市,南京市
哔哩哔哩用户标识符,bilibiliのユーザーID
哔哩哔哩视频编号,bilibili動画識別子
珠穆朗瑪峰,エベレスト
中国奥林匹克委员会运动员编号,中国オリンピック委員会 選手ID
中国哲学书电子化计划作品编号,ctext 文献ID
豆瓣电影编号,豆弁 映画ID
香港影庫電影編號,香港映画データベース 映画ID
豆瓣影人编号,豆弁映画人物識別子
香港立法局/立法會議員資料庫編號,DLCM ID
字形维基编号,グリフウィキID
百度学术学者编号,百度 研究者ID
温州市,温州市
龙华寺,龍華寺
蒙古族,モンゴル民族
苏州市,蘇州市
布里亞特語,ブリヤート語
花剌子模语,ホラズム語
景颇语,ジンポー語
色勒库尔语,サリコリ語
撒拉语,サラール語
香港國際機場,香港国際空港
戈壁,ゴビ砂漠
海南省,海南省
无锡市,無錫市
湖州市,湖州市
西递村,西逓村
武当山,武当山
豆瓣音乐标识符,豆瓣(Douban) 音楽ID
黄龙风景名胜区,黄龍風景区
九寨沟风景名胜区,九寨溝
西藏自治区,チベット自治区
颐和园,頤和園
克木语,クム語
客家话,客家語
哈尔滨市,ハルビン市
浙江省,浙江省
侵华日军南京大屠杀遇难同胞纪念馆,南京大虐殺紀念館
达斡尔语,ダウール語
东乡语,サンタ語
昆山市,崑山市
紹興市,紹興市
香港立法會,香港特別行政区立法会
黑龙江省,黒竜江省
武陵源,武陵源
宁波市,寧波市
藏区,チベット
阳朔县,陽朔県
富裕县,富裕県
QQ号码,QQユーザー識別子
时光网人物编号,Mtime人物ID
上海图书馆人物标识符,上海図書館人物識別子
Bangumi角色标识符,番組計画登場人物識別子
Bangumi人物識別碼,番組計画人物識別子
豆瓣图书标识符,豆弁書誌ID
豆瓣舞台剧编号,豆弁 ドラマID
杭州市,杭州市
天山山脈,天山山脈
長江,長江
长征系列运载火箭,長征
中國大陸,中国大陸
莫高窟,莫高窟
山東省,山東省
上海中心大厦,上海中心
甬台温铁路,甬台温線
钱塘江,銭塘江
四川省,四川省
统一社会信用代码,統一社会信用ID
民主黨,民主党
西安市,西安市
克什米尔,カシミール
甘肃省,甘粛省
中国共产党,中国共産党
太平山,ヴィクトリア・ピーク
满语,満洲語
河北省,河北省
云南省,雲南省
裕固族,ユグル族
吳語,呉語
喀喇昆仑山脉,カラコルム山脈
國泰航空,キャセイパシフィック航空
北京首都國際機場,北京首都国際空港
瓦罕语,ワヒ語
土族语,モングォル語
回輝話,回輝語
贛語,贛語
伊犁土尔克语,イリ・チュルク語
图瓦语,トゥヴァ語
TikTok用户名,TikTokのユーザー名
新疆维吾尔自治区,新疆ウイグル自治区
中国临床试验注册中心标识符,中国臨床試験レジストリ識別子
中华人民共和国条约数据库编号,中国条約データベースID
中国绘画数据库编号,中国絵画所在情報データベースID
傣擔語,タイ・ダム語
布努语,プヌ語
义都语,義都語
怒苏语,怒蘇語
闽中语,閩中語
阿拉善沙漠,アルシャー砂漠
富拉尔基区,フラルキ区
景德镇市,景徳鎮市
香港島,香港島
雅鲁藏布大峡谷,雅鲁蔵布大峡谷
喬戈里峰,K2
柴达木盆地,ツァイダム盆地
阜新市,阜新市
北京理工大学,北京理工大学
哈尔滨工程大学,ハルビン工程大学
南京航空航天大学,南京航空航天大学
上海总会大楼,上海クラブビル
布依语,プイ語
白語,ペー語
上古汉语,上古中国語
豆瓣读书版本编号,豆弁 書籍ID
北大法宝引证码,北大法宝引証コード
黄花场村,黄花場村
河南省,河南省
中国人民政治协商会议,中国人民政治協商会議
香港電影金像獎,香港電影金像奨
香港语言学学会粤语拼音方案,香港語言学学会粤語拼音方案表記
教育学院粤语拼音方案,教育学院広東語拼音方案表記
广州话拼音方案,広州話拼音方案表記
国家法律法规数据库编号,国家法律法規データベース番号
喜马拉雅山脉,ヒマラヤ山脈
拉达克语,ラダック語
黄山,黄山
中文,中国語
拉萨市,ラサ市
阿尔泰山脉,アルタイ山脈
国家历史文化名城,中華人民共和国国家歴史文化名城
香坊区,香坊区
黑潮,黒潮
人民日报,人民日報
圖們江,豆満江
中国奥林匹克委员会,中国オリンピック委員会
黑龙江,アムール川
佛山市,仏山市
铁东路站,鉄東路駅
宜兴埠站,宜興埠駅
天塔站,天塔駅
.mo,.mo
中山路站,中山路駅
西部裕固语,西ユグル語
彝語北部方言,四川彝語
公民黨,公民党
自由黨,自由党
香港工會聯合會,香港工会連合会
古田会议,古田会議
藏语,チベット語
苏州轨道交通1号线,蘇州軌道交通1号線
印度河,インダス川
国家原子能机构,中国国家原子能機構
全国人民代表大会,全国人民代表大会
全国人民代表大会常务委员会,全国人民代表大会常務委員会
布拉马普特拉河,ブラマプトラ川
中国科学院上海天文台,上海天文台
百老汇大厦,ブロードウェイマンション
中国银行大楼,旧中国銀行上海ビル
国际饭店,国際飯店
M50创意园,莫干山路50号
东方艺术中心,上海東方芸術センター
成都平原,成都平原
百乐门舞厅,パラマウント (上海)
香港仔,香港仔
中国－巴基斯坦关系,中国とパキスタンの関係
中華人民共和國與梵蒂岡關係,中国とバチカンの関係
黃河,黄河
东海,東シナ海
浠水县,キ水県
凤阳县,鳳陽県
佛光寺 (五台山),佛光寺
中國大獎賽,中国グランプリ
徽语,徽語
羌语,北部チャン語
南羌语,南部チャン語
阿昌语,アチャン語
辽宁省,遼寧省
唔奈语,唔奈方言
有利大楼,旧ユニオン・アシュランス・カンパニーズビル
亚细亚大楼,旧マクベインビル
中国通商银行大楼,旧中国通商銀行ビル
鲁迅墓,魯迅墓
上海鲁迅纪念馆,魯迅紀念館
阿迪语,アディ語
彝语中部方言,リポ語
機場特警組,空港保安ユニット
波拉語,ペラ語
徐汇区,徐匯区
江西省,江西省
鸭绿江,鴨緑江
中国大百科全书数据库编号（第二版）,中国大百科全書識別子 (第二版)
华人基督教史人物辞典标识符,華人キリスト教史人物辞典識別子
中國哲學書電子化計劃數據維基標識符,ctext データID
抖音视频编号,抖音動画識別子
百家号标识符,百家号識別子
百度学术期刊编号,百度学術 雑誌ID
2008年夏季奥林匹克运动会,2008年北京オリンピック
侗语,トン語
拉祜語,ラフ語
澳門土生葡語,マカオ語
香港,香港
炯奈语,炯奈語
格曼语,ミジュ語
扎坝语,ジャバ語
史興語,シヒン語
彝语东部方言,東部方言
独龙语,トーロン語
东北亚,北東アジア
納木依語,ナムイ語
额尔古纳河,アルグン川
王顶堤站,王頂堤駅
周邓纪念馆站,周鄧紀念館駅
金狮桥站,金獅橋駅
吴家窑站,呉家窯駅
閩東語,閩東語
闽北语,閩北語
大伊朗,歴史的イラン世界
香港警務處,香港の警察
察哈爾部,チャハル
女真語,女真語
大伦镇,大倫鎮
沭阳县,沭陽県
小樵镇,小樵鎮
柳州市,柳州市
南海,南シナ海
夏尔巴語,シェルパ語
仓洛语,ツァンラ語
傣仂語,タイ・ルー語
上海市,上海市
中国农业银行,中国農業銀行
中国建设银行,中国建設銀行
上海浦东国际机场,上海浦東国際空港
揭阳市,掲陽市
怒江,サルウィン川
中国工商银行股份有限公司,中国工商銀行
中国公民签证要求,中国国民の査証要件
张兴庄站,張興荘駅
津湾广场站,津湾広場駅
西康路站,西康路駅
红旗南路站,紅旗南路駅
高新区站,高新区駅
天士力站,天士力駅
华苑站,華苑駅
和平路站,和平路駅
华北集团站,華北集団駅
丰产河站,豊産河駅
晋语,晋語
傈僳语,リス語
安多方言,アムド・チベット語
哈尼语,ハニ語
官话,中国官話
宁夏回族自治区,寧夏回族自治区
广州白云国际机场,広州白雲国際空港
吉林省,吉林省
中國－土耳其關係,中国とトルコの関係
中以关系,中国とイスラエルの関係
中国－伊朗关系,中国とイランの関係
夏鲁寺,シャル・トゥメン
中亚,中央アジア
比亚迪汽车,比亜迪汽車
湖南省,湖南省
鸡西市,鶏西市
廣府話,広東語
淮安市,淮安市
尔龚语,ホルパ語
里泼土语,リポ語
卫拉特语,オイラト語
宿迁市,宿遷市
台湾省,台湾省
自治区,中華人民共和国の自治区
黄果树瀑布,黄果樹瀑布
亞洲公路3號線,アジアハイウェイ3号線
尚义县,尚義県
鹤哈高速公路,鶴哈高速道路
西侯度遗址,西侯渡
威县,威県
文化大革命,文化大革命
连云港市,連雲港市
徐州市,徐州市
莆仙語,莆仙語
载瓦语,載瓦語
康方言,カム・チベット語
阿卡语,アカ語
盐城市,塩城市
扬州市,揚州市
.cn,.cn
遵义市,遵義市
自贡市,自貢市
東亞,東アジア
蒙古语,モンゴル語
山西省,山西省
黄海,黄海
人民币,人民幣
秦始皇兵马俑,兵馬俑
朝鮮語,朝鮮語
安徽省,安徽省
茂名市,茂名市
中信银行,中信銀行
北京银行,北京銀行
闽南语,閩南語
傣那语,タイ・ヌア語
青海省,青海省
台湾海峡通道,台湾海峡トンネル
老边区,老辺区
岳塘区,岳塘区
招商局港口,招商局港口
十三陵水库,十三陵ダム
门巴语,東部チベット諸語
平昌县,平昌県
塔城地区,タルバガタイ地区
衡山,衡山
盘山县,盤山県
九龍巴士78K線,九龍バス78K線
维吾尔族,ウイグル人
小淀站,小淀駅
山塘街,山塘街
陕西省,陝西省
湖北省,湖北省
沈阳地铁,瀋陽地下鉄
北京地铁5号线,北京地下鉄5号線
大连工业大学,大連工業大学
2013深圳公開賽,2013年深センオープン
下陆区,下陸区
重庆轨道交通1号线,重慶軌道交通1号線
浙江中医药大学,浙江中医薬大学
宁南县,寧南県
湟中区,湟中区
柯尔克孜语,キルギス語
佳木斯市,ジャムス市
常州市,常州市
泰州市,泰州市
東清鐵路,東清鉄道
轰-6,H-6
天宁区,天寧区
锦州市,錦州市
呼玛河,呼瑪河
徐家汇圣依纳爵主教座堂,徐家匯聖イグナチオ大聖堂
中华人民共和国行政领土实体,中華人民共和国の行政区分
且末县,チャルチャン県
大悟县,大悟県
赫章县,赫章県
鎮江市,鎮江市
哈薩克語,カザフ語
台州市,台州市
丽水市,麗水市
西沙群岛,西沙諸島
白族,ペー族
长安汽车,長安汽車
蓬安县,蓬安県
南通市,南通市
沈阳市,瀋陽市
贵州省,貴州省
艾努语,エイヌ語
2008年夏季奧林匹克運動會男子籃球賽,2008年北京オリンピックのバスケットボール競技・男子
明孝陵,明孝陵
四川盆地,四川盆地
龙门石窟,龍門洞窟
三沙市,三沙市
永州市,永州市
中国国际航空,中国国際航空
上海海事大学,上海海事大学
金山足球场,金山体育中心
松江大学城,松江大学城
南昌县,南昌県
广州国际女子网球公开赛,広州国際女子オープン
高陵区,高陵区
雲南大學,雲南大学
郑州大学,鄭州大学
西安电子科技大学,西安電子科技大学
集宁区,集寧区
舟山市,舟山市
中国共产党中央委员会,中国共産党中央委員会
高德软件有限公司,高徳軟件
金华市,金華市
嘉兴市,嘉興市
中華文化,中華文化
公格尔峰,コングール山
2008年8月1日日食,2008年8月1日の日食
中國西南航空4509號班機空難,中国西南航空4509便墜落事故
西夏区,西夏区
布依族,プイ族
西朝鲜湾,西朝鮮湾
中國國際航空航天博覽會,中国国際航空宇宙博覧会
钱塘江大桥,銭塘江
闸口白塔,閘口白塔
唐山市,唐山市
聖神修院,聖神修院
石家庄市,石家荘市
中国啤酒,中国のビール
鴨洲,鴨洲
龙华区,竜華区
坪山区,坪山区
当惹雍错,タンラ・ユムツォ
仁布县,リンプン県
定州市,定州市
直-9,Z-9
明溪县,明渓県
拜泉县,拝泉県
海峽石,海峡石
金台区,金台区
湖南大学,湖南大学
重庆市,重慶市
克拉玛依市,カラマイ市
永定区,永定区
达里诺尔,ダライ・ノール
登封观星台,登封観星台
河北鋼鐵集團,河北鋼鉄集団
林士石,林士石
香港政區,香港の行政区画
澳門行政區劃,マカオの行政区画
中华人民共和国最高领导人,中華人民共和国の最高指導者
山阴县,山陰県
望都县,望都県
伊州区,伊州区
高密市,高密市
白马语,白馬語
潍城区,濰城区
热振寺,レティン寺
温泉县,温泉県
普通高等学校招生全国统一考试,全国普通高等学校招生入学考試
乌兹别克语,ウズベク語
衢州市,衢州市
皇姑区,皇姑区
铁西区,鉄西区
苏公塔,蘇公塔
新巴尔虎右旗,新バルグ右旗
9gag,9GAG
桥东区,橋東区
阿尼玛卿山,アムネマチン
景县,景県
旁遮普語,パンジャーブ語
2008年夏季奧林匹克運動會馬術比賽,2008年北京オリンピックの馬術競技
中国证券监督管理委员会,中国証券監督管理委員会
双清区,双清区
藏曆,チベット暦
A123系統公司,A123・システムズ
梅县长岗岌机场,梅県空港
青太客運專線,青太旅客専用線
罗汉寺 (重庆),羅漢寺 (重慶)
2011年亞洲籃球錦標賽,2011年バスケットボール男子アジア選手権
莘庄站,莘荘駅
盐津县,塩津県
浑南区,渾南区
千山区,千山区
浑源县,渾源県
辽宁曙光汽车集团,燭光汽車集団
山亭区,山亭区
中国音乐,中国の音楽
中芯国际,中芯国際集成電路製造有限公司
塔城市,チョチェク市
啟德機場,啓徳空港
长江三峡,三峡
长江商学院,長江商学院
海门区,海門市
冷水滩区,冷水灘区
邢台市,邢台市
东南亚,東南アジア
山西航空,山西航空
翼城县,翼城県
三亞鳳凰國際機場,三亜鳳凰国際空港
豫园站,豫園駅
临夏市,臨夏市
中華人民共和國主席,中華人民共和国主席
牟平区,牟平区
灣仔,湾仔
2008年夏季奧林匹克運動會體操比賽－女子跳馬,2008年北京オリンピックの体操競技・女子跳馬
梅列区,梅列区
贺龙体育文化中心,賀竜体育中心
邯郸市,邯鄲市
天津市,天津市
泗阳县,泗陽県
米易县,米易県
邗江区,邗江区
秦皇岛市,秦皇島市
深水埗區,深水埗区
觀瀾湖高爾夫球會,ミッションヒルズ・ゴルフクラブ
歷山大廈,歴山ビル
银州区,銀州区
赤城县,赤城県
中华人民共和国司法体制,中華人民共和国司法体制
那坡县,那坡県
月坛,月壇
北京地铁2号线,北京地下鉄2号線
肇庆市,肇慶市
邵东市,邵東県
荔浦市,茘浦県
解放区,解放区
张家口市,張家口市
承德市,承徳市
維吾爾語,ウイグル語
衡水市,衡水市
香港總商會,香港総商会
西乡县,西郷県
法库县,法庫県
宜都市,宜都市
中华人民共和国贫困问题,中華人民共和国の貧困
中国工程院,中国工程院
睡虎地秦简,睡虎地秦簡
保定市,保定市
长城,万里の長城
糧船灣,糧船湾
海宁市,海寧市
新兴县,新興県
长兴岛,長興島
湘语,湘語
锡伯语,シベ語
中国大陆的性服务业,中華人民共和国における売春
甘肃天马足球俱乐部,甘粛天馬
壮语,チワン語
大足石刻,大足石刻
纳木错,ナムツォ
石武客运专线,石武旅客専用線
北京市文物保护单位,北京市文物保護単位
渤海海峡,渤海海峡
北疆,ジュンガリア
廊坊市,廊坊市
吐鲁番盆地,トルファン盆地
東江,東江
長寧區,長寧区
汕头市,汕頭市
沧州市,滄州市
吴川市,呉川市
泗洪县,泗洪県
翠峦区,翠巒区
黃浦區,黄浦区
云霄县,雲霄県
察哈尔右翼后旗,チャハル右翼後旗
湛江市,湛江市
