Beijing,北京市
Tianjin,天津市
Shenzhen,深セン市
Wuhan,武漢市
Guangzhou,広州市
Shanghai,上海
People’s Republic of China,中国
Chengdu,成都市
Xi’an,西安市
Nanjing,南京市
Shenyang,瀋陽市
Harbin,ハルビン市
Changchun,長春市
Shijiazhuang,石家荘
Hefei,合肥市
Hangzhou,杭州市
Zhengzhou,鄭州市
Fuzhou,福州市
Dongguan,東莞市
Chongqing,重慶市
Changsha,長沙市
Kunming,昆明市
Jinan,済南市
Ürümqi,ウルムチ
Hohhot,フフホト市
Xining,西寧市
Xiamen,廈門市
Haikou,海口市
Guiyang,貴陽市
Nanning,南寧市
Nanchang,南昌市
Zibo,シ博市
Yinchuan,銀川市
Foshan,仏山市
Qingdao,青島市
Lanzhou,蘭州
Suzhou,蘇州市
Lhasa,ラサ市
Eastern Asia,東アジア
Zhangjiakou,張家口
Siping,四平市
Qiqihar,チチハル市
Liaoyang,遼陽市
Jinzhou,錦州市
Jilin,吉林市
Jiamusi,ジャムス市
Heihe,黒河市
Fuxin,阜新市
Fushun,撫順市
Datong,大同市
Daqing,大慶市
Dandong,丹東市
Chengde,承徳市
Benxi,本渓市
Baotou,包頭市
Anshan,鞍山市
Zunyi,遵義市
Zigong,自貢市
Zhuzhou,株洲市
Shangqiu,商丘市
Tangshan,唐山
Xinyang,信陽市
Xingtai,ケイ台市
Xiaogan,孝感市
Xianyang,咸陽市
Zhuhai,珠海
Xiangtan,湘潭市
Wuzhou,梧州市
Wuxi,無錫市
Changde,常徳市
Wuhu,蕪湖市
Wenzhou,温州市
Weinan,渭南市
Weihai,威海市
Weifang,イ坊市
Huizhou,恵州
Hubei Sheng,湖北省
Huangshi,黄石市
Huaibei,淮北市
Heze,カ沢市
Hengyang,衡陽市
Hanzhong,漢中市
Changzhi,長治市
Handan,邯鄲市
Guilin,桂林市
Guigang,貴港市
Yueyang,岳陽市
Ningbo,寧波市
Neijiang,内江市
Nanyang,南陽市
Nantong,南通市
Nanchong,南充市
Mianyang,綿陽市
Meizhou,梅州市
Meishan,眉山市
Maoming,茂名市
Luzhou,瀘州市
Luoyang,洛陽市
Luohe,ラク河市
Longyan,竜岩市
Puning,普寧市
Zhenjiang,鎮江
Zhaotong,昭通市
Zhaoqing,肇慶市
Zhanjiang,湛江市
Zhangzhou,ショウ州市
Anyang,安陽市
Zaozhuang,棗荘市
Kunshan,崑山市
Yunfu,雲浮市
Yulin,玉林市
Yichang,宜昌市
Yibin,宜賓市
Yantai,煙台市
Yangzhou,揚州
Yancheng,塩城市
Shangrao,上饒市
Ganzhou,カン州
Fuzhou,撫州市
Fuyang,阜陽市
Dongying,東営市
Dazhou,達州市
Dalian,大連市
Shaoxing,紹興市
Shaoguan,韶関市
Shantou,汕頭市
Shaanxi,陝西省
Sanya,三亜市
Jieyang,掲陽市
Quzhou,衢州市
Qujing,曲靖市
Quanzhou,泉州市
Qinzhou,欽州市
Qinhuangdao,秦皇島市
Jinjiang,晋江市
Qingyuan,清遠市
Putian,ホ田市
Pingxiang,萍郷市
Pingdingshan,平頂山市
Chuzhou,ジョ州市
Chaozhou,潮州
Changzhou,常州市
Bozhou,亳州市
Bijie,畢節市
Bengbu,蚌埠市
Shaoyang,邵陽市
Baoding,保定市
Anshun,安順市
Anqing,安慶市
Linyi,臨沂市
Linfen,臨汾市
Liaocheng,聊城市
Leshan,楽山市
Laibin,来賓市
Kaifeng,開封市
Jiujiang,九江市
Jining,済寧市
Jinhua,金華市
Jingzhou,荊州市
Jiaxing,嘉興市
Jiaozuo,焦作市
Jiangmen,江門市
Yangjiang,陽江市
Aksu,アクス
Korla,コルラ市
Kashgar,カシュガル
Xixabangma Feng,シシャパンマ
Zhongshan,中山
Ordos,オルドス市
Hezhou,賀州市
Taizhou,台州市
Liupanshui,六盤水市
Xuzhou,徐州市
Yingkou,営口市
Yichun,伊春市
Tongliao,通遼市
Tonghua,通化市
Tieling,鉄嶺市
Shuangyashan,双鴨山市
Mudanjiang,牡丹江市
Longshan,遼源市
Jixi,鶏西
Jiagedaqi,加格達奇区
Hegang,鶴崗市
Chifeng,赤峰市
Baicheng,白城市
Baishan,白山市
Zoucheng,鄒城市
Zhoukou,周口市
Yuxi,玉渓市
Taishan,台山市
Suizhou,随州市
Suining,遂寧市
Tongchuanshi,銅川市
Wuhai,烏海市
Wenchang,文昌市
Wanning,万寧市
Huaihua,懐化市
Hengshui,衡水市
Hebi,鶴壁市
Wuyishan,武夷山市
Nanping,南平市
Lüshun,旅順
Zhangye,張掖市
Jinghong,景洪
Yuncheng,運城市
Heyuan,河源市
Yangquan,陽泉市
Tongshan,徐州市
Dezhou,徳州市
Deyang,徳陽市
Zhangjiajie,張家界市
Lijiang,麗江市
Shanwei,汕尾市
Sanming,三明市
Sanmenxia,三門峡市
Qufu,曲阜市
Pingliang,平涼市
Cangzhou,滄州市
Binzhou,浜州市
Beihai,北海市
Baiyin,白銀市
Lishui,麗水市
Lengshuijiang,冷水江市
Laiwu,莱蕪市
Jingmen,荊門市
Jingdezhen,景徳鎮
Jinchang,金昌市
Guangyuan,広元市
Qionghai,瓊海市
Karamay,カラマイ市
Hami,クムル市
Dunhuang,敦煌市
Turpan,トルファン市
Jiayuguan,嘉峪関市
Hotan,ホータン市
Baoshan,保山市
Mount Everest,エベレスト
Jiuquan,酒泉市
Gyachung Kang,ギャチュンカン
Beijing Capital International Airport,北京首都国際空港
Shanghai Pudong International Airport,上海浦東国際空港
Shanghai Hongqiao International Airport,上海虹橋国際空港
Puyang,濮陽市
Rizhao,日照市
Huanggang,黄岡市
Baoji,宝鶏市
Lianyungang,連雲港
Xi'an Xianyang International Airport,西安咸陽国際空港
Yanji,延吉市
Suihua,綏化市
Songyuan,松原
Manzhouli,満州里市
Lake Khanka,ハンカ湖
Hailar,ハイラル区
Chaoyang,朝陽市
Tai Hu,太湖
Xiangxiang,湘郷市
Guyuan,固原市
Macheng,麻城市
Loudi,婁底市
Yulinshi,楡林市
Yingtan,鷹潭市
Dali,大理
State of Arunāchal Pradesh,アルナーチャル・プラデーシュ州
Dêqên Tibetan Autonomous Prefecture,デチェン・チベット族自治州
Rikaze,サムドゥプツェ区
Cho Oyu,チョ・オユー
Namtso,ナムツォ
Nagqu,ナクチュ地区
Altay Airport,アルタイ空港
Baotou Donghe Airport,包頭空港
Shijiazhuang Zhengding International Airport,石家荘正定国際空港
Zhuhai Jinwan Airport,珠海金湾空港
