Angela Merkel,앙겔라 메르켈
Martin Schulz,마르틴 슐츠
Georg Schwarzenbeck,한스게오르크 슈바르첸베크
Giovane Élber,지오바니 에우베르
Thomas Kraft (Fußballspieler),토마스 크라프트
Roman Neustädter,로만 노이슈테터
Paul Deussen,파울 도이센
Reinhold Schünzel,라인홀트 쉰첼
Franzl Lang,프란츨 랑
Gonzalo Castro,곤살로 카스트로
Robert Harting,로베르트 하르팅
Arno Peters,아르노 페터스
Marc Forster,마르크 포르스터
Reinhard Marx,라인하르트 마르크스
Rupprecht von Bayern,루프레히트 폰 바이에른 왕세자
Jürgen Grabowski,위르겐 그라보프스키
Romano Guardini,로마노 구아르디니
Alexander Koch (Fechter),알렉산더 코흐
Konrad Adenauer,콘라트 아데나워
Hanna Schygulla,하나 쉬굴라
Hans Wilsdorf,한스 빌스도르프
Dirk Nowitzki,디르크 노비츠키
Ulrike Nasse-Meyfarth,울리케 마이파르트
Zedd,제드 (음악가)
Walter Kasper,발터 카스퍼
Carl Orff,카를 오르프
Bernhard Langer (Golfspieler),베른하르트 랑거
Rainer Bonhof,라이너 본호프
Georg Sterzinsky,게오르크 스테르진스키
Albert Einstein,알베르트 아인슈타인
Luise Rainer,루이제 라이너
Fritz Lang,프리츠 랑
Tom Schilling,톰 실링
Ludwig Erhard,루트비히 에르하르트
Kurt Georg Kiesinger,쿠르트 게오르크 키징거
Ferdinand Tönnies,페르디난트 퇴니스
Helmut Schmidt,헬무트 슈미트
Max Klinger,막스 클링거
Joachim Meisner,요아힘 마이스너
Patrick Ebert,파트리크 에베르트
Emre Can,엠레 잔
Benedikt XVI.,교황 베네딕토 16세
Rudolf Mößbauer,루돌프 뫼스바우어
Gerhard Ludwig Müller,게르하르트 루트비히 뮐러
Bernd Hölzenbein,베른트 횔첸바인
Sepp Maier,제프 마이어
Franz Xaver Schwarz (Politiker),프란츠 크사버 슈바르츠
Ludwig Thoma,루트비히 토마
Albrecht von Bayern (1905–1996),알브레히트 폰 바이에른 (1905년)
Bastian Schweinsteiger,바스티안 슈바인슈타이거
Markus Wasmeier,마르쿠스 바스마이어
Günter Netzer,귄터 네처
Karl Valentin,카를 발렌틴
Tom Wlaschiha,톰 블라시하
Karl Albrecht,카를 알브레히트
Fritz Walter,프리츠 발터
Helmut Kohl,헬무트 콜
Gerhard Schröder,게르하르트 슈뢰더
Peter Sloterdijk,페터 슬로터다이크
Werner Herzog,베르너 헤어초크
Joachim Gauck,요아힘 가우크
Christian Wulff,크리스티안 불프
Lothar Matthäus,로타어 마테우스
Annette Schwarz (Pornodarstellerin),아네테 슈바르츠
Horst Köhler,호르스트 쾰러
Uli Hoeneß,울리 회네스
Marcel Reich-Ranicki,마르셀 라이히라니츠키
Konrad Bloch,콘라트 에밀 블로흐
Bernd Schuster,베른트 슈스터
Ludwig III. (Bayern),루트비히 3세 (바이에른)
Paul Breitner,파울 브라이트너
Johannes Rau,요하네스 라우
Rita König,리타 쾨니히
Dennis Seidenberg,데니스 자이덴베르크
Roman Herzog,로만 헤어초크
Herta Müller,헤르타 뮐러
Birol Ünel,비롤 위넬
Oliver Riedel,올리버 리델
Heinrich Lübke,하인리히 륍케
Gustav Heinemann,구스타프 하이네만
Theodor Heuss,테오도어 호이스
Sandra Bullock,샌드라 불럭
Rudi Völler,루디 푈러
Uwe Seeler,우베 젤러
Ottmar Hitzfeld,오트마어 히츠펠트
Franz Josef Strauß,프란츠 요제프 슈트라우스
Horst Seehofer,호르스트 제호퍼
Feodor Lynen,페오드르 리넨
Ernst Otto Fischer,에른스트 오토 피셔
Richard von Weizsäcker,리하르트 폰 바이츠제커
Friedrich Ebert,프리드리히 에베르트
Edmund Stoiber,에드문트 슈토이버
Walter Eucken,발터 오이켄
Sidney Sam,시드니 샘
Koray Günter,코라이 귄터
Oliver Kirch,올리버 키르히
Erich Honecker,에리히 호네커
Egon Krenz,에곤 크렌츠
Manfred Gerlach,만프레트 게를라흐
Paul Kalkbrenner,파울 칼크브레너
Raphael Schäfer,라파엘 섀퍼
Albrecht III. (Bayern),알브레히트 3세 폰 비텔스바흐
Kurt Aland,커트 알란드
Walter Scheel,발터 셸
Karl Carstens,카를 카르스텐스
Erich Maria Remarque,에리히 마리아 레마르크
Hermann Hesse,헤르만 헤세
Frank Ordenewitz,프랑크 오르데네비츠
Uwe Rahn,우베 란
Pierre Littbarski,피에르 리트바르스키
Marika Rökk,마리카 뢰크
Ludwig Mies van der Rohe,루트비히 미스 판 데어 로에
Stefan Effenberg,슈테판 에펜베르크
Hans Magnus Enzensberger,한스 마그누스 엔첸스베르거
Sebastian Vettel,제바스티안 페텔
Otfried Preußler,오트프리트 프로이슬러
Andreas Ottl,안드레아스 오틀
Nico (Sängerin),니코 (가수)
Wolfgang Overath,볼프강 오베라트
Mario Gómez,마리오 고메스
Tim Hoogland,팀 후글란트
Hermann Staudinger,헤르만 슈타우딩거
Paul von Hindenburg,파울 폰 힌덴부르크
Heinrich Böll,하인리히 뵐
Thomas Müller,토마스 뮐러
Wolf Blitzer,울프 블리처
Albert Schweitzer,알베르트 슈바이처
Timo Gebhart,티모 게브하르트
Abraham Gotthelf Kästner,아브라함 고트헬프 케스트너
Reiner Knizia,라이너 크니치아
Leonid Kreutzer,레오니트 크로이처
Gerhard Stöck,게르하르트 슈퇴크
Bernard Katz,버나드 카츠
Anne-Sophie Mutter,안네 소피 무터
Franciszek Smuda,프란치셰크 스무다
Eugen Polanski,오이겐 폴란스키
Adolf Butenandt,아돌프 부테난트
Franz Beckenbauer,프란츠 베켄바워
Ulrich von Wilamowitz-Moellendorff,울리히 폰 빌라모비츠묄렌도르프
Henry Koster,헨리 코스터
Bernd Eichinger,베른트 아이힝거
Gottfried Heinrich zu Pappenheim,고트프리트 하인리히 추 파펜하임 백작
Peter Frenkel,페터 프렝켈
Karl Hein,카를 하인
Joachim Löw,요아힘 뢰프
Philipp Lahm,필리프 람
Gerd Müller,게르트 뮐러
Hilde Schrader,힐데가르트 슈라더
Carl Gustav Hempel,칼 구스타프 헴펠
Heidi Biebl,하이디 비블
Balian Buschbaum,발리안 부시바움
Stefan Raab,슈테판 라브
Sabine Busch,자비네 부슈
Manfred Eicher,만프레트 아이허
Gustav Radbruch,구스타프 라드브루흐
Günter Grass,귄터 그라스
Robert Siodmak,로버트 시오드맥
Adolf Merckle,아돌프 메클레
Kurt Knispel,쿠르트 크니슈펠
Joseph H. Pilates,요제프 필라테스
Ellen von Unwerth,엘렌 폰 운베르트
Tatjana Patitz,타탸나 파티츠
Günther Maleuda,귄터 말로이다
Florian Schwarthoff,플로리안 슈바르토프
Linda Stahl,린다 슈탈
Josefine Preuß,요제피네 프로이스
Hanns Zischler,한스 지슐러
Markus Söder,마르쿠스 죄더
Ernst Mayr,에른스트 마이어
Kurt Welter,쿠르트 벨터
Martin Noth,마르틴 노트
Alexander Markowitsch Ostrowski,알렉산드르 오스트롭스키 (수학자)
Christoph Blumhardt,크리스토프 블룸하르트
Bibiana Beglau,비비아나 베글라우
Walter Kaufmann (Physiker),발터 카우프만 (물리학자)
Ludwig Kaas,루트비히 카스
Georg Ratzinger (Kirchenmusiker),게오르크 라칭거
Toni Garrn,토니 가른
Maria Emanuel Markgraf von Meißen,마리아 에마누엘 폰 마이센 변경백
Godehard von Hildesheim,고트하르트 폰 힐데스하임
Rüdiger Safranski,뤼디거 자프란스키
Lena Meyer-Landrut,레나 마이어란드루트
Agnes Pockels,아그네스 포켈스
Otto Frank,오토 프랑크
Rosa Luxemburg,로자 룩셈부르크
Hannelore Kraft,하넬로레 크라프트
Gertrud von Helfta,헬프타의 제르트루다
Ernst Lubitsch,에른스트 루비치
Rüdiger von der Goltz (Offizier),뤼디거 폰 데어 골츠 백작
Helma Sanders-Brahms,헬마 잔더스 브람스
Grethe Weiser,그레테 바이저
Johann Andreas Stein,요한 안드레아스 슈타인
Erwin Schrödinger,에르빈 슈뢰딩거
Sami Khedira,사미 케디라
Danny Latza,대니 라차
Kurt Jooss,쿠르트 요스
Helmut Gröttrup,헬무트 그뢰트룹
Kurt Weill,쿠르트 바일
Margot Frank,마르고트 프랑크
Edith Frank-Holländer,에디트 프랑크
Corinna Harfouch,코리나 하르포우흐
Martina Gedeck,마르티나 게데크
Beate Klarsfeld,베아테 클라르스펠트
Alfred Hugenberg,알프레트 후겐베르크
Mariella Ahrens,마리엘라 아렌스
Ernst Nolte,에른스트 놀테
Klaus Wowereit,클라우스 보베라이트
Tommy Haas,토미 하스
Stefan Andres,슈테판 안드레스
Hannah Herzsprung,하나 헤르츠스프룽
Ken Duken,켄 두켄
Anton Diffring,안톤 디프링
Gudrun Landgrebe,구드룬 란트그레베
Alexandra Maria Lara,알렉산드라 마리아 라라
Franka Potente,프랑카 포텐테
Justus Möser,유스투스 뫼저
Peter Binsfeld,페터 빈스펠트
Michael Schumacher,미하엘 슈마허
Katja Seizinger,카탸 자이칭거
Engelbert Humperdinck,엥겔베르트 훔퍼딩크
Viktoria Rebensburg,빅토리아 레벤스부르크
Maria Höfl-Riesch,마리아 회플리슈
Wim Wenders,빔 벤더스
Max Ophüls,막스 오퓔스
Steffi Graf,슈테피 그라프
Friedrich Wilhelm Murnau,프리드리히 빌헬름 무르나우
William Dieterle,윌리엄 디터리
Gisela von Schwaben,기젤라 폰 슈바벤
Werner Haase (Mediziner),베르너 하제
Jürgen Trittin,위르겐 트리틴
Michael Ballack,미하엘 발라크
Leni Riefenstahl,레니 리펜슈탈
Margarethe von Trotta,마르가레테 폰 트로타
Lisa Kreuzer,리사 크루저
Rudolf Klein-Rogge,루돌프 클라인로게
Wu Jiaduo,우자둬
Klaus Kinski,클라우스 킨스키
Gregor Gysi,그레고르 기지
Gudrun Ensslin,구드룬 엔슬린
Renate Künast,레나테 퀴나스트
Karoline von Günderrode,카롤리네 폰 귄데로데
Wilhelm Ostwald,빌헬름 오스트발트
Richard Strauss,리하르트 슈트라우스
Wilhelm Wien,빌헬름 빈
Otto Stern (Physiker),오토 슈테른
Philipp Lenard,필리프 레나르트
Ulrich Lins,울리히 린스
Reinhard Selten,라인하르트 젤텐
Johannes Stark,요하네스 슈타르크
Thomas Dörflein,토마스 되르플라인
Hansi Müller,한지 뮐러
Otto Meissner,오토 마이스너
Horst Köppel,호르스트 쾨펠
Walter Moers,발터 뫼르스
Bernd Förster,베른트 푀르슈터
Wolfgang Schäuble,볼프강 쇼이블레
Jürgen Klinsmann,위르겐 클린스만
Änis Ben-Hatira,아니스 벤하티라
Alfred Eisenstaedt,알프레트 아이젠슈테트
Hans-Josef Kapellmann,유프 카펠만
Nelly Sachs,넬리 작스
Max von Laue,막스 폰 라우에
Markus Weinzierl,마르쿠스 바인치를
Robert Schuman,로베르 쉬망
Joachim Sauer,요아힘 자우어
Dimitri Peters,디미트리 페터스
Erich von Manstein,에리히 폰 만슈타인
Kurt von Schleicher,쿠르트 폰 슐라이허
Peter Grünberg,페터 그륀베르크
Maria Goeppert-Mayer,마리아 괴퍼트메이어
Frits Clausen,프리츠 클라우센
Julia Dietze,율리아 디체
Wolfgang Behrendt (Boxer),볼프강 베흐렌트
Wolf Rüdiger Heß,볼프 뤼디거 헤스
Andreas Tölzer,안드레아스 퇼처
Anna von Kleve,아나 폰 클레페 공녀
Friedrich III. (Pfalz),프리드리히 3세 폰 데어 팔츠 선제후
Timothy Chandler,티모시 챈들러
Ludwig Bieberbach,루트비히 비버바흐
Richard Brauer,리하르트 브라우어
Karlheinz Förster,카를하인츠 푀르슈터
Wolfgang Krull,볼프강 크룰
Edmund Schlink,에드문트 슐링크
Theodor Wisch,테오도어 비시
Paul Reinecke,파울 라이네케
Hans von Salmuth,한스 폰 잘무트
Volker Strassen,포커 슈트라센
Jürgen Moser (Mathematiker),위르겐 모저
Yuri Manin,유리 마닌
Leo August Pochhammer,레오 아우구스트 포흐하머
Erich Kähler,에리히 켈러
Wilhelm Canaris,빌헬름 카나리스
Albrecht Kossel,알브레히트 코셀
Otto Meyerhof,오토 프리츠 마이어호프
Hans-Ulrich Rudel,한스울리히 루델
Eike Immel,아이케 이멜
Wolfgang Petersen,볼프강 페테르젠
Hermann Paul (Germanist),헤르만 파울
Oswald Spengler,오스발트 슈펭글러
Constantin Carathéodory,콘스탄티노스 카라테오도리
Diane Kruger,디아네 크루거
Jens Lehmann,옌스 레만
Martin Winterkorn,마르틴 빈터코른
Richard Wilhelm,리하르트 빌헬름
Torsten May,토르스텐 마이
Walter Buch,발터 부흐
Egon Bahr,에곤 바르
Carl Friedrich von Weizsäcker,카를 프리드리히 폰 바이츠제커
Andreas von Bechtolsheim,앤디 벡톨샤임
Andreas Hillgruber,안드레아스 힐그루버
Paul Levi,파울 레비
Thore Schölermann,토레 슐레만
Kurt Christoph von Schwerin,쿠르트 크리스토프 폰 슈베린 백작
Erich von Falkenhayn,에리히 폰 팔켄하인
Erich Raeder,에리히 레더
Max Abraham,막스 아브라함
Friedrich Christian von Sachsen (1893–1968),프리드리히 크리스티안 폰 작센 (1893년)
Ernst Witt,에른스트 비트
Hanna Reitsch,하나 라이치
Hermann Müller (Reichskanzler),헤르만 뮐러
Hermann Muthesius,헤르만 무테지우스
Alexander Wendt (Politikwissenschaftler),알렉산더 웬트
Zé Roberto,제 호베르투 (1974년)
Adolf Galland,아돌프 갈란트
Georg von Küchler,게오르크 폰 퀴흘러
Franz Halder,프란츠 할더
Werner von Blomberg,베르너 폰 블롬베르크
Ralph Baer,랠프 베어
Meret Becker,메레트 베커
Ludwig Beck (General),루트비히 베크
Christoph Schneider,크리스토프 슈나이더
Erhard Milch,에르하르트 밀히
Sebastian Brendel,제바스티안 브렌델
Johann Geiler von Kaysersberg,요한 가일러 폰 카이저스베르크
Otto Sander,오토 잔더
Cacau,카카우
Hermann Hoth,헤르만 호트
Joachim Jeremias,요아힘 예레미아스
Thomas Hitzlsperger,토마스 히츨슈페르거
Ernst Busch (Offizier),에른스트 부슈
Max Hartung,막스 하르퉁
Ferdinand Schörner,페르디난트 쇠르너
Sepp Dietrich,제프 디트리히
Paul Hausser,파울 하우서
Matthias Sammer,마티아스 자머
Eugen d’Albert,외젠 달베르
Ingrid Mickler-Becker,잉그리트 베커
Friedrich Gogarten,프리드리히 고가르텐
Hermann Sudermann,헤르만 주더만
Gundi Busch,군디 부슈
Theodor Schneider (Mathematiker),테오도어 슈나이더
Hans Lewy (Mathematiker),한스 레비
Theodor Hänsch,테오도어 W. 헨슈
Horst Ludwig Störmer,호르스트 루트비히 슈퇴르머
Ewald von Kleist (Generalfeldmarschall),파울 루트비히 에발트 폰 클라이스트
Johann Ludwig Graf Schwerin von Krosigk,루츠 그라프 슈베린 폰 크로지크
Claude Dornier,클라우드 도르니에
Timo Hildebrand,티모 힐데브란트
