Aachener Dom,아헨 대성당
Passau,파사우
Schweinfurt,슈바인푸르트
Fulda (Fluss),풀다강
Landkreis Elbe-Elster,엘베엘스터군
Landkreis Oberhavel,오버하펠군
Soest,조스트
Eider,아이더강
Usedom,우제돔섬
Gießen,기센
Hanau,하나우
Baden-Baden,바덴바덴
Schloss Neuschwanstein,노이슈반슈타인성
Deutschland,독일
Gera,게라
Saarland,자를란트주
Deutsche Telekom,도이체 텔레콤
Regierungsbezirk Düsseldorf,뒤셀도르프현
Bamberg,밤베르크
Ich bin ein Berliner,나는 베를린 사람입니다
Uetersen,위터젠
Aschaffenburg,아샤펜부르크
Elbe,엘베강
Bundesautobahn 37,아우토반 37호선
Bundesautobahn 73,아우토반 73호선
Oberbayern,오버바이에른현
Bundesautobahn 93,아우토반 93호선
Oranienburg,오라니엔부르크
Ansbach,안스바흐
Fußball-Bundesliga 2006/07,분데스리가 2006-07
Unna,우나 (독일)
Neckar,네카어강
Weimar,바이마르
Nordsee,북해
Bonn,본 (독일)
Kiel,킬 (슐레스비히홀슈타인주)
Potsdam,포츠담
Mercedes-Benz,메르세데스-벤츠
Nordfriesische Sprache,북프리슬란트어
Friede von Aachen (1748),엑스라샤펠 조약 (1748년)
Junkers Flugzeug- und Motorenwerke,융커스
Düsseldorf,뒤셀도르프
Wiesbaden,비스바덴
Saarbrücken,자르브뤼켄
Breinigerberg,브라이니거베르크
Duisburg,뒤스부르크
Landstuhl,란트슈툴
Walldorf,발도르프 (바덴뷔르템베르크주)
Mannheim,만하임
Lebus,레부스
Regierungsbezirk Dresden,드레스덴현
Europäische Zentralbank,유럽 중앙은행
Flughafen Berlin-Tegel,베를린 테겔 공항
1. FC Nürnberg,1. FC 뉘른베르크
Ruhrbesetzung,루르 점령
Oberursel (Taunus),오버우어젤
Westfalen,베스트팔렌
Lausitz,루사티아
Martin-Luther-Universität Halle-Wittenberg,마르틴 루터 할레비텐베르크 대학교
Frankfurter Allgemeine Zeitung,프랑크푸르터 알게마이네 차이퉁
Regierungsbezirk Tübingen,튀빙겐현
Freising,프라이징
Regierungsbezirk Freiburg,프라이부르크현
Deutsche Nationalbibliothek,독일 국립도서관
Niederbayern,니더바이에른현
Obersorbische Sprache,고지 소르브어
Kongokonferenz,베를린 회담 (1884년)
Straßenbahn Berlin,베를린 노면전차
U-Bahn-Linie U1 (Berlin),베를린 지하철 1호선
Rhön,뢴산맥
Evangelische Kirche in Deutschland,독일 개신교회
Schokoladenmuseum Köln,임호프 초콜릿 박물관
Streitkräftebasis,전력기반군
Technische Hochschule Köln,쾰른 공과대학교
Stockach,슈토카흐
Der Spiegel,슈피겔
Fußball-Bundesliga 2008/09,분데스리가 2008-09
Intercity-Express,인터시티익스프레스
Main-Donau-Kanal,마인-다뉴브 운하
Rothenburg ob der Tauber,로텐부르크오프데어타우버
Konzil von Konstanz,콘스탄츠 공의회
Waffen-SS,무장친위대
Olympische Sommerspiele 1900/Teilnehmer (Deutsches Reich),1900년 하계 올림픽 독일 선수단
Olympische Sommerspiele 1912/Teilnehmer (Deutsches Reich),1912년 하계 올림픽 독일 선수단
Deutsches Institut für Normung,독일 표준화 협회
1. FC Union Berlin,1. FC 우니온 베를린
Olympische Sommerspiele 2008/Teilnehmer (Deutschland),2008년 하계 올림픽 독일 선수단
Messeturm (Frankfurt am Main),메세투름
Südschleswigscher Wählerverband,남슐레스비히 유권자 연합
Dornier-Werke,도르니에 비행기공장
Johannes Gutenberg-Universität Mainz,마인츠 대학교
United States Army Europe and Africa,미국 유럽-아프리카 육군
Historisches Museum Frankfurt,프랑크푸르트 역사박물관
Oktoberfest,옥토버페스트
SC Freiburg,SC 프라이부르크
Spreewald,슈프레발트
Wartburg,바르트부르크성
Zaza,자자족
Berliner Schloss,베를린성
Metro AG,메트로 AG
Rot Weiss Ahlen,로트 바이스 알렌
Christlich-Soziale Union in Bayern,바이에른 기독교사회연합
Das Erste,다스 에어스터
Pfullendorf,풀렌도르프
Siemens,지멘스 (기업)
Berliner Philharmoniker,베를린 필하모니 관현악단
Freie Universität Berlin,베를린 자유 대학교
Heckler %26 Koch,헤클러운트코흐
Hohenzollern,호엔촐레른가
Lahn,란강
Contact Air,콘텍트 에어
MTU Aero Engines,MTU 에어로 엔진스
FC Carl Zeiss Jena,FC 카를 차이스 예나
Rotes Rathaus,붉은 시청사
TuS Koblenz,TuS 코블렌츠
Bild (Zeitung),빌트
I.G. Farben,IG 파르벤
Leichtathletik-Weltmeisterschaften 1993,1993년 세계 육상 선수권 대회
Focke-Wulf,포케불프
Hann. Münden,한뮌덴
Führerbunker,퓌러엄폐호
Berliner Dom,베를리너 돔
Schloss Charlottenburg,샤를로텐부르크성
1. FC Lokomotive Leipzig,1. FC 로코모티프 라이프치히
Berghof (Obersalzberg),베르그호프
Bezirk Treptow-Köpenick,트레프토쾨페니크구
Bode-Museum,보데 박물관
Friede von Frankfurt,프랑크푸르트 조약 (1871년)
Wacken Open Air,바켄 오픈 에어
Christian-Albrechts-Universität zu Kiel,킬 대학교
Würzburger Residenz,뷔르츠부르크 공관
KFC Uerdingen 05,KFC 위어딩겐 05
Pergamonmuseum,페르가몬 박물관
Bundestagswahl 2005,2005년 독일 연방의회 선거
Norddeutsches Tiefland,북독일 평원
Abchasen,압하지야인
Trivago,트리바고
Bad Münstereifel,바트뮌스터아이펠
Z1 (Rechner),Z1 (컴퓨터)
IPPNW,핵전쟁 방지 국제 의사회
Beyerdynamic,베이어다이나믹
Cham (Oberpfalz),캄 (바이에른주)
Gemeinde (Deutschland),게마인데
Düsseldorf Hauptbahnhof,뒤셀도르프 중앙역
Freiburger Münster,프라이부르크 대성당
Traunstein,트라운슈타인
Großer Preis von Deutschland 2008,2008년 독일 그랑프리
Sommer-Paralympics 1972,1972년 하계 패럴림픽
Olympia-Einkaufszentrum,올림피아 아인카우프스첸트룸
Jugoslawen,유고슬라브인
Fürstentum Anhalt-Köthen,안할트쾨텐
Audi R15 TDI,아우디 R15
RWTH Aachen,아헨 공과대학교
Pfalz (Region),팔츠 지역
Niedersächsische Akademie der Wissenschaften zu Göttingen,괴팅겐 과학원
ADAC,ADAC
Carl Zeiss (Unternehmen),칼자이스
E.ON,E.ON
Mittelgebirgsschwelle,중앙고지대
Fliegerhorst Büchel,뷔셀 공군 기지
Leaves’ Eyes,리브즈 아이즈
Schloss Bellevue,벨뷔궁
Universität Ingolstadt,잉골슈타트 대학교
CFosSpeed,CFosSpeed
Deutsche Erd- und Steinwerke,독일토공석공
Heinrich-Heine-Universität Düsseldorf,뒤셀도르프 대학교
Friedrich-Naumann-Stiftung für die Freiheit,프리드리히 나우만 재단
DB Fernverkehr,DB 페른페어케어
Fußball-Weltmeisterschaft 2006/Gruppe F,2006년 FIFA 월드컵 F조
Hallstadt,할슈타트 (바이에른주)
Fußball-Europameisterschaft der Frauen 2001/Qualifikation,UEFA 여자 유로 2001 예선
Fußball-Weltmeisterschaft 2006/Gruppe C,2006년 FIFA 월드컵 C조
Fußball-Weltmeisterschaft 2006/Gruppe G,2006년 FIFA 월드컵 G조
Landtagswahl in Sachsen-Anhalt 2011,2011년 작센안할트 주의회 선거
Regierungsbezirk Weser-Ems,베저엠스현
Hugo Boss,휴고 보스
Fritzlar,프리츨라어
Helmstedt,헬름슈테트
Plön,플뢴
Bischofsheim in der Rhön,비쇼프스하임안데어뢴
Führerhauptquartier,퓌러본부
Forst (Lausitz),포르스트
Seelow,젤로 (브란덴부르크주)
Erbach (Odenwald),에르바흐 (오덴발트)
Führerhauptquartier Adlerhorst,수리둥지
Oberwolfach,오버볼파흐
Schleiz,슐라이츠
Stiftung Warentest,슈티프퉁 바렌테스트
U-Bahnhof Kleistpark,클라이스트파르크역
U-Bahnhof Konstanzer Straße,콘스탄처 슈트라세역
Frauen-Bundesliga,프라우엔-분데스리가
Berliner Sternwarte,베를린 천문대
Breitscheidplatz,브라이트샤이트 광장
Lustgarten (Berlin),루스트 정원
Miele,밀레 (독일의 기업)
Wittenbergplatz,비텐베르크 광장
Fußball-Bundesliga 1977/78,분데스리가 1977-78
Studio Babelsberg,스튜디오 바벨스베르크
Nürnberger Flugblatt von 1561,1561년 뉘른베르크 상공 천문소동
Boden (Westerwald),보덴 (독일)
Gastarbeiter,독일의 이주노동자
Schwules Museum,슈불레스 박물관
Berliner Stadtbahn,베를린 도심선
Bombardier Transportation,봄바디어 트랜스포테이숀
Breisgau,브라이스가우
Gumpert Sportwagenmanufaktur,아폴로 오토모빌
Feldhockey-Weltmeisterschaft der Herren 2006,2006년 하키 월드컵
GSI Helmholtzzentrum für Schwerionenforschung,GSI 헬름홀츠 중이온 연구소
Howaldtswerke-Deutsche Werft,HDW
GRACE,GRACE (우주선)
Langenfeld (Mittelfranken),랑엔펠트 (바이에른주)
Breitenbach (Pfalz),브라이텐바흐 (라인란트팔츠주)
Stadtbahn Düsseldorf,뒤셀도르프 슈타트반
FIFI Wild Cup,FIFI 와일드 컵
Königsbrunn,쾨니히스브룬
Bauhaus-Universität Weimar,바이마르 바우하우스 대학교
Europastraße 56,유럽 고속도로 56호선
Internationale Kurzfilmtage Oberhausen,오버하우젠 영화제
Europastraße 26,유럽 고속도로 26호선
Senckenberg Naturmuseum,젠켄베르크 자연사박물관
Universität Osnabrück,오스나브뤼크 대학교
Gumpert Apollo,굼페르트 아폴로
Bundestagswahl 1957,1957년 독일 연방의회 선거
Bundestagswahl 1965,1965년 독일 연방의회 선거
C. Bechstein,C. 벡스타인
Staatliches Hofbräuhaus,호프브로이하우스
Trio (Band),트리오 (밴드)
Helmholtz-Gemeinschaft Deutscher Forschungszentren,헬름홀츠 협회
Hohner,호너 (기업)
Liste der Fußballspieler des FC Bayern München,FC 바이에른 뮌헨 선수 명단
Vox (Fernsehsender),VOX (독일의 텔레비전 채널)
Godesberger Programm,고데스베르크 강령
Deutschlandradio,도이칠란트라디오
Diary of Dreams,다이어리 오브 드림스
Dresdner Philharmonie,드레스덴 필하모니 관현악단
Glienicker Brücke,글리니케 교
Liste deutscher Auslandsvertretungen,독일의 재외공관 목록
Expo 2000,2000년 세계 박람회
Fußball-Weltmeisterschaft 2006/Gruppe H,2006년 FIFA 월드컵 H조
UEFA-Champions-League-Finale 2012,2012 UEFA 챔피언스리그 결승전
Führungsstab des Heeres,육군지도참모부
Universität Konstanz,콘스탄츠 대학교
Universität Ulm,울름 대학교
Thüringer Landtag,튀링겐 주의회
Fußball-Europameisterschaft der Frauen 1995/Qualifikation,UEFA 여자 유로 1995 예선
Gliederung der Bundeswehr,독일 연방방위군 편제
Deutsche Sammlung von Mikroorganismen und Zellkulturen,독일생물자원센터
Land (Deutschland),독일의 주
Wirtschaftsspionage,산업 스파이
Porsche 911 GT1,포르쉐 911 GT1
Scho-Ka-Kola,쇼카콜라
OllyDbg,OllyDbg
Fonds Deutsche Einheit,독일 통일 기금
Linklaters,링클레이터스
Landtagswahl in Thüringen 1990,1990년 튀링겐 주의회 선거
Fissler (Unternehmen),휘슬러 (기업)
Internationaler Delphischer Rat,세계델픽위원회
Pixabay,Pixabay
Inspekteur der Luftwaffe,공군총감
Kabinett Goebbels,괴벨스 내각
Politische Parteien in Deutschland,독일의 정당 제도
DFB-Supercup 1995,DFB-슈퍼컵 1995
Olympische Zwischenspiele 1906/Teilnehmer (Deutsches Reich),1906년 중간 올림픽 독일 선수단
YAML (Framework),YAML (프레임워크)
Straßenbahn Essen,에센 노면전차
Frieslande,프리슬란트
Nördliche Kalkalpen,북부 석회암 알프스산맥
Fußball-Europameisterschaft der Frauen 2001/Kader,UEFA 여자 유로 2001 선수 명단
DFB-Supercup 1988,DFB-슈퍼컵 1988
Heer (Bundeswehr),독일 육군
Schnellboote der Reichs- und Kriegsmarine,에스보트
Landtagswahl in Thüringen 2014,2014년 튀링겐 주의회 선거
Memoria Urbana Berlin,"도시의 기억, 베를린"
Landtagswahl in Brandenburg 2019,2019년 브란덴부르크주 주의회 선거
Mercedes-Benz OM 654,메르세데스-벤츠 OM654 엔진
Landtagswahl in Baden-Württemberg 2016,2016년 바덴뷔르템베르크 주의회 선거
Fußball-Bundesliga 2015/16,분데스리가 2015-16
Fußball-Bundesliga 2016/17,분데스리가 2016-17
Sprengstoffanschlag von Ansbach,2016년 안스바흐 폭탄 테러
Parteitag der CDU Deutschlands 2018 (Dezember),2018년 독일 기독교민주연합 대표 선거
Esslingen am Neckar,에슬링겐암네카어
Kaiserslautern,카이저슬라우테른
Zwickau,츠비카우
Kölsch (Bier),쾰슈
Regierungsbezirk Köln,쾰른현
Trierer Dom,트리어 대성당
Sindelfingen,진델핑겐
Regierungsbezirk Karlsruhe,카를스루에현
Unterfranken,운터프랑켄현
Regierungskrise in Thüringen 2020,2020년 튀링겐 정치 위기
Oschatz,오샤츠
Bairisch,바이에른어
Frankenthal (Pfalz),프랑켄탈
Friedrichshafen,프리드리히스하펜
Fulda,풀다
Olympische Sommerspiele 1972,1972년 하계 올림픽
Abmahnung,정지명령
Jütland,윌란반도
Focke-Wulf Fw 190,포케불프 Fw 190
Die Linke,좌파당 (독일)
Hannover,하노버
Trier,트리어
Pforzheim,포르츠하임
Freiburg im Breisgau,프라이부르크임브라이스가우
Wuppertal,부퍼탈
Slowenen,슬로벤인
Kehl,켈
Regierungsbezirk Chemnitz,켐니츠현
MAN,MAN SE
Jena,예나
Coburg,코부르크
Niedersorbische Sprache,저지 소르브어
Cottbus,콧부스
Merseburg,메르제부르크
Weiden in der Oberpfalz,바이덴인더오베르팔츠
Neuruppin,노이루핀
Verdienstorden der Bundesrepublik Deutschland,독일연방공화국 공로장
Bremen,브레멘
Münster,뮌스터
Bundespolizei (Deutschland),연방경찰 (독일)
Lübeck,뤼베크
Regensburg,레겐스부르크
Würzburg,뷔르츠부르크
Offenbach am Main,오펜바흐
Lufthansa,루프트한자
Bundesautobahn 67,아우토반 67호선
Flughafen Berlin-Schönefeld,베를린 쇠네펠트 공항
FC Augsburg,FC 아우크스부르크
Feste Fehmarnbeltquerung,페마른벨트 터널
TSG 1899 Hoffenheim,TSG 1899 호펜하임
Karlsruher SC,카를스루에 SC
Zeche Zollverein,촐페어아인 탄광
Bad Soden am Taunus,바트조덴
Borussia Dortmund,보루시아 도르트문트
Bündnis 90/Die Grünen,동맹 90/녹색당
Universität zu Köln,쾰른 대학교
Baden-Württemberg,바덴뷔르템베르크주
Dohna,도나 (작센주)
Görlitz,괴를리츠
Aachen,아헨
Dänische Sprache,덴마크어
Ahlen,알렌 (노르트라인베스트팔렌주)
Weser,베저강
