GND-Kennung,GND ID
Berlin,베를린
Dortmund,도르트문트
Deutsche Synchronkartei Personen-ID,Deutsche Synchronkartei 인물 ID
LexM-ID,LexM ID
Volkswagen,폭스바겐
Deutsch,독일어
St. Pauli,장크트 파울리
HafenCity,하펜시티
Ostsee,발트해
Uetersen,위터젠
KldB-2010 Berufs-Code,KldB-2010 직업 코드
SWB-Editionen,SWB 에디션
Deutschland,독일
Where-On-Earth-ID,WOEID
Rhein,라인강
Ich bin ein Berliner,나는 베를린 사람입니다
Amtlicher Gemeindeschlüssel,독일 지역 번호
Bonn,본
EBIDAT-ID,EBIDAT ID
Heilbronn,하일브론
DNB-Editionen-ID,DNB 에디션
USK-Altersfreigabe,USK 등급
Köln,쾰른
Deutsche-Biographie-Kennung,Deutsche Biographie (GND) ID
Düren,뒤렌
LPSN-URL,LPSN URL
DB-Betriebsstellenabkürzung,독일철도역 코드
FSK-Altersfreigabe,FSK 영화 등급
BerlPap-ID,BerlPap 식별자
Baden-Württemberg,바덴뷔르템베르크주
Bundesautobahn 93,아우토반 93호선
Bundesautobahn 73,아우토반 73호선
Oder,오데르강
Hamburg-Mitte,함부르크미테
Altona,알토나
OFDb-Film-ID,OFDb ID
Essen,에센
Duisburg,뒤스부르크
Hamburg,함부르크
OMDb-Film-ID,Open Media Database 영화 ID
GECD-Personen-ID,GECD 인물 ID
GECD Film-ID,GECD 영화 ID
Stuttgarter Datenbank wissenschaftlicher Illustratoren-ID,Stuttgart Database of Scientific Illustrators ID
Bundesfinanzamtsnummer,독일 국세청 ID
Ludwigsburg,루트비히스부르크
LdiF-ID,LdiF ID
Kinopolis Film-ID,키노폴리스 영화 ID
Cineplex Film-ID,시네플렉스 영화 ID
Filmportal-ID,필름포털 ID
Ruhr,루르강
Harburg,하르부르크구
Elbe,엘베강
Aachen,아헨
Stuttgart,슈투트가르트
Leipzig,라이프치히
Nürnberg,뉘른베르크
Leopoldina-Mitglieder-ID,Leopoldina 멤버 ID (신규)
Bayern,바이에른주
Mosel,모젤강
Bochum,보훔
Hemer,헤머
Fussballdaten.de-Person-ID,Fussballdaten.de ID
Peene,페네강
DBS-ID,DBS ID
Mastodon-Adresse,마스토돈 주소
Mannheim,만하임
Ems,엠스강
Weser,베저강
Deutsche Synchronkartei Film-ID,Deutsche Synchronkartei 영화 ID
Cinema-ID,시네마 ID
Karlsruhe,카를스루에
Olsberg,올스베르크
Olpe,올페
Ahlen,알렌
Donau,다뉴브강
Deutsche Gebärdensprache,독일 수화
Mecklenburg-Vorpommern,메클렌부르크포어포메른주
AdK-Mitgliederkennung,ADK 멤버 ID
Kabardinisch,카바르디어
Berlin Hauptbahnhof,베를린 중앙역
Wuppertal,부퍼탈
Niedersachsen,니더작센주
Deutsche-Synchronkartei-Darsteller-ID,Deutsche Synchronkartei 배우 ID
Spree,슈프레강
Deutsche Synchronkartei Serien-ID,Deutsche Synchronkartei 시리즈 ID
Städel Museum Künstler ID,슈타델 미술관 아티스트 ID
EK-Nummer,EK 번호
Deutsche-Synchronkartei-Sprecher-ID,Deutsche Synchronkartei 성우 ID
Main,마인강
Iserlohn,이절론
Winterberg,빈터베르크
Schleswig-Holstein,슐레스비히홀슈타인주
Havel,하펠강
Neckar,네카어강
Bremerhaven,브레머하펜
Saale,잘레강
Hannover 96,하노버 96
Bielefeld,빌레펠트
Nordrhein-Westfalen,노르트라인베스트팔렌주
Sardisch,사르데냐어
Schwerin,슈베린
Kiel,킬
Radevormwald,라데보름발트
Nordsee,북해
Saarland,자를란트주
Hessen,헤센주
Sachsen,작센주
Rheinland-Pfalz,라인란트팔츠주
Mönchengladbach,묀헨글라트바흐
Düsseldorf,뒤셀도르프
Augsburg,아우크스부르크
München,뮌헨
Bundesstraße 5,연방도 제5호선
Bundesstraße 6,연방도 제6호선
Bundesstraße 7,연방도 제7호선
Bundesstraße 15,연방도 제15호선
Bundesstraße 16,연방도 제16호선
Bundesstraße 17,연방도 제17호선
Bundesstraße 19,연방도 제19호선
Sendenhorst,젠덴호르스트
Münster,뮌스터
Bundesstraße 11,연방도 제11호선
Bundesstraße 8,연방도 제8호선
Bundesstraße 9,연방도 제9호선
Bundesstraße 10,연방도 제10호선
Braunschweig,브라운슈바이크
Bundesstraße 4 R,연방도 제4R호선
Potsdam,포츠담
Bundesstraße 2,연방도 제2호선
Bundesstraße 3,연방도 제3호선
Bundesstraße 4,연방도 제4호선
Sachsen-Anhalt,작센안할트주
Waldbröl,발트브뢸
Bundesstraße 12,연방도 제12호선
Bundesstraße 13,연방도 제13호선
Bundesstraße 14,연방도 제14호선
Freie Hansestadt Bremen,브레멘주
Bundesstraße 1,연방도 제1호선
Bundesstraße 25,연방도 제25호선
Bundesstraße 26,연방도 제26호선
Bundesstraße 27,연방도 제27호선
Bundesstraße 28,연방도 제28호선
Hannover,하노버
Bundesstraße 40,연방도 제40호선
Bundesstraße 44,연방도 제44호선
Thüringen,튀링겐주
Bundesstraße 41,연방도 제41호선
Bundesstraße 42,연방도 제42호선
Bundesstraße 43,연방도 제43호선
Bundesstraße 37,연방도 제37호선
Bundesstraße 38,연방도 제38호선
Bundesstraße 39,연방도 제39호선
Bundesstraße 32,연방도 제32호선
Gelsenkirchen,겔젠키르헨
Krefeld,크레펠트
Wiesbaden,비스바덴
Erfurt,에르푸르트
Bundesstraße 29,연방도 제29호선
Bundesstraße 30,연방도 제30호선
Bundesstraße 31,연방도 제31호선
Bundesstraße 23,연방도 제23호선
Bundesstraße 20,연방도 제20호선
Bundesstraße 21,연방도 제21호선
Bundesstraße 22,연방도 제22호선
Brandenburg,브란덴부르크주
Mainz,마인츠
Bundesstraße 33,연방도 제33호선
Bundesstraße 34,연방도 제34호선
Bundesstraße 35,연방도 제35호선
Bundesstraße 36,연방도 제36호선
Alpen,알프스산맥
Bundesstraße 49,연방도 제49호선
Bundesstraße 50,연방도 제50호선
Gevelsberg,Gevelsberg
Saarbrücken,자르브뤼켄
Dresden,드레스덴
Bundesstraße 45,연방도 제45호선
Bundesstraße 46,연방도 제46호선
Bundesstraße 47,연방도 제47호선
Bundesstraße 48,연방도 제48호선
Chemnitz,켐니츠
Frankfurt am Main,프랑크푸르트
Gerhard-Fieseler-Werke,피젤러
Altbach,알트바흐
Schwelm,Schwelm
Arnold & Richter Cine Technik,아리
Sprockhövel,Sprockhövel
Oberhausen,오버하우젠
Herdecke,Herdecke
Maulbronn,마울브론
Freiburg im Breisgau,프라이부르크
Hagen,하겐
Magdeburg,마그데부르크
Ennepetal,Ennepetal
Gemeinsame Normdatei,독일 통합전거파일
.de,.de
Deutsche Teilnehmer der Olympischen Winterspiele 2010,2010년 동계 올림픽 독일 선수단
Maybach,마이바흐
MAN,MAN SE
Focke-Wulf Fw 190,포케불프 Fw-190
Breckerfeld,Breckerfeld
Mercedes-Benz,메르세데스-벤츠
Eintracht Frankfurt,아인트라흐트 프랑크푸르트
Lübeck,뤼베크
Delitzsch,델리치
Polabisch,폴라브어
Halle (Saale),할레
Mülheim an der Ruhr,뮐하임안데어루르
Gallien,갈리아
Herne,헤르네
Ludwigshafen am Rhein,루트비히스하펜
Rostock,로스토크
Kassel,카셀
Fußball-Weltmeisterschaft 2006,2006년 FIFA 월드컵
Fallschirmjägertruppe,강하엽병
Hamm,함
Deutsche Teilnehmer der Olympischen Sommerspiele 2008,2008년 하계 올림픽 독일 선수단
Messerschmitt Me 262,메서슈미트 Me 262
Deutsche Teilnehmer der Olympischen Sommerspiele 2012,2012년 하계 올림픽 독일 선수단
Osnabrück,오스나브뤼크
Torgau,토르가우
Solingen,졸링겐
Leverkusen,레버쿠젠
Bad Soden am Taunus,바트조덴
FC Erzgebirge Aue,FC 에르츠게비르게 아우에
Oschatz,오샤츠
Lohmar,로마르
Porsche,포르쉐
Freie Demokratische Partei,자유민주당
Borussia Dortmund,보루시아 도르트문트
MBB/Kawasaki BK 117,MBB/가와사키 BK 117
NSU Motorenwerke,NSU 모토렌베르케
Dynamo Dresden,디나모 드레스덴
1. FC Union Berlin,1. FC 우니온 베를린
Oldenburg,올덴부르크
Piratenpartei Deutschland,독일 해적당
Obersorbisch,고지 소르브어
Kreis Dithmarschen,디트마르셴
Neuss,노이스
Romani,롬어
Hansa Rostock,FC 한자 로스토크
Deutsche Teilnehmer der Olympischen Winterspiele 1936,1936년 동계 올림픽 독일 선수단
Deutsche Teilnehmer der Olympischen Winterspiele 1928,1928년 동계 올림픽 독일 선수단
Montblanc,몽블랑
Heidelberg,하이델베르크
Deutsche Teilnehmer der Olympischen Sommerspiele 2004,2004년 하계 올림픽 독일 선수단
UFA,우파
Friedrich-Alexander-Universität Erlangen-Nürnberg,프리드리히 알렉산더 대학교
European Pressphoto Agency,EPA
Deutsche Teilnehmer der Olympischen Winterspiele 1960,1960년 동계 올림픽 독일 연합 선수단
Paderborn,파더보른
