Douglas Adams,더글러스 애덤스
Charles K. Kao,찰스 K. 가오
Tim Berners-Lee,팀 버너스리
Patrick Stewart,패트릭 스튜어트
John Barnes,존 반스
Rob Page,롭 페이지
Monty Python,몬티 파이튼
Frederick Keeping,프랭크 키핑
Alex Salmond,앨릭스 새먼드
Desmond Llewelyn,데즈먼드 루엘린
"Michael Johnson (footballer, born 1988)",마이클 존슨 (1988년)
Harold Pinter,해럴드 핀터
Jimmy Wales,지미 웨일스
Tom Cleverley,톰 클레벌리
Ben Foster (footballer),벤 포스터 (축구 선수)
"Tommy Smith (footballer, born 1980)",토미 스미스 (1980년)
Simon Wells,사이먼 웰스
Robin Williams (academic),로빈 윌리엄스 (교수)
Adrian Mariappa,에이드리언 마리아파
Danny Graham (footballer),대니 그레이엄
John Rhys-Davies,존 리스데이비스
Judi Dench,주디 덴치
Vanessa Branch,버네사 브랜치
Sean Dyche,숀 다이치
Ashley Young,애슐리 영
Scott Adkins,스콧 애드킨스
Eddie Redmayne,에디 레드메인
David Cameron,데이비드 캐머런
Marvin Sordell,마빈 소델
Kate Bush,케이트 부시
Doris Lessing,도리스 레싱
"David James (footballer, born 1970)",데이비드 제임스 (축구 선수)
Henry Gray,헨리 그레이
Neville Chamberlain,네빌 체임벌린
Kieran Gibbs,키런 기브스
Chris Smalling,크리스 스몰링
Jonny Evans,조니 에번스
Theo Walcott,시오 월컷
Carl Jenkinson,칼 젱킨슨
Timothy Dalton,티머시 돌턴
John Lennon,존 레논
Troy Deeney,트로이 디니
Ikechi Anya,이케치 안야
George Bernard Shaw,조지 버나드 쇼
Virginia Woolf,버지니아 울프
Rupert Grint,루퍼트 그린트
Jessie J,제시 제이
Lee Hodson,리 호드슨
Leanne Wood,린 우드
Arthur Balfour,아서 밸푸어
Frank Lloyd,프랭크 로이드
Ian Porterfield,이언 포터필드
Hans Wilsdorf,한스 빌스도르프
Alesha Dixon,알레샤 딕슨
Sacha Baron Cohen,사샤 배런 코언
Carrie Lam,캐리 람
Nathaniel Chalobah,너새니얼 찰로바
Charlie Chaplin,찰리 채플린
Hertha Ayrton,허사 에어턴
Stephen Hawking,스티븐 호킹
J. R. R. Tolkien,J. R. R. 톨킨
Queen Elizabeth The Queen Mother,엘리자베스 보우스라이언
Nicky Hopkins,니키 홉킨스
Gordon Brown,고든 브라운
Ralph Fiennes,레이프 파인스
David Mitchell (author),데이비드 미첼 (작가)
Victoria Beckham,빅토리아 베컴
Michael Carrick,마이클 캐릭
Ellie Goulding,엘리 골딩
Frank Lampard,프랭크 램파드
Friedrich Hayek,프리드리히 하이에크
Gladwyn Jebb,글래드윈 젭
Steph Houghton,스테프 호턴
Casey Stoney,케이시 스토니
Rachel Yankey,레이철 양키
Geri Halliwell,제리 할리웰
Jean Shrimpton,진 슈림프턴
Martyn Lloyd-Jones,마틴 로이드 존스
Anne V. Coates,앤 V. 코츠
Luigi Cherubini,루이지 케루비니
Hugo Weaving,휴고 위빙
Jane Goldman,제인 골드먼
Gabrielle Aplin,가브리엘 애플린
Alan Carr,앨런 카
Roshan Seth,로산 세스
H. G. Wells,H. G. 웰스
Stanley Kubrick,스탠리 큐브릭
"Robert Baden-Powell, 1st Baron Baden-Powell",제1대 베이든파월 남작 로버트 베이든파월
Ivo Lapenna,이보 라페나
"David Cecil, 6th Marquess of Exeter",데이비드 세실 (후작)
Mo Farah,모 패라
Robert Louis Stevenson,로버트 루이스 스티븐슨
Ellen White (footballer),엘런 토니 화이트
Eniola Aluko,에니올라 알루코
Elizabeth Taylor,엘리자베스 테일러
Keira Knightley,키이라 나이틀리
Kim Wilde,킴 와일드
Greg Rutherford,그레그 러더퍼드
"Robert Cecil, 1st Viscount Cecil of Chelwood",제1대 세실오브첼우드 자작 로버트 세실
Ebenezer Howard,에버니저 하워드
Stephen Merchant,스티븐 머천트
Jill Scott (footballer),질 스콧 (축구 선수)
Karen Carney,캐런 카니
Fara Williams,패라 윌리엄스
Andrew Garfield,앤드류 가필드
