George Washington,조지 워싱턴
Chris Rock,크리스 록
Kim Carnes,킴 칸스
Carolyn Bertozzi,캐럴린 R. 버토지
Rachel Fuller Brown,레이첼 풀러 브라운
Barack Obama,버락 오바마
Kevin Mitnick,케빈 미트닉
Adam Carolla,애덤 캐럴라
Claire Holt,클레어 홀트
Lisa Raymond,리사 레이먼드
Picabo Street,피커보 스트리트
Julia Mancuso,줄리아 맨쿠소
Susan Landau,수잔 랜도우
Abraham Lincoln,에이브러햄 링컨
Ned Beatty,네드 비티
James Coburn,제임스 코번
Miley Cyrus,마일리 사이러스
Stephanie Kwolek,스테퍼니 퀄렉
George W. Bush,조지 W. 부시
Dwayne Johnson,드웨인 존슨
John Paul Stevens,존 폴 스티븐스
John McCain,존 매케인
Mick Foley,믹 폴리
Sandra Day O'Connor,샌드라 데이 오코너
Ruth Bader Ginsburg,루스 베이더 긴즈버그
Andrew Jackson,앤드루 잭슨
John Adams,존 애덤스
Troian Bellisario,트로이언 벨리사리오
Clancy Brown,클랜시 브라운
Jennette McCurdy,제넷 매커디
Martin Van Buren,마틴 밴 뷰런
Larry Sanger,래리 생어
Elvis Presley,엘비스 프레슬리
Emily Dickinson,에밀리 디킨슨
Jon Abrahams,존 에이브럼스
Jimmy Bennett,지미 베넷
Rodger Bumpass,로저 범패스
Sonia Sotomayor,소니아 소토마요르
Elena Kagan,엘레나 케이건
Peyton Manning,페이턴 매닝
Anna Faris,애나 패리스
Zach Gilford,잭 길퍼드 (1982년)
Prince (musician),프린스 (가수)
Alison Lohman,앨리슨 로먼
Radia Perlman,래디아 펄먼
Mitt Romney,밋 롬니
Valerie Solanas,밸러리 솔라나스
Deval Patrick,더발 패트릭
Chloë Grace Moretz,클로이 그레이스 머레츠
James Monroe,제임스 먼로
James Madison,제임스 매디슨
Jonny Lee Miller,조니 리 밀러
Tiger Woods,타이거 우즈
Thomas Jefferson,토머스 제퍼슨
Ezra Klein,에즈라 클라인
Michael Bloomberg,마이클 블룸버그
Bob Dylan,밥 딜런
John Quincy Adams,존 퀸시 애덤스
Ward Cunningham,워드 커닝햄
Homer Simpson,호머 심슨
Samuel Alito,새뮤얼 알리토
Jimmy Wales,지미 웨일스
Tom DeLonge,톰 델론지
Mark Hoppus,마크 호퍼스
Clarence Thomas,클래런스 토머스
John Roberts,존 로버츠
William Henry Harrison,윌리엄 헨리 해리슨
John Tyler,존 타일러
Axl Rose,액슬 로즈
James K. Polk,제임스 K. 포크
Anthony Kennedy,앤서니 케네디
Ivory Joe Hunter,아이보리 조 헌터
Jenna Jameson,제나 제임슨
Linda Lovelace,린다 러브레이스
Carl Sagan,칼 세이건
Marlene Dietrich,마를레네 디트리히
Marilyn Monroe,마릴린 먼로
Jonathan Winters,조너선 윈터스
Daniel Craig,대니얼 크레이그
Jean Bartik,진 바틱
Scrooge McDuck,스크루지 맥덕
Jack Sholder,잭 숄더
Marge Simpson,마지 심슨
Maggie Simpson,매기 심슨
Antonin Scalia,앤터닌 스컬리아
Frank Herbert,프랭크 허버트
Gordon Freeman,고든 프리맨
Patti Smith,패티 스미스
Nelson Rockefeller,넬슨 록펠러
Zachary Taylor,재커리 테일러
Bill Maher,빌 마
Rachel Maddow,레이철 매도
David Rockefeller,데이비드 록펠러
Beck,벡 (음악가)
Kevin Costner,케빈 코스트너
Franklin D. Roosevelt,프랭클린 D. 루스벨트
Neil Young,닐 영
Coco Austin,코코 오스틴
Stevie Wonder,스티비 원더
Barbra Streisand,바브라 스트라이샌드
Jimmy Kimmel,지미 키멀
Joan Lorring,조앤 로링
"Weird Al" Yankovic,위어드 알 얀코빅
Kurt Cobain,커트 코베인
Evelyn Berezin,에블린 베레진
Cher,셰어 (가수)
Britney Spears,브리트니 스피어스
Herman Melville,허먼 멜빌
Corbin Bleu,코빈 블루
Stan Coveleski,스탠 코벨레스키
Adele Goldberg (computer scientist),아델 골드버그
Martin Luther King Jr.,마틴 루터 킹 주니어
Serena Williams,세리나 윌리엄스
Anita Borg,어니타 보그
Meryl Streep,메릴 스트립
Joseph Brodsky,조지프 브로드스키
Eugenio Calabi,에우제니오 칼라비
Jason Lee (actor),제이슨 리
Larry Page,래리 페이지
Richard Edlund,리처드 에들런드
Andrew Johnson,앤드루 존슨
Dave Grohl,데이브 그롤
Enrico Fermi,엔리코 페르미
Millard Fillmore,밀러드 필모어
Albert Einstein,알베르트 아인슈타인
Walt Disney,월트 디즈니
Jon Huntsman Jr.,존 헌츠먼
Shafi Goldwasser,샤피 골드와서
Harry S. Truman,해리 S. 트루먼
Judy Garland,주디 갈런드
Beth Ditto,베스 디토
Humphrey Tonkin,험프리 통킨
John Bardeen,존 바딘
Miranda Cosgrove,미란다 코스그로브
Bill Gates,빌 게이츠
Franklin Pierce,프랭클린 피어스
James Buchanan,제임스 뷰캐넌
Bill Clinton,빌 클린턴
Ernst Mayr,에른스트 마이어
Venus Williams,비너스 윌리엄스
Greta Garbo,그레타 가르보
Thomas Edison,토머스 에디슨
Aaliyah,알리야 (가수)
Margaret Hamilton (software engineer),마거릿 해밀턴 (과학자)
Mario,마리오
Betty Holberton,베티 홀버튼
Bruce Springsteen,브루스 스프링스틴
Andy Warhol,앤디 워홀
Bart Simpson,바트 심슨
Henry Ford,헨리 포드
Michelle Obama,미셸 오바마
Grace Hopper,그레이스 호퍼
Nikki Haley,니키 헤일리
George Soros,조지 소로스
Cyndi Lauper,신디 로퍼
Tim Lincecum,팀 린스컴
Bruno Mars,브루노 마스
Neil Armstrong,닐 암스트롱
Janis Joplin,재니스 조플린
Carmelita Jeter,카멜리타 지터
Sanya Richards-Ross,사냐 리처즈로스
Allyson Felix,앨리슨 펠릭스
Eminem,에미넴
David Paterson,데이비드 패터슨
Andrew Cuomo,앤드루 쿠오모
Nikola Tesla,니콜라 테슬라
Frank Lloyd Wright,프랭크 로이드 라이트
President of the United States,미국의 대통령
Marissa Mayer,머리사 마이어
Chuck Berry,척 베리
Noam Chomsky,노엄 촘스키
Jennifer Capriati,제니퍼 캐프리아티
Jason Richardson,제이슨 리처드슨 (농구 선수)
Félix Sánchez (hurdler),펠릭스 산체스
Erik Kynard,에릭 키너드
Jimi Hendrix,지미 헨드릭스
Aries Merritt,에리스 메릿
Justin Gatlin,저스틴 개틀린
James Brown,제임스 브라운
Katherine Johnson,캐서린 존슨
Pharrell Williams,퍼렐 윌리엄스
Chris Evert,크리스 에버트
Liza Minnelli,라이자 미넬리
Phoebe Cates,피비 케이츠
Eddie Cochran,에디 코크런
Shawn Crawford,숀 크로퍼드
Walter Dix,월터 딕스
LaShawn Merritt,라숀 메릿
John Boehner,존 베이너
Ashton Eaton,애슈턴 이턴
Trey Hardee,트레이 하디
Stanley Kubrick,스탠리 큐브릭
Richard Nixon,리처드 닉슨
Tupac Shakur,투팍 샤커
Lil Wayne,릴 웨인
Bershawn Jackson,버숀 잭슨
Eliot Spitzer,엘리엇 스피처
George Pataki,조지 퍼타키
Steven Spielberg,스티븐 스필버그
Tony Romo,토니 로모
Grey DeLisle,그레이 딜라일
Lindsay Davenport,린지 대븐포트
Charles Lindbergh,찰스 린드버그
Mark Sanford,마크 샌포드
Dan O'Brien,댄 오브라이언
Lisa Simpson,리사 심슨
Moby,모비
Bernie Madoff,버나드 메이도프
Marcel Duchamp,마르셀 뒤샹
Angelina Jolie,안젤리나 졸리
Melvin Calvin,멜빈 캘빈
Aloe Blacc,앨로 블랙
Louis Armstrong,루이 암스트롱
Ella Fitzgerald,엘라 피츠제럴드
Kerron Clement,케런 클레먼트
Angelo Taylor,앤절로 테일러
Dr. Dre,닥터 드레
Snoop Dogg,스눕 독
Pete Sampras,피트 샘프러스
Gerald Ford,제럴드 포드
Madonna,마돈나
Ron Paul,론 폴
Jeremy Wariner,제러미 워리너
David Neville (sprinter),데이비드 네빌
David Payne (hurdler),데이비드 페인
50 Cent,50 센트
Buddy Holly,버디 홀리
Louis C.K.,루이 C.K.
Tracy Morgan,트레이시 모건
David Lynch,데이비드 린치
Lance Armstrong,랜스 암스트롱
Bode Miller,보디 밀러
Joe Biden,조 바이든
Curtis LeMay,커티스 르메이
Frances Allen,프랜시스 앨런
David Oliver (hurdler),데이비드 올리버
Arnold Palmer,아널드 파머
Jack Nicklaus,잭 니클라우스
Hanna R. Hall,해나 R. 홀
Fred Armisen,프레드 아미슨
Seth Meyers,세스 마이어스
Sharon Van Etten,샤론 밴 이튼
Bill Hader,빌 헤이더
Jason Sudeikis,제이슨 수데이키스
Terry Callier,테리 칼리어
Tina Fey,티나 페이
James B. Conant,제임스 브라이언트 코넌트
Kanye West,카니예 웨스트
Michael Chekhov,미하일 체호프
Dizzy Gillespie,디지 길레스피
Buzz Aldrin,버즈 올드린
Hillary Clinton,힐러리 클린턴
Lyndon B. Johnson,린든 B. 존슨
Leonard Nimoy,레너드 니모이
James T. Kirk,제임스 T. 커크
Chet Baker,쳇 베이커
John Romita Jr.,존 로미타 주니어
DeForest Kelley,드포레스트 켈리
Cass Elliot,캐스 엘리엇
Allen Ginsberg,앨런 긴즈버그
Edward Teller,에드워드 텔러
Johnny Nash,조니 내시
Charles Simonyi,찰스 시모니
Dana Scott,데이나 스콧
Tom Hanks,톰 행크스
Bruce Willis,브루스 윌리스
John F. Kennedy,존 F. 케네디
Chuck Norris,척 노리스
Johanna Braddy,조해나 브래디
Charles K. Kao,찰스 K. 가오
Humphrey Bogart,험프리 보가트
Steve Martin,스티브 마틴
John McEnroe,존 매켄로
Ray William Johnson,레이 윌리엄 존슨
Randy Pausch,랜디 포시
Ira Sachs,아이라 잭스
Heidi Heitkamp,하이디 하이트캠프
Ginni Rometty,버지니아 로메티
Solomon Burke,솔로몬 버크
Mazie Hirono,메이지 히로노
Sandra Fluke,산드라 플루크
Arnold Schwarzenegger,아널드 슈워제네거
Dwight D. Eisenhower,드와이트 D. 아이젠하워
Bruce Lee,이소룡
Robert Mitchum,로버트 미첨
Andy Rubin,앤디 루빈
Sasha Grey,사샤 그레이
Mark Twain,마크 트웨인
Ronald Reagan,로널드 레이건
Ellen Swallow Richards,엘런 스월로 리처즈
Susan Rice,수전 라이스
Ed O'Neill,에드 오닐
Len Wein,렌 윈
John Ford,존 포드
D. W. Griffith,데이비드 와크 그리피스
Kaley Cuoco,케일리 쿼코
Lindsey Vonn,린지 본
Igor Stravinsky,이고르 스트라빈스키
Edgar Allan Poe,에드거 앨런 포
King Vidor,킹 비도어
Claudia Wells,클로디아 웰스
Geoffrey Arend,제프리 애런드
Andre Agassi,앤드리 애거시
Alfred Hitchcock,앨프리드 히치콕
Donald Knuth,도널드 커누스
Anousheh Ansari,아누셰흐 안사리
Amelia Earhart,어밀리아 에어하트
Martin Keamy,마틴 키미
Sam Peckinpah,샘 페킨파
Frank Lapidus,프랭크 래피더스
Christian Shephard,크리스천 셰퍼드
John von Neumann,존 폰 노이만
Libby (Lost),리비 (로스트)
Boone Carlyle,분 칼라일
Ana Lucia Cortez,아나 루시아 코츠
Jack Shephard,잭 셰퍼드
James "Sawyer" Ford,제임스 "소이어" 포드
Miles Straume,마일스 스트라움
Walt Lloyd,월트 로이드
Hugo "Hurley" Reyes,휴고 "헐리" 레예스
Shannon Rutherford,섀넌 러더퍼드
Richard Stallman,리처드 스톨먼
Geronimo,제로니모
Daniel Morgan,대니얼 모건
Leslie Nielsen,레슬리 닐슨
Saul Bellow,솔 벨로
Michael Jackson,마이클 잭슨
Oscar Robertson,오스카 로버트슨
Michael Dawson (Lost),마이클 도슨 (로스트)
John Locke (Lost),존 로크 (로스트)
Juliet Burke,줄리엣 버크
Kate Austen,케이트 오스틴
Leon Cooper,리언 쿠퍼
Colin Kaepernick,콜린 캐퍼닉
Tod Browning,토드 브라우닝
Rouben Mamoulian,루벤 마물리안
Dan Brown,댄 브라운
Selena Gomez,셀레나 고메즈
John Coltrane,존 콜트레인
Soong Mei-ling,쑹메이링
Harvey Milk,하비 밀크
Quentin Tarantino,쿠엔틴 타란티노
"Albert II, Prince of Monaco",알베르 2세 (모나코)
Elie Wiesel,엘리 위젤
Joseph Stiglitz,조지프 스티글리츠
John Cassavetes,존 카사베티스
George Stevens,조지 스티븐스
M. Night Shyamalan,M. 나이트 샤말란
Béla Bartók,버르토크 벨러
Lester Young,레스터 영
Michael Curtiz,마이클 커티즈
Pamela Anderson,패멀라 앤더슨
Cannonball Adderley,캐넌볼 애덜리
Richard Dysart,리처드 다이서트
Julie Delpy,줄리 델피
Arnold Gesell,아널드 게젤
Kevin Rudolf,케빈 루돌프
Grace Kelly,그레이스 켈리
Frank Borman,프랭크 보먼
Henry Molaison,헨리 몰래슨
Rebecca Black,리베카 블랙
Frank Capra,프랭크 캐프라
Robert Siodmak,로버트 시오드맥
William Wyler,윌리엄 와일러
Robert Curl,로버트 컬
James Watson,제임스 D. 왓슨
Robin Williams,로빈 윌리엄스
Karl Barry Sharpless,칼 배리 샤플리스
Gus Grissom,거스 그리섬
Paul Simon,폴 사이먼
Art Garfunkel,아트 가펑클
Richard Steven Horvitz,리처드 스티븐 호비츠
Tara Strong,타라 스트롱
Sam Witwer,새뮤얼 윗워
Gregory Smith (actor),그레고리 스미스 (배우)
Duke Ellington,듀크 엘링턴
Ryan Whitney (actress),라이언 뉴먼 (배우)
Peter DeLuise,피터 더루이즈
Gregory Itzin,그레고리 이친
Alan J. Pakula,앨런 J. 퍼쿨러
George A. Romero,조지 A. 로메로
Miloš Forman,밀로스 포만
Kayla Ewell,케일라 이웰
CeeLo Green,시로 그린
Sydney Pollack,시드니 폴락
Jim Lovell,짐 러벨
Elmer Bernstein,엘머 번스틴
Skrillex,스크릴렉스
Luise Rainer,루이제 라이너
Steve Jablonsky,스티브 저블론스키
Rhoda Griffis,로다 그리피스
Thomas Jane,토머스 제인
Laurie Holden,로리 홀든
Franklin J. Schaffner,프랭클린 J. 섀프너
Edwin McMillan,에드윈 맥밀런
Zak Penn,잭 펜
Mike Nichols,마이크 니컬스
Vincente Minnelli,빈센트 미넬리
Woody Guthrie,우디 거스리
Mario Molina,마리오 J. 몰리나
James Dean,제임스 딘
Cary Grant,케리 그랜트
Samuel P. Huntington,새뮤얼 P. 헌팅턴
Maya Angelou,마야 앤절로
Bob Beamon,밥 비먼
Ricky Paull Goldin,릭키 폴 골딘
John Adams (composer),존 애덤스 (작곡가)
Joaquin Wilde,지마 아이언
Tony Oller,토니 올러
Hermann Broch,헤르만 브로흐
James Gleick,제임스 글릭
Dan Haggerty,댄 해거티
Clark Gregg,클라크 그레그
Emma Stone,엠마 스톤
Tjalling Koopmans,찰링 코프만스
Anthony Quinn,앤서니 퀸
Eleanor Roosevelt,엘리너 루스벨트
Hawkeye (Clint Barton),호크아이 (마블 코믹스)
Billy Wilder,빌리 와일더
John Barry (composer),존 배리
F. Sherwood Rowland,프랭크 셔우드 롤런드
William Lipscomb,윌리엄 립스컴
Alan MacDiarmid,앨런 맥더미드
Sidney Lumet,시드니 루멧
Ernst Lubitsch,에른스트 루비치
Gary Oldman,게리 올드먼
Stanford Moore,스탠퍼드 무어
William Standish Knowles,윌리엄 스탠디시 놀스
Chester Bennington,체스터 베닝턴
Brad Delson,브래드 델슨
John Landis,존 랜디스
Spike Lee,스파이크 리
George Roy Hill,조지 로이 힐
Henry Fonda,헨리 폰다
Howard Hawks,하워드 호크스
Isabel Allende,이사벨 아옌데
John Huston,존 휴스턴
James Ivory,제임스 아이보리
Michael Weston,마이클 웨스턴
Tanya Chisholm,타냐 치숌
Zak Spears,잭 스피어스
Thomas J. J. Altizer,토마스 J. J. 알타이저
Hermann Joseph Muller,허먼 조지프 멀러
Robert J. Steinmiller Jr.,로버트 J. 스타인밀러 주니어
Shaun Toub,숀 토브
Zakk Wylde,잭 와일드 (음악가)
Mike Shinoda,마이크 시노다
Joe Hahn,조 한
Rob Bourdon,롭 버든
William Friedkin,윌리엄 프리드킨
Dave Farrell,데이브 패럴
Lizard (character),리저드 (마블 코믹스)
Joseph L. Mankiewicz,조지프 L. 맹키위츠
Dina Merrill,디나 메릴
Elias Boudinot,일라이어스 부디놋
Carmen Argenziano,카멘 아젠지아노
Elmer McCollum,엘머 매콜럼
Joey King,조이 킹
Robert Dahl,로버트 앨런 달
Jesse Sorensen,제시 소런슨
Lena Horne,리나 혼
Charles Duke,찰스 듀크
RZA,RZA
LL Cool J,LL 쿨 J
AJ Styles,A.J. 스타일스
Milo Ventimiglia,마일로 벤티밀리아
Ed Sullivan,에드 설리번
Fritz Lang,프리츠 랑
Dale Dye,데일 다이
Edward G. Robinson,에드워드 G. 로빈슨
Ernst von Glasersfeld,에른스트 폰 글라저스펠트
Parry O'Brien,패리 오브라이언
Al Oerter,앨 오터
Bob Mathias,밥 머사이어스
Zalmay Khalilzad,잘메이 할릴자드
Zalman King,잘만 킹
Subrahmanyan Chandrasekhar,수브라마니안 찬드라세카르
DeHart Hubbard,드하트 허바드
Robert Taylor (American actor),로버트 테일러 (배우)
Basil Poledouris,바실 폴레두리스
Ben Shenkman,벤 섕크먼
John Milius,존 밀리어스
Al Gore,앨 고어
Edwin Moses,에드윈 모지스
Josh Duhamel,조시 더멜
Ray Ewry,레이 유리
Tommie Smith,토미 스미스 (육상 선수)
Don Budge,돈 버지
Josef Hoffmann,요제프 호프만
Michael Morhaime,마이클 모하임
Karl von Terzaghi,카를 폰 테르자기
Jesse Owens,제시 오언스
Lorenzo Lamas,로렌조 라마스
Ivan Illich,이반 일리치
Hans Kelsen,한스 켈젠
Ludwig von Mises,루트비히 폰 미제스
Veronica Lake,베로니카 레이크
Peter Drucker,피터 드러커
Jon Moxley,딘 앰브로스
Audrey Niffenegger,오드리 니페네거
Bodie Olmos,보디 올모스
Taboo (rapper),타부 (래퍼)
Dilshad Vadsaria,딜샤드 바드사리아
John Gavin,존 게빈
Steve Jobs,스티브 잡스
Lady Gaga,레이디 가가
Dylan McDermott,딜런 맥더멋
Otto Preminger,오토 프레민저
Barbara O'Neil,바바라 오닐
Peter J. Katzenstein,피터 카첸슈타인
Henry Lehrman,헨리 레만
Larry Semon,래리 서먼
Yasmine Bleeth,야스민 블리스
Swedish Americans,스웨덴계 미국인
David Geffen,데이비드 게펀
Dorothy Day,도러시 데이
Edgar Rice Burroughs,에드거 라이스 버로스
Lois Nettleton,로이스 네틀턴
Indiana Jones (character),인디아나 존스 (등장인물)
Arthur Ashe,아서 애시
Tracy Austin,트레이시 오스틴
Karl Landsteiner,카를 란트슈타이너
Onondaga people,오논다가족
Joe Pesci,조 페시
James Blake (tennis),제임스 블레이크 (테니스 선수)
Porter Robinson,포터 로빈슨
Scott Glenn,스콧 글렌
Christopher Buchholz,크리스토퍼 부츠홀즈
Kurt Kasznar,커트 카스즈너
Mike Bryan,마이크 브라이언
Peter L. Berger,피터 L. 버거
Bibi Besch,비비 베쉬
Zeppo Marx,제포 막스
Jerome Bruner,제롬 브루너
Charles Vidor,찰스 비더
Wilhelm Reich,빌헬름 라이히
Madison Brengle,매디슨 브렝글
Louise Brough,루이즈 브로
Bob Bryan,밥 브라이언
Phil Niekro,필 니크로
Janel Moloney,저넬 멀로니
Ida Lupino,이다 루피노
Albert Pujols,앨버트 푸홀스
Jack Benny,잭 베니
Scott O'Dell,스콧 오딜
Pat Buchanan,팻 뷰캐넌
Michael Chang,마이클 창
Jimmy Connors,지미 코너스
John Banner,존 배너
Vanessa Brown,바네사 브라운
Gerda Lerner,거다 러너
Aida Turturro,아이다 터투로
Fritz Zwicky,프리츠 츠비키
Tyler Cloyd,타일러 클로이드
Lex Luger,렉스 루거
J. K. Simmons,J. K. 시먼스
Colin Powell,콜린 파월
George Carlin,조지 칼린
Muggsy Bogues,머그시 보그스
Shawn Kemp,숀 켐프
Paul Bunyan,폴 버니언
Kirsten Gillibrand,키어스틴 질리브랜드
Lindsey Graham,린지 그레이엄
Jim Courier,짐 쿠리어
Samantha Crawford,서맨사 크로퍼드
Dakota Fanning,다코타 패닝
Bill Goldberg,빌 골드버그
Christian York,크리스천 요크
Gene Hackman,진 해크먼
Jon Bon Jovi,존 본 조비
Kat Graham,캣 그레이엄
Claire McCaskill,클레어 매캐스킬
Amy Klobuchar,에이미 클로버샤
Donald Trump,도널드 트럼프
Olympia Snowe,올림피아 스노
Susan Collins,수전 콜린스
Jim Gordon (character),제임스 고든 (DC 코믹스)
Amelia Shepherd,어밀리아 셰퍼드
John Kerry,존 케리
Lisa Murkowski,리사 머카우스키
Kelly Ayotte,켈리 에이욧
Pancho Gonzales,판초 곤살레스
Mardy Fish,마디 피시
